date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,14.68,14.72,13.84,14.12,73259.03,中成股份,,,
2025-03-25,14.12,15.53,13.85,15.53,111330.1,中成股份,,,
2025-03-26,15.29,15.4,14.77,14.87,177981.6,中成股份,,,
2025-03-27,15.18,15.19,14.5,14.55,99270.08,中成股份,,,
2025-03-28,14.5,14.76,14.24,14.64,71791.2,中成股份,14.741999999999999,,
2025-03-31,14.47,14.52,14.1,14.1,50615.63,中成股份,14.738,,
2025-04-01,14.2,14.46,14.15,14.35,41703.0,中成股份,14.502,,
2025-04-02,14.3,14.43,14.16,14.3,27776.0,中成股份,14.388,,
2025-04-03,14.26,14.5,14.14,14.33,42529.2,中成股份,14.344,,
2025-04-07,12.9,13.39,12.9,12.9,63974.0,中成股份,13.996,14.369,
2025-04-08,11.71,12.73,11.71,12.42,97785.78,中成股份,13.660000000000002,14.199000000000002,
2025-04-09,12.49,13.33,11.78,13.11,94436.04,中成股份,13.412,13.956999999999999,
2025-04-10,13.35,13.57,13.11,13.24,66506.89,中成股份,13.2,13.794,
2025-04-11,13.2,13.5,13.17,13.41,51339.19,中成股份,13.016,13.680000000000001,
2025-04-14,13.44,13.97,13.43,13.8,61902.0,中成股份,13.196000000000002,13.596,
2025-04-15,13.8,13.86,13.57,13.69,39599.0,中成股份,13.45,13.555000000000001,
2025-04-16,13.8,13.8,13.26,13.59,38405.0,中成股份,13.546000000000001,13.479,
2025-04-17,13.5,13.83,13.5,13.63,32667.0,中成股份,13.624,13.412,
2025-04-18,13.53,13.92,13.53,13.77,33704.01,中成股份,13.696000000000002,13.356,
2025-04-21,13.66,13.86,13.61,13.85,30183.01,中成股份,13.706,13.450999999999999,13.91
2025-04-22,13.84,14.0,13.61,13.64,40735.0,中成股份,13.696000000000002,13.572999999999999,13.886
2025-04-23,13.75,13.9,13.61,13.8,50703.0,中成股份,13.738,13.642000000000001,13.7995
2025-04-24,13.95,14.35,13.75,14.14,96720.0,中成股份,13.84,13.732,13.763
2025-04-25,14.19,14.2,13.85,13.89,49342.01,中成股份,13.863999999999999,13.780000000000001,13.73
2025-04-28,13.95,13.95,13.59,13.62,37161.33,中成股份,13.818000000000001,13.762,13.679000000000002
2025-04-29,13.55,13.69,13.47,13.49,31398.0,中成股份,13.788,13.742,13.648500000000002
2025-04-30,13.5,13.72,13.5,13.53,29103.0,中成股份,13.734,13.735999999999999,13.607499999999998
2025-05-06,13.58,14.07,13.58,14.05,59658.0,中成股份,13.716,13.778,13.595000000000002
2025-05-07,14.16,14.25,13.86,13.95,47567.0,中成股份,13.728,13.796000000000001,13.575999999999999
2025-05-08,13.9,14.34,13.87,14.28,66125.89,中成股份,13.86,13.838999999999999,13.645
2025-05-09,14.38,14.67,14.17,14.17,56690.02,中成股份,13.996,13.892,13.732499999999998
2025-05-12,14.25,14.41,14.12,14.24,54584.0,中成股份,14.138,13.936000000000002,13.788999999999998
2025-05-13,14.45,14.67,14.26,14.3,67043.0,中成股份,14.187999999999999,13.952000000000002,13.842000000000002
2025-05-14,14.3,14.38,14.1,14.34,48028.5,中成股份,14.266,13.997,13.888499999999999
2025-05-15,14.29,14.45,14.18,14.31,50157.0,中成股份,14.272,14.065999999999999,13.913999999999998
2025-05-28,15.74,15.74,14.64,14.9,469407.87,中成股份,14.418000000000001,14.206999999999999,13.9745
2025-05-29,14.27,15.0,13.48,14.1,308950.2,中成股份,14.39,14.264,14.0
2025-05-30,13.8,13.9,12.77,12.84,216431.72,中成股份,14.098000000000003,14.142999999999997,13.960500000000001
2025-06-03,12.86,12.95,12.62,12.95,104283.24,中成股份,13.819999999999999,14.043000000000001,13.9195
2025-06-04,12.94,13.03,12.8,12.85,74183.0,中成股份,13.528,13.9,13.869499999999999
2025-06-05,12.87,12.91,12.68,12.75,68355.1,中成股份,13.097999999999999,13.758,13.825
2025-06-06,12.71,12.82,12.69,12.71,50278.5,中成股份,12.819999999999999,13.605,13.770500000000002
2025-06-09,12.7,12.74,12.61,12.73,60137.73,中成股份,12.798,13.448000000000002,13.7
2025-06-10,12.76,12.76,12.35,12.45,81322.74,中成股份,12.697999999999999,13.259,13.628
2025-06-11,12.41,12.67,12.39,12.56,53980.5,中成股份,12.64,13.084,13.575
2025-06-12,12.51,12.52,12.39,12.4,52082.03,中成股份,12.570000000000002,12.834,13.520499999999998
2025-06-13,12.37,12.4,12.07,12.17,63497.79,中成股份,12.462,12.641,13.4525
2025-06-16,12.1,12.23,12.09,12.2,32328.01,中成股份,12.356,12.577,13.36
2025-06-17,12.21,12.28,12.09,12.15,37769.2,中成股份,12.296,12.497,13.27
2025-06-18,12.15,12.16,11.98,12.05,39123.0,中成股份,12.193999999999999,12.417,13.1585
2025-06-19,12.02,12.08,11.8,11.82,38841.0,中成股份,12.078,12.324,13.041
2025-06-20,11.82,11.99,11.8,11.88,31688.0,中成股份,12.02,12.241000000000001,12.922999999999998
2025-06-23,11.78,12.1,11.72,12.1,41732.0,中成股份,12.0,12.178,12.812999999999999
2025-06-24,12.16,12.69,12.06,12.64,120126.01,中成股份,12.098,12.197,12.728
2025-06-25,12.55,12.65,12.42,12.58,77651.0,中成股份,12.203999999999999,12.199,12.6415
2025-06-26,12.53,12.57,12.42,12.43,46514.4,中成股份,12.326,12.202000000000002,12.518
2025-06-27,12.43,12.59,12.42,12.47,41435.0,中成股份,12.443999999999999,12.232000000000001,12.4365
2025-06-30,12.51,12.54,12.43,12.52,33228.0,中成股份,12.528,12.264,12.4205
2025-07-01,12.51,12.57,12.35,12.42,37295.11,中成股份,12.484,12.291,12.394
2025-07-02,12.42,12.49,12.35,12.43,33399.8,中成股份,12.454,12.328999999999999,12.373000000000001
2025-07-03,12.43,12.47,12.38,12.43,29010.0,中成股份,12.454,12.39,12.357
2025-07-04,12.41,12.49,12.32,12.33,37250.0,中成股份,12.425999999999998,12.434999999999999,12.338
2025-07-07,12.42,12.76,12.34,12.56,61729.74,中成股份,12.434000000000001,12.481,12.3295
2025-07-08,12.55,12.59,12.48,12.57,45276.21,中成股份,12.464,12.474,12.3355
2025-07-09,12.58,13.83,12.51,13.27,326659.59,中成股份,12.632,12.543000000000001,12.371
2025-07-10,13.02,13.21,12.85,13.21,198831.07,中成股份,12.788,12.620999999999999,12.4115
2025-07-11,13.14,14.47,13.0,13.65,250112.22,中成股份,13.052000000000001,12.739,12.485499999999998
2025-07-14,13.51,13.84,13.28,13.28,148660.0,中成股份,13.196000000000002,12.815000000000001,12.5395
2025-07-15,13.24,13.24,12.8,12.88,128233.21,中成股份,13.258,12.861,12.575999999999999
2025-07-16,12.97,13.41,12.86,12.93,78453.0,中成股份,13.190000000000001,12.911000000000001,12.620000000000001
2025-07-17,12.87,12.93,12.8,12.9,73559.2,中成股份,13.128,12.958000000000002,12.674
2025-07-18,12.88,13.0,12.84,12.96,70195.0,中成股份,12.99,13.021,12.728
2025-07-21,12.96,13.42,12.88,13.23,113858.21,中成股份,12.98,13.088,12.7845
2025-07-22,13.14,13.36,12.93,13.29,123583.42,中成股份,13.062000000000001,13.16,12.817000000000002
2025-07-23,13.27,13.32,13.05,13.05,79442.05,中成股份,13.086000000000002,13.138,12.8405
2025-07-24,13.05,13.18,13.01,13.15,59831.05,中成股份,13.136000000000001,13.132,12.876499999999998
2025-07-25,13.15,13.16,13.02,13.04,50209.67,中成股份,13.152000000000001,13.071000000000002,12.905000000000001
2025-07-28,13.01,13.08,12.95,13.0,45115.01,中成股份,13.106,13.043000000000001,12.929000000000002
2025-07-29,12.98,13.0,12.77,12.87,49473.0,中成股份,13.022,13.041999999999998,12.9515
2025-07-30,12.85,12.98,12.77,12.83,41757.05,中成股份,12.978,13.032,12.9715
2025-07-31,12.85,12.88,12.67,12.67,43689.88,中成股份,12.882,13.009,12.983500000000001
2025-08-01,12.78,12.82,12.68,12.75,30966.0,中成股份,12.824000000000002,12.988,13.004499999999998
2025-08-04,12.65,12.76,12.61,12.74,33087.0,中成股份,12.772,12.939000000000002,13.013499999999999
2025-08-05,12.77,12.9,12.73,12.88,38684.01,中成股份,12.774,12.898,13.029
2025-08-06,12.87,12.89,12.82,12.86,29169.5,中成股份,12.78,12.879,13.008500000000002
2025-08-07,12.82,12.89,12.78,12.81,31042.64,中成股份,12.807999999999998,12.844999999999999,12.988499999999998
2025-08-08,12.8,12.94,12.8,12.86,42396.01,中成股份,12.830000000000002,12.827000000000002,12.949000000000002
2025-08-11,12.83,13.15,12.8,13.04,64040.59,中成股份,12.89,12.831,12.937000000000001
2025-08-12,13.04,13.07,12.92,13.0,43346.59,中成股份,12.913999999999998,12.844,12.943000000000001
2025-08-13,13.0,13.04,12.93,12.96,38200.0,中成股份,12.934000000000001,12.857,12.9445
2025-08-14,12.94,13.04,12.73,12.75,59432.0,中成股份,12.922,12.865,12.937000000000001
2025-08-15,12.75,12.94,12.71,12.91,47159.0,中成股份,12.931999999999999,12.881,12.9345
2025-08-18,12.94,13.04,12.86,12.99,64335.73,中成股份,12.922,12.906,12.9225
2025-08-19,13.22,13.31,13.0,13.06,80097.6,中成股份,12.934000000000001,12.924000000000001,12.911000000000001
2025-08-20,13.03,13.18,12.98,13.15,68522.13,中成股份,12.972,12.953,12.916
