date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,3.45,3.66,3.4,3.55,916729.3,红棉股份,,,
2025-03-25,3.49,3.5,3.37,3.41,534150.07,红棉股份,,,
2025-03-26,3.38,3.47,3.36,3.43,336814.2,红棉股份,,,
2025-03-27,3.41,3.58,3.4,3.51,536527.98,红棉股份,,,
2025-03-28,3.49,3.53,3.45,3.48,319775.6,红棉股份,3.476,,
2025-03-31,3.45,3.49,3.4,3.48,274844.6,红棉股份,3.4619999999999997,,
2025-04-01,3.48,3.49,3.37,3.41,357771.66,红棉股份,3.4619999999999997,,
2025-04-02,3.39,3.45,3.38,3.4,259079.4,红棉股份,3.4560000000000004,,
2025-04-03,3.37,3.43,3.35,3.42,241333.2,红棉股份,3.4379999999999997,,
2025-04-07,3.23,3.3,3.08,3.08,420389.52,红棉股份,3.3579999999999997,3.4170000000000003,
2025-04-08,3.1,3.23,3.08,3.22,450586.25,红棉股份,3.306,3.3839999999999995,
2025-04-09,3.16,3.32,3.01,3.29,480396.19,红棉股份,3.282,3.372,
2025-04-10,3.32,3.39,3.26,3.35,406533.36,红棉股份,3.272,3.364,
2025-04-11,3.32,3.42,3.31,3.34,292060.99,红棉股份,3.2560000000000002,3.347,
2025-04-14,3.36,3.42,3.36,3.39,264056.01,红棉股份,3.318,3.338,
2025-04-15,3.41,3.48,3.37,3.44,347956.16,红棉股份,3.3619999999999997,3.3340000000000005,
2025-04-16,3.42,3.47,3.34,3.42,282961.36,红棉股份,3.3880000000000003,3.335,
2025-04-17,3.39,3.49,3.38,3.47,341409.97,红棉股份,3.412,3.342,
2025-04-18,3.46,3.47,3.4,3.44,236292.34,红棉股份,3.432,3.344,
2025-04-21,3.46,3.57,3.43,3.54,399410.67,红棉股份,3.4620000000000006,3.3900000000000006,3.4034999999999997
2025-04-22,3.5,3.53,3.48,3.52,273905.72,红棉股份,3.478,3.4200000000000004,3.402
2025-04-23,3.53,3.55,3.45,3.47,257774.18,红棉股份,3.4880000000000004,3.438,3.4050000000000002
2025-04-24,3.46,3.5,3.44,3.46,219330.38,红棉股份,3.4859999999999998,3.4490000000000003,3.4065
2025-04-25,3.44,3.49,3.43,3.44,203347.37,红棉股份,3.4859999999999998,3.4589999999999996,3.4029999999999996
2025-04-28,3.42,3.43,3.26,3.33,302372.96,红棉股份,3.444,3.4530000000000003,3.3955000000000006
2025-04-29,3.25,3.26,3.1,3.15,451493.62,红棉股份,3.37,3.4240000000000004,3.379
2025-04-30,3.17,3.24,3.16,3.17,235356.4,红棉股份,3.31,3.399,3.367
2025-05-06,3.19,3.23,3.18,3.22,206008.3,红棉股份,3.2619999999999996,3.374,3.3579999999999997
2025-05-07,3.26,3.32,3.22,3.26,226916.31,红棉股份,3.226,3.3560000000000003,3.35
2025-05-08,3.24,3.28,3.2,3.27,186856.4,红棉股份,3.214,3.3289999999999997,3.3594999999999997
2025-05-09,3.26,3.41,3.22,3.34,438107.46,红棉股份,3.2520000000000002,3.311,3.3655
2025-05-12,3.33,3.34,3.25,3.29,253865.0,红棉股份,3.276,3.293,3.3654999999999995
2025-05-13,3.31,3.38,3.3,3.31,278170.22,红棉股份,3.2939999999999996,3.278,3.3634999999999997
2025-05-14,3.32,3.33,3.26,3.3,164913.83,红棉股份,3.3020000000000005,3.2640000000000002,3.3615000000000004
2025-05-15,3.28,3.33,3.27,3.32,191779.96,红棉股份,3.3120000000000003,3.2630000000000003,3.3579999999999997
2025-05-16,3.3,3.37,3.26,3.36,238272.25,红棉股份,3.3160000000000003,3.284,3.354
2025-05-19,3.35,3.44,3.35,3.44,321579.6,红棉股份,3.346,3.311,3.3550000000000004
2025-05-20,3.46,3.51,3.42,3.47,279802.47,红棉股份,3.378,3.336,3.3549999999999995
2025-05-21,3.48,3.52,3.42,3.44,202875.09,红棉股份,3.406,3.354,3.3549999999999995
2025-05-22,3.42,3.43,3.31,3.32,208903.0,红棉股份,3.406,3.3590000000000004,3.344
2025-05-23,3.31,3.34,3.24,3.24,198416.09,红棉股份,3.382,3.349,3.3299999999999996
2025-05-26,3.25,3.32,3.22,3.28,146798.38,红棉股份,3.35,3.3480000000000003,3.3205
2025-05-27,3.28,3.45,3.27,3.35,343688.36,红棉股份,3.3259999999999996,3.3519999999999994,3.315
2025-05-28,3.34,3.41,3.32,3.38,245134.41,红棉股份,3.314,3.3600000000000003,3.312
2025-05-29,3.38,3.41,3.32,3.39,206240.96,红棉股份,3.3280000000000003,3.367,3.315
2025-05-30,3.37,3.44,3.36,3.38,227333.96,红棉股份,3.3560000000000003,3.3689999999999998,3.3265000000000002
2025-06-03,3.36,3.44,3.34,3.43,204284.0,红棉股份,3.386,3.368,3.3395
2025-06-04,3.41,3.68,3.41,3.59,718697.51,红棉股份,3.4339999999999997,3.38,3.3579999999999997
2025-06-05,3.58,3.61,3.45,3.48,432995.6,红棉股份,3.4539999999999997,3.3840000000000003,3.3689999999999998
2025-06-06,3.47,3.48,3.42,3.44,197604.13,红棉股份,3.464,3.396,3.3775
