date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,3.6,3.62,3.54,3.58,392318.38,新兴铸管,,,
2025-03-25,3.58,3.63,3.56,3.62,326171.3,新兴铸管,,,
2025-03-26,3.62,3.62,3.59,3.6,253114.46,新兴铸管,,,
2025-03-27,3.59,3.6,3.56,3.57,256924.5,新兴铸管,,,
2025-03-28,3.56,3.57,3.51,3.52,312194.37,新兴铸管,3.5780000000000003,,
2025-03-31,3.5,3.52,3.44,3.46,284152.0,新兴铸管,3.554,,
2025-04-01,3.46,3.52,3.46,3.5,241895.56,新兴铸管,3.53,,
2025-04-02,3.5,3.51,3.47,3.48,174412.02,新兴铸管,3.5060000000000002,,
2025-04-03,3.46,3.52,3.46,3.51,249165.32,新兴铸管,3.4939999999999998,,
2025-04-07,3.4,3.41,3.16,3.17,608348.21,新兴铸管,3.4239999999999995,3.501,
2025-04-08,3.18,3.27,3.17,3.24,401623.04,新兴铸管,3.38,3.467,
2025-04-09,3.21,3.28,3.12,3.27,423400.98,新兴铸管,3.3340000000000005,3.432,
2025-04-10,3.28,3.33,3.27,3.28,373430.87,新兴铸管,3.2939999999999996,3.4,
2025-04-11,3.27,3.33,3.26,3.3,280295.88,新兴铸管,3.252,3.3729999999999998,
2025-04-14,3.32,3.41,3.31,3.36,373256.58,新兴铸管,3.29,3.357,
2025-04-15,3.37,3.37,3.31,3.33,205242.51,新兴铸管,3.308,3.344,
2025-04-16,3.33,3.37,3.3,3.36,264712.45,新兴铸管,3.3259999999999996,3.3299999999999996,
2025-04-17,3.35,3.42,3.35,3.37,278541.4,新兴铸管,3.344,3.319,
2025-04-18,3.37,3.39,3.35,3.39,149559.67,新兴铸管,3.3619999999999997,3.307,
2025-04-21,3.38,3.4,3.36,3.39,209593.0,新兴铸管,3.368,3.3289999999999997,3.415
2025-04-22,3.38,3.4,3.37,3.38,200728.57,新兴铸管,3.378,3.343,3.405
2025-04-23,3.38,3.4,3.36,3.36,265977.0,新兴铸管,3.378,3.3520000000000003,3.3920000000000003
2025-04-24,3.37,3.38,3.35,3.36,203067.52,新兴铸管,3.376,3.3600000000000003,3.3800000000000003
2025-04-25,3.36,3.4,3.36,3.37,234496.07,新兴铸管,3.372,3.367,3.3699999999999997
2025-04-28,3.39,3.41,3.37,3.38,350977.0,新兴铸管,3.3699999999999997,3.3689999999999998,3.3630000000000004
2025-04-29,3.39,3.45,3.38,3.41,343881.72,新兴铸管,3.376,3.3770000000000002,3.3604999999999996
2025-04-30,3.42,3.43,3.37,3.37,273262.39,新兴铸管,3.378,3.378,3.354
2025-05-06,3.39,3.43,3.38,3.43,322236.27,新兴铸管,3.3920000000000003,3.3840000000000003,3.3515
2025-05-07,3.45,3.48,3.43,3.47,314266.16,新兴铸管,3.4120000000000004,3.3920000000000003,3.3495
2025-05-08,3.46,3.48,3.45,3.48,275963.81,新兴铸管,3.432,3.401,3.3649999999999998
2025-05-09,3.47,3.49,3.45,3.45,195364.16,新兴铸管,3.4400000000000004,3.408,3.3755
2025-05-12,3.46,3.48,3.44,3.47,197118.95,新兴铸管,3.46,3.4189999999999996,3.3854999999999995
2025-05-13,3.48,3.5,3.47,3.48,252604.57,新兴铸管,3.47,3.431,3.3954999999999997
2025-05-14,3.48,3.51,3.45,3.51,287349.81,新兴铸管,3.478,3.4450000000000003,3.406
2025-05-15,3.51,3.54,3.5,3.51,246427.0,新兴铸管,3.4839999999999995,3.4579999999999997,3.4135
2025-05-16,3.53,3.53,3.48,3.49,234152.54,新兴铸管,3.492,3.466,3.4215000000000004
2025-05-19,3.49,3.54,3.48,3.54,305689.0,新兴铸管,3.5060000000000002,3.4829999999999997,3.4305
2025-05-20,3.54,3.54,3.5,3.52,259904.6,新兴铸管,3.5140000000000002,3.492,3.4379999999999997
2025-05-21,3.52,3.52,3.5,3.5,250455.0,新兴铸管,3.5119999999999996,3.495,3.4434999999999993
2025-05-22,3.5,3.51,3.46,3.46,211969.9,新兴铸管,3.502,3.493,3.447
2025-05-23,3.47,3.49,3.44,3.44,251054.17,新兴铸管,3.492,3.492,3.45
2025-05-26,3.44,3.49,3.41,3.46,203983.48,新兴铸管,3.476,3.4909999999999997,3.4549999999999996
2025-05-27,3.48,3.48,3.43,3.48,198924.83,新兴铸管,3.468,3.4909999999999997,3.461
2025-05-28,3.48,3.48,3.45,3.46,138549.5,新兴铸管,3.46,3.4859999999999998,3.4655
2025-05-29,3.46,3.5,3.45,3.5,242012.59,新兴铸管,3.468,3.4850000000000003,3.4715000000000003
2025-05-30,3.49,3.52,3.46,3.51,332238.58,新兴铸管,3.482,3.4870000000000005,3.4765
2025-06-03,3.49,3.51,3.46,3.47,430741.23,新兴铸管,3.4839999999999995,3.4799999999999995,3.4814999999999996
2025-06-04,3.48,3.52,3.47,3.52,301798.8,新兴铸管,3.492,3.4799999999999995,3.4859999999999998
2025-06-05,3.52,3.58,3.51,3.54,380901.2,新兴铸管,3.508,3.4839999999999995,3.4894999999999996
2025-06-06,3.53,3.57,3.53,3.56,304443.84,新兴铸管,3.5200000000000005,3.4939999999999998,3.4935
2025-06-09,3.57,3.58,3.54,3.57,283459.42,新兴铸管,3.532,3.507,3.4995000000000003
2025-06-10,3.58,3.58,3.52,3.54,301044.16,新兴铸管,3.5460000000000003,3.5149999999999997,3.503
2025-06-11,3.54,3.57,3.53,3.55,227304.87,新兴铸管,3.5519999999999996,3.522,3.5065
2025-06-12,3.55,3.56,3.49,3.51,391609.87,新兴铸管,3.5460000000000003,3.5269999999999997,3.5065
2025-06-13,3.5,3.51,3.46,3.46,578192.58,新兴铸管,3.526,3.5229999999999997,3.504
2025-06-16,3.45,3.46,3.41,3.42,509132.37,新兴铸管,3.496,3.5140000000000002,3.5004999999999997
2025-06-17,3.42,3.47,3.41,3.46,387157.99,新兴铸管,3.4799999999999995,3.5130000000000003,3.4965
2025-06-18,3.46,3.47,3.42,3.45,275633.56,新兴铸管,3.46,3.5059999999999993,3.493
2025-06-19,3.44,3.45,3.41,3.43,275905.36,新兴铸管,3.444,3.4949999999999997,3.4895000000000005
2025-06-20,3.43,3.45,3.42,3.42,183986.64,新兴铸管,3.436,3.4810000000000003,3.4875
2025-06-23,3.41,3.45,3.39,3.44,205898.42,新兴铸管,3.4400000000000004,3.468,3.4875
2025-06-24,3.45,3.47,3.43,3.47,259553.12,新兴铸管,3.442,3.461,3.4880000000000004
2025-06-25,3.47,3.5,3.46,3.49,288343.17,新兴铸管,3.45,3.4549999999999996,3.4884999999999997
2025-06-26,3.5,3.51,3.46,3.47,269676.01,新兴铸管,3.4579999999999997,3.4510000000000005,3.489
2025-06-27,3.48,3.61,3.47,3.57,866492.43,新兴铸管,3.4880000000000004,3.4620000000000006,3.4924999999999997
2025-06-30,3.63,3.74,3.63,3.72,1373207.64,新兴铸管,3.5439999999999996,3.492,3.503
2025-07-01,3.74,3.75,3.67,3.71,745494.6,新兴铸管,3.592,3.5170000000000003,3.5150000000000006
2025-07-02,3.7,3.75,3.66,3.73,747757.63,新兴铸管,3.6399999999999997,3.5450000000000004,3.5254999999999996
2025-07-03,3.73,3.74,3.68,3.71,541132.41,新兴铸管,3.688,3.5729999999999995,3.5340000000000003
2025-07-04,3.69,3.76,3.67,3.69,548809.02,新兴铸管,3.7120000000000006,3.6,3.5405
2025-07-07,3.68,3.72,3.65,3.7,361963.36,新兴铸管,3.7079999999999997,3.626,3.5470000000000006
2025-07-08,3.7,3.73,3.67,3.72,409390.64,新兴铸管,3.71,3.6510000000000007,3.556
2025-07-09,3.72,3.77,3.7,3.71,494274.0,新兴铸管,3.7060000000000004,3.6729999999999996,3.564
2025-07-10,3.71,3.8,3.69,3.77,764059.03,新兴铸管,3.718,3.7030000000000003,3.5769999999999995
2025-07-11,3.76,3.81,3.74,3.75,634747.17,新兴铸管,3.7299999999999995,3.721,3.591500000000001
