date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,5.79,5.86,5.62,5.71,145866.76,山高环能,,,
2025-03-25,5.77,6.21,5.73,5.86,286266.24,山高环能,,,
2025-03-26,5.86,5.93,5.67,5.77,183878.4,山高环能,,,
2025-03-27,5.77,5.77,5.56,5.65,137418.4,山高环能,,,
2025-03-28,5.73,6.22,5.7,5.73,304473.45,山高环能,5.744,,
2025-03-31,5.55,5.66,5.35,5.4,212250.44,山高环能,5.682,,
2025-04-01,5.4,5.64,5.31,5.54,158460.72,山高环能,5.618,,
2025-04-02,5.58,5.67,5.48,5.5,103930.52,山高环能,5.564,,
2025-04-03,5.51,5.59,5.43,5.51,73072.4,山高环能,5.5360000000000005,,
2025-04-07,4.97,5.2,4.96,4.96,100105.24,山高环能,5.382000000000001,5.563000000000001,
2025-04-08,4.8,4.87,4.46,4.62,205007.48,山高环能,5.226,5.454,
2025-04-09,4.58,4.92,4.32,4.83,152909.0,山高环能,5.0840000000000005,5.351,
2025-04-10,4.9,5.03,4.87,4.92,90968.0,山高环能,4.968,5.266,
2025-04-11,4.92,5.05,4.88,4.98,76654.2,山高环能,4.862,5.199,
2025-04-14,5.06,5.27,5.0,5.13,102590.0,山高环能,4.896000000000001,5.139,
2025-04-15,5.21,5.23,5.12,5.18,50785.0,山高环能,5.008,5.116999999999999,
2025-04-16,5.18,5.29,5.07,5.17,98599.88,山高环能,5.076,5.08,
2025-04-17,5.16,5.36,5.12,5.32,87556.8,山高环能,5.156000000000001,5.061999999999999,
2025-04-18,5.29,5.37,5.17,5.22,68914.32,山高环能,5.204,5.0329999999999995,
2025-04-21,5.2,5.26,5.13,5.25,57584.2,山高环能,5.228,5.061999999999999,5.3125
2025-04-22,5.24,5.53,5.24,5.49,134578.52,山高环能,5.290000000000001,5.149,5.3015
2025-04-23,5.65,5.88,5.56,5.6,359656.4,山高环能,5.3759999999999994,5.226000000000001,5.2885
2025-04-24,5.59,5.62,5.42,5.45,185002.76,山高环能,5.401999999999999,5.279,5.2725
2025-04-25,5.45,5.6,5.45,5.54,127120.3,山高环能,5.466,5.334999999999999,5.267
2025-04-28,5.52,5.68,5.47,5.6,146649.06,山高环能,5.536,5.382,5.2605
