date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,10.2,10.23,9.99,10.09,50487.0,东莞控股,,,
2025-03-25,10.08,10.13,10.04,10.11,53608.0,东莞控股,,,
2025-03-26,10.11,10.21,10.09,10.19,40017.14,东莞控股,,,
2025-03-27,10.19,10.23,10.08,10.21,45543.19,东莞控股,,,
2025-03-28,10.16,10.22,10.08,10.12,38210.0,东莞控股,10.144,,
2025-03-31,10.09,10.21,10.0,10.02,56716.3,东莞控股,10.129999999999999,,
2025-04-01,10.06,10.25,10.06,10.22,59569.0,东莞控股,10.152,,
2025-04-02,10.23,10.29,10.18,10.23,41101.0,东莞控股,10.16,,
2025-04-03,10.16,10.34,10.15,10.33,68113.72,东莞控股,10.184000000000001,,
2025-04-07,10.01,10.1,9.3,9.3,173986.26,东莞控股,10.02,10.081999999999999,
2025-04-08,9.73,9.94,9.48,9.62,186760.68,东莞控股,9.94,10.035,
2025-04-09,9.45,10.21,9.28,10.17,187416.42,东莞控股,9.93,10.041,
2025-04-10,10.15,10.49,10.05,10.23,149468.83,东莞控股,9.930000000000001,10.045,
2025-04-11,10.21,10.32,10.2,10.25,75312.51,东莞控股,9.914000000000001,10.049000000000001,
2025-04-14,10.31,10.53,10.27,10.45,110522.98,东莞控股,10.144,10.081999999999999,
2025-04-15,10.45,10.54,10.35,10.46,48755.0,东莞控股,10.312000000000001,10.126000000000001,
2025-04-16,10.41,10.5,10.33,10.49,75123.94,东莞控股,10.376000000000001,10.153,
2025-04-17,10.45,10.53,10.42,10.5,52803.3,东莞控股,10.430000000000001,10.18,
2025-04-18,10.55,10.74,10.51,10.73,118478.56,东莞控股,10.526,10.22,
2025-04-21,10.8,10.82,10.61,10.66,84675.44,东莞控股,10.568000000000001,10.356,10.219
2025-04-22,10.7,10.9,10.66,10.71,73945.38,东莞控股,10.618,10.465,10.25
2025-04-23,10.75,10.77,10.56,10.59,71003.0,东莞控股,10.638,10.507000000000001,10.274000000000001
2025-04-24,10.6,10.65,10.48,10.56,54258.59,东莞控股,10.65,10.540000000000001,10.2925
2025-04-25,10.56,10.6,10.5,10.52,35251.33,东莞控股,10.608,10.567,10.308
2025-04-28,10.45,10.48,10.27,10.43,71051.33,东莞控股,10.562000000000001,10.565,10.3235
2025-04-29,10.42,10.47,10.3,10.31,54581.0,东莞控股,10.482,10.55,10.338
2025-04-30,10.3,10.38,10.25,10.28,46165.72,东莞控股,10.42,10.529,10.341
2025-05-06,10.3,10.36,10.3,10.36,50855.0,东莞控股,10.379999999999999,10.515,10.3475
2025-05-07,10.4,10.6,10.4,10.5,82495.0,东莞控股,10.376,10.492,10.356
2025-05-08,10.46,10.67,10.44,10.53,74541.0,东莞控股,10.396,10.479000000000001,10.4175
2025-05-09,10.56,10.72,10.52,10.66,67265.01,东莞控股,10.466,10.474,10.4695
2025-05-12,10.66,10.77,10.57,10.71,81901.09,东莞控股,10.552,10.486,10.496500000000001
2025-05-13,10.73,10.78,10.64,10.66,60458.56,东莞控股,10.612,10.496,10.517999999999999
2025-05-14,10.36,10.59,10.28,10.52,105426.1,东莞控股,10.616,10.495999999999999,10.5315
2025-05-15,10.5,10.56,10.44,10.45,57117.6,东莞控股,10.6,10.498000000000001,10.5315
2025-05-16,10.42,10.5,10.28,10.33,48507.92,东莞控股,10.534,10.5,10.525
2025-05-19,10.36,10.47,10.36,10.44,39983.47,东莞控股,10.48,10.516,10.522499999999999
2025-05-20,10.45,10.5,10.36,10.4,35488.59,东莞控股,10.428,10.52,10.5175
2025-05-21,10.43,10.45,10.36,10.4,32768.99,东莞控股,10.404,10.51,10.501000000000001
2025-05-22,10.4,10.43,10.3,10.38,33946.46,东莞控股,10.39,10.495000000000001,10.487
2025-05-23,10.39,10.4,10.24,10.24,44936.01,东莞控股,10.372,10.453,10.4635
2025-05-26,10.24,10.33,10.2,10.26,30092.0,东莞控股,10.336000000000002,10.408,10.447
2025-05-27,10.27,10.28,10.15,10.21,35793.01,东莞控股,10.297999999999998,10.363,10.4295
2025-05-28,10.24,10.29,10.19,10.26,29216.15,东莞控股,10.27,10.337,10.416500000000001
2025-05-29,10.31,10.34,10.26,10.33,44837.0,东莞控股,10.26,10.325,10.4115
2025-05-30,10.3,10.38,10.28,10.34,38076.7,东莞控股,10.280000000000001,10.326,10.413
2025-06-03,10.29,10.36,10.23,10.34,32485.0,东莞控股,10.296,10.315999999999999,10.416
2025-06-04,10.37,10.42,10.33,10.39,37374.14,东莞控股,10.331999999999999,10.315000000000001,10.4175
2025-06-05,10.39,10.56,10.36,10.45,60499.14,东莞控股,10.37,10.32,10.415000000000001
2025-06-06,10.49,10.49,10.37,10.39,33979.33,东莞控股,10.382,10.321,10.408000000000001
2025-06-09,10.42,10.46,10.34,10.45,40166.75,东莞控股,10.404,10.342,10.397499999999999
2025-06-10,10.46,10.5,10.36,10.41,42895.0,东莞控股,10.418000000000001,10.357,10.3825
2025-06-11,10.43,10.59,10.4,10.55,59075.6,东莞控股,10.45,10.391,10.377
2025-06-12,10.55,10.58,10.49,10.51,44933.32,东莞控股,10.462,10.416,10.3765
2025-06-13,10.51,10.53,10.4,10.4,46170.87,东莞控股,10.464000000000002,10.423,10.374
2025-06-16,10.4,10.45,10.33,10.36,43363.13,东莞控股,10.446000000000002,10.425,10.375499999999999
2025-06-17,10.4,10.47,10.34,10.47,39433.0,东莞控股,10.458000000000002,10.437999999999999,10.376999999999999
2025-06-18,10.46,10.48,10.33,10.33,40998.0,东莞控股,10.414,10.432,10.3735
2025-06-19,10.31,10.34,10.16,10.23,42610.0,东莞控股,10.358,10.41,10.364999999999998
2025-06-20,10.2,10.27,10.18,10.19,37386.0,东莞控股,10.315999999999999,10.39,10.3555
2025-06-23,10.17,10.24,10.14,10.2,53580.47,东莞控股,10.283999999999999,10.365,10.3535
2025-06-24,10.23,10.39,10.23,10.36,68144.25,东莞控股,10.261999999999999,10.360000000000001,10.3585
2025-06-25,10.34,10.74,10.34,10.67,168377.05,东莞控股,10.33,10.372,10.381499999999999
2025-06-26,10.72,10.75,10.6,10.63,77541.51,东莞控股,10.41,10.384,10.4
2025-06-27,10.87,11.07,10.7,10.71,187705.03,东莞控股,10.514,10.415,10.419
2025-06-30,10.75,10.8,10.6,10.69,80321.65,东莞控股,10.612,10.447999999999999,10.4365
2025-07-01,10.67,11.0,10.66,10.81,83241.2,东莞控股,10.702000000000002,10.482,10.46
2025-07-02,10.81,10.89,10.72,10.89,65120.78,东莞控股,10.746,10.538,10.485
2025-07-03,10.85,10.9,10.78,10.79,45777.87,东莞控股,10.778,10.594,10.501999999999999
2025-07-04,10.81,11.0,10.76,10.9,76131.4,东莞控股,10.815999999999999,10.665000000000001,10.5275
2025-07-07,10.9,10.96,10.86,10.88,38661.0,东莞控股,10.854000000000001,10.733,10.549
2025-07-08,10.88,10.99,10.82,10.92,61793.0,东莞控股,10.876,10.789,10.5745
2025-07-09,10.92,11.0,10.91,10.93,62436.34,东莞控股,10.884,10.815,10.5935
2025-07-10,10.94,11.26,10.92,11.14,103628.0,东莞控股,10.953999999999999,10.866,10.625
2025-07-11,11.16,11.35,11.12,11.25,129721.2,东莞控股,11.024000000000001,10.92,10.6675
2025-07-14,11.25,11.26,10.99,11.01,90604.2,东莞控股,11.05,10.952,10.7
2025-07-15,11.12,11.2,11.03,11.14,95000.41,东莞控股,11.094,10.985000000000001,10.733500000000001
2025-07-16,11.14,11.2,11.05,11.08,56382.67,东莞控股,11.124,11.004000000000001,10.771
2025-07-17,11.05,11.12,11.03,11.05,42965.0,东莞控股,11.106,11.03,10.812000000000001
2025-07-18,11.08,11.13,11.03,11.11,43311.0,东莞控股,11.078,11.051,10.858
2025-07-21,11.09,11.32,11.09,11.22,70199.35,东莞控股,11.120000000000001,11.084999999999999,10.909
2025-07-22,11.21,11.23,11.12,11.22,49584.72,东莞控股,11.136,11.115,10.952000000000002
2025-07-23,11.23,11.38,11.2,11.2,77895.39,东莞控股,11.16,11.142,10.9785
2025-07-24,11.2,11.37,11.18,11.35,78650.11,东莞控股,11.22,11.163,11.0145
2025-07-25,11.39,11.43,11.26,11.27,53463.81,东莞控股,11.251999999999999,11.165000000000001,11.0425
