date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,4.29,4.38,3.76,3.97,861144.01,法尔胜,,,
2025-03-25,3.91,3.92,3.57,3.57,526020.42,法尔胜,,,
2025-03-26,3.4,3.61,3.36,3.5,336592.12,法尔胜,,,
2025-03-27,3.5,3.53,3.34,3.38,245248.01,法尔胜,,,
2025-03-28,3.38,3.52,3.3,3.31,232956.0,法尔胜,3.5460000000000003,,
2025-03-31,3.28,3.28,3.16,3.23,203355.0,法尔胜,3.3979999999999997,,
2025-04-01,3.23,3.33,3.23,3.27,151454.0,法尔胜,3.3379999999999996,,
2025-04-02,3.28,3.32,3.24,3.27,100386.01,法尔胜,3.2920000000000003,,
2025-04-03,3.24,3.3,3.2,3.27,95285.86,法尔胜,3.2700000000000005,,
2025-04-07,3.1,3.1,2.94,2.94,86700.0,法尔胜,3.196,3.371,
2025-04-08,2.79,2.92,2.7,2.79,183063.63,法尔胜,3.1079999999999997,3.253,
2025-04-09,2.77,2.88,2.54,2.86,165334.63,法尔胜,3.026,3.182,
2025-04-10,2.87,3.04,2.87,2.97,163611.0,法尔胜,2.966,3.129,
2025-04-11,2.94,3.03,2.92,2.98,100812.37,法尔胜,2.9080000000000004,3.0889999999999995,
2025-04-14,3.04,3.15,3.04,3.11,122040.02,法尔胜,2.942,3.069,
2025-04-15,3.13,3.15,3.09,3.14,85540.02,法尔胜,3.012,3.0599999999999996,
2025-04-16,3.14,3.15,3.0,3.07,92646.0,法尔胜,3.054,3.04,
2025-04-17,3.06,3.15,3.01,3.1,80493.0,法尔胜,3.08,3.023,
2025-04-18,3.1,3.18,3.08,3.15,102066.0,法尔胜,3.114,3.011,
2025-04-21,3.15,3.18,3.1,3.17,80212.0,法尔胜,3.126,3.034,3.2024999999999997
2025-04-22,3.17,3.21,3.12,3.15,73204.0,法尔胜,3.1279999999999997,3.07,3.1615
2025-04-23,3.15,3.18,3.13,3.15,65684.0,法尔胜,3.144,3.099,3.1405000000000003
2025-04-24,3.13,3.17,3.1,3.13,84597.0,法尔胜,3.15,3.115,3.122
