date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,8.68,8.69,8.27,8.31,238120.02,九芝堂,,,
2025-03-25,8.32,8.54,8.26,8.48,137892.83,九芝堂,,,
2025-03-26,8.5,8.52,8.37,8.47,109787.15,九芝堂,,,
2025-03-27,8.5,8.5,8.32,8.46,129358.83,九芝堂,,,
2025-03-28,8.3,8.38,8.23,8.33,172608.77,九芝堂,8.41,,
2025-03-31,8.29,8.38,8.09,8.26,111287.31,九芝堂,8.4,,
2025-04-01,8.24,8.37,8.23,8.3,103235.35,九芝堂,8.364,,
2025-04-02,8.27,8.34,8.24,8.3,78178.0,九芝堂,8.330000000000002,,
2025-04-03,8.23,8.37,8.22,8.32,98471.21,九芝堂,8.302,,
2025-04-07,7.92,8.03,7.9,7.9,119218.0,九芝堂,8.216,8.313,
2025-04-08,7.66,7.78,7.51,7.6,175035.57,九芝堂,8.084,8.242,
2025-04-09,7.5,7.72,7.22,7.7,141214.24,九芝堂,7.964000000000001,8.164,
2025-04-10,7.77,8.08,7.71,7.95,153575.46,九芝堂,7.894,8.112,
2025-04-11,7.87,8.15,7.85,8.14,106232.0,九芝堂,7.858,8.080000000000002,
2025-04-14,8.16,8.3,8.11,8.27,83915.35,九芝堂,7.932,8.074000000000002,
2025-04-15,8.26,8.42,8.23,8.39,110289.46,九芝堂,8.09,8.087,
2025-04-16,8.37,8.47,8.28,8.44,111979.88,九芝堂,8.238,8.101,
2025-04-17,8.49,8.85,8.45,8.76,220910.0,九芝堂,8.4,8.147000000000002,
2025-04-18,8.62,8.75,8.45,8.71,171440.33,九芝堂,8.514,8.186,
2025-04-21,8.63,8.84,8.58,8.82,156277.9,九芝堂,8.623999999999999,8.278,8.2955
2025-04-22,8.57,8.89,8.56,8.82,211791.9,九芝堂,8.709999999999999,8.4,8.321000000000002
2025-04-23,8.8,9.1,8.76,9.06,218557.16,九芝堂,8.834,8.536,8.35
2025-04-24,8.98,9.06,8.89,9.04,168399.36,九芝堂,8.89,8.645,8.3785
2025-04-25,9.02,9.22,9.01,9.2,161686.59,九芝堂,8.988,8.751,8.4155
2025-04-28,9.18,9.26,8.82,8.9,206756.85,九芝堂,9.004000000000001,8.814,8.443999999999999
2025-04-29,8.75,8.98,8.75,8.93,110637.73,九芝堂,9.026,8.867999999999999,8.477500000000001
2025-04-30,9.03,9.28,8.98,9.27,182039.8,九芝堂,9.068,8.951,8.526
2025-05-07,9.27,9.27,8.57,8.64,641965.73,九芝堂,8.988,8.939,8.543000000000001
2025-05-08,8.4,8.65,8.31,8.44,367704.4,九芝堂,8.835999999999999,8.912,8.549000000000001
2025-05-09,8.34,8.38,8.09,8.09,326070.53,九芝堂,8.674,8.838999999999999,8.5585
2025-05-12,8.13,8.15,8.02,8.12,187255.16,九芝堂,8.511999999999999,8.769,8.5845
2025-05-13,8.13,8.51,7.98,8.36,389475.96,九芝堂,8.33,8.699,8.6175
2025-05-14,8.37,8.98,8.37,8.64,494662.2,九芝堂,8.33,8.658999999999999,8.652000000000001
2025-05-15,8.81,9.5,8.73,9.15,834140.19,九芝堂,8.472,8.654,8.702499999999999
2025-05-16,9.2,9.27,8.69,8.92,564760.41,九芝堂,8.638,8.656,8.735000000000001
2025-05-19,9.38,9.38,8.67,8.68,432551.95,九芝堂,8.75,8.631,8.749500000000001
2025-05-20,8.65,8.9,8.65,8.73,286615.44,九芝堂,8.824000000000002,8.577,8.764
2025-05-21,8.67,8.77,8.5,8.51,284495.32,九芝堂,8.798,8.563999999999998,8.7515
2025-05-22,8.5,8.95,8.43,8.84,387352.89,九芝堂,8.736,8.604,8.758
2025-05-23,8.81,9.19,8.81,8.96,496069.5,九芝堂,8.744,8.690999999999999,8.765
2025-05-26,8.77,8.9,8.49,8.53,417336.56,九芝堂,8.714,8.732000000000001,8.750499999999999
2025-05-27,8.54,8.64,8.4,8.44,222211.12,九芝堂,8.656,8.74,8.7195
2025-05-28,8.45,8.48,8.34,8.45,153269.75,九芝堂,8.644,8.721,8.69
2025-05-29,8.45,8.57,8.36,8.52,187827.0,九芝堂,8.579999999999998,8.658,8.656
2025-05-30,8.45,8.78,8.45,8.5,236709.53,九芝堂,8.488,8.616,8.636
2025-06-03,8.5,9.35,8.44,9.35,624761.61,九芝堂,8.652,8.683,8.657
2025-06-04,9.57,10.29,9.55,10.29,876841.28,九芝堂,9.021999999999998,8.839,8.708
2025-06-05,10.28,10.47,9.68,9.8,1268093.05,九芝堂,9.292,8.968,8.766
2025-06-06,9.78,9.96,9.56,9.68,608290.06,九芝堂,9.524,9.052,8.828
2025-06-09,9.6,10.58,9.6,10.24,881082.97,九芝堂,9.872,9.18,8.9355
2025-06-10,10.19,10.24,9.89,10.0,617399.16,九芝堂,10.002,9.327,9.029499999999999
