date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,7.06,7.38,6.96,7.3,492821.07,立新能源,,,
2025-03-25,7.3,7.5,7.06,7.2,381164.23,立新能源,,,
2025-03-26,7.09,7.11,6.91,6.95,269569.28,立新能源,,,
2025-03-27,6.89,6.96,6.71,6.71,238267.1,立新能源,,,
2025-03-28,6.69,6.79,6.58,6.6,146851.0,立新能源,6.952,,
2025-03-31,6.59,7.26,6.57,7.26,245230.21,立新能源,6.944,,
2025-04-01,7.8,7.99,7.51,7.99,324866.28,立新能源,7.101999999999999,,
2025-04-02,8.54,8.54,7.6,7.72,1036376.08,立新能源,7.256,,
2025-04-03,7.59,8.49,7.59,8.49,853541.31,立新能源,7.612,,
2025-04-07,7.99,9.08,7.85,7.91,1126256.91,立新能源,7.874,7.412999999999999,
2025-04-08,7.76,8.36,7.61,8.15,935823.41,立新能源,8.052,7.498,
2025-04-09,7.75,7.89,7.34,7.37,767849.04,立新能源,7.928,7.515000000000001,
2025-04-10,7.3,7.74,7.18,7.69,708501.7,立新能源,7.922,7.589,
2025-04-11,7.49,7.55,7.26,7.3,529113.76,立新能源,7.684,7.648000000000001,
2025-04-14,7.3,7.7,7.25,7.68,599189.79,立新能源,7.638,7.7559999999999985,
2025-04-15,7.63,7.66,7.4,7.59,451527.75,立新能源,7.526000000000001,7.789,
2025-04-16,7.52,7.83,7.48,7.62,489371.51,立新能源,7.5760000000000005,7.752,
2025-04-17,7.48,7.58,7.24,7.37,394562.67,立新能源,7.5120000000000005,7.7170000000000005,
2025-04-18,7.3,7.34,6.9,6.96,415887.21,立新能源,7.444,7.564,
2025-04-21,6.92,7.17,6.91,7.12,300392.0,立新能源,7.331999999999999,7.485000000000001,7.449
2025-04-22,7.06,7.2,6.91,6.96,284183.0,立新能源,7.206,7.366,7.4319999999999995
2025-04-23,7.01,7.02,6.84,6.87,223312.0,立新能源,7.056,7.316,7.4155
2025-04-24,6.84,7.06,6.81,6.95,297610.46,立新能源,6.9719999999999995,7.242,7.4155
2025-04-25,6.91,7.5,6.91,7.23,450271.9,立新能源,7.026000000000001,7.234999999999999,7.4415000000000004
2025-04-28,7.27,7.28,7.03,7.05,299964.95,立新能源,7.0120000000000005,7.1720000000000015,7.464
2025-04-29,6.92,6.96,6.62,6.66,291872.16,立新能源,6.952,7.079000000000001,7.433999999999999
2025-04-30,6.66,6.74,6.63,6.65,142987.0,立新能源,6.9079999999999995,6.981999999999999,7.367
2025-05-06,6.67,6.83,6.66,6.83,172119.8,立新能源,6.884,6.928,7.322500000000001
2025-05-07,6.9,6.98,6.83,6.89,169690.0,立新能源,6.816,6.921000000000001,7.2425
2025-05-08,6.9,7.1,6.87,7.05,218213.53,立新能源,6.816,6.914,7.1995000000000005
2025-05-09,7.05,7.12,6.95,7.08,212038.41,立新能源,6.9,6.926,7.145999999999999
2025-05-12,7.09,7.12,6.97,7.02,159015.75,立新能源,6.973999999999999,6.941,7.1285
2025-05-13,7.07,7.07,6.98,7.04,133859.0,立新能源,7.016,6.95,7.095999999999999
2025-05-14,7.02,7.06,6.92,7.05,126245.28,立新能源,7.048,6.9319999999999995,7.083500000000001
2025-05-15,7.05,7.08,6.93,6.94,125406.76,立新能源,7.025999999999999,6.921000000000001,7.0465
2025-05-16,6.9,7.05,6.88,6.95,106192.62,立新能源,7.0,6.95,7.0145
2025-05-19,6.94,7.03,6.92,7.03,113234.36,立新能源,7.002000000000001,6.9879999999999995,6.984999999999999
2025-05-20,7.02,7.18,6.99,7.18,204501.62,立新能源,7.030000000000001,7.023000000000001,6.975499999999999
2025-05-21,7.15,7.26,7.1,7.11,199287.0,立新能源,7.042,7.045,6.983000000000001
2025-05-22,7.06,7.15,6.93,6.93,160920.0,立新能源,7.040000000000001,7.0329999999999995,6.9735
2025-05-23,6.93,6.93,6.77,6.78,145890.67,立新能源,7.006,7.003,6.964499999999999
2025-05-26,6.77,6.87,6.73,6.85,81356.0,立新能源,6.970000000000001,6.986,6.963500000000001
2025-05-27,6.84,6.92,6.81,6.87,86357.68,立新能源,6.9079999999999995,6.968999999999999,6.9595
2025-05-28,6.85,7.02,6.75,6.91,158405.0,立新能源,6.868,6.955,6.9435
2025-05-29,6.88,7.1,6.83,7.03,176919.68,立新能源,6.888,6.964,6.942500000000001
2025-05-30,7.09,7.14,6.83,6.85,157503.95,立新能源,6.901999999999999,6.953999999999999,6.952000000000001
2025-06-03,6.83,6.89,6.76,6.86,96494.0,立新能源,6.903999999999999,6.936999999999999,6.9625
2025-06-04,6.85,6.88,6.82,6.88,76653.0,立新能源,6.906000000000001,6.907000000000001,6.964999999999999
2025-06-05,7.1,7.57,7.1,7.57,168569.04,立新能源,7.037999999999999,6.953,6.9990000000000006
2025-06-06,7.8,7.8,7.32,7.33,665666.44,立新能源,7.098000000000001,6.992999999999999,7.013
2025-06-09,7.33,7.39,7.21,7.38,309586.4,立新能源,7.203999999999999,7.053,7.0280000000000005
2025-06-10,7.4,7.4,7.19,7.25,237410.0,立新能源,7.281999999999999,7.093000000000001,7.039499999999999
2025-06-11,7.25,7.32,7.19,7.28,149613.0,立新能源,7.362,7.134,7.0515
2025-06-12,7.28,7.42,7.16,7.21,161245.0,立新能源,7.290000000000001,7.164,7.0595
2025-06-13,7.17,7.5,7.17,7.21,380841.19,立新能源,7.266,7.1819999999999995,7.073
2025-06-16,7.16,7.33,7.05,7.33,215119.3,立新能源,7.256,7.230000000000001,7.0920000000000005
2025-06-17,7.38,7.38,7.22,7.28,140648.0,立新能源,7.2620000000000005,7.272000000000001,7.1045
2025-06-18,7.25,7.6,7.23,7.44,343663.3,立新能源,7.294,7.328,7.1175
2025-06-19,7.38,7.4,7.14,7.23,220636.3,立新能源,7.298,7.294,7.1235
2025-06-20,7.21,7.36,7.12,7.19,150261.0,立新能源,7.294,7.280000000000001,7.136500000000001
2025-06-23,7.13,7.17,6.96,7.17,177078.0,立新能源,7.2620000000000005,7.259,7.156000000000001
2025-06-24,7.16,7.24,7.08,7.24,162966.87,立新能源,7.2540000000000004,7.258,7.1754999999999995
2025-06-25,7.24,7.29,7.18,7.26,155257.08,立新能源,7.218000000000001,7.256,7.195
2025-06-26,7.27,7.52,7.25,7.32,247042.39,立新能源,7.236,7.267,7.2155000000000005
2025-06-27,7.3,7.36,7.22,7.26,176565.4,立新能源,7.25,7.272000000000001,7.227000000000001
2025-06-30,7.27,7.39,7.26,7.35,152611.3,立新能源,7.286,7.273999999999999,7.252
2025-07-01,7.35,7.46,7.31,7.4,201529.38,立新能源,7.318,7.286,7.279000000000001
2025-07-02,7.39,7.39,7.25,7.26,157243.16,立新能源,7.3180000000000005,7.267999999999999,7.298
2025-07-03,7.27,7.29,7.2,7.26,121457.0,立新能源,7.306,7.270999999999999,7.282499999999999
2025-07-04,7.27,7.43,7.25,7.27,216619.0,立新能源,7.308,7.278999999999999,7.2795000000000005
2025-07-07,7.52,7.56,7.32,7.48,352626.57,立新能源,7.3340000000000005,7.31,7.2844999999999995
2025-07-08,7.45,7.5,7.34,7.5,274483.0,立新能源,7.353999999999999,7.336,7.297
2025-07-09,7.46,7.58,7.4,7.45,208166.38,立新能源,7.392,7.3549999999999995,7.3055
2025-07-10,7.41,7.6,7.37,7.45,211121.0,立新能源,7.43,7.368,7.3175
2025-07-11,7.43,7.46,7.27,7.35,179487.11,立新能源,7.446,7.377,7.324499999999999
2025-07-14,7.35,7.87,7.33,7.57,412651.88,立新能源,7.464,7.398999999999999,7.336500000000001
2025-07-15,7.51,7.52,7.26,7.27,285832.11,立新能源,7.417999999999999,7.386,7.336
2025-07-16,7.26,7.31,7.2,7.29,118924.0,立新能源,7.386,7.389,7.328500000000001
2025-07-17,7.33,7.33,7.25,7.3,98778.0,立新能源,7.356,7.392999999999999,7.331999999999999
2025-07-18,7.31,7.31,7.23,7.27,99193.0,立新能源,7.339999999999999,7.393000000000001,7.336
2025-07-21,7.25,7.35,7.24,7.35,127475.1,立新能源,7.295999999999999,7.38,7.345000000000001
2025-07-22,7.34,7.41,7.25,7.41,173307.31,立新能源,7.324,7.3709999999999996,7.3534999999999995
2025-07-23,7.43,7.54,7.26,7.28,154383.1,立新能源,7.322,7.353999999999999,7.3545
2025-07-24,7.28,7.31,7.25,7.31,98370.88,立新能源,7.324,7.339999999999999,7.353999999999999
2025-07-25,7.3,7.3,7.25,7.27,97003.0,立新能源,7.324,7.331999999999999,7.3545
2025-07-28,7.26,7.29,7.21,7.28,68409.0,立新能源,7.31,7.303,7.351000000000001
2025-07-29,7.28,7.3,7.21,7.27,66966.88,立新能源,7.281999999999999,7.303,7.344499999999999
2025-07-30,7.22,7.24,7.1,7.11,144864.72,立新能源,7.248,7.285000000000001,7.337000000000001
2025-07-31,7.11,7.12,7.05,7.06,89993.0,立新能源,7.198,7.261,7.327000000000001
2025-08-01,7.06,7.11,7.03,7.05,64848.0,立新能源,7.154000000000001,7.239,7.316
2025-08-04,7.02,7.1,6.98,7.09,58826.0,立新能源,7.116,7.212999999999999,7.2965
2025-08-05,7.09,7.12,7.06,7.11,67730.4,立新能源,7.0840000000000005,7.183,7.277000000000001
2025-08-06,7.11,7.11,7.06,7.11,65436.0,立新能源,7.0840000000000005,7.1659999999999995,7.26
2025-08-07,7.09,7.1,7.05,7.08,71464.0,立新能源,7.087999999999999,7.143000000000001,7.2415
2025-08-08,7.08,7.19,7.07,7.19,126916.0,立新能源,7.116,7.135000000000001,7.233500000000001
2025-08-11,7.29,7.41,7.2,7.39,265401.0,立新能源,7.176,7.146000000000001,7.224499999999999
2025-08-12,7.37,7.38,7.3,7.32,152228.0,立新能源,7.218000000000001,7.150999999999999,7.227000000000001
2025-08-13,7.31,7.33,7.24,7.25,106754.0,立新能源,7.2459999999999996,7.164999999999999,7.225
2025-08-14,7.25,7.27,7.1,7.11,108407.0,立新能源,7.252000000000001,7.17,7.2155000000000005
2025-08-15,7.08,7.17,7.08,7.17,95129.78,立新能源,7.248,7.1819999999999995,7.210500000000001
2025-08-18,7.19,7.22,7.15,7.16,109515.0,立新能源,7.202,7.189,7.2010000000000005
2025-08-19,7.19,7.19,7.12,7.17,90608.11,立新能源,7.172,7.195,7.189
2025-08-20,7.18,7.2,7.15,7.2,83064.88,立新能源,7.162000000000001,7.204000000000001,7.1850000000000005
2025-08-21,7.2,7.24,7.18,7.22,104591.0,立新能源,7.184,7.217999999999999,7.1805
2025-08-22,7.22,7.23,7.14,7.21,106735.41,立新能源,7.192,7.220000000000001,7.177499999999999
2025-08-25,7.22,7.25,7.18,7.24,109162.11,立新能源,7.208,7.205,7.1754999999999995
2025-08-26,7.23,7.28,7.2,7.27,110704.88,立新能源,7.228,7.2,7.175500000000001
2025-08-27,7.27,7.31,7.08,7.1,148078.0,立新能源,7.208,7.1850000000000005,7.175
2025-08-28,7.08,7.13,6.9,7.04,138971.87,立新能源,7.172,7.178,7.1739999999999995
2025-08-29,7.07,7.09,7.01,7.05,66135.0,立新能源,7.140000000000001,7.1659999999999995,7.174000000000001
