date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,8.38,8.38,8.15,8.29,34461.47,箭牌家居,,,
2025-03-25,8.27,8.35,8.17,8.25,26784.97,箭牌家居,,,
2025-03-26,8.23,8.33,8.19,8.28,22130.97,箭牌家居,,,
2025-03-27,8.25,8.34,8.17,8.22,39026.97,箭牌家居,,,
2025-03-28,8.23,8.26,8.02,8.16,50344.0,箭牌家居,8.24,,
2025-03-31,8.11,8.18,8.03,8.05,29836.0,箭牌家居,8.192,,
2025-04-01,8.08,8.29,8.08,8.22,40780.0,箭牌家居,8.186,,
2025-04-02,8.2,8.26,8.14,8.18,27411.0,箭牌家居,8.166,,
2025-04-03,8.1,8.2,8.05,8.16,28807.0,箭牌家居,8.154,,
2025-04-07,7.92,7.95,7.34,7.34,45672.0,箭牌家居,7.989999999999999,8.115,
2025-04-08,7.34,7.4,7.06,7.32,62519.28,箭牌家居,7.843999999999999,8.018,
2025-04-09,7.31,7.51,6.95,7.44,55655.0,箭牌家居,7.688000000000001,7.937,
2025-04-10,7.51,7.82,7.51,7.71,41482.0,箭牌家居,7.593999999999999,7.880000000000001,
2025-04-11,7.68,7.75,7.55,7.58,41973.0,箭牌家居,7.478,7.816000000000001,
2025-04-14,7.73,7.93,7.65,7.92,52858.0,箭牌家居,7.593999999999999,7.792,
2025-04-15,7.86,7.95,7.75,7.88,28510.0,箭牌家居,7.706,7.775,
2025-04-16,7.8,7.9,7.62,7.72,26994.0,箭牌家居,7.7620000000000005,7.725,
2025-04-17,7.71,8.07,7.66,8.01,50800.0,箭牌家居,7.822,7.708,
2025-04-18,7.98,8.08,7.91,8.0,26545.0,箭牌家居,7.906000000000001,7.692,
2025-04-21,8.01,8.34,7.93,8.31,48649.99,箭牌家居,7.984,7.789,7.952
2025-04-22,8.31,8.53,8.17,8.5,67176.99,箭牌家居,8.108,7.907000000000001,7.9625
