date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,23.05,23.06,22.26,22.65,11730.2,兴欣新材,,,
2025-03-25,22.47,23.36,22.42,23.02,10872.8,兴欣新材,,,
2025-03-26,23.0,23.48,22.87,23.42,20450.71,兴欣新材,,,
2025-03-27,23.5,24.36,23.25,23.76,44268.99,兴欣新材,,,
2025-03-28,23.67,24.1,23.35,23.53,26603.02,兴欣新材,23.276,,
2025-03-31,23.35,23.55,22.27,22.66,16160.43,兴欣新材,23.278,,
2025-04-01,22.66,23.75,22.66,23.52,21552.64,兴欣新材,23.378,,
2025-04-02,23.43,23.75,23.28,23.45,9183.2,兴欣新材,23.384,,
2025-04-03,23.21,23.49,22.67,23.08,12089.52,兴欣新材,23.247999999999998,,
2025-04-07,21.33,22.23,20.77,20.77,14881.2,兴欣新材,22.696,22.986,
2025-04-08,20.51,20.56,19.11,19.7,22032.62,兴欣新材,22.104,22.691,
2025-04-09,19.51,20.0,18.37,19.89,15829.8,兴欣新材,21.378,22.378,
2025-04-10,21.0,21.0,20.08,20.54,14116.0,兴欣新材,20.796,22.09,
2025-04-11,20.5,20.86,20.32,20.66,11841.42,兴欣新材,20.312,21.78,
2025-04-14,21.06,21.56,20.76,21.11,13659.0,兴欣新材,20.380000000000003,21.538,
2025-04-15,21.19,21.39,21.0,21.29,9289.42,兴欣新材,20.698,21.401,
2025-04-16,21.32,21.39,20.75,21.09,8587.21,兴欣新材,20.938,21.157999999999998,
2025-04-17,21.08,21.69,20.9,21.5,9864.8,兴欣新材,21.130000000000003,20.963,
2025-04-18,21.57,21.82,21.13,21.18,7178.64,兴欣新材,21.234,20.773,
2025-04-21,20.86,21.84,20.86,21.55,9827.4,兴欣新材,21.322000000000003,20.851,21.9185
2025-04-22,21.74,22.2,21.48,22.02,13630.94,兴欣新材,21.468,21.083,21.887
2025-04-23,22.09,22.48,22.09,22.33,11129.69,兴欣新材,21.716,21.327,21.8525
2025-04-24,22.33,22.64,22.11,22.26,9833.6,兴欣新材,21.868000000000002,21.499,21.794500000000003
2025-04-25,22.4,22.92,21.97,22.86,17542.71,兴欣新材,22.204,21.719,21.749499999999998
2025-04-28,22.2,22.43,21.38,22.0,16214.07,兴欣新材,22.294,21.808,21.673
2025-04-29,21.76,22.68,21.6,22.6,13360.49,兴欣新材,22.41,21.939,21.669999999999998
2025-04-30,22.72,22.85,22.26,22.58,13048.24,兴欣新材,22.46,22.088,21.622999999999998
2025-05-06,22.55,22.87,22.35,22.78,11232.43,兴欣新材,22.564,22.216,21.5895
2025-05-07,23.08,23.08,22.45,22.57,9370.22,兴欣新材,22.506,22.355,21.564
2025-05-08,22.57,23.33,22.5,23.25,21390.93,兴欣新材,22.756,22.525,21.688
