date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,11.27,11.27,10.52,10.87,165719.62,北化股份,,,
2025-03-25,10.84,11.03,10.75,10.87,81716.0,北化股份,,,
2025-03-26,10.82,10.94,10.76,10.79,65372.0,北化股份,,,
2025-03-27,10.76,11.2,10.74,10.97,136543.0,北化股份,,,
2025-03-28,10.9,10.96,10.46,10.46,137638.77,北化股份,10.792,,
2025-03-31,10.4,10.47,10.18,10.33,83264.5,北化股份,10.684000000000001,,
2025-04-01,10.39,10.74,10.32,10.47,96302.0,北化股份,10.604,,
2025-04-02,10.5,10.64,10.34,10.38,59341.0,北化股份,10.522000000000002,,
2025-04-03,10.3,10.54,10.22,10.49,64700.0,北化股份,10.426,,
2025-04-07,9.79,10.29,9.44,9.44,109763.0,北化股份,10.222,10.507,
2025-04-08,9.39,9.45,8.94,9.12,155728.0,北化股份,9.98,10.331999999999999,
2025-04-09,8.96,9.7,8.6,9.61,192057.78,北化股份,9.808,10.206,
2025-04-10,9.58,9.8,9.58,9.61,132207.88,北化股份,9.654,10.088,
2025-04-11,9.48,10.03,9.48,9.83,116477.0,北化股份,9.522,9.974,
2025-04-14,9.89,10.11,9.89,9.92,72038.68,北化股份,9.617999999999999,9.92,
2025-04-15,9.9,9.98,9.82,9.9,52653.0,北化股份,9.774000000000001,9.877,
2025-04-16,9.9,9.94,9.51,9.71,61550.0,北化股份,9.794,9.800999999999998,
2025-04-17,9.72,9.94,9.65,9.78,54475.0,北化股份,9.828,9.741,
2025-04-18,9.81,9.86,9.62,9.77,38221.68,北化股份,9.816,9.669,
2025-04-21,9.78,9.98,9.73,9.94,52235.0,北化股份,9.82,9.719,10.113
2025-04-22,9.94,9.99,9.8,9.9,55626.0,北化股份,9.82,9.797,10.064499999999999
2025-04-23,9.99,10.27,9.83,9.96,105064.02,北化股份,9.870000000000001,9.832,10.019
2025-04-24,10.05,10.2,9.79,9.93,119494.01,北化股份,9.9,9.864,9.976
2025-04-25,9.93,10.05,9.76,9.79,78607.0,北化股份,9.904,9.860000000000001,9.917
2025-04-28,9.83,9.91,9.71,9.76,51403.26,北化股份,9.868,9.844,9.882
2025-04-29,9.7,10.14,9.65,10.05,108492.0,北化股份,9.898,9.859,9.868
2025-04-30,10.4,10.83,10.31,10.7,256736.0,北化股份,10.046000000000001,9.958,9.8795
2025-05-06,10.71,10.95,10.61,10.91,150231.66,北化股份,10.242,10.071000000000002,9.905999999999999
2025-05-07,11.01,11.8,10.97,11.67,364691.41,北化股份,10.618,10.261,9.965
2025-05-08,11.59,11.62,11.33,11.42,240995.0,北化股份,10.95,10.408999999999999,10.064
2025-05-09,11.6,11.92,11.27,11.38,261651.0,北化股份,11.216,10.557,10.177
2025-05-12,11.12,11.66,11.0,11.54,290603.0,北化股份,11.383999999999999,10.715,10.2735
2025-05-13,11.5,11.51,11.17,11.27,157261.12,北化股份,11.456,10.849,10.3565
2025-05-14,11.33,11.4,11.24,11.34,99486.0,北化股份,11.389999999999999,11.004,10.431999999999999
2025-05-15,11.3,11.77,11.18,11.6,293677.88,北化股份,11.426,11.187999999999999,10.516
2025-05-16,11.52,11.82,11.45,11.48,184567.0,北化股份,11.446000000000002,11.331,10.595
2025-05-19,11.5,11.72,11.41,11.68,163516.27,北化股份,11.474,11.429,10.693499999999998
2025-05-20,11.7,12.14,11.56,11.75,222600.13,北化股份,11.569999999999999,11.513,10.791999999999998
2025-05-21,11.76,11.89,11.57,11.65,135106.87,北化股份,11.632000000000001,11.511,10.886
2025-05-22,11.54,11.68,11.42,11.44,110846.83,北化股份,11.6,11.513,10.961
2025-05-23,11.41,12.45,11.41,12.22,458055.17,北化股份,11.748,11.597,11.077
2025-05-26,12.2,12.32,11.75,11.88,271484.35,北化股份,11.788,11.631,11.172999999999998
2025-05-27,11.84,11.88,11.6,11.82,155775.81,北化股份,11.802,11.686000000000002,11.2675
2025-05-28,11.79,11.92,11.61,11.78,150907.0,北化股份,11.828,11.73,11.367
2025-05-29,11.79,11.91,11.63,11.87,176855.6,北化股份,11.914,11.757,11.4725
2025-05-30,11.96,12.23,11.4,11.57,198214.6,北化股份,11.784,11.766,11.5485
2025-06-03,12.73,12.73,12.73,12.73,101184.0,北化股份,11.953999999999999,11.870999999999999,11.65
2025-06-04,13.1,14.0,12.36,12.6,927745.43,北化股份,12.11,11.956,11.7345
2025-06-05,12.39,13.39,12.26,12.95,721141.34,北化股份,12.344,12.086,11.7985
2025-06-06,12.66,13.36,12.51,13.1,576255.29,北化股份,12.59,12.251999999999999,11.8825
2025-06-09,13.15,13.46,12.97,13.2,447483.42,北化股份,12.916,12.35,11.9735
2025-06-10,13.1,13.28,12.72,12.81,375204.65,北化股份,12.931999999999999,12.443,12.036999999999999
2025-06-11,12.8,12.93,12.58,12.63,236140.76,北化股份,12.937999999999999,12.524,12.105
2025-06-12,12.63,13.17,12.61,12.99,315471.0,北化股份,12.946000000000002,12.645,12.1875
2025-06-13,13.53,14.29,13.41,14.29,666311.15,北化股份,13.184000000000001,12.887,12.322
2025-06-16,15.39,15.72,14.38,14.51,1386122.02,北化股份,13.446000000000002,13.181000000000001,12.4735
2025-06-17,13.99,15.21,13.81,15.04,1077610.34,北化股份,13.892,13.412,12.6415
2025-06-18,14.75,14.95,14.02,14.49,818930.14,北化股份,14.264000000000001,13.600999999999999,12.778500000000001
2025-06-19,13.9,13.94,13.12,13.52,701244.83,北化股份,14.37,13.658000000000001,12.872
2025-06-20,13.25,13.94,12.88,13.58,583485.52,北化股份,14.228,13.706,12.979
2025-06-23,13.77,14.5,13.73,14.25,706804.55,北化股份,14.175999999999998,13.811000000000002,13.0805
2025-06-24,13.11,13.33,12.83,12.87,771392.31,北化股份,13.742,13.817000000000002,13.13
2025-06-25,12.7,13.59,12.7,13.32,622309.02,北化股份,13.508000000000001,13.886,13.204999999999998
2025-06-26,13.29,14.13,13.28,13.54,576416.52,北化股份,13.512,13.940999999999999,13.293000000000001
2025-06-27,13.55,13.61,13.2,13.29,358426.11,北化股份,13.453999999999999,13.841,13.363999999999999
2025-06-30,13.29,14.62,13.29,14.62,525337.29,北化股份,13.528,13.852,13.516499999999999
2025-07-01,14.88,15.99,14.72,15.31,853772.21,北化股份,14.016,13.879,13.645499999999998
2025-07-02,15.27,15.37,14.56,14.62,535863.0,北化股份,14.276,13.892,13.746500000000001
2025-07-03,14.77,14.95,14.42,14.48,285536.0,北化股份,14.463999999999999,13.988,13.823000000000002
2025-07-04,14.49,14.55,14.15,14.24,247460.67,北化股份,14.654,14.053999999999998,13.879999999999999
2025-07-07,14.19,14.72,14.03,14.44,345668.32,北化股份,14.618,14.072999999999999,13.942000000000002
2025-07-08,14.32,14.7,14.31,14.51,250307.4,北化股份,14.458000000000002,14.237,14.027000000000001
2025-07-09,14.6,14.82,14.36,14.4,250366.0,北化股份,14.413999999999998,14.345000000000002,14.1155
2025-07-10,14.34,14.49,14.11,14.41,169158.29,北化股份,14.4,14.431999999999999,14.1865
2025-07-11,14.3,14.46,14.03,14.42,188475.48,北化股份,14.435999999999998,14.544999999999998,14.192999999999998
2025-07-14,15.14,15.2,14.68,14.74,496085.0,北化股份,14.496,14.556999999999999,14.2045
2025-07-15,14.64,14.74,14.25,14.52,242799.0,北化股份,14.498000000000001,14.477999999999998,14.178500000000003
2025-07-16,14.52,14.9,14.45,14.7,219363.01,北化股份,14.557999999999998,14.486,14.189000000000002
2025-07-17,14.71,16.17,14.66,16.17,454720.85,北化股份,14.91,14.654999999999998,14.321499999999997
2025-07-18,16.61,17.79,16.58,17.79,807959.13,北化股份,15.584,15.010000000000002,14.532
2025-07-21,19.07,19.57,18.68,19.57,227960.63,北化股份,16.55,15.523000000000001,14.797999999999998
2025-07-22,21.53,21.53,21.53,21.53,21997.78,北化股份,17.951999999999998,16.225,15.231
2025-07-23,23.68,23.68,19.68,19.83,1694119.97,北化股份,18.978,16.767999999999997,15.5565
2025-07-24,18.91,19.0,17.9,18.0,1227632.34,北化股份,19.344,17.127,15.779499999999999
2025-07-25,17.91,18.15,17.26,17.31,732176.46,北化股份,19.247999999999998,17.416,15.980500000000001
2025-07-28,17.38,17.65,17.27,17.6,470258.31,北化股份,18.854000000000003,17.701999999999998,16.1295
2025-07-29,17.43,17.6,17.26,17.53,361117.49,北化股份,18.054000000000002,18.003000000000004,16.2405
2025-07-30,17.54,17.57,16.92,17.08,365395.8,北化股份,17.504,18.241,16.3635
2025-07-31,17.09,17.25,16.91,16.93,286129.0,北化股份,17.29,18.317,16.485999999999997
2025-08-01,16.92,16.99,16.63,16.78,207017.02,北化股份,17.184,18.216,16.613000000000003
