date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,7.82,7.86,7.54,7.66,71838.0,联发股份,,,
2025-03-25,7.66,7.68,7.54,7.67,50681.39,联发股份,,,
2025-03-26,7.67,7.82,7.6,7.8,55684.89,联发股份,,,
2025-03-27,7.79,7.83,7.64,7.72,42743.0,联发股份,,,
2025-03-28,7.7,7.74,7.57,7.63,42310.0,联发股份,7.696,,
2025-03-31,7.6,7.6,7.43,7.49,49514.0,联发股份,7.662000000000001,,
2025-04-01,7.49,7.75,7.48,7.69,55675.0,联发股份,7.6659999999999995,,
2025-04-02,7.65,7.8,7.65,7.73,35501.0,联发股份,7.652000000000001,,
2025-04-03,7.69,7.76,7.65,7.71,36427.0,联发股份,7.65,,
2025-04-07,7.39,7.39,6.94,6.94,74166.0,联发股份,7.5120000000000005,7.604000000000001,
2025-04-08,6.78,6.88,6.59,6.72,82966.76,联发股份,7.358,7.510000000000001,
2025-04-09,6.59,6.8,6.27,6.72,82523.0,联发股份,7.164,7.415000000000001,
2025-04-10,6.9,6.97,6.84,6.89,62741.01,联发股份,6.9959999999999996,7.324000000000001,
2025-04-11,6.8,6.97,6.8,6.89,44672.0,联发股份,6.831999999999999,7.241000000000001,
2025-04-14,6.97,7.28,6.97,7.11,68714.15,联发股份,6.866,7.189,
2025-04-15,7.15,7.44,7.1,7.26,74988.0,联发股份,6.973999999999999,7.1659999999999995,
2025-04-16,7.24,7.28,7.06,7.23,42989.0,联发股份,7.0760000000000005,7.12,
2025-04-17,7.17,7.44,7.14,7.37,64045.01,联发股份,7.172,7.0840000000000005,
2025-04-18,7.36,7.4,7.27,7.34,35041.0,联发股份,7.2620000000000005,7.047,
2025-04-21,7.31,7.38,7.27,7.34,38405.0,联发股份,7.308,7.087000000000001,7.3454999999999995
2025-04-22,7.35,7.46,7.31,7.41,39118.0,联发股份,7.337999999999999,7.156000000000001,7.333
2025-04-23,7.41,7.49,7.41,7.48,36632.0,联发股份,7.388,7.232000000000001,7.3235
2025-04-24,7.49,7.56,7.45,7.55,34775.67,联发股份,7.4239999999999995,7.298,7.311
2025-04-25,7.65,7.99,7.65,7.8,148301.0,联发股份,7.516,7.389,7.315
2025-04-28,7.89,7.99,7.82,7.93,150415.99,联发股份,7.634,7.471000000000001,7.330000000000001
2025-04-29,7.91,8.02,7.82,7.93,92718.76,联发股份,7.7379999999999995,7.537999999999999,7.351999999999999
2025-04-30,7.93,8.0,7.82,7.83,74823.0,联发股份,7.808,7.597999999999999,7.359
2025-05-06,7.86,7.92,7.77,7.82,78966.33,联发股份,7.862,7.643000000000001,7.363499999999999
2025-05-07,7.89,7.95,7.85,7.92,86347.01,联发股份,7.886,7.7010000000000005,7.3740000000000006
2025-05-08,7.88,8.1,7.85,8.03,103045.0,联发股份,7.906000000000001,7.769999999999999,7.4285
2025-05-09,8.03,8.28,8.01,8.12,126048.0,联发股份,7.944,7.840999999999999,7.4985
2025-05-12,8.18,8.36,8.01,8.04,102933.67,联发股份,7.986,7.897,7.564500000000001
2025-05-13,8.11,8.34,8.11,8.21,131923.61,联发股份,8.064,7.962999999999999,7.6305
2025-05-14,8.2,8.21,8.02,8.17,93543.15,联发股份,8.113999999999999,8.0,7.694500000000001
2025-05-15,8.13,8.28,8.09,8.21,80749.62,联发股份,8.15,8.028,7.7495
2025-05-16,8.22,8.28,8.14,8.23,56355.01,联发股份,8.172,8.058,7.798
2025-05-19,8.24,8.27,8.2,8.25,59532.0,联发股份,8.214,8.1,7.848999999999999
2025-05-20,8.25,8.33,8.2,8.32,66998.0,联发股份,8.236,8.15,7.8965000000000005
2025-05-21,8.32,8.36,8.23,8.26,42664.33,联发股份,8.254000000000001,8.184,7.9425
2025-05-22,8.27,8.32,8.14,8.18,56405.0,联发股份,8.248000000000001,8.199000000000002,7.9845
2025-05-23,8.15,8.21,8.04,8.07,51912.5,联发股份,8.216,8.193999999999999,8.0175
2025-05-26,7.98,8.07,7.93,8.0,39495.5,联发股份,8.166,8.19,8.043499999999998
2025-05-27,8.03,8.22,7.97,8.21,86109.0,联发股份,8.144,8.190000000000001,8.0765
2025-05-28,8.17,8.28,8.15,8.24,55595.0,联发股份,8.14,8.197,8.0985
2025-05-29,8.24,8.31,8.2,8.27,54505.0,联发股份,8.158000000000001,8.203,8.1155
2025-05-30,8.27,8.31,8.17,8.24,47370.0,联发股份,8.192,8.204,8.131
2025-06-03,8.21,8.29,8.16,8.27,38768.5,联发股份,8.246,8.206,8.153
2025-06-04,8.27,8.39,8.24,8.35,59663.0,联发股份,8.274000000000001,8.209,8.1795
2025-06-05,8.32,8.37,8.16,8.2,53118.5,联发股份,8.266,8.203,8.193499999999998
2025-06-06,8.2,8.28,8.16,8.27,37604.0,联发股份,8.266,8.212,8.205499999999999
2025-06-09,8.23,8.28,8.19,8.28,48832.0,联发股份,8.274,8.233,8.2135
2025-06-10,8.26,8.31,8.13,8.23,46348.0,联发股份,8.266,8.256,8.222999999999999
2025-06-11,8.2,8.31,8.19,8.29,46781.0,联发股份,8.254000000000001,8.264,8.227
2025-06-12,8.27,8.3,8.17,8.25,41719.0,联发股份,8.264,8.265,8.231
2025-06-13,8.22,8.23,8.03,8.04,69173.5,联发股份,8.218,8.241999999999999,8.2225
2025-06-16,8.04,8.15,8.03,8.03,47567.5,联发股份,8.168000000000001,8.221,8.2125
2025-06-17,8.04,8.09,7.91,7.98,52120.0,联发股份,8.117999999999999,8.192,8.199
2025-06-18,7.94,7.98,7.84,7.86,37420.0,联发股份,8.032,8.142999999999999,8.176
2025-06-19,7.86,7.88,7.71,7.72,50771.0,联发股份,7.925999999999999,8.095,8.149000000000001
2025-06-20,7.74,7.77,7.67,7.71,31282.0,联发股份,7.859999999999999,8.039,8.125499999999999
2025-06-23,7.67,7.84,7.63,7.8,43874.0,联发股份,7.814,7.991,8.112
2025-06-24,7.84,8.06,7.82,8.02,57827.51,联发股份,7.822,7.970000000000001,8.113000000000001
2025-06-25,8.05,8.1,8.03,8.08,46829.51,联发股份,7.866,7.949,8.1065
2025-06-26,8.06,8.11,7.99,8.02,43254.51,联发股份,7.926,7.925999999999999,8.0955
2025-06-27,8.02,8.12,8.0,8.12,47809.0,联发股份,8.008,7.934,8.088
2025-06-30,8.11,8.25,8.06,8.23,59732.51,联发股份,8.094,7.953999999999999,8.0875
2025-07-01,8.19,8.29,8.19,8.24,46852.0,联发股份,8.138,7.9799999999999995,8.086
2025-07-02,8.26,8.43,8.22,8.4,88875.17,联发股份,8.202000000000002,8.034,8.0885
2025-07-03,8.37,8.45,8.35,8.41,48796.0,联发股份,8.28,8.103,8.099
2025-07-04,8.39,8.44,8.25,8.32,53351.51,联发股份,8.32,8.164,8.1015
2025-07-07,8.29,8.42,8.28,8.41,42469.53,联发股份,8.356,8.225,8.108
2025-07-08,8.4,8.48,8.4,8.45,41894.0,联发股份,8.398,8.267999999999999,8.119
2025-07-09,8.44,8.5,8.41,8.45,42985.0,联发股份,8.408000000000001,8.305,8.126999999999999
2025-07-10,8.45,8.58,8.43,8.58,53680.03,联发股份,8.442,8.361,8.1435
2025-07-11,8.6,8.64,8.49,8.51,53417.02,联发股份,8.48,8.4,8.167
2025-07-14,8.51,8.92,8.48,8.82,121787.67,联发股份,8.562,8.459,8.2065
2025-07-15,9.01,9.7,8.92,9.7,201832.56,联发股份,8.812000000000001,8.605,8.2925
2025-07-16,10.32,10.67,9.93,10.67,754003.36,联发股份,9.255999999999998,8.832,8.433
2025-07-17,10.67,11.74,10.49,11.74,591468.29,联发股份,9.888,9.165,8.633999999999999
2025-07-18,12.18,12.5,10.81,11.03,958409.65,联发股份,10.392,9.436,8.8
2025-07-21,10.57,12.13,10.57,11.2,882056.62,联发股份,10.867999999999999,9.715,8.97
2025-07-22,10.51,10.65,10.09,10.12,748982.52,联发股份,10.952000000000002,9.882,9.075
2025-07-23,10.15,10.22,9.76,9.76,431766.9,联发股份,10.77,10.013,9.159
2025-07-24,9.76,9.86,9.71,9.79,241407.51,联发股份,10.379999999999999,10.134,9.247499999999999
2025-07-25,9.83,10.06,9.8,9.86,265566.03,联发股份,10.145999999999999,10.269,9.3345
2025-07-28,9.88,9.97,9.85,9.94,194430.23,联发股份,9.894,10.381,9.42
2025-07-29,9.9,10.0,9.74,9.86,178223.37,联发股份,9.841999999999999,10.397,9.501
2025-07-30,9.85,9.9,9.77,9.8,146703.0,联发股份,9.85,10.309999999999999,9.571000000000002
2025-07-31,9.85,9.85,9.56,9.58,168355.0,联发股份,9.808,10.094,9.629499999999998
2025-08-01,9.63,9.68,9.57,9.67,88185.0,联发股份,9.77,9.958,9.697
2025-08-04,9.67,9.72,9.55,9.72,76447.41,联发股份,9.726,9.809999999999999,9.7625
2025-08-05,9.89,9.9,9.77,9.87,131174.0,联发股份,9.728,9.785,9.8335
2025-08-06,9.87,10.0,9.82,10.0,146447.0,联发股份,9.768,9.809000000000001,9.911
2025-08-07,10.01,10.02,9.89,9.92,112676.6,联发股份,9.836,9.822,9.978
2025-08-08,9.95,10.04,9.88,10.04,108581.02,联发股份,9.91,9.84,10.054499999999999
2025-08-11,10.11,10.19,10.02,10.16,129881.0,联发股份,9.998,9.861999999999998,10.1215
2025-08-12,10.18,10.24,10.02,10.11,122713.0,联发股份,10.046,9.886999999999999,10.142
2025-08-13,10.15,10.16,10.04,10.11,91184.31,联发股份,10.068,9.918,10.113999999999999
2025-08-14,10.1,10.16,10.02,10.02,115387.0,联发股份,10.088,9.962,10.028
2025-08-15,10.0,10.18,10.0,10.14,111842.08,联发股份,10.108,10.009,9.983500000000001
2025-08-18,10.22,10.22,10.11,10.15,104936.03,联发股份,10.106,10.052,9.931
2025-08-19,10.15,10.54,10.13,10.52,205296.32,联发股份,10.187999999999999,10.116999999999999,9.951
2025-08-20,10.52,11.34,10.41,10.98,396764.41,联发股份,10.362,10.215,10.011999999999999
2025-08-21,10.97,10.97,10.61,10.68,214023.18,联发股份,10.494,10.291,10.0565
2025-08-22,10.7,10.78,10.46,10.7,141071.0,联发股份,10.606,10.357,10.098499999999998
2025-08-25,10.77,11.09,10.72,11.0,194299.0,联发股份,10.776,10.440999999999999,10.151499999999999
