date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,4.16,4.19,4.0,4.12,299215.0,梦洁股份,,,
2025-03-25,4.11,4.16,3.95,4.1,248815.99,梦洁股份,,,
2025-03-26,4.02,4.16,4.02,4.13,227619.32,梦洁股份,,,
2025-03-27,4.09,4.23,4.04,4.17,262149.04,梦洁股份,,,
2025-03-28,4.15,4.19,4.04,4.09,173561.43,梦洁股份,4.122,,
2025-03-31,4.05,4.07,3.87,3.89,257414.19,梦洁股份,4.076,,
2025-04-01,3.98,4.0,3.87,3.91,128898.0,梦洁股份,4.038,,
2025-04-02,3.9,4.18,3.89,4.05,261455.96,梦洁股份,4.022,,
2025-04-03,4.0,4.17,3.99,4.1,192563.1,梦洁股份,4.008,,
2025-04-07,3.85,3.85,3.69,3.69,124287.0,梦洁股份,3.928,4.025,
2025-04-08,3.44,3.55,3.32,3.41,367486.1,梦洁股份,3.832,3.9539999999999997,
2025-04-09,3.34,3.54,3.08,3.45,268414.13,梦洁股份,3.7399999999999998,3.8890000000000002,
2025-04-10,3.5,3.65,3.5,3.57,225613.23,梦洁股份,3.6439999999999997,3.8329999999999997,
2025-04-11,3.55,3.66,3.51,3.64,135879.13,梦洁股份,3.5520000000000005,3.78,
2025-04-14,3.68,3.82,3.68,3.72,143129.0,梦洁股份,3.558,3.743,
2025-04-15,3.72,3.83,3.66,3.76,275152.13,梦洁股份,3.628,3.7299999999999995,
2025-04-16,3.76,3.78,3.56,3.65,196803.06,梦洁股份,3.668,3.7039999999999997,
2025-04-17,3.63,3.73,3.58,3.69,127861.13,梦洁股份,3.692,3.668,
2025-04-18,3.71,3.71,3.57,3.62,141362.0,梦洁股份,3.688,3.6199999999999997,
2025-04-21,3.63,3.78,3.55,3.73,197211.0,梦洁股份,3.69,3.624,3.8244999999999996
2025-04-22,3.74,3.8,3.69,3.7,139630.99,梦洁股份,3.678,3.653,3.8034999999999997
2025-04-23,3.72,3.8,3.65,3.66,140424.0,梦洁股份,3.6799999999999997,3.6740000000000004,3.7815
2025-04-24,3.7,3.72,3.63,3.66,107715.01,梦洁股份,3.6740000000000004,3.683,3.7580000000000005
2025-04-25,3.67,3.75,3.61,3.69,118141.0,梦洁股份,3.6879999999999997,3.6879999999999997,3.7340000000000004
2025-04-28,3.73,3.75,3.62,3.63,117261.0,梦洁股份,3.668,3.679,3.711
2025-04-29,3.6,3.66,3.55,3.62,107578.0,梦洁股份,3.6519999999999997,3.6650000000000005,3.6975000000000002
2025-04-30,3.61,3.78,3.59,3.7,172357.0,梦洁股份,3.66,3.6700000000000004,3.6870000000000003
2025-05-06,3.69,3.81,3.69,3.78,165654.05,梦洁股份,3.6839999999999997,3.679,3.6734999999999998
2025-05-07,3.81,3.88,3.73,3.76,122493.0,梦洁股份,3.6979999999999995,3.693,3.6565
2025-05-08,3.76,3.85,3.73,3.81,138910.17,梦洁股份,3.7340000000000004,3.7009999999999996,3.6625
2025-05-09,3.82,3.9,3.75,3.87,197232.17,梦洁股份,3.7840000000000003,3.718,3.6855
2025-05-12,3.9,3.98,3.76,3.81,216062.59,梦洁股份,3.806,3.7329999999999997,3.7034999999999996
2025-05-13,3.85,4.08,3.82,3.85,217083.77,梦洁股份,3.8200000000000003,3.7520000000000002,3.7175000000000002
2025-05-14,3.87,3.89,3.78,3.85,171257.0,梦洁股份,3.838,3.768,3.728
2025-05-15,3.85,3.93,3.8,3.81,198199.0,梦洁股份,3.838,3.786,3.7325000000000004
2025-05-16,3.81,3.84,3.75,3.78,128967.0,梦洁股份,3.8200000000000003,3.8019999999999996,3.7335000000000003
2025-05-19,3.81,3.89,3.78,3.88,155045.6,梦洁股份,3.8339999999999996,3.8200000000000003,3.7449999999999997
2025-05-20,3.87,3.95,3.85,3.92,142358.04,梦洁股份,3.848,3.8339999999999996,3.7565
2025-05-21,3.92,4.01,3.82,3.93,218094.95,梦洁股份,3.864,3.8510000000000004,3.772
2025-05-22,3.93,4.0,3.92,3.95,164060.25,梦洁股份,3.8920000000000003,3.8649999999999998,3.7830000000000004
2025-05-23,3.93,3.97,3.8,3.8,159186.0,梦洁股份,3.896,3.8579999999999997,3.7880000000000003
2025-05-26,3.8,3.83,3.69,3.73,169145.0,梦洁股份,3.8659999999999997,3.85,3.7915
2025-05-27,3.72,3.73,3.64,3.69,179656.0,梦洁股份,3.8200000000000003,3.8339999999999996,3.793
2025-05-28,3.68,3.7,3.59,3.62,145071.0,梦洁股份,3.758,3.811,3.7894999999999994
2025-05-29,3.62,3.69,3.6,3.64,155528.0,梦洁股份,3.696,3.7940000000000005,3.79
2025-05-30,3.64,3.66,3.55,3.56,141151.0,梦洁股份,3.6480000000000006,3.772,3.787
2025-06-03,3.56,3.67,3.52,3.66,149439.0,梦洁股份,3.6340000000000003,3.75,3.7849999999999993
2025-06-04,3.68,3.75,3.63,3.68,190460.04,梦洁股份,3.632,3.7260000000000004,3.7800000000000002
2025-06-05,3.69,3.69,3.59,3.6,193365.0,梦洁股份,3.628,3.693,3.772
2025-06-06,3.61,3.85,3.58,3.74,351504.99,梦洁股份,3.6480000000000006,3.6719999999999997,3.7685000000000004
2025-06-09,3.8,4.02,3.75,3.93,445128.02,梦洁股份,3.722,3.685,3.7714999999999996
2025-06-10,3.92,4.12,3.9,4.03,407718.0,梦洁股份,3.7960000000000003,3.715,3.7825
2025-06-11,4.02,4.17,3.97,4.12,327177.77,梦洁股份,3.8840000000000003,3.7580000000000005,3.7960000000000003
2025-06-12,4.11,4.45,4.11,4.37,574489.77,梦洁股份,4.037999999999999,3.8329999999999997,3.822
2025-06-13,4.3,4.32,4.04,4.08,444500.0,梦洁股份,4.106,3.877,3.8355000000000006
2025-06-16,4.05,4.16,4.02,4.03,264670.39,梦洁股份,4.126,3.9240000000000004,3.8480000000000003
2025-06-17,4.03,4.03,3.86,3.88,268497.0,梦洁股份,4.096,3.946,3.8480000000000003
2025-06-18,3.89,3.92,3.81,3.86,171211.19,梦洁股份,4.044,3.964,3.845
2025-06-19,3.84,3.96,3.8,3.84,187422.0,梦洁股份,3.938,3.9879999999999995,3.8405
2025-06-20,3.85,3.85,3.77,3.78,131156.0,梦洁股份,3.878,3.992,3.832
2025-06-23,3.79,4.02,3.7,3.98,241097.0,梦洁股份,3.868,3.9970000000000008,3.8409999999999997
2025-06-24,3.96,4.02,3.94,3.98,178811.0,梦洁股份,3.8879999999999995,3.992,3.8535000000000004
2025-06-25,4.0,4.02,3.91,3.96,158037.0,梦洁股份,3.908,3.976,3.8669999999999995
2025-06-26,3.94,4.02,3.9,3.93,142115.77,梦洁股份,3.9259999999999997,3.932,3.8825000000000003
2025-06-27,3.9,3.92,3.82,3.89,173995.24,梦洁股份,3.9479999999999995,3.9130000000000003,3.8950000000000005
2025-06-30,3.9,4.14,3.89,4.1,315112.27,梦洁股份,3.972,3.9200000000000004,3.9219999999999997
2025-07-01,4.14,4.2,4.08,4.18,263652.26,梦洁股份,4.012,3.95,3.9480000000000004
2025-07-02,4.18,4.23,3.76,3.76,681756.0,梦洁股份,3.972,3.94,3.9519999999999995
2025-07-03,3.75,3.78,3.6,3.65,554165.74,梦洁股份,3.9159999999999995,3.9210000000000003,3.9545000000000003
2025-07-04,3.63,3.87,3.62,3.78,524972.53,梦洁股份,3.8939999999999997,3.9210000000000003,3.9564999999999997
2025-07-07,3.78,3.78,3.68,3.69,270376.71,梦洁股份,3.812,3.8919999999999995,3.9445
2025-07-08,3.7,3.72,3.65,3.7,207193.0,梦洁股份,3.716,3.864,3.928
2025-07-09,3.69,3.76,3.67,3.68,231939.02,梦洁股份,3.7,3.836,3.9059999999999997
2025-07-10,3.68,3.69,3.64,3.66,156739.0,梦洁股份,3.7020000000000004,3.8089999999999997,3.8705000000000007
2025-07-11,3.65,3.68,3.62,3.66,141399.0,梦洁股份,3.678,3.786,3.8495
2025-07-14,3.67,3.68,3.63,3.65,119626.0,梦洁股份,3.6700000000000004,3.7409999999999997,3.8305
2025-07-15,3.64,3.64,3.52,3.59,206942.0,梦洁股份,3.6480000000000006,3.682,3.816
2025-07-16,3.6,3.72,3.56,3.68,256909.98,梦洁股份,3.6480000000000006,3.6740000000000004,3.807
