date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,31.34,31.69,30.96,31.41,272457.5,海康威视,,,
2025-03-25,31.41,31.5,31.17,31.24,170583.47,海康威视,,,
2025-03-26,31.41,31.42,30.91,31.0,228278.2,海康威视,,,
2025-03-27,31.0,31.33,30.82,31.08,228978.47,海康威视,,,
2025-03-28,31.07,31.17,30.95,30.97,143848.54,海康威视,31.139999999999997,,
2025-03-31,30.9,31.09,30.14,30.7,352167.75,海康威视,30.998,,
2025-04-01,30.72,30.76,30.21,30.46,326591.76,海康威视,30.841999999999995,,
2025-04-02,30.49,30.5,30.21,30.33,227389.57,海康威视,30.708,,
2025-04-03,30.12,30.28,29.8,29.91,319971.0,海康威视,30.474,,
2025-04-07,28.6,28.79,27.06,27.89,740912.33,海康威视,29.858000000000004,30.499000000000002,
2025-04-08,27.95,28.66,27.53,28.09,574018.42,海康威视,29.336000000000002,30.166999999999994,
2025-04-09,27.99,28.3,27.63,28.17,652885.1,海康威视,28.877999999999997,29.860000000000003,
2025-04-10,28.42,28.97,28.25,28.83,492101.52,海康威视,28.577999999999996,29.643,
2025-04-11,28.6,28.82,28.19,28.5,419222.74,海康威视,28.296,29.384999999999998,
2025-04-14,28.8,29.05,28.66,28.7,305305.67,海康威视,28.458,29.157999999999998,
2025-04-15,28.7,28.75,28.31,28.58,239011.9,海康威视,28.556,28.946000000000005,
2025-04-16,28.51,28.51,28.01,28.36,307634.42,海康威视,28.594,28.735999999999997,
2025-04-17,28.2,28.35,28.15,28.21,273241.76,海康威视,28.47,28.524,
2025-04-18,28.2,28.39,28.02,28.37,208472.47,海康威视,28.444,28.369999999999997,
2025-04-21,28.58,29.37,28.45,28.88,428670.59,海康威视,28.48,28.469,29.483999999999998
2025-04-22,28.8,28.89,28.35,28.49,322236.55,海康威视,28.462,28.508999999999997,29.338
2025-04-23,28.63,28.69,28.38,28.48,307322.48,海康威视,28.486,28.540000000000003,29.2
2025-04-24,28.52,28.61,28.18,28.33,326178.15,海康威视,28.51,28.49,29.0665
2025-04-25,28.32,28.33,28.13,28.18,333326.66,海康威视,28.471999999999998,28.458,28.921499999999998
2025-04-28,28.18,28.24,28.02,28.06,263723.29,海康威视,28.308,28.394,28.776
2025-04-29,28.06,28.2,27.92,28.14,178708.23,海康威视,28.238,28.35,28.648000000000003
2025-04-30,28.15,28.31,28.1,28.21,231296.6,海康威视,28.183999999999997,28.334999999999997,28.535499999999995
2025-05-06,28.35,28.83,28.3,28.83,388268.13,海康威视,28.284,28.397000000000002,28.460500000000003
2025-05-07,29.05,29.27,28.64,28.84,345007.82,海康威视,28.415999999999997,28.444,28.407
2025-05-08,28.68,29.0,28.67,28.92,263582.18,海康威视,28.588,28.448,28.458499999999997
2025-05-09,28.92,28.92,28.54,28.65,221948.01,海康威视,28.689999999999998,28.464,28.486499999999996
2025-05-12,28.79,28.95,28.65,28.94,342352.31,海康威视,28.836000000000002,28.509999999999998,28.525
2025-05-13,29.27,29.29,28.73,28.82,311526.87,海康威视,28.833999999999996,28.558999999999997,28.524499999999996
2025-05-14,28.83,29.08,28.7,29.01,318259.35,海康威视,28.868000000000002,28.642000000000003,28.55
2025-05-15,28.98,28.98,28.73,28.79,200995.59,海康威视,28.842000000000002,28.714999999999996,28.5545
2025-05-16,28.7,28.86,28.55,28.8,169304.51,海康威视,28.872000000000003,28.781,28.565499999999997
2025-05-19,28.81,28.86,28.61,28.77,194151.84,海康威视,28.838,28.837,28.585999999999995
2025-05-20,28.1,28.2,27.9,28.18,258778.48,海康威视,28.71,28.772,28.584500000000002
