date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,7.62,7.64,7.31,7.45,204029.58,西陇科学,,,
2025-03-25,7.43,7.57,7.38,7.54,140097.5,西陇科学,,,
2025-03-26,7.5,7.61,7.48,7.58,116966.0,西陇科学,,,
2025-03-27,7.55,8.34,7.53,8.34,1127912.8,西陇科学,,,
2025-03-28,8.34,8.54,8.07,8.12,1240314.02,西陇科学,7.806,,
2025-03-31,7.95,8.25,7.91,8.0,670895.78,西陇科学,7.9159999999999995,,
2025-04-01,7.99,8.46,7.99,8.39,986749.54,西陇科学,8.086,,
2025-04-02,8.3,8.42,8.18,8.35,698508.0,西陇科学,8.239999999999998,,
2025-04-03,8.16,8.75,8.1,8.55,945061.26,西陇科学,8.282,,
2025-04-07,8.05,8.5,7.7,7.78,938724.26,西陇科学,8.214,8.01,
2025-04-08,8.0,8.5,7.93,8.26,864918.5,西陇科学,8.266,8.091,
2025-04-09,8.03,8.49,7.43,8.37,1095278.79,西陇科学,8.262,8.174000000000001,
2025-04-10,8.33,8.85,8.33,8.65,1171831.78,西陇科学,8.322,8.280999999999999,
2025-04-11,8.5,8.84,8.41,8.46,992630.16,西陇科学,8.304,8.293000000000001,
2025-04-14,8.52,9.18,8.52,8.71,1067064.16,西陇科学,8.49,8.352,
2025-04-15,8.6,8.89,8.46,8.6,715261.02,西陇科学,8.558,8.412,
2025-04-16,8.24,8.49,8.02,8.22,708108.02,西陇科学,8.528,8.395,
2025-04-17,8.14,9.04,8.1,9.04,611988.13,西陇科学,8.606,8.464,
2025-04-18,9.33,9.7,9.04,9.06,1906372.91,西陇科学,8.726,8.515,
2025-04-21,9.06,9.35,8.83,9.25,1183546.66,西陇科学,8.834,8.662,8.336
2025-04-22,9.15,10.18,8.98,10.18,1227840.25,西陇科学,9.15,8.854000000000001,8.4725
2025-04-23,10.3,10.66,9.7,9.8,1685860.49,西陇科学,9.466,8.997,8.5855
2025-04-24,9.71,10.78,9.54,10.78,1282637.38,西陇科学,9.814,9.21,8.7455
2025-04-25,10.85,11.48,10.31,10.56,1739449.09,西陇科学,10.114,9.42,8.8565
2025-04-28,10.22,10.46,9.52,9.64,1225230.12,西陇科学,10.192,9.513000000000002,8.932500000000001
2025-04-29,9.61,9.7,8.81,8.89,1248631.2,西陇科学,9.934000000000001,9.542,8.977
2025-04-30,8.84,9.22,8.46,9.04,1240433.31,西陇科学,9.782,9.623999999999999,9.009500000000001
2025-05-06,8.88,9.33,8.82,9.26,994869.0,西陇科学,9.478,9.646,9.055
2025-05-07,9.28,9.79,9.17,9.4,1172607.86,西陇科学,9.245999999999999,9.68,9.0975
2025-05-08,9.2,9.5,9.13,9.3,777641.78,西陇科学,9.178,9.685,9.1735
2025-05-09,9.3,9.3,8.91,8.92,581355.66,西陇科学,9.184000000000001,9.559000000000001,9.2065
2025-05-12,9.07,9.12,8.83,8.97,459441.81,西陇科学,9.17,9.476,9.236500000000001
2025-05-13,9.05,9.4,9.01,9.35,959112.47,西陇科学,9.187999999999999,9.333,9.2715
2025-05-14,9.21,9.76,9.2,9.52,1164189.17,西陇科学,9.212,9.229,9.3245
2025-05-15,9.42,9.68,9.21,9.37,776040.0,西陇科学,9.225999999999999,9.202,9.357499999999998
2025-05-16,9.36,10.28,9.14,9.73,1187920.69,西陇科学,9.388,9.286,9.414
2025-05-19,9.72,10.05,9.51,9.84,877234.06,西陇科学,9.562,9.366,9.495000000000001
2025-05-20,9.8,10.25,9.63,10.0,876055.66,西陇科学,9.691999999999998,9.44,9.543000000000001
2025-05-21,9.9,11.0,9.84,11.0,1116136.23,西陇科学,9.988,9.6,9.64
2025-05-22,11.0,11.45,10.22,10.33,1415336.59,西陇科学,10.180000000000001,9.703,9.693999999999999
2025-05-23,10.23,11.3,10.23,10.51,1465420.56,西陇科学,10.336,9.862,9.7105
2025-05-26,10.2,11.04,9.91,10.8,1262808.14,西陇科学,10.528,10.044999999999998,9.7605
2025-05-27,10.6,11.68,10.6,11.11,1434015.28,西陇科学,10.75,10.221,9.777000000000001
2025-05-28,10.88,11.4,10.43,10.47,1238657.21,西陇科学,10.644,10.315999999999999,9.7725
2025-05-29,10.3,10.6,10.05,10.21,961183.0,西陇科学,10.620000000000001,10.4,9.800999999999998
2025-05-30,10.14,10.58,9.87,10.55,1061293.25,西陇科学,10.628,10.482,9.884
