date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,9.09,9.27,8.64,8.88,132383.0,金安国纪,,,
2025-03-25,8.88,8.95,8.64,8.71,89614.0,金安国纪,,,
2025-03-26,8.68,8.89,8.68,8.85,66049.0,金安国纪,,,
2025-03-27,8.84,9.0,8.67,8.86,79219.0,金安国纪,,,
2025-03-28,8.86,8.92,8.68,8.68,58288.0,金安国纪,8.796000000000001,,
2025-03-31,8.68,8.74,8.48,8.69,74731.0,金安国纪,8.758,,
2025-04-01,8.67,8.8,8.66,8.7,56888.0,金安国纪,8.755999999999998,,
2025-04-02,8.7,8.98,8.7,8.8,77918.6,金安国纪,8.745999999999999,,
2025-04-03,8.7,8.81,8.49,8.55,77637.0,金安国纪,8.684000000000001,,
2025-04-07,7.88,8.04,7.7,7.7,74941.0,金安国纪,8.488,8.642,
2025-04-08,7.34,7.68,6.93,7.02,215468.59,金安国纪,8.154,8.456,
2025-04-09,6.92,7.32,6.44,7.19,146908.03,金安国纪,7.852000000000001,8.303999999999998,
2025-04-10,7.36,7.63,7.36,7.45,114643.03,金安国纪,7.581999999999999,8.164,
2025-04-11,7.42,7.66,7.36,7.56,82034.0,金安国纪,7.384,8.034,
2025-04-14,7.75,7.89,7.7,7.74,77875.0,金安国纪,7.392,7.9399999999999995,
2025-04-15,7.75,7.82,7.64,7.74,62324.01,金安国纪,7.536,7.845000000000001,
2025-04-16,7.68,7.73,7.4,7.54,65924.0,金安国纪,7.606,7.728999999999999,
2025-04-17,7.49,7.72,7.45,7.62,49429.78,金安国纪,7.640000000000001,7.611,
2025-04-18,7.56,7.79,7.56,7.75,64718.18,金安国纪,7.678,7.531000000000001,
2025-04-21,7.74,8.53,7.65,8.09,225722.98,金安国纪,7.747999999999999,7.57,8.106
2025-04-22,8.11,8.15,7.9,7.9,145368.35,金安国纪,7.779999999999999,7.6579999999999995,8.057
2025-04-23,7.96,8.08,7.95,7.98,84723.58,金安国纪,7.868,7.737,8.0205
2025-04-24,7.98,8.01,7.8,7.85,72487.03,金安国纪,7.914,7.777000000000001,7.9704999999999995
2025-04-25,7.87,7.97,7.81,7.92,52256.03,金安国纪,7.948,7.813,7.9235
2025-04-28,7.92,7.94,7.78,7.81,49596.0,金安国纪,7.892,7.82,7.880000000000001
2025-04-29,7.91,8.08,7.87,8.01,81407.61,金安国纪,7.914,7.8469999999999995,7.846000000000001
2025-04-30,8.01,8.17,8.01,8.11,74415.0,金安国纪,7.9399999999999995,7.904000000000001,7.8165
2025-05-06,8.19,8.33,8.17,8.33,80942.0,金安国纪,8.036,7.975,7.793000000000001
