date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,9.38,9.42,8.81,9.08,120371.0,冀凯股份,,,
2025-03-25,9.08,9.13,8.9,8.96,60877.6,冀凯股份,,,
2025-03-26,8.95,9.18,8.9,9.14,80514.01,冀凯股份,,,
2025-03-27,9.1,9.13,8.9,8.94,59444.0,冀凯股份,,,
2025-03-28,8.94,8.97,8.76,8.76,54529.0,冀凯股份,8.976,,
2025-03-31,8.76,8.76,8.4,8.63,69030.2,冀凯股份,8.886000000000001,,
2025-04-01,8.83,9.38,8.5,8.5,107968.3,冀凯股份,8.794,,
2025-04-02,8.51,8.69,8.51,8.58,72179.5,冀凯股份,8.682,,
2025-04-03,8.49,8.65,8.39,8.46,54032.2,冀凯股份,8.586,,
2025-04-07,7.85,7.96,7.61,7.61,40051.0,冀凯股份,8.356,8.666,
2025-04-08,6.94,7.46,6.85,7.05,152362.94,冀凯股份,8.040000000000001,8.463000000000001,
2025-04-09,7.02,7.38,6.37,7.33,143446.5,冀凯股份,7.806,8.3,
2025-04-10,7.48,7.7,7.47,7.56,91269.0,冀凯股份,7.602000000000001,8.142,
2025-04-11,7.5,7.81,7.5,7.71,74245.0,冀凯股份,7.452000000000001,8.019,
2025-04-14,7.96,8.01,7.85,7.87,70438.02,冀凯股份,7.504,7.9300000000000015,
2025-04-15,7.87,8.12,7.8,7.84,65991.2,冀凯股份,7.662000000000001,7.850999999999999,
2025-04-16,7.8,7.9,7.53,7.68,61778.02,冀凯股份,7.731999999999999,7.769,
2025-04-17,7.63,7.81,7.58,7.68,56053.0,冀凯股份,7.756,7.678999999999999,
2025-04-18,7.72,7.75,7.57,7.66,46564.0,冀凯股份,7.7459999999999996,7.599000000000001,
2025-04-21,7.65,7.91,7.6,7.9,64069.0,冀凯股份,7.752,7.628,8.147
2025-04-22,7.88,7.99,7.82,7.86,47715.0,冀凯股份,7.756,7.708999999999999,8.086
2025-04-23,7.94,8.14,7.94,8.04,77155.0,冀凯股份,7.828,7.779999999999999,8.040000000000001
2025-04-24,8.0,8.12,7.75,7.78,66774.0,冀凯股份,7.848000000000001,7.802,7.9719999999999995
2025-04-25,7.89,7.89,7.7,7.74,39546.0,冀凯股份,7.864,7.805,7.912000000000001
2025-04-28,7.83,7.85,7.62,7.68,35917.0,冀凯股份,7.82,7.786,7.858
2025-04-29,7.62,7.94,7.62,7.88,57609.0,冀凯股份,7.824000000000001,7.790000000000001,7.820500000000001
2025-04-30,7.93,8.15,7.88,8.08,61440.0,冀凯股份,7.832000000000001,7.83,7.7995
2025-05-06,8.25,8.55,8.1,8.43,97847.04,冀凯股份,7.962000000000001,7.905000000000001,7.792
2025-05-07,8.55,8.63,8.37,8.44,74934.06,冀凯股份,8.102,7.983,7.7909999999999995
2025-05-08,8.44,9.28,8.44,9.28,79351.99,冀凯股份,8.422,8.121,7.8745
2025-05-09,9.19,10.1,8.68,9.67,499623.97,冀凯股份,8.780000000000001,8.302000000000001,8.0055
2025-05-12,9.12,9.57,9.12,9.25,365796.58,冀凯股份,9.014,8.422999999999998,8.1015
2025-05-13,9.26,9.32,8.75,8.9,277597.72,冀凯股份,9.108,8.535,8.1685
2025-05-14,8.86,8.95,8.7,8.86,169463.21,冀凯股份,9.192,8.647,8.226
2025-05-15,8.86,8.87,8.52,8.54,151912.2,冀凯股份,9.044,8.733,8.2595
2025-05-16,8.46,8.68,8.46,8.54,116876.25,冀凯股份,8.818,8.799,8.2945
2025-05-19,8.54,8.67,8.44,8.67,99048.5,冀凯股份,8.702000000000002,8.858,8.344
2025-05-20,8.6,8.78,8.53,8.66,69028.0,冀凯股份,8.654,8.880999999999998,8.393
2025-05-21,8.65,8.65,8.44,8.46,83190.0,冀凯股份,8.574,8.883,8.433
2025-05-22,8.46,8.65,8.21,8.24,105713.0,冀凯股份,8.514,8.779,8.45
2025-05-23,8.24,8.34,8.08,8.09,93093.54,冀凯股份,8.424,8.621,8.4615
2025-05-26,8.06,8.2,8.02,8.18,56951.0,冀凯股份,8.326,8.514,8.4685
2025-05-27,8.2,8.24,8.06,8.13,54709.7,冀凯股份,8.22,8.437000000000001,8.486
2025-05-28,8.2,8.22,8.02,8.04,54084.0,冀凯股份,8.136,8.355,8.501
2025-05-29,8.07,8.19,8.04,8.13,56523.0,冀凯股份,8.114,8.314,8.5235
2025-05-30,8.12,8.15,7.8,7.82,75353.0,冀凯股份,8.06,8.242,8.5205
2025-06-03,7.75,7.95,7.72,7.89,43935.0,冀凯股份,8.002,8.164,8.511
2025-06-04,8.04,8.35,7.91,8.0,131011.0,冀凯股份,7.976000000000001,8.098,8.4895
2025-06-05,8.0,8.07,7.95,8.06,58718.0,冀凯股份,7.980000000000001,8.058,8.4705
2025-06-06,8.06,8.13,7.96,8.11,51215.0,冀凯股份,7.975999999999999,8.045,8.411999999999999
2025-06-09,8.11,8.19,8.11,8.19,48444.0,冀凯股份,8.05,8.055,8.338
2025-06-10,8.15,8.35,8.06,8.17,94383.0,冀凯股份,8.106,8.054,8.284
2025-06-11,8.17,8.25,8.17,8.23,53634.7,冀凯股份,8.152,8.064,8.250499999999999
2025-06-12,8.22,8.36,8.17,8.36,71817.3,冀凯股份,8.212,8.096,8.2255
2025-06-13,8.36,8.41,8.13,8.18,81778.55,冀凯股份,8.226,8.100999999999999,8.2075
2025-06-16,8.15,8.6,8.13,8.3,141438.0,冀凯股份,8.248,8.149,8.1955
2025-06-17,8.36,8.38,8.07,8.16,94840.71,冀凯股份,8.245999999999999,8.176,8.17
2025-06-18,8.19,8.2,8.1,8.18,45777.0,冀凯股份,8.236,8.193999999999999,8.145999999999999
2025-06-19,8.13,8.2,7.98,8.02,48473.0,冀凯股份,8.168000000000001,8.19,8.124
2025-06-20,7.98,8.07,7.88,7.96,40077.7,冀凯股份,8.123999999999999,8.175,8.11
2025-06-23,8.0,8.76,7.93,8.43,388566.0,冀凯股份,8.15,8.199,8.126999999999999
2025-06-24,8.51,8.53,8.25,8.35,303157.3,冀凯股份,8.187999999999999,8.217,8.135499999999999
2025-06-25,8.45,8.48,8.3,8.45,147579.01,冀凯股份,8.242,8.238999999999999,8.1515
2025-06-26,8.43,8.64,8.32,8.33,135975.0,冀凯股份,8.303999999999998,8.235999999999999,8.166
2025-06-27,8.3,8.38,8.27,8.31,80860.0,冀凯股份,8.374,8.248999999999999,8.175
2025-06-30,8.32,8.43,8.31,8.4,76294.22,冀凯股份,8.367999999999999,8.259,8.203999999999999
2025-07-01,8.37,8.56,8.27,8.52,146763.0,冀凯股份,8.402000000000001,8.294999999999998,8.2355
2025-07-02,8.45,8.49,8.32,8.38,80131.0,冀凯股份,8.388,8.315000000000001,8.2545
2025-07-03,8.37,8.46,8.32,8.35,53542.0,冀凯股份,8.392,8.348,8.269
2025-07-04,8.32,8.33,8.15,8.15,72401.0,冀凯股份,8.36,8.367,8.271
2025-07-07,8.15,8.24,8.01,8.24,39039.0,冀凯股份,8.328,8.348,8.273500000000002
2025-07-08,8.23,8.32,8.21,8.31,43604.71,冀凯股份,8.286000000000001,8.344,8.2805
2025-07-09,8.31,8.42,8.25,8.26,55399.21,冀凯股份,8.262,8.325,8.282
2025-07-10,8.22,8.27,8.15,8.18,48625.0,冀凯股份,8.228,8.309999999999999,8.273
2025-07-11,8.18,8.22,8.08,8.21,57084.1,冀凯股份,8.24,8.3,8.2745
2025-07-14,8.2,8.36,8.16,8.34,54312.11,冀凯股份,8.26,8.294,8.2765
