date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,10.01,10.02,9.17,9.4,339903.43,*ST双成,,,
2025-03-25,9.42,9.59,9.27,9.43,203378.99,*ST双成,,,
2025-03-26,9.3,9.4,9.24,9.28,152456.0,*ST双成,,,
2025-03-27,9.28,9.29,9.0,9.15,163221.0,*ST双成,,,
2025-03-28,9.15,9.69,9.03,9.29,307328.0,*ST双成,9.309999999999999,,
2025-03-31,9.01,9.01,8.36,8.58,378427.42,*ST双成,9.146,,
2025-04-01,8.49,8.91,8.49,8.68,220360.05,*ST双成,8.996,,
2025-04-02,8.8,8.81,8.58,8.59,161779.26,*ST双成,8.858,,
2025-04-03,8.45,8.71,8.41,8.5,108624.0,*ST双成,8.728,,
2025-04-07,8.05,8.05,7.65,7.65,73503.0,*ST双成,8.4,8.855,
2025-04-08,7.11,7.47,6.89,7.01,291051.94,*ST双成,8.086000000000002,8.616,
2025-04-09,6.9,7.32,6.32,7.21,292083.17,*ST双成,7.792,8.394,
2025-04-10,7.28,7.93,7.22,7.93,193256.0,*ST双成,7.659999999999999,8.259,
2025-04-11,8.17,8.67,8.03,8.39,512210.87,*ST双成,7.638,8.183,
2025-04-14,8.53,9.23,8.29,9.23,509795.01,*ST双成,7.954000000000001,8.177000000000001,
2025-04-15,9.14,10.15,9.07,10.15,721318.61,*ST双成,8.582,8.334,
2025-04-16,10.32,11.17,10.32,11.17,552642.88,*ST双成,9.374,8.583,
2025-04-17,11.58,12.29,11.58,12.29,344926.88,*ST双成,10.246,8.953,
2025-04-18,13.49,13.52,12.29,13.12,1082573.48,*ST双成,11.192,9.415000000000001,
2025-04-21,11.81,11.81,11.81,11.81,98388.0,*ST双成,11.708,9.831,9.343
2025-04-22,10.63,10.63,10.63,10.63,46843.0,*ST双成,11.804,10.193,9.4045
2025-04-23,9.57,9.57,9.57,9.57,118543.0,*ST双成,11.484,10.429,9.4115
2025-04-24,8.61,10.53,8.61,10.53,962808.67,*ST双成,11.132,10.689,9.474
2025-04-25,9.48,10.15,9.48,9.48,776737.89,*ST双成,10.404,10.797999999999998,9.4905
2025-04-28,8.53,9.48,8.53,8.53,495579.0,*ST双成,9.748000000000001,10.728,9.452499999999999
2025-04-30,8.1,8.1,8.1,8.1,3705.0,*ST双成,9.241999999999999,10.523,9.4285
2025-05-06,7.7,7.7,7.7,7.7,4336.0,*ST双成,8.867999999999999,10.176,9.3795
2025-05-07,7.32,7.32,7.32,7.32,10090.0,*ST双成,8.226,9.678999999999998,9.315999999999999
2025-05-08,6.95,7.61,6.95,7.28,844155.79,*ST双成,7.786,9.095,9.254999999999999
2025-05-09,6.93,7.1,6.92,6.93,644896.2,*ST双成,7.465999999999999,8.607,9.219
2025-05-12,7.06,7.28,6.75,7.26,574292.23,*ST双成,7.298,8.27,9.2315
2025-05-13,7.12,7.23,6.9,6.9,494808.54,*ST双成,7.138,8.003,9.216
2025-05-14,6.83,6.86,6.56,6.56,363834.0,*ST双成,6.986,7.606,9.1475
2025-05-15,6.89,6.89,6.89,6.89,94494.0,*ST双成,6.9079999999999995,7.3469999999999995,9.0725
2025-05-16,7.22,7.22,6.9,7.06,468729.79,*ST双成,6.934,7.2,8.964
2025-05-19,7.41,7.41,7.41,7.41,35242.0,*ST双成,6.964,7.131,8.827
2025-05-20,7.78,7.78,7.78,7.78,16523.0,*ST双成,7.140000000000001,7.139,8.6575
2025-05-21,8.17,8.17,8.12,8.17,270627.41,*ST双成,7.462000000000001,7.223999999999999,8.4515
2025-05-22,8.5,8.58,8.22,8.58,639604.43,*ST双成,7.8,7.354000000000001,8.224499999999999
2025-05-23,8.5,8.55,8.15,8.15,509997.27,*ST双成,8.018,7.476000000000001,8.041500000000001
2025-05-26,8.3,8.56,8.29,8.56,169495.0,*ST双成,8.248,7.606,7.938
2025-05-27,8.88,8.99,8.75,8.99,101361.0,*ST双成,8.489999999999998,7.815,7.909000000000001
2025-05-28,9.44,9.44,8.61,9.05,518929.68,*ST双成,8.666,8.064,7.834999999999999
2025-05-29,8.95,9.45,8.6,8.71,441361.29,*ST双成,8.692,8.246,7.7965
2025-05-30,8.6,8.76,8.38,8.45,261551.52,*ST双成,8.751999999999999,8.385,7.7924999999999995
2025-06-03,8.46,8.54,8.06,8.19,269691.66,*ST双成,8.678,8.463,7.797
2025-06-04,8.4,8.6,8.39,8.52,378365.66,*ST双成,8.584,8.537,7.837999999999999
2025-06-05,8.36,8.36,8.09,8.12,315122.21,*ST双成,8.398,8.532,7.878
2025-06-06,8.09,8.32,8.03,8.22,195269.38,*ST双成,8.3,8.496,7.925
2025-06-09,8.15,8.5,8.15,8.39,182611.87,*ST双成,8.288,8.52,7.997999999999999
2025-06-10,8.47,8.75,8.23,8.28,234712.51,*ST双成,8.306000000000001,8.491999999999999,8.049
2025-06-11,8.21,8.32,8.02,8.09,213569.0,*ST双成,8.22,8.402,8.1085
2025-06-12,8.06,8.1,7.8,7.85,191022.0,*ST双成,8.166,8.282,8.172999999999998
2025-06-13,7.74,7.8,7.46,7.48,205592.0,*ST双成,8.018,8.158999999999999,8.2025
2025-06-16,7.44,7.74,7.38,7.6,153184.0,*ST双成,7.859999999999999,8.074000000000002,8.2295
2025-06-17,7.57,7.58,7.34,7.41,144413.5,*ST双成,7.686,7.996,8.2295
2025-06-18,7.42,7.6,7.3,7.43,130452.5,*ST双成,7.554,7.886999999999999,8.212
2025-06-19,7.31,7.58,7.29,7.32,142830.0,*ST双成,7.448,7.807,8.1695
2025-06-20,7.3,7.38,7.08,7.09,125230.34,*ST双成,7.37,7.694,8.095
2025-06-23,6.99,7.38,6.97,7.37,133154.0,*ST双成,7.324,7.5920000000000005,8.056000000000001
2025-06-24,7.36,7.46,7.31,7.38,115659.0,*ST双成,7.3180000000000005,7.502000000000001,7.997
2025-06-25,7.35,7.52,7.31,7.34,125413.34,*ST双成,7.3,7.427,7.914499999999999
2025-06-26,7.31,7.55,7.23,7.44,155928.38,*ST双成,7.324000000000001,7.386,7.8340000000000005
2025-06-27,7.44,7.44,7.24,7.27,139036.38,*ST双成,7.359999999999999,7.365,7.7620000000000005
2025-06-30,7.29,7.37,7.25,7.36,107335.0,*ST双成,7.358,7.340999999999999,7.7075000000000005
2025-07-01,7.36,7.59,7.31,7.52,169451.0,*ST双成,7.386,7.351999999999999,7.6739999999999995
2025-07-02,7.47,7.48,7.33,7.36,123095.0,*ST双成,7.390000000000001,7.345000000000001,7.616
2025-07-03,7.4,7.73,7.39,7.73,124978.0,*ST双成,7.448,7.386,7.596500000000001
2025-07-04,7.91,8.1,7.64,7.73,270817.0,*ST双成,7.540000000000001,7.45,7.572
2025-07-07,7.78,7.78,7.38,7.41,188127.0,*ST双成,7.55,7.454000000000001,7.523000000000001
2025-07-08,7.37,7.45,7.35,7.42,115353.0,*ST双成,7.529999999999999,7.458,7.480000000000001
2025-07-09,7.38,7.47,7.33,7.37,111866.5,*ST双成,7.531999999999999,7.461000000000001,7.444
2025-07-10,7.37,7.67,7.35,7.61,186600.5,*ST双成,7.508,7.478,7.4319999999999995
2025-07-11,7.59,7.98,7.54,7.76,203643.0,*ST双成,7.514,7.526999999999999,7.446
2025-07-14,7.75,7.88,7.52,7.86,175058.0,*ST双成,7.603999999999999,7.577,7.4590000000000005
2025-07-15,7.6,7.64,7.47,7.47,245055.0,*ST双成,7.614,7.572,7.462000000000001
2025-07-16,7.42,7.59,7.4,7.58,112894.0,*ST双成,7.656000000000001,7.593999999999999,7.469499999999999
