date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,13.8,13.84,12.93,13.13,29604.5,友邦吊顶,,,
2025-03-25,13.25,14.07,13.0,13.89,38476.0,友邦吊顶,,,
2025-03-26,13.88,15.28,13.78,14.46,68611.12,友邦吊顶,,,
2025-03-27,14.79,14.79,14.07,14.09,38109.57,友邦吊顶,,,
2025-03-28,14.0,14.08,13.3,13.38,35303.0,友邦吊顶,13.790000000000001,,
2025-03-31,13.16,13.31,12.9,13.26,18378.0,友邦吊顶,13.815999999999999,,
2025-04-01,13.3,13.64,13.28,13.37,18774.5,友邦吊顶,13.712,,
2025-04-02,13.42,13.6,13.29,13.41,11669.0,友邦吊顶,13.501999999999999,,
2025-04-03,13.26,13.42,13.0,13.4,12800.0,友邦吊顶,13.364,,
2025-04-07,12.67,12.67,12.06,12.06,26831.0,友邦吊顶,13.1,13.444999999999999,
2025-04-08,12.0,12.65,11.53,11.83,29128.0,友邦吊顶,12.814000000000002,13.315000000000001,
2025-04-09,11.61,12.13,10.7,12.0,35574.5,友邦吊顶,12.54,13.126000000000001,
2025-04-10,12.16,12.7,12.0,12.42,27647.0,友邦吊顶,12.342,12.922,
2025-04-11,12.38,12.65,12.26,12.39,18887.0,友邦吊顶,12.14,12.751999999999999,
2025-04-14,12.53,13.0,12.53,12.77,20974.5,友邦吊顶,12.282,12.690999999999999,
2025-04-15,13.0,13.09,12.72,12.84,17861.0,友邦吊顶,12.484,12.649,
2025-04-16,12.77,12.87,12.16,12.26,32058.5,友邦吊顶,12.536,12.538,
2025-04-17,12.26,12.81,12.15,12.58,25596.5,友邦吊顶,12.568000000000001,12.455,
2025-04-18,12.55,12.8,12.35,12.56,19473.0,友邦吊顶,12.602,12.371,
2025-04-21,12.56,12.9,12.41,12.89,19551.0,友邦吊顶,12.626,12.454,12.9495
2025-04-22,12.89,13.09,12.77,12.98,13136.0,友邦吊顶,12.654,12.568999999999999,12.942000000000002
2025-04-23,12.98,13.08,12.91,12.91,10293.0,友邦吊顶,12.784,12.66,12.893
2025-04-24,12.91,13.04,12.71,12.87,14183.0,友邦吊顶,12.842000000000002,12.705,12.813500000000001
2025-04-25,13.02,13.21,12.85,12.99,17509.5,友邦吊顶,12.928,12.765,12.758500000000002
2025-04-28,13.12,13.15,12.56,12.93,19799.5,友邦吊顶,12.936000000000002,12.781,12.736
2025-04-29,12.85,13.54,12.85,13.35,25937.0,友邦吊顶,13.01,12.831999999999999,12.7405
2025-04-30,13.42,13.97,13.38,13.77,27326.6,友邦吊顶,13.181999999999999,12.982999999999999,12.760499999999999
2025-05-06,13.98,14.35,13.78,14.2,27039.0,友邦吊顶,13.447999999999999,13.145,12.8
2025-05-07,14.33,15.13,14.33,14.5,40732.15,友邦吊顶,13.75,13.338999999999999,12.854999999999999
2025-05-08,14.49,14.7,14.32,14.65,23037.0,友邦吊顶,14.094,13.515,12.9845
2025-05-09,14.68,14.98,14.54,14.62,21380.0,友邦吊顶,14.347999999999999,13.678999999999998,13.124
2025-05-12,14.62,14.88,14.22,14.43,26101.5,友邦吊顶,14.48,13.831,13.245500000000002
2025-05-13,14.68,14.88,14.44,14.49,17225.0,友邦吊顶,14.538,13.993,13.348999999999998
2025-05-14,14.47,14.6,14.28,14.39,13282.0,友邦吊顶,14.516,14.133,13.449000000000002
2025-05-15,14.4,14.58,14.21,14.38,13502.9,友邦吊顶,14.462,14.277999999999997,13.529500000000002
2025-05-16,14.38,14.59,14.33,14.5,12502.0,友邦吊顶,14.437999999999999,14.393,13.6125
2025-05-19,14.57,14.99,14.52,14.88,18414.5,友邦吊顶,14.528,14.504000000000001,13.743500000000001
2025-05-20,14.88,15.04,14.71,15.01,11231.6,友邦吊顶,14.632,14.584999999999999,13.865
2025-05-21,15.0,15.23,14.59,14.9,19206.5,友邦吊顶,14.734,14.625,13.982
2025-05-22,14.75,15.11,14.42,14.49,24396.5,友邦吊顶,14.756,14.608999999999998,14.062000000000001
2025-05-23,14.7,14.74,14.3,14.39,18628.07,友邦吊顶,14.734,14.586000000000002,14.132499999999999
2025-05-26,14.37,14.7,14.23,14.52,16955.0,友邦吊顶,14.662,14.595000000000002,14.213
2025-05-27,14.45,14.87,14.38,14.85,17530.0,友邦吊顶,14.63,14.631,14.311999999999998
2025-05-28,14.86,15.23,14.65,14.73,19150.0,友邦吊顶,14.596,14.665000000000001,14.399000000000001
2025-05-29,14.81,14.99,14.67,14.93,18593.1,友邦吊顶,14.684000000000001,14.719999999999999,14.499
2025-05-30,14.93,15.01,14.64,14.77,14240.0,友邦吊顶,14.76,14.747,14.569999999999999
2025-06-03,14.88,15.09,14.6,14.86,16518.12,友邦吊顶,14.828,14.745,14.624500000000001
2025-06-04,14.87,15.13,14.85,15.08,16101.0,友邦吊顶,14.874,14.752,14.6685
2025-06-05,15.22,15.25,14.93,14.97,12088.0,友邦吊顶,14.922,14.759,14.692000000000002
2025-06-06,15.0,15.22,14.86,15.2,17275.99,友邦吊顶,14.975999999999999,14.830000000000002,14.7195
2025-06-09,15.25,15.25,14.9,15.08,17692.0,友邦吊顶,15.038,14.899000000000001,14.742499999999998
2025-06-10,15.08,15.3,14.62,14.99,21405.0,友邦吊顶,15.064000000000002,14.945999999999998,14.770499999999998
2025-06-11,15.0,15.2,14.95,15.02,11862.0,友邦吊顶,15.052000000000001,14.963,14.797
2025-06-12,15.26,15.29,14.93,15.14,12472.5,友邦吊顶,15.085999999999999,15.004,14.8345
2025-06-13,15.06,15.2,14.7,14.79,15092.0,友邦吊顶,15.004,14.99,14.854999999999999
2025-06-16,14.85,15.75,14.75,15.43,43400.0,友邦吊顶,15.074000000000002,15.055999999999997,14.901499999999999
2025-06-17,15.48,15.89,15.01,15.16,30373.0,友邦吊顶,15.108,15.086000000000002,14.9155
2025-06-18,15.22,15.27,14.7,14.85,22902.5,友邦吊顶,15.074000000000002,15.062999999999999,14.907499999999999
2025-06-19,14.99,14.99,14.4,14.49,18137.5,友邦吊顶,14.943999999999999,15.014999999999997,14.887
2025-06-20,14.49,14.8,14.28,14.34,15669.0,友邦吊顶,14.854,14.928999999999998,14.879500000000002
2025-06-23,14.38,14.85,14.14,14.77,22848.5,友邦吊顶,14.722,14.898,14.898500000000002
2025-06-24,14.88,15.48,14.77,15.36,31070.8,友邦吊顶,14.762,14.934999999999999,14.9405
2025-06-25,15.5,15.8,15.33,15.66,22929.0,友邦吊顶,14.924000000000001,14.999,14.981
2025-06-26,15.67,15.74,15.23,15.41,15363.6,友邦吊顶,15.107999999999999,15.026000000000002,15.015
2025-06-27,15.4,15.63,15.38,15.48,13103.5,友邦吊顶,15.336000000000002,15.094999999999999,15.0425
2025-06-30,15.55,15.93,15.42,15.84,22071.5,友邦吊顶,15.55,15.136000000000001,15.096
2025-07-01,15.75,16.0,15.4,15.58,20469.3,友邦吊顶,15.594,15.177999999999997,15.132
2025-07-02,15.61,15.67,15.41,15.6,15924.5,友邦吊顶,15.581999999999999,15.253,15.158000000000001
2025-07-03,15.67,15.84,15.56,15.7,12429.8,友邦吊顶,15.64,15.374,15.1945
2025-07-04,15.7,15.81,15.4,15.48,13101.09,友邦吊顶,15.64,15.488,15.2085
2025-07-07,15.39,15.88,15.15,15.88,17651.5,友邦吊顶,15.648,15.599,15.248500000000002
2025-07-08,15.86,15.99,15.72,15.75,15203.0,友邦吊顶,15.681999999999999,15.638000000000002,15.2865
2025-07-09,15.84,16.45,15.76,16.19,35514.0,友邦吊顶,15.8,15.690999999999999,15.345000000000002
2025-07-10,16.11,16.24,15.82,15.95,16496.5,友邦吊顶,15.85,15.745,15.385499999999999
2025-07-11,16.14,16.43,15.91,16.0,19705.4,友邦吊顶,15.953999999999999,15.797,15.446000000000002
2025-07-14,16.0,16.42,15.84,16.25,20522.7,友邦吊顶,16.028,15.838,15.487
2025-07-15,16.31,16.5,15.91,16.14,20879.0,友邦吊顶,16.106,15.894000000000002,15.535999999999998
2025-07-16,16.09,16.34,15.93,16.23,17577.0,友邦吊顶,16.114,15.956999999999999,15.605
2025-07-17,16.32,16.32,16.08,16.13,10798.0,友邦吊顶,16.15,16.0,15.687000000000001
2025-07-18,16.15,16.27,16.08,16.18,10574.59,友邦吊顶,16.186,16.07,15.779
2025-07-21,16.13,17.09,16.02,16.89,29216.0,友邦吊顶,16.314,16.171,15.885
2025-07-22,16.8,17.08,16.45,16.5,21219.82,友邦吊顶,16.386000000000003,16.246,15.941999999999998
2025-07-23,16.59,16.86,16.34,16.52,18101.0,友邦吊顶,16.444,16.279,15.985000000000003
2025-07-24,16.57,16.84,16.45,16.56,15505.0,友邦吊顶,16.53,16.34,16.042499999999997
2025-07-25,16.64,16.98,16.38,16.9,17993.77,友邦吊顶,16.674,16.43,16.1135
2025-07-28,16.9,17.19,16.75,17.06,21823.0,友邦吊顶,16.708,16.511000000000003,16.174500000000002
2025-07-29,16.97,17.14,16.71,17.03,19695.0,友邦吊顶,16.814,16.6,16.247
2025-07-30,17.0,17.07,16.61,16.86,14195.0,友邦吊顶,16.881999999999998,16.663,16.31
2025-07-31,16.87,17.05,16.57,16.65,12185.0,友邦吊顶,16.9,16.715,16.357499999999998
2025-08-01,16.61,17.03,16.6,17.02,16581.0,友邦吊顶,16.924,16.799,16.4345
2025-08-04,17.01,17.95,16.66,17.65,34369.5,友邦吊顶,17.041999999999998,16.875,16.523
2025-08-05,17.98,18.09,17.41,17.69,19846.32,友邦吊顶,17.174,16.994,16.619999999999997
2025-08-06,17.79,18.18,17.67,17.91,18199.0,友邦吊顶,17.384,17.133,16.706
2025-08-07,17.92,18.1,17.66,17.69,18020.0,友邦吊顶,17.592000000000002,17.246,16.793
2025-08-08,17.8,17.95,17.4,17.9,14096.9,友邦吊顶,17.768,17.345999999999997,16.887999999999998
2025-08-11,17.85,18.19,17.74,18.03,13528.4,友邦吊顶,17.844,17.442999999999998,16.977
2025-08-12,18.05,18.41,18.05,18.28,14347.5,友邦吊顶,17.962,17.567999999999998,17.084
2025-08-13,18.3,18.5,18.1,18.37,12770.0,友邦吊顶,18.054,17.719,17.191
2025-08-14,18.49,18.49,17.92,17.96,12722.4,友邦吊顶,18.108,17.85,17.2825
2025-08-15,17.98,18.06,17.59,17.68,16615.0,友邦吊顶,18.064,17.916000000000004,17.357499999999998
2025-08-18,17.98,18.15,17.7,17.82,16417.0,友邦吊顶,18.022,17.933,17.404
2025-08-19,17.82,18.54,17.75,18.5,22996.8,友邦吊顶,18.066000000000003,18.014000000000003,17.503999999999998
2025-08-20,18.49,18.76,18.19,18.67,16290.22,友邦吊顶,18.126,18.09,17.6115
2025-08-21,18.67,19.65,18.66,19.08,27391.0,友邦吊顶,18.35,18.229,17.7375
2025-08-22,18.93,20.29,18.69,19.66,46714.83,友邦吊顶,18.746000000000002,18.405,17.8755
2025-08-25,19.57,19.94,19.02,19.37,37459.92,友邦吊顶,19.056,18.539,17.991
2025-08-26,19.4,19.43,18.99,19.1,22015.5,友邦吊顶,19.176,18.621000000000002,18.094500000000004
2025-08-27,19.1,19.25,18.31,18.45,22822.06,友邦吊顶,19.131999999999998,18.629,18.174
2025-08-28,19.4,19.5,17.33,18.13,37518.71,友邦吊顶,18.942,18.646,18.248
2025-08-29,18.15,18.43,17.88,17.91,18256.0,友邦吊顶,18.592000000000002,18.669,18.292499999999997
2025-09-01,18.1,18.64,18.0,18.42,23217.0,友邦吊顶,18.401999999999997,18.729,18.331
2025-09-02,18.4,18.47,17.77,18.25,19127.62,友邦吊顶,18.232,18.704,18.359
2025-09-03,18.35,18.63,17.57,17.77,13061.0,友邦吊顶,18.096,18.614,18.351999999999997
2025-09-04,17.6,18.34,17.41,17.93,21688.35,友邦吊顶,18.056,18.499000000000002,18.363999999999997
2025-09-05,18.0,18.35,17.72,18.2,15771.0,友邦吊顶,18.114,18.353,18.379
2025-09-08,18.2,19.18,18.16,19.08,23745.85,友邦吊顶,18.246000000000002,18.324,18.4315
2025-09-09,19.08,19.48,18.91,19.02,19909.53,友邦吊顶,18.4,18.316,18.4685
2025-09-10,19.02,19.4,18.96,19.03,12765.8,友邦吊顶,18.651999999999997,18.374,18.5015
2025-09-11,19.12,19.41,18.72,19.26,14600.02,友邦吊顶,18.918,18.487000000000002,18.5665
2025-09-12,19.26,21.19,19.0,21.19,52479.7,友邦吊顶,19.516,18.815,18.742
2025-09-15,21.41,21.5,19.45,19.99,102786.92,友邦吊顶,19.698,18.972,18.850500000000004
2025-09-16,19.88,21.99,19.52,21.99,71991.53,友邦吊顶,20.292,19.346,19.025
2025-09-17,22.01,24.18,21.58,23.36,127170.19,友邦吊顶,21.158,19.904999999999998,19.2595
2025-09-18,23.15,23.67,22.05,23.15,78256.53,友邦吊顶,21.936,20.427,19.463
2025-09-19,22.44,25.47,22.44,24.34,75353.38,友邦吊顶,22.566,21.041,19.697
2025-09-22,23.85,26.77,23.02,26.77,62951.16,友邦吊顶,23.922,21.81,20.067
2025-09-23,27.05,27.22,24.95,25.85,77226.5,友邦吊顶,24.694,22.493000000000002,20.4045
2025-09-24,25.85,27.37,25.21,26.93,59052.65,友邦吊顶,25.407999999999998,23.283,20.8285
2025-09-25,26.93,26.98,24.5,24.89,63299.04,友邦吊顶,25.756,23.845999999999997,21.1665
2025-09-26,25.0,25.66,24.1,25.21,52987.5,友邦吊顶,25.93,24.247999999999998,21.5315
2025-09-29,25.5,25.58,24.1,24.36,37306.04,友邦吊顶,25.448,24.685,21.8285
2025-09-30,25.28,25.29,23.92,24.11,31981.04,友邦吊顶,25.1,24.897,22.1215
2025-10-09,24.71,24.86,23.29,24.39,37808.0,友邦吊顶,24.592000000000002,25.0,22.4525
2025-10-10,24.42,25.15,23.94,24.38,33763.19,友邦吊顶,24.490000000000002,25.123,22.775
2025-10-13,22.66,24.56,22.66,24.07,29940.8,友邦吊顶,24.262,25.096,23.068499999999997
2025-10-14,24.18,24.26,22.54,22.81,33117.94,友邦吊顶,23.951999999999998,24.7,23.255
2025-10-15,22.82,24.35,22.44,24.18,33215.44,友邦吊顶,23.966,24.532999999999998,23.512999999999998
2025-10-16,24.92,26.5,24.22,24.5,41803.0,友邦吊顶,23.988,24.29,23.786499999999997
2025-10-17,24.49,24.8,23.59,24.17,27060.71,友邦吊顶,23.946,24.218,24.032
2025-10-20,24.24,24.49,23.29,23.81,26706.0,友邦吊顶,23.894,24.078,24.163
2025-10-21,23.86,24.78,23.73,24.73,24551.5,友邦吊顶,24.278,24.115000000000002,24.4
2025-10-22,24.75,25.58,24.2,24.99,27786.94,友邦吊顶,24.439999999999998,24.203,24.55
2025-10-23,24.99,26.79,24.8,26.0,39897.0,友邦吊顶,24.74,24.364,24.682
2025-10-24,26.0,27.0,25.71,26.22,24319.5,友邦吊顶,25.15,24.548,24.8355
2025-10-27,26.47,26.47,24.13,24.4,57216.84,友邦吊顶,25.267999999999997,24.581,24.8385
2025-10-28,24.15,24.85,23.95,24.71,29579.44,友邦吊顶,25.264,24.770999999999997,24.735500000000002
2025-10-29,24.6,24.78,24.03,24.42,12589.4,友邦吊顶,25.15,24.795,24.663999999999998
2025-10-30,24.6,24.85,24.15,24.35,17506.5,友邦吊顶,24.82,24.78,24.535
2025-10-31,24.63,25.16,24.1,25.14,19380.5,友邦吊顶,24.604,24.877,24.5475
2025-11-03,25.1,27.2,25.1,26.96,41516.4,友邦吊顶,25.116000000000003,25.192,24.635
2025-11-04,26.57,28.84,26.5,27.49,54900.11,友邦吊顶,25.671999999999997,25.468,24.7915
2025-11-05,27.0,28.17,26.5,27.32,33065.06,友邦吊顶,26.252000000000002,25.701,24.952
2025-11-06,27.26,27.94,26.43,27.8,29089.52,友邦吊顶,26.942,25.881,25.1225
