date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,6.64,6.72,6.43,6.51,60003.0,永东股份,,,
2025-03-25,6.51,6.69,6.48,6.67,73831.04,永东股份,,,
2025-03-26,6.66,6.8,6.63,6.76,68976.81,永东股份,,,
2025-03-27,6.77,6.79,6.66,6.72,57143.0,永东股份,,,
2025-03-28,6.77,6.77,6.54,6.58,51741.0,永东股份,6.648000000000001,,
2025-03-31,6.51,6.59,6.38,6.49,61017.0,永东股份,6.644,,
2025-04-01,6.51,6.7,6.5,6.67,78680.97,永东股份,6.644,,
2025-04-02,6.69,6.73,6.63,6.66,35478.0,永东股份,6.6240000000000006,,
2025-04-03,6.66,6.73,6.55,6.65,49786.0,永东股份,6.609999999999999,,
2025-04-07,6.44,6.45,5.99,5.99,116496.93,永东股份,6.492,6.57,
2025-04-08,5.98,6.15,5.89,6.01,70865.82,永东股份,6.396,6.5200000000000005,
2025-04-09,5.91,6.04,5.57,5.98,62665.36,永东股份,6.258000000000001,6.4510000000000005,
2025-04-10,6.07,6.17,6.02,6.05,77235.28,永东股份,6.136,6.380000000000001,
2025-04-11,6.04,6.11,5.96,6.04,44749.38,永东股份,6.014,6.312,
2025-04-14,6.1,6.18,6.1,6.13,49335.37,永东股份,6.042,6.267,
2025-04-15,6.14,6.26,6.12,6.26,61308.24,永东股份,6.0920000000000005,6.244000000000001,
2025-04-16,6.21,6.27,6.1,6.19,37849.5,永东股份,6.1339999999999995,6.196,
2025-04-17,6.11,6.33,6.11,6.3,45421.86,永东股份,6.183999999999999,6.159999999999999,
2025-04-18,6.25,6.32,6.2,6.26,26282.0,永东股份,6.228,6.121,
2025-04-21,6.27,6.31,6.22,6.29,22107.37,永东股份,6.26,6.151,6.3605
2025-04-22,6.26,6.42,6.25,6.4,53336.0,永东股份,6.287999999999999,6.1899999999999995,6.3549999999999995
2025-04-23,6.42,6.45,6.35,6.38,47946.12,永东股份,6.3260000000000005,6.23,6.3405000000000005
2025-04-24,6.38,6.47,6.34,6.45,43200.04,永东股份,6.356,6.27,6.325
2025-04-25,6.42,6.48,6.4,6.42,31156.0,永东股份,6.388,6.308,6.3100000000000005
2025-04-28,6.41,6.41,6.31,6.34,35664.0,永东股份,6.398,6.329000000000001,6.298
2025-04-29,6.33,6.48,6.31,6.46,46626.87,永东股份,6.409999999999999,6.348999999999999,6.2965
2025-04-30,6.49,6.53,6.38,6.4,39221.0,永东股份,6.414,6.37,6.2829999999999995
2025-05-06,6.44,6.54,6.44,6.53,40592.5,永东股份,6.43,6.393000000000001,6.2765
2025-05-07,6.58,6.63,6.55,6.62,37353.0,永东股份,6.470000000000001,6.428999999999999,6.275
2025-05-08,6.63,6.66,6.54,6.64,31052.0,永东股份,6.529999999999999,6.464,6.307499999999999
2025-05-09,6.66,6.68,6.59,6.63,43481.88,永东股份,6.564,6.487,6.338500000000001
2025-05-12,6.73,6.82,6.56,6.68,71076.66,永东股份,6.62,6.517,6.3735
2025-05-13,6.7,6.85,6.63,6.73,74338.03,永东股份,6.659999999999999,6.545,6.407500000000001
2025-05-14,6.71,6.76,6.64,6.67,38463.0,永东股份,6.67,6.57,6.439
2025-05-15,6.67,6.77,6.62,6.69,39603.0,永东股份,6.68,6.6049999999999995,6.4670000000000005
2025-05-16,6.66,6.77,6.64,6.75,32619.75,永东股份,6.704000000000001,6.634,6.4915
2025-05-19,6.71,6.8,6.68,6.79,33166.0,永东股份,6.726000000000001,6.673,6.5215000000000005
2025-05-20,6.78,6.82,6.72,6.81,33684.0,永东股份,6.742,6.700999999999999,6.547
2025-05-21,6.8,6.87,6.77,6.84,36771.5,永东股份,6.775999999999999,6.723000000000001,6.5760000000000005
2025-05-22,6.84,6.85,6.64,6.69,69546.38,永东股份,6.776000000000001,6.728,6.596000000000001
2025-05-23,6.67,6.78,6.64,6.68,50737.3,永东股份,6.7620000000000005,6.733,6.609999999999999
2025-05-26,6.65,6.78,6.64,6.72,41377.0,永东股份,6.748,6.736999999999999,6.627
2025-05-27,6.7,6.81,6.66,6.79,45640.62,永东股份,6.744,6.743,6.644
2025-05-28,6.79,6.81,6.69,6.78,47372.0,永东股份,6.731999999999999,6.754,6.662000000000001
2025-05-29,6.76,6.85,6.72,6.83,41244.0,永东股份,6.760000000000001,6.768000000000001,6.6865
2025-05-30,6.82,6.83,6.7,6.73,33687.37,永东股份,6.7700000000000005,6.766,6.7
2025-06-03,6.74,6.78,6.68,6.75,37130.0,永东股份,6.776000000000001,6.7620000000000005,6.717499999999999
2025-06-04,6.75,6.85,6.74,6.84,31695.53,永东股份,6.786,6.765000000000001,6.733
2025-06-05,6.84,6.85,6.75,6.77,35352.0,永东股份,6.784000000000001,6.758,6.7405
2025-06-06,6.8,6.88,6.76,6.88,48220.81,永东股份,6.794,6.776999999999999,6.7525
2025-06-09,6.85,6.93,6.82,6.92,44211.33,永东股份,6.831999999999999,6.800999999999999,6.767
2025-06-10,6.93,6.97,6.82,6.91,49313.7,永东股份,6.864,6.82,6.778499999999999
2025-06-11,6.89,6.95,6.82,6.88,34477.0,永东股份,6.872,6.829000000000001,6.786
2025-06-12,6.85,6.9,6.81,6.88,41280.88,永东股份,6.894,6.839,6.7965
2025-06-13,6.84,6.89,6.78,6.81,36712.0,永东股份,6.88,6.837000000000001,6.8025
2025-06-16,6.81,6.88,6.75,6.78,47801.79,永东股份,6.851999999999999,6.8420000000000005,6.804
2025-06-17,6.73,6.83,6.63,6.7,55386.0,永东股份,6.81,6.836999999999999,6.7995
2025-06-18,6.66,6.71,6.54,6.59,43401.89,永东股份,6.752,6.812,6.788500000000001
2025-06-19,6.59,6.62,6.41,6.42,36524.31,永东股份,6.659999999999999,6.776999999999999,6.7675
2025-06-20,6.45,6.54,6.41,6.44,36143.25,永东股份,6.586,6.733,6.755
2025-06-23,6.41,7.08,6.39,7.08,170019.52,永东股份,6.645999999999999,6.749,6.775
2025-06-24,7.08,7.21,6.92,6.99,429830.04,永东股份,6.703999999999999,6.757000000000001,6.788500000000001
2025-06-25,7.05,7.29,6.94,7.07,315798.09,永东股份,6.8,6.776000000000001,6.8025
2025-06-26,7.04,7.1,6.95,6.97,179604.81,永东股份,6.910000000000001,6.784999999999999,6.812
2025-06-27,6.98,7.55,6.97,7.16,286040.51,永东股份,7.054,6.82,6.8285
2025-06-30,7.17,7.25,7.11,7.16,171865.17,永东股份,7.07,6.858,6.85
2025-07-01,7.18,7.38,7.08,7.22,212123.42,永东股份,7.116,6.909999999999999,6.8735
2025-07-02,7.16,7.25,7.1,7.18,134908.65,永东股份,7.138,6.968999999999999,6.8905
2025-07-03,7.18,7.19,7.04,7.11,110483.37,永东股份,7.1659999999999995,7.037999999999999,6.907499999999999
2025-07-04,7.12,7.13,6.94,6.97,121531.5,永东股份,7.128,7.090999999999999,6.912000000000001
2025-07-07,7.0,7.08,6.94,7.08,74164.11,永东股份,7.112,7.090999999999999,6.92
2025-07-08,7.09,7.1,7.03,7.09,74966.0,永东股份,7.086,7.101000000000001,6.929
2025-07-09,7.1,7.36,7.09,7.24,206791.56,永东股份,7.098000000000001,7.117999999999999,6.947
2025-07-10,7.28,7.31,7.14,7.21,95171.0,永东股份,7.117999999999999,7.142,6.963499999999999
2025-07-11,7.21,7.21,7.03,7.1,104365.0,永东股份,7.144,7.136,6.978
2025-07-14,7.09,7.37,7.06,7.28,130883.24,永东股份,7.184,7.148000000000001,7.003
2025-07-15,7.25,7.28,7.04,7.1,93297.37,永东股份,7.186,7.136,7.023000000000001
2025-07-16,7.1,7.13,7.05,7.13,65414.0,永东股份,7.164,7.131,7.05
