date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,6.33,6.35,6.05,6.2,67453.2,天禾股份,,,
2025-03-25,6.19,6.29,6.09,6.25,65807.6,天禾股份,,,
2025-03-26,6.23,6.4,6.2,6.4,83012.0,天禾股份,,,
2025-03-27,6.33,6.47,6.33,6.42,82185.0,天禾股份,,,
2025-03-28,6.41,6.43,6.15,6.15,89682.0,天禾股份,6.284000000000001,,
2025-03-31,6.15,6.15,5.95,6.02,68364.41,天禾股份,6.248,,
2025-04-01,6.03,6.23,6.03,6.14,49099.61,天禾股份,6.226000000000001,,
2025-04-02,6.13,6.23,6.1,6.14,34798.39,天禾股份,6.1739999999999995,,
2025-04-03,6.12,6.3,6.09,6.27,59467.0,天禾股份,6.144,,
2025-04-07,6.02,6.12,5.64,5.64,168485.24,天禾股份,6.042,6.162999999999999,
2025-04-08,5.81,6.2,5.81,6.2,203620.58,天禾股份,6.077999999999999,6.162999999999999,
2025-04-09,6.11,6.38,5.98,6.2,427920.6,天禾股份,6.090000000000001,6.1579999999999995,
2025-04-10,6.01,6.36,6.01,6.31,379998.99,天禾股份,6.1240000000000006,6.148999999999999,
2025-04-11,6.22,6.24,6.01,6.01,251695.4,天禾股份,6.072,6.108,
2025-04-14,6.0,6.23,6.0,6.13,169107.2,天禾股份,6.17,6.106,
2025-04-15,6.11,6.14,6.02,6.06,110639.0,天禾股份,6.142,6.11,
2025-04-16,6.06,6.06,5.8,5.89,141260.0,天禾股份,6.08,6.085,
2025-04-17,5.85,5.98,5.82,5.9,80303.8,天禾股份,5.997999999999999,6.061,
2025-04-18,5.91,5.94,5.76,5.81,91225.4,天禾股份,5.958,6.015,
2025-04-21,5.77,5.85,5.72,5.83,75677.4,天禾股份,5.898,6.034000000000001,6.0985
2025-04-22,5.82,6.06,5.81,6.04,154168.0,天禾股份,5.894,6.018,6.0905000000000005
2025-04-23,6.01,6.09,5.96,5.99,95690.4,天禾股份,5.914,5.997,6.0775
2025-04-24,5.99,6.09,5.93,6.02,94464.2,天禾股份,5.938,5.968,6.0585
2025-04-25,6.02,6.04,5.98,5.99,54511.2,天禾股份,5.974,5.965999999999999,6.037000000000001
2025-04-28,6.02,6.02,5.87,5.92,51098.0,天禾股份,5.992,5.945,6.025499999999999
2025-04-29,6.04,6.16,6.01,6.14,124171.4,天禾股份,6.012,5.953,6.031499999999999
2025-04-30,6.15,6.29,6.15,6.19,101139.0,天禾股份,6.0520000000000005,5.983,6.034000000000001
2025-05-06,6.19,6.35,6.19,6.34,103706.0,天禾股份,6.1160000000000005,6.026999999999999,6.044
2025-05-07,6.36,6.42,6.33,6.39,118022.2,天禾股份,6.196,6.084999999999999,6.05
2025-05-08,6.37,6.51,6.33,6.45,101954.0,天禾股份,6.3020000000000005,6.147,6.0905000000000005
2025-05-09,6.46,6.49,6.39,6.41,64768.0,天禾股份,6.356,6.184,6.101
2025-05-12,6.45,6.48,6.36,6.42,63183.2,天禾股份,6.401999999999999,6.226999999999999,6.112
2025-05-13,6.45,6.51,6.4,6.5,77053.6,天禾股份,6.434,6.275,6.121499999999999
2025-05-14,6.51,6.8,6.45,6.56,147261.8,天禾股份,6.467999999999999,6.332,6.149
2025-05-15,6.56,6.62,6.5,6.57,108973.79,天禾股份,6.492,6.397,6.170999999999999
2025-05-16,6.55,6.61,6.5,6.6,83109.0,天禾股份,6.529999999999999,6.443,6.198
2025-05-19,6.62,6.71,6.56,6.68,80192.0,天禾股份,6.581999999999999,6.492,6.2375
2025-05-20,6.67,6.79,6.63,6.77,76951.0,天禾股份,6.636,6.534999999999999,6.281000000000001
