date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,35.92,36.59,35.51,36.48,50968.9,宸展光电,,,
2025-03-25,37.0,37.2,35.48,35.65,42774.25,宸展光电,,,
2025-03-26,35.5,36.88,35.42,35.93,36860.87,宸展光电,,,
2025-03-27,35.81,36.38,35.27,35.59,28390.4,宸展光电,,,
2025-03-28,35.63,35.92,35.0,35.0,33404.99,宸展光电,35.730000000000004,,
2025-03-31,35.0,35.0,33.48,34.69,44945.88,宸展光电,35.372,,
2025-04-01,34.8,34.97,34.3,34.75,25440.96,宸展光电,35.192,,
2025-04-02,34.75,37.64,34.61,37.27,75252.99,宸展光电,35.46,,
2025-04-03,36.8,37.05,35.01,35.16,62327.1,宸展光电,35.374,,
2025-04-07,32.0,33.4,31.64,31.64,17919.99,宸展光电,34.702,35.215999999999994,
2025-04-08,29.33,30.78,28.48,28.48,38362.79,宸展光电,33.459999999999994,34.416,
2025-04-09,25.63,27.43,25.63,26.38,220312.02,宸展光电,31.786,33.489,
2025-04-10,28.0,28.94,27.3,27.31,161115.77,宸展光电,29.794,32.626999999999995,
2025-04-11,26.57,28.02,26.57,27.41,86853.98,宸展光电,28.244,31.809000000000005,
2025-04-14,28.51,29.58,27.6,27.62,117731.7,宸展光电,27.439999999999998,31.071000000000005,
2025-04-15,27.8,28.32,26.81,28.32,87290.09,宸展光电,27.407999999999998,30.434000000000005,
2025-04-16,27.99,28.23,26.72,27.14,62168.01,宸展光电,27.560000000000002,29.673000000000002,
2025-04-17,26.97,27.42,26.09,26.4,68601.31,宸展光电,27.377999999999997,28.585999999999995,
2025-04-18,26.22,26.35,25.8,26.07,47273.9,宸展光电,27.110000000000003,27.677000000000003,
2025-04-21,26.09,27.16,25.95,27.14,53066.61,宸展光电,27.014,27.226999999999997,31.2215
2025-04-22,27.07,27.29,26.48,26.49,40064.58,宸展光电,26.648000000000003,27.028000000000002,30.721999999999998
2025-04-23,26.0,27.8,25.51,27.68,108521.88,宸展光电,26.756,27.158000000000005,30.323500000000003
2025-04-24,27.31,28.7,27.31,27.64,79030.04,宸展光电,27.003999999999998,27.191000000000003,29.909000000000002
2025-04-25,27.81,28.37,27.6,28.04,50712.03,宸展光电,27.398000000000003,27.253999999999998,29.5315
2025-04-28,28.09,28.44,27.65,28.17,38191.61,宸展光电,27.604000000000003,27.309000000000005,29.190000000000005
2025-04-29,27.79,28.62,27.38,28.21,45513.02,宸展光电,27.948,27.298000000000002,28.865999999999996
2025-04-30,28.19,29.65,28.19,29.3,61395.48,宸展光电,28.272000000000002,27.514,28.5935
2025-05-06,29.69,29.97,28.86,29.12,78060.68,宸展光电,28.568,27.786,28.186
2025-05-07,29.37,29.75,28.81,29.02,48234.02,宸展光电,28.764000000000003,28.081,27.879
2025-05-08,28.81,31.92,28.81,31.92,93318.8,宸展光电,29.514,28.558999999999997,27.893
2025-05-09,31.5,32.0,30.6,30.7,96533.95,宸展光电,30.012,28.979999999999997,28.004
2025-05-12,31.27,33.29,30.79,32.07,119520.94,宸展光电,30.566000000000003,29.419000000000004,28.2885
2025-05-13,32.63,32.79,31.38,31.7,80232.8,宸展光电,31.082,29.825,28.508
