date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,29.89,31.08,28.4,29.4,202523.0,朗科科技,,,
2025-03-25,29.38,29.46,26.95,26.97,221683.98,朗科科技,,,
2025-03-26,27.23,27.5,26.57,26.8,157337.06,朗科科技,,,
2025-03-27,26.81,27.77,26.5,26.5,153321.99,朗科科技,,,
2025-03-28,26.32,27.28,26.3,26.47,118899.49,朗科科技,27.227999999999998,,
2025-03-31,26.01,26.95,24.98,26.8,181071.01,朗科科技,26.708,,
2025-04-01,26.88,26.98,25.68,25.69,148610.0,朗科科技,26.451999999999998,,
2025-04-02,25.79,27.4,25.6,27.22,251212.81,朗科科技,26.536,,
2025-04-03,26.83,28.55,26.62,27.56,229452.0,朗科科技,26.748,,
2025-04-07,24.4,25.68,22.05,22.05,173946.0,朗科科技,25.863999999999997,26.546,
2025-04-08,22.32,23.05,20.9,21.99,178453.37,朗科科技,24.901999999999997,25.805,
2025-04-09,21.21,23.16,19.2,22.77,201313.77,朗科科技,24.318,25.384999999999998,
2025-04-10,23.46,25.41,23.22,24.06,213060.77,朗科科技,23.686,25.111,
2025-04-11,23.99,25.4,23.76,24.96,159852.77,朗科科技,23.166,24.957,
2025-04-14,25.33,25.94,24.8,25.02,132554.97,朗科科技,23.759999999999998,24.812,
2025-04-15,25.03,25.68,24.45,24.61,108565.92,朗科科技,24.284,24.593,
2025-04-16,24.5,24.75,23.32,23.81,102060.54,朗科科技,24.491999999999997,24.405,
2025-04-17,23.6,24.47,23.48,23.51,77262.34,朗科科技,24.382,24.034,
2025-04-18,23.51,24.18,23.08,23.65,78142.71,朗科科技,24.119999999999997,23.643,
2025-04-21,23.32,25.83,23.28,25.39,161193.34,朗科科技,24.194,23.976999999999997,25.2615
2025-04-22,25.2,25.5,24.38,24.62,119661.0,朗科科技,24.196,24.240000000000002,25.0225
2025-04-23,24.95,25.35,24.61,24.75,85833.41,朗科科技,24.384,24.438,24.9115
2025-04-24,24.81,24.9,23.46,23.61,96900.41,朗科科技,24.404,24.393,24.752
2025-04-25,23.79,24.74,23.45,23.96,97642.61,朗科科技,24.466,24.293,24.625
2025-04-28,24.49,25.12,23.91,24.02,137781.0,朗科科技,24.192,24.193,24.5025
2025-04-29,23.9,24.85,23.45,24.07,122945.99,朗科科技,24.082,24.139,24.366
2025-04-30,24.3,25.27,23.92,25.09,172722.6,朗科科技,24.15,24.267,24.336000000000002
