date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,3.76,3.76,3.45,3.57,966003.97,思创智联,,,
2025-03-25,3.61,3.7,3.52,3.64,647245.4,思创智联,,,
2025-03-26,3.61,3.64,3.55,3.6,447034.01,思创智联,,,
2025-03-27,3.58,3.6,3.48,3.53,392194.99,思创智联,,,
2025-03-28,3.54,3.57,3.48,3.49,281870.0,思创智联,3.566,,
2025-03-31,3.46,3.52,3.39,3.51,405071.58,思创智联,3.554,,
2025-04-01,3.55,3.65,3.52,3.53,505864.3,思创智联,3.532,,
2025-04-02,3.48,3.55,3.46,3.47,348467.2,思创智联,3.5060000000000002,,
2025-04-03,3.44,3.53,3.41,3.44,276573.0,思创智联,3.4880000000000004,,
2025-04-07,3.21,3.21,2.75,2.75,758926.4,思创智联,3.34,3.4530000000000003,
2025-04-08,2.75,2.98,2.75,2.89,630106.99,思创智联,3.2159999999999997,3.3850000000000002,
2025-04-09,2.85,3.18,2.6,3.08,696769.9,思创智联,3.1260000000000003,3.3289999999999997,
2025-04-10,3.15,3.24,3.12,3.13,578990.57,思创智联,3.058,3.282,
2025-04-11,3.09,3.2,3.05,3.14,428556.0,思创智联,2.998,3.243,
2025-04-14,3.2,3.29,3.18,3.24,476752.0,思创智联,3.096,3.218,
2025-04-15,3.23,3.28,3.18,3.2,357005.26,思创智联,3.1580000000000004,3.1870000000000003,
2025-04-16,3.17,3.19,3.01,3.07,452183.86,思创智联,3.156,3.141,
2025-04-17,3.04,3.11,3.03,3.05,285689.19,思创智联,3.14,3.099,
2025-04-18,3.02,3.08,2.99,3.04,243414.54,思创智联,3.12,3.059,
2025-04-21,3.06,3.22,3.05,3.19,437475.0,思创智联,3.1100000000000003,3.1029999999999998,3.278
2025-04-22,3.19,3.23,3.12,3.14,313860.0,思创智联,3.098,3.128,3.2565
2025-04-23,3.16,3.22,3.14,3.15,350008.0,思创智联,3.114,3.1350000000000002,3.232
2025-04-24,3.17,3.17,3.02,3.04,328943.42,思创智联,3.112,3.1260000000000003,3.2039999999999997
2025-04-25,3.1,3.57,3.1,3.25,1020051.99,思创智联,3.154,3.137,3.19
2025-04-28,3.07,3.14,3.02,3.04,628935.68,思创智联,3.1239999999999997,3.117,3.1675
2025-04-29,3.12,3.34,3.03,3.19,724360.25,思创智联,3.1340000000000003,3.116,3.1515
2025-04-30,3.25,3.48,3.25,3.42,886726.93,思创智联,3.188,3.151,3.146
2025-05-06,3.5,3.65,3.5,3.54,816102.2,思创智联,3.2879999999999994,3.2,3.1495
2025-05-07,3.57,3.78,3.51,3.65,945879.88,思创智联,3.368,3.261,3.1599999999999997
2025-05-08,3.58,3.74,3.54,3.68,752133.62,思创智联,3.496,3.31,3.2064999999999997
2025-05-09,3.66,3.67,3.51,3.52,583829.0,思创智联,3.562,3.3480000000000003,3.2380000000000004
2025-05-12,3.56,3.6,3.5,3.58,473541.0,思创智联,3.5940000000000003,3.3909999999999996,3.2630000000000003
2025-05-13,3.63,3.84,3.59,3.7,845260.83,思创智联,3.626,3.457,3.2915
2025-05-14,3.67,3.75,3.62,3.65,555618.2,思创智联,3.626,3.497,3.317
2025-05-15,3.62,3.62,3.52,3.53,382317.32,思创智联,3.596,3.5460000000000003,3.3314999999999997
2025-05-16,3.51,3.6,3.49,3.58,358009.43,思创智联,3.6079999999999997,3.585,3.3505000000000003
2025-05-19,3.6,3.63,3.5,3.61,348562.75,思创智联,3.614,3.604,3.3775
2025-05-20,3.66,3.69,3.57,3.68,422607.21,思创智联,3.6100000000000003,3.618,3.4090000000000003
2025-05-21,3.66,3.71,3.59,3.6,393074.0,思创智联,3.6,3.6130000000000004,3.437
2025-05-22,3.6,3.65,3.53,3.54,303174.0,思创智联,3.6019999999999994,3.599,3.4545000000000003
2025-05-23,3.53,3.73,3.51,3.54,721988.0,思创智联,3.594,3.601,3.4745
2025-05-26,3.58,3.62,3.52,3.56,367993.5,思创智联,3.5840000000000005,3.599,3.495
2025-05-27,3.54,3.62,3.49,3.59,406467.27,思创智联,3.5660000000000003,3.588,3.5225
2025-05-28,3.59,3.65,3.49,3.51,383282.84,思创智联,3.5479999999999996,3.5740000000000003,3.5355
2025-05-29,3.5,3.73,3.49,3.7,886155.65,思创智联,3.5799999999999996,3.5909999999999997,3.5684999999999993
2025-05-30,3.75,3.78,3.63,3.67,556983.42,思创智联,3.6060000000000003,3.6,3.5925
2025-06-03,3.67,3.78,3.64,3.69,529187.3,思创智联,3.632,3.6079999999999997,3.6059999999999994
2025-06-04,3.71,3.71,3.64,3.68,388115.22,思创智联,3.65,3.6080000000000005,3.6130000000000004
2025-06-05,3.68,3.93,3.65,3.87,1167966.36,思创智联,3.722,3.6350000000000002,3.6239999999999997
2025-06-06,3.84,3.91,3.8,3.82,569876.32,思创智联,3.746,3.6630000000000003,3.6310000000000002
2025-06-09,3.82,3.95,3.8,3.92,623066.38,思创智联,3.7960000000000003,3.7010000000000005,3.651
2025-06-10,3.92,3.94,3.76,3.83,597581.66,思创智联,3.8240000000000003,3.728,3.6635
2025-06-11,3.83,3.92,3.8,3.83,416263.7,思创智联,3.854,3.752,3.6700000000000004
2025-06-12,3.82,3.87,3.77,3.82,350119.95,思创智联,3.844,3.783,3.6785000000000005
2025-06-13,3.8,3.81,3.67,3.68,448768.0,思创智联,3.816,3.781,3.686
2025-06-16,3.67,3.73,3.64,3.71,266676.0,思创智联,3.774,3.785,3.6925
2025-06-17,3.71,3.95,3.71,3.82,805211.5,思创智联,3.772,3.7979999999999996,3.7030000000000003
2025-06-18,3.78,3.81,3.72,3.75,412211.0,思创智联,3.7560000000000002,3.8049999999999997,3.7064999999999997
2025-06-19,3.76,3.76,3.6,3.61,414669.68,思创智联,3.714,3.779,3.707
2025-06-20,3.63,3.64,3.52,3.56,246828.82,思创智联,3.69,3.753,3.7079999999999997
2025-06-23,3.5,3.67,3.5,3.67,292306.91,思创智联,3.682,3.7279999999999993,3.7145
2025-06-24,3.67,3.8,3.65,3.79,411609.88,思创智联,3.6759999999999997,3.724,3.726
2025-06-25,3.8,3.84,3.74,3.83,380449.73,思创智联,3.692,3.724,3.7379999999999995
2025-06-26,3.83,3.89,3.8,3.81,436000.01,思创智联,3.732,3.7230000000000003,3.753
2025-06-27,3.81,4.0,3.79,3.86,694263.13,思创智联,3.7920000000000003,3.7410000000000005,3.761
2025-06-30,3.87,3.9,3.82,3.89,417544.92,思创智联,3.836,3.7590000000000003,3.772
2025-07-01,3.96,4.14,3.91,3.99,990965.69,思创智联,3.8760000000000003,3.776,3.7870000000000004
2025-07-02,3.94,3.99,3.86,3.9,529360.88,思创智联,3.8899999999999997,3.7909999999999995,3.7979999999999996
2025-07-03,3.93,3.98,3.89,3.93,423789.0,思创智联,3.914,3.8230000000000004,3.8010000000000006
2025-07-04,3.91,4.01,3.87,3.88,504591.68,思创智联,3.918,3.8549999999999995,3.804
2025-07-07,3.88,3.91,3.84,3.85,315147.0,思创智联,3.91,3.873,3.8004999999999995
2025-07-08,3.85,3.91,3.83,3.89,306006.7,思创智联,3.8899999999999997,3.883,3.8034999999999997
2025-07-09,3.9,3.94,3.86,3.89,330777.9,思创智联,3.8880000000000003,3.8890000000000002,3.8064999999999998
2025-07-10,3.88,3.92,3.83,3.86,283392.04,思创智联,3.874,3.8939999999999997,3.8084999999999996
2025-07-11,3.86,3.96,3.81,3.96,619911.84,思创智联,3.8900000000000006,3.904,3.8225000000000002
2025-07-14,3.95,3.97,3.88,3.94,361678.8,思创智联,3.908,3.9090000000000003,3.8340000000000005
