date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,11.94,12.1,11.27,11.5,120366.0,*ST金刚,,,
2025-03-25,11.48,11.74,11.41,11.51,78159.02,*ST金刚,,,
2025-03-26,11.61,12.04,11.4,11.68,100156.0,*ST金刚,,,
2025-03-27,11.4,11.5,11.1,11.2,99336.0,*ST金刚,,,
2025-03-28,11.16,11.43,11.1,11.13,67140.66,*ST金刚,11.404,,
2025-03-31,10.95,10.95,10.3,10.49,106457.0,*ST金刚,11.202,,
2025-04-01,10.45,10.6,9.91,10.0,163812.61,*ST金刚,10.9,,
2025-04-02,9.96,10.09,9.71,9.78,97235.0,*ST金刚,10.52,,
2025-04-03,9.58,9.89,9.46,9.58,103666.0,*ST金刚,10.196,,
2025-04-07,9.17,9.18,7.66,7.66,153064.0,*ST金刚,9.501999999999999,10.453,
2025-04-08,7.49,8.17,7.45,7.95,120243.0,*ST金刚,8.994,10.098,
2025-04-09,8.07,8.55,7.25,8.54,148737.01,*ST金刚,8.702000000000002,9.800999999999998,
2025-04-10,8.87,9.14,8.64,8.92,132339.01,*ST金刚,8.53,9.525,
2025-04-11,8.82,9.06,8.73,8.77,78893.0,*ST金刚,8.368,9.282,
2025-04-14,8.83,9.92,8.83,9.46,170341.01,*ST金刚,8.728,9.115,
2025-04-15,9.4,9.66,9.21,9.6,147092.88,*ST金刚,9.058000000000002,9.026,
2025-04-16,9.7,9.8,9.1,9.23,108554.87,*ST金刚,9.196,8.949,
2025-04-17,9.09,9.28,9.0,9.0,80364.0,*ST金刚,9.212,8.871,
2025-04-18,8.99,9.06,8.79,8.91,70167.0,*ST金刚,9.24,8.803999999999998,
2025-04-21,8.81,9.08,8.65,9.02,76087.77,*ST金刚,9.152,8.940000000000001,9.6965
2025-04-22,9.03,9.66,8.69,9.03,146813.0,*ST金刚,9.038,9.047999999999998,9.573
2025-04-23,8.96,9.1,8.8,8.8,99276.91,*ST金刚,8.952,9.074000000000002,9.4375
2025-04-24,8.8,8.8,8.03,8.06,153734.0,*ST金刚,8.764,8.988,9.256499999999999
2025-04-25,8.15,8.19,7.85,7.87,95749.0,*ST金刚,8.556,8.898,9.09
2025-04-28,7.71,7.87,7.4,7.43,137108.0,*ST金刚,8.238,8.695,8.905
2025-04-30,6.99,7.49,6.22,6.95,458705.45,*ST金刚,7.822,8.430000000000001,8.728
2025-05-06,7.38,8.34,7.29,8.34,236855.07,*ST金刚,7.730000000000001,8.341,8.645
2025-05-07,8.61,9.86,8.19,9.07,330998.77,*ST金刚,7.9319999999999995,8.348,8.6095
2025-05-08,8.8,9.34,8.8,9.11,201358.39,*ST金刚,8.18,8.368,8.586
2025-05-09,9.01,9.61,8.76,9.11,210735.78,*ST金刚,8.516,8.376999999999999,8.6585
2025-05-12,9.02,9.69,9.02,9.5,176320.32,*ST金刚,9.026,8.424000000000001,8.736
2025-05-13,9.46,10.36,9.34,9.34,207927.01,*ST金刚,9.225999999999999,8.478,8.776
2025-05-14,9.1,9.37,8.77,9.17,159338.01,*ST金刚,9.245999999999999,8.588999999999999,8.7885
2025-05-15,9.18,9.4,9.11,9.27,99073.77,*ST金刚,9.278,8.729000000000001,8.8135
2025-05-16,9.21,9.28,8.93,8.98,85832.79,*ST金刚,9.251999999999999,8.883999999999999,8.7895
2025-05-19,9.08,9.49,9.08,9.29,99491.13,*ST金刚,9.209999999999999,9.117999999999999,8.774
2025-05-20,9.39,9.73,9.21,9.64,101304.0,*ST金刚,9.27,9.248000000000001,8.7945
2025-05-21,9.61,10.1,9.53,9.83,102277.88,*ST金刚,9.402000000000001,9.324,8.836
2025-05-22,9.85,10.59,9.71,10.33,140957.31,*ST金刚,9.614,9.446,8.907
2025-05-23,10.34,10.72,9.9,10.03,130062.32,*ST金刚,9.824000000000002,9.538,8.9575
2025-05-26,9.84,10.04,9.63,9.95,68936.03,*ST金刚,9.956,9.583,9.003499999999999
2025-05-27,9.95,10.47,9.81,10.45,103611.3,*ST金刚,10.118,9.693999999999999,9.086
2025-05-28,10.48,11.25,10.45,10.98,177483.01,*ST金刚,10.348,9.875,9.232000000000001
2025-05-29,10.75,11.08,10.55,10.83,106923.03,*ST金刚,10.447999999999999,10.030999999999999,9.379999999999999
2025-05-30,10.9,11.51,10.83,11.4,126943.29,*ST金刚,10.722,10.273,9.5785
2025-06-03,11.2,12.43,11.19,12.3,151449.0,*ST金刚,11.192,10.574,9.846
2025-06-04,12.22,12.87,11.82,12.16,162886.0,*ST金刚,11.534,10.825999999999999,10.037
2025-06-05,11.95,12.49,11.74,11.85,115269.0,*ST金刚,11.708,11.028,10.176
2025-06-06,11.86,12.56,11.6,12.55,130828.49,*ST金刚,12.052000000000001,11.25,10.348
2025-06-09,12.8,12.99,12.43,12.63,91775.0,*ST金刚,12.297999999999998,11.51,10.524000000000001
2025-06-10,12.7,12.96,12.47,12.89,92330.11,*ST金刚,12.416,11.803999999999998,10.6935
2025-06-11,11.53,12.68,11.43,11.51,212836.22,*ST金刚,12.286000000000001,11.91,10.802000000000001
2025-06-12,11.6,12.0,11.02,11.87,97440.74,*ST金刚,12.290000000000001,11.999,10.937
2025-06-13,11.75,12.28,11.71,11.87,68405.0,*ST金刚,12.154,12.103,11.067
2025-06-16,11.97,12.07,11.68,11.82,46960.0,*ST金刚,11.992,12.145,11.209
2025-06-17,11.9,11.93,11.51,11.51,39076.0,*ST金刚,11.716,12.065999999999999,11.32
2025-06-18,11.51,12.63,11.51,12.4,70603.79,*ST金刚,11.894,12.09,11.458000000000002
2025-06-19,12.35,12.99,12.31,12.7,86407.0,*ST金刚,12.059999999999999,12.175,11.6015
2025-06-20,12.63,13.51,12.62,13.22,101350.0,*ST金刚,12.330000000000002,12.242,11.745999999999999
2025-06-23,13.0,13.76,13.0,13.27,79458.0,*ST金刚,12.620000000000001,12.306,11.908
2025-06-24,13.23,13.62,12.96,13.08,71319.61,*ST金刚,12.934000000000001,12.325,12.064499999999999
2025-06-25,13.4,13.59,12.05,13.16,121024.01,*ST金刚,13.085999999999999,12.49,12.2
2025-06-26,13.29,13.38,12.75,13.03,56425.0,*ST金刚,13.152000000000001,12.606,12.302499999999998
2025-06-27,13.09,13.1,12.87,12.95,34980.0,*ST金刚,13.098000000000003,12.714,12.4085
2025-06-30,13.85,13.99,13.21,13.22,77007.62,*ST金刚,13.088,12.854,12.499500000000001
2025-07-01,13.27,13.27,12.46,12.83,103941.71,*ST金刚,13.038,12.986,12.526
2025-07-02,12.76,13.3,12.56,13.04,63594.69,*ST金刚,13.014,13.05,12.569999999999999
2025-07-03,13.1,13.37,12.91,13.11,61827.0,*ST金刚,13.029999999999998,13.091,12.633
2025-07-04,13.29,13.31,12.8,12.86,46300.0,*ST金刚,13.012,13.055000000000001,12.648499999999999
2025-07-07,12.87,12.97,12.49,12.49,48606.29,*ST金刚,12.866,12.977,12.641499999999999
2025-07-08,12.62,12.8,12.15,12.46,61882.0,*ST金刚,12.792,12.915000000000001,12.620000000000001
2025-07-09,12.45,12.68,12.32,12.34,41853.0,*ST金刚,12.652000000000001,12.832999999999998,12.6615
2025-07-10,12.3,12.43,11.85,11.99,71226.0,*ST金刚,12.428,12.729,12.6675
2025-07-11,12.02,12.2,11.78,11.95,42876.0,*ST金刚,12.246,12.629000000000001,12.6715
2025-07-14,11.95,12.4,11.84,12.19,40879.48,*ST金刚,12.186,12.526,12.690000000000001
2025-07-15,12.2,12.45,11.95,12.45,47626.92,*ST金刚,12.184000000000001,12.488000000000001,12.736999999999998
2025-07-16,12.5,12.64,12.32,12.36,36538.01,*ST金刚,12.187999999999999,12.42,12.735
2025-07-17,12.37,12.49,12.17,12.23,26149.0,*ST金刚,12.236,12.331999999999999,12.7115
2025-07-18,12.28,12.55,12.27,12.49,36703.0,*ST金刚,12.344,12.295,12.675
2025-07-21,12.45,12.56,12.32,12.34,35577.04,*ST金刚,12.374,12.280000000000001,12.628499999999999
2025-07-22,12.33,12.43,12.24,12.28,29251.64,*ST金刚,12.34,12.261999999999999,12.5885
