date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,5.57,5.58,5.27,5.43,577261.67,高新兴,,,
2025-03-25,5.44,5.47,5.32,5.34,324682.09,高新兴,,,
2025-03-26,5.32,5.46,5.32,5.4,294437.83,高新兴,,,
2025-03-27,5.38,5.44,5.31,5.33,276241.0,高新兴,,,
2025-03-28,5.33,5.37,5.22,5.22,301525.9,高新兴,5.343999999999999,,
2025-03-31,5.17,5.2,5.03,5.17,390925.27,高新兴,5.292,,
2025-04-01,5.21,5.27,5.18,5.2,277311.0,高新兴,5.264,,
2025-04-02,5.23,5.29,5.22,5.22,219939.0,高新兴,5.228,,
2025-04-03,5.16,5.26,5.12,5.18,252858.31,高新兴,5.1979999999999995,,
2025-04-07,4.87,4.87,4.14,4.14,891349.83,高新兴,4.982,5.162999999999999,
2025-04-08,4.15,4.44,4.15,4.26,643191.01,高新兴,4.8,5.046,
2025-04-09,4.18,4.46,3.9,4.42,739611.81,高新兴,4.644,4.954000000000001,
2025-04-10,4.55,4.66,4.53,4.54,560099.9,高新兴,4.508,4.868,
2025-04-11,4.46,4.62,4.44,4.57,408705.65,高新兴,4.386,4.792,
2025-04-14,4.65,4.74,4.62,4.66,418348.98,高新兴,4.49,4.736,
2025-04-15,4.62,4.68,4.56,4.61,297966.81,高新兴,4.56,4.68,
2025-04-16,4.57,4.61,4.39,4.48,331628.96,高新兴,4.572,4.608,
2025-04-17,4.44,4.52,4.41,4.41,259226.98,高新兴,4.546000000000001,4.526999999999999,
2025-04-18,4.41,4.47,4.37,4.43,281078.46,高新兴,4.518000000000001,4.452,
2025-04-21,4.55,4.67,4.51,4.61,572268.95,高新兴,4.508000000000001,4.499,4.831
2025-04-22,4.57,4.6,4.51,4.52,368308.79,高新兴,4.49,4.525,4.7855
2025-04-23,4.55,4.66,4.55,4.63,458135.49,高新兴,4.52,4.545999999999999,4.75
2025-04-24,4.75,4.77,4.51,4.52,618215.0,高新兴,4.542,4.544,4.706
2025-04-25,4.55,4.6,4.52,4.56,328835.97,高新兴,4.568,4.543,4.6674999999999995
2025-04-28,4.55,4.58,4.45,4.49,311345.91,高新兴,4.544,4.526,4.631
2025-04-29,4.53,4.65,4.47,4.58,429968.97,高新兴,4.555999999999999,4.523000000000001,4.6015
2025-04-30,4.65,4.74,4.64,4.71,447026.77,高新兴,4.572,4.545999999999999,4.577
2025-05-06,4.74,4.95,4.74,4.94,495123.82,高新兴,4.656000000000001,4.599,4.563
2025-05-07,5.01,5.08,4.89,4.97,567587.16,高新兴,4.738,4.6530000000000005,4.5525
2025-05-08,4.94,5.11,4.91,5.1,502364.84,高新兴,4.859999999999999,4.702,4.6005
2025-05-09,5.09,5.18,4.98,5.03,560020.56,高新兴,4.95,4.753,4.639
2025-05-12,5.08,5.29,5.05,5.22,733823.68,高新兴,5.052,4.812,4.679
2025-05-13,5.22,5.24,5.07,5.08,543654.46,高新兴,5.08,4.868,4.706
2025-05-14,5.09,5.16,5.05,5.11,404075.9,高新兴,5.108,4.923,4.733
2025-05-15,5.08,5.1,4.96,4.96,374167.75,高新兴,5.08,4.970000000000001,4.748
2025-05-16,4.92,5.19,4.91,5.08,600797.34,高新兴,5.090000000000001,5.02,4.7715000000000005
2025-05-19,5.01,5.1,4.96,5.1,391084.55,高新兴,5.066000000000001,5.058999999999999,4.8025
2025-05-20,5.08,5.13,5.02,5.12,327883.5,高新兴,5.074,5.077,4.838
2025-05-21,5.1,5.17,5.02,5.08,397307.69,高新兴,5.068,5.088,4.8705
2025-05-22,5.03,5.13,4.99,5.02,353387.21,高新兴,5.08,5.08,4.891
2025-05-23,5.01,5.08,4.87,4.88,422141.24,高新兴,5.040000000000001,5.0649999999999995,4.909
2025-05-26,4.9,5.07,4.88,5.04,419775.14,高新兴,5.0280000000000005,5.047,4.9295
2025-05-27,5.04,5.04,4.92,4.95,321554.87,高新兴,4.994,5.034000000000001,4.951
2025-05-28,4.97,5.15,4.93,4.94,481218.87,高新兴,4.966,5.017,4.970000000000001
2025-05-29,4.92,5.24,4.92,5.18,1024196.0,高新兴,4.998,5.039,5.004499999999999
2025-05-30,5.11,5.15,5.02,5.04,589559.28,高新兴,5.029999999999999,5.035,5.0275
2025-06-03,4.99,5.09,4.96,4.98,468264.26,高新兴,5.018,5.023000000000001,5.041
2025-06-04,4.98,5.02,4.97,4.99,311323.34,高新兴,5.026000000000001,5.01,5.0435
2025-06-05,5.0,5.12,4.97,5.1,536708.33,高新兴,5.058,5.012,5.05
2025-06-06,5.12,5.12,5.03,5.07,320726.94,高新兴,5.036,5.017,5.0485
2025-06-09,5.08,5.12,5.07,5.1,289491.73,高新兴,5.048,5.039,5.052
2025-06-10,5.09,5.11,4.95,5.01,425634.52,高新兴,5.054,5.036,5.0415
2025-06-11,5.01,5.1,5.0,5.04,286414.68,高新兴,5.064,5.045,5.0395
2025-06-12,5.02,5.1,4.98,5.05,346622.14,高新兴,5.054,5.056,5.0365
2025-06-13,5.0,5.03,4.89,4.89,489259.79,高新兴,5.018,5.026999999999999,5.033
2025-06-16,4.84,4.95,4.84,4.93,242543.22,高新兴,4.984,5.016,5.025499999999999
2025-06-17,4.93,4.99,4.9,4.98,311984.91,高新兴,4.978,5.016,5.0195
2025-06-18,4.97,4.99,4.9,4.95,252378.9,高新兴,4.96,5.0120000000000005,5.011
2025-06-19,4.94,4.97,4.8,4.81,341408.69,高新兴,4.912,4.983,4.9975000000000005
2025-06-20,4.82,4.88,4.72,4.75,279021.06,高新兴,4.8839999999999995,4.951,4.984
2025-06-23,4.67,4.94,4.67,4.93,342498.67,高新兴,4.8839999999999995,4.933999999999999,4.9865
2025-06-24,5.13,5.18,5.06,5.1,672081.58,高新兴,4.9079999999999995,4.943,4.9895
2025-06-25,5.07,5.14,5.04,5.13,538884.98,高新兴,4.944,4.952,4.9985
2025-06-26,5.11,5.23,5.1,5.14,656722.82,高新兴,5.01,4.961,5.0085
2025-06-27,5.14,5.2,5.12,5.16,367196.74,高新兴,5.0920000000000005,4.988,5.0075
2025-06-30,5.16,5.22,5.15,5.2,349903.42,高新兴,5.146,5.015000000000001,5.0155
