date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,16.23,16.29,15.55,15.87,191247.11,迪安诊断,,,
2025-03-25,15.93,16.99,15.69,16.44,444784.48,迪安诊断,,,
2025-03-26,16.33,16.73,15.98,16.23,282071.72,迪安诊断,,,
2025-03-27,16.2,16.3,15.78,16.06,183470.0,迪安诊断,,,
2025-03-28,15.9,16.25,15.85,15.88,152444.66,迪安诊断,16.096,,
2025-03-31,15.88,15.96,15.24,15.88,194962.99,迪安诊断,16.098,,
2025-04-01,15.95,16.33,15.75,15.76,244147.96,迪安诊断,15.962,,
2025-04-02,15.68,15.94,15.63,15.76,138724.0,迪安诊断,15.867999999999999,,
2025-04-03,15.57,15.93,15.39,15.56,120559.0,迪安诊断,15.768,,
2025-04-07,14.25,14.88,12.45,12.63,358610.91,迪安诊断,15.118,15.607,
2025-04-08,12.83,13.73,12.83,13.32,327369.07,迪安诊断,14.606,15.351999999999999,
2025-04-09,13.2,13.79,12.36,13.7,284208.46,迪安诊断,14.193999999999999,15.078,
2025-04-10,14.05,14.42,13.98,14.01,210658.0,迪安诊断,13.844,14.856,
2025-04-11,14.0,14.45,13.9,14.17,184440.06,迪安诊断,13.565999999999999,14.667000000000002,
2025-04-14,14.35,14.49,14.19,14.27,151550.0,迪安诊断,13.894,14.506,
2025-04-15,14.2,14.28,14.01,14.12,101770.66,迪安诊断,14.053999999999998,14.329999999999998,
2025-04-16,14.03,14.08,13.52,13.66,147833.23,迪安诊断,14.045999999999998,14.12,
2025-04-17,13.57,14.15,13.55,13.79,132405.8,迪安诊断,14.001999999999999,13.922999999999998,
2025-04-18,13.87,14.02,13.59,13.69,89957.0,迪安诊断,13.906,13.736,
2025-04-21,13.66,14.22,13.57,14.2,115831.3,迪安诊断,13.892,13.892999999999997,14.75
2025-04-22,14.2,14.28,13.91,13.99,127553.0,迪安诊断,13.866,13.959999999999999,14.656
2025-04-23,14.09,14.37,14.06,14.18,158890.0,迪安诊断,13.969999999999999,14.008,14.543000000000001
2025-04-24,14.2,14.3,13.77,13.8,124532.0,迪安诊断,13.972,13.986999999999998,14.421499999999998
2025-04-25,14.3,14.67,13.75,13.75,336079.8,迪安诊断,13.984,13.944999999999999,14.305999999999997
2025-04-28,13.6,13.87,13.4,13.68,179779.76,迪安诊断,13.879999999999999,13.886,14.195999999999998
2025-04-29,13.53,14.04,13.47,13.88,179858.16,迪安诊断,13.857999999999999,13.862,14.095999999999998
2025-04-30,13.9,14.19,13.78,14.03,172204.9,迪安诊断,13.828,13.898999999999997,14.0095
2025-05-06,14.09,14.96,14.09,14.74,277812.4,迪安诊断,14.016,13.994,13.9585
2025-05-07,14.97,15.07,14.55,14.8,231367.87,迪安诊断,14.225999999999999,14.105,13.9205
2025-05-08,14.66,15.04,14.6,14.75,156096.28,迪安诊断,14.440000000000001,14.16,14.026500000000002
