date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,5.7,5.72,5.33,5.47,207023.0,佳创视讯,,,
2025-03-25,5.46,5.47,5.28,5.37,171791.0,佳创视讯,,,
2025-03-26,5.31,5.47,5.31,5.42,104213.8,佳创视讯,,,
2025-03-27,5.41,5.43,5.3,5.35,88759.0,佳创视讯,,,
2025-03-28,5.35,5.4,5.3,5.32,89128.2,佳创视讯,5.386,,
2025-03-31,5.32,5.38,5.11,5.29,132457.31,佳创视讯,5.35,,
2025-04-01,5.33,5.35,5.22,5.23,93905.0,佳创视讯,5.322,,
2025-04-02,5.23,5.34,5.2,5.24,80776.8,佳创视讯,5.286,,
2025-04-03,5.19,5.28,5.15,5.22,77460.0,佳创视讯,5.26,,
2025-04-07,4.96,4.96,4.18,4.25,252374.62,佳创视讯,5.046,5.215999999999999,
2025-04-08,4.25,4.59,4.25,4.47,211835.02,佳创视讯,4.882,5.1160000000000005,
2025-04-09,4.47,4.73,4.12,4.67,217914.05,佳创视讯,4.7700000000000005,5.046,
2025-04-10,4.78,4.9,4.75,4.76,145073.8,佳创视讯,4.6739999999999995,4.98,
2025-04-11,4.71,4.84,4.71,4.77,96454.0,佳创视讯,4.584,4.922,
2025-04-14,4.85,4.91,4.85,4.87,100468.0,佳创视讯,4.708,4.877,
2025-04-15,4.91,4.97,4.85,4.89,92773.66,佳创视讯,4.792,4.837,
2025-04-16,4.85,4.9,4.68,4.78,104302.0,佳创视讯,4.814,4.792,
2025-04-17,4.78,4.88,4.74,4.82,94668.0,佳创视讯,4.8260000000000005,4.75,
2025-04-18,4.83,4.92,4.8,4.88,97618.0,佳创视讯,4.848000000000001,4.716,
2025-04-21,4.91,4.97,4.83,4.93,89209.6,佳创视讯,4.86,4.784,5.0
2025-04-22,4.91,4.99,4.86,4.87,90244.8,佳创视讯,4.856,4.824,4.970000000000001
2025-04-23,4.98,5.4,4.98,5.08,259522.0,佳创视讯,4.9159999999999995,4.865,4.9555
2025-04-24,5.07,5.13,4.93,5.0,137787.0,佳创视讯,4.952,4.889,4.9345
2025-04-25,5.03,5.11,5.0,5.06,116728.0,佳创视讯,4.9879999999999995,4.918,4.92
2025-04-28,5.06,5.1,4.95,5.05,101261.0,佳创视讯,5.012,4.936,4.9065
2025-04-29,5.0,5.2,5.0,5.18,134863.0,佳创视讯,5.074,4.965000000000001,4.901
2025-04-30,5.15,5.37,5.15,5.31,131304.0,佳创视讯,5.119999999999999,5.018,4.904999999999999
2025-05-06,5.33,5.47,5.33,5.47,127219.44,佳创视讯,5.214,5.083,4.9165
2025-05-07,5.52,5.56,5.42,5.46,154707.44,佳创视讯,5.294,5.141,4.9285000000000005
2025-05-08,5.43,5.51,5.41,5.49,124639.3,佳创视讯,5.382,5.197,4.9905
2025-05-09,5.46,5.51,5.39,5.39,111276.0,佳创视讯,5.4239999999999995,5.2490000000000006,5.0365
2025-05-12,5.43,5.5,5.4,5.49,91583.0,佳创视讯,5.46,5.289999999999999,5.0775
2025-05-13,5.51,5.62,5.43,5.43,121446.0,佳创视讯,5.452,5.333,5.111
2025-05-14,5.45,5.53,5.39,5.48,98117.0,佳创视讯,5.456,5.375,5.1465000000000005
2025-05-15,5.5,5.5,5.38,5.39,71552.4,佳创视讯,5.436,5.409000000000001,5.172499999999999
2025-05-16,5.37,5.49,5.33,5.45,67729.45,佳创视讯,5.4479999999999995,5.436,5.2005
2025-05-19,5.46,5.61,5.42,5.56,113478.0,佳创视讯,5.462,5.461,5.2395
