date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,20.13,21.18,20.08,20.7,1218408.61,东土科技,,,
2025-03-25,21.03,21.19,18.43,18.7,1219468.74,东土科技,,,
2025-03-26,18.71,22.0,18.71,20.72,1289900.51,东土科技,,,
2025-03-27,21.12,22.35,20.66,21.6,1126955.07,东土科技,,,
2025-03-28,21.37,21.74,20.66,20.83,846334.13,东土科技,20.509999999999998,,
2025-03-31,21.3,21.74,20.2,21.63,1086305.81,东土科技,20.695999999999998,,
2025-04-01,22.3,22.64,20.01,20.1,1169661.14,东土科技,20.976000000000003,,
2025-04-02,20.29,24.12,20.29,23.28,1762125.96,东土科技,21.488,,
2025-04-03,23.86,24.0,22.73,22.77,1379768.08,东土科技,21.722,,
2025-04-07,21.6,22.1,18.23,19.2,1511170.55,东土科技,21.396,20.953,
2025-04-08,19.69,20.52,17.56,18.81,1281727.4,东土科技,20.832,20.764000000000003,
2025-04-09,18.25,20.61,16.7,19.9,1316512.53,东土科技,20.791999999999998,20.883999999999997,
2025-04-10,20.6,21.63,20.21,20.28,1187532.1,东土科技,20.192,20.839999999999996,
2025-04-11,20.2,21.88,20.11,21.4,1059668.36,东土科技,19.918,20.82,
2025-04-14,21.72,21.72,20.58,20.8,943632.98,东土科技,20.238,20.817,
2025-04-15,20.67,20.88,19.51,20.12,862039.88,东土科技,20.5,20.666,
2025-04-16,19.99,21.11,19.51,19.76,918003.0,东土科技,20.472,20.631999999999998,
2025-04-17,19.33,19.72,18.9,18.91,698895.17,东土科技,20.198,20.195,
2025-04-18,18.75,19.25,18.43,18.81,493288.63,东土科技,19.68,19.799,
2025-04-21,18.73,19.65,18.58,19.42,620727.0,东土科技,19.404,19.821,20.387
2025-04-22,19.08,19.18,17.88,17.92,753075.27,东土科技,18.964000000000002,19.732,20.248
2025-04-23,18.22,21.38,18.19,20.86,1361405.63,东土科技,19.184,19.828000000000003,20.356
2025-04-24,20.17,20.58,19.82,20.43,891571.0,东土科技,19.488,19.842999999999996,20.3415
2025-04-25,20.5,21.4,20.3,20.78,908895.0,东土科技,19.882,19.781,20.300500000000003
2025-04-28,20.91,20.97,19.89,20.19,556433.53,东土科技,20.036,19.72,20.2685
2025-04-29,20.14,21.14,19.65,20.45,701330.63,东土科技,20.542,19.753,20.2095
2025-04-30,20.32,21.59,20.03,20.84,982257.22,东土科技,20.538,19.861,20.2465
2025-05-06,21.03,22.3,20.75,21.97,861022.94,东土科技,20.845999999999997,20.167,20.181
2025-05-07,22.05,24.78,21.81,23.19,1220761.0,东土科技,21.328,20.605,20.202
2025-05-08,22.81,23.48,22.5,23.2,829677.86,东土科技,21.93,20.982999999999997,20.402
2025-05-09,22.97,23.0,20.94,21.34,944357.61,东土科技,22.107999999999997,21.325,20.5285
2025-05-12,21.58,22.34,21.44,21.65,587418.84,东土科技,22.27,21.404,20.616
2025-05-13,21.69,21.83,20.82,20.99,566343.73,东土科技,22.073999999999998,21.46,20.651500000000002
2025-05-14,20.8,21.09,20.6,20.87,385312.0,东土科技,21.61,21.469,20.625
