date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,15.68,17.95,15.68,17.25,449956.63,川金诺,,,
2025-03-25,17.02,18.27,16.92,17.75,574335.72,川金诺,,,
2025-03-26,17.46,17.88,17.4,17.55,386784.57,川金诺,,,
2025-03-27,17.56,18.83,17.55,18.03,584289.75,川金诺,,,
2025-03-28,17.35,17.6,16.51,16.52,438998.07,川金诺,17.419999999999998,,
2025-03-31,16.4,16.48,15.28,15.65,290067.91,川金诺,17.1,,
2025-04-01,15.66,16.05,15.66,15.88,180387.4,川金诺,16.726,,
2025-04-02,15.88,16.21,15.77,15.85,140034.06,川金诺,16.386000000000003,,
2025-04-03,15.7,16.42,15.7,16.08,196196.12,川金诺,15.996,,
2025-04-07,15.0,15.49,13.26,14.05,291463.64,川金诺,15.502,16.461000000000002,
2025-04-08,14.4,15.29,14.31,15.29,262039.09,川金诺,15.430000000000001,16.265,
2025-04-09,14.9,15.26,14.1,15.08,263494.95,川金诺,15.27,15.998,
2025-04-10,15.24,15.73,15.23,15.31,225475.17,川金诺,15.162,15.773999999999997,
2025-04-11,15.08,15.45,14.96,15.0,170330.54,川金诺,14.946000000000002,15.470999999999998,
2025-04-14,15.79,16.16,15.49,15.86,240426.29,川金诺,15.308000000000002,15.405000000000001,
2025-04-15,15.86,16.27,15.77,16.02,222185.5,川金诺,15.453999999999999,15.442000000000002,
2025-04-16,15.8,16.05,15.36,15.6,154454.89,川金诺,15.557999999999998,15.414000000000001,
2025-04-17,15.5,16.07,15.35,15.92,194157.1,川金诺,15.679999999999998,15.421000000000001,
2025-04-18,16.2,17.31,15.71,16.95,408832.23,川金诺,16.07,15.508,
2025-04-21,16.68,17.21,16.68,16.86,279306.49,川金诺,16.27,15.788999999999998,16.125
2025-04-22,17.0,17.39,16.56,17.18,311437.23,川金诺,16.502,15.978,16.1215
2025-04-23,17.0,17.04,16.65,16.81,219394.33,川金诺,16.744,16.151000000000003,16.0745
2025-04-24,16.77,17.26,16.5,16.88,231870.55,川金诺,16.936,16.308,16.041
2025-04-25,16.88,17.54,16.63,17.37,294952.3,川金诺,17.02,16.545,16.008000000000003
2025-04-28,17.22,17.68,16.7,17.15,251546.45,川金诺,17.078,16.674,16.039499999999997
2025-04-29,16.89,17.83,16.89,17.31,245843.06,川金诺,17.104000000000003,16.802999999999997,16.1225
2025-04-30,17.31,17.58,16.77,16.82,239243.01,川金诺,17.106,16.925,16.1695
2025-05-06,16.99,17.25,16.9,17.25,244469.04,川金诺,17.18,17.058,16.2395
2025-05-07,17.36,19.54,17.29,18.8,560335.07,川金诺,17.466,17.243000000000002,16.3755
2025-05-08,18.29,18.46,17.99,18.32,372969.07,川金诺,17.7,17.389,16.589
2025-05-09,18.16,18.43,17.53,17.66,245405.8,川金诺,17.77,17.437,16.707500000000003
2025-05-12,17.64,17.84,17.54,17.74,207158.36,川金诺,17.954,17.529999999999998,16.8405
2025-05-13,17.75,18.38,17.32,18.19,356541.06,川金诺,18.142000000000003,17.660999999999998,16.9845
2025-05-14,17.86,18.57,17.73,18.06,305910.37,川金诺,17.994,17.729999999999997,17.1375
2025-05-15,18.02,19.5,18.01,18.15,494244.2,川金诺,17.96,17.830000000000002,17.252000000000002
2025-05-16,18.11,18.96,17.53,18.79,421858.46,川金诺,18.186,17.978,17.3905
2025-05-19,18.5,19.9,18.25,19.58,492677.37,川金诺,18.554,18.253999999999998,17.5895
2025-05-20,19.21,20.28,18.95,19.1,417866.8,川金诺,18.735999999999997,18.439,17.7485
2025-05-21,18.8,19.99,18.71,19.3,427755.92,川金诺,18.984,18.488999999999997,17.866
2025-05-22,18.92,19.11,17.94,18.02,346296.12,川金诺,18.958,18.459,17.924
2025-05-23,18.0,18.38,17.58,17.64,235941.45,川金诺,18.728,18.457,17.947
2025-05-26,17.71,17.91,17.45,17.9,158157.58,川金诺,18.392000000000003,18.473,18.0015
2025-05-27,17.73,18.3,17.51,18.2,211078.35,川金诺,18.212,18.474,18.0675
2025-05-28,18.02,18.22,17.52,17.65,180629.5,川金诺,17.881999999999998,18.433,18.0815
2025-05-29,17.31,17.52,17.02,17.34,143867.45,川金诺,17.746000000000002,18.351999999999997,18.091
2025-05-30,17.26,17.63,17.09,17.26,129909.6,川金诺,17.669999999999998,18.199,18.0885
2025-06-03,17.18,17.54,17.05,17.34,110715.85,川金诺,17.558,17.975,18.1145
2025-06-04,17.26,17.82,17.13,17.8,198017.28,川金诺,17.478,17.845,18.142000000000003
2025-06-05,17.72,17.98,17.6,17.75,159998.2,川金诺,17.498,17.689999999999998,18.0895
2025-06-06,17.77,18.33,17.63,18.19,216748.0,川金诺,17.668,17.707,18.083000000000002
2025-06-09,18.11,18.28,17.98,18.21,166511.0,川金诺,17.858,17.764,18.1105
2025-06-10,18.14,18.72,17.73,17.93,254179.55,川金诺,17.976000000000003,17.767000000000003,18.119999999999997
2025-06-11,17.82,18.07,17.65,17.75,160952.4,川金诺,17.966,17.722,18.098
2025-06-12,17.74,17.92,17.49,17.83,150434.46,川金诺,17.982000000000003,17.74,18.086499999999997
2025-06-13,17.66,17.83,17.24,17.28,142940.81,川金诺,17.8,17.734,18.043
2025-06-16,17.44,18.16,17.4,17.66,148235.81,川金诺,17.69,17.774,17.9865
2025-06-17,17.61,18.8,17.6,18.25,259248.68,川金诺,17.753999999999998,17.865,17.919999999999998
2025-06-18,18.1,18.53,18.01,18.31,197831.25,川金诺,17.866,17.916,17.8805
2025-06-19,18.18,18.6,17.85,17.98,259064.35,川金诺,17.895999999999997,17.939,17.814500000000002
2025-06-20,17.95,18.87,17.83,18.57,301709.18,川金诺,18.154,17.977,17.842
2025-06-23,18.46,18.83,18.35,18.7,254690.51,川金诺,18.362000000000002,18.026,17.895
2025-06-24,18.6,19.25,18.39,19.14,323396.34,川金诺,18.54,18.147,17.957
2025-06-25,19.03,19.1,18.7,18.97,246966.47,川金诺,18.672,18.269,17.9955
2025-06-26,18.9,18.94,18.39,18.65,206738.48,川金诺,18.805999999999997,18.351000000000003,18.045499999999997
2025-06-27,18.55,18.86,18.55,18.7,178974.0,川金诺,18.832,18.493000000000002,18.1135
2025-06-30,18.69,18.7,18.45,18.7,144306.0,川金诺,18.832,18.596999999999998,18.1855
2025-07-01,18.73,19.24,18.73,19.03,247875.7,川金诺,18.81,18.674999999999997,18.27
2025-07-02,18.94,18.95,18.31,18.46,175027.12,川金诺,18.708,18.69,18.303
2025-07-03,18.46,18.62,18.32,18.53,95479.8,川金诺,18.684,18.744999999999997,18.342
2025-07-04,18.46,18.5,18.04,18.05,142869.95,川金诺,18.554000000000002,18.693,18.335
2025-07-07,18.03,18.23,18.0,18.19,66647.3,川金诺,18.452,18.642000000000003,18.334
2025-07-08,20.02,21.83,20.02,20.62,868995.42,川金诺,18.77,18.79,18.4685
2025-07-09,20.31,20.66,19.68,19.85,579203.65,川金诺,19.048000000000002,18.878,18.573500000000003
2025-07-10,19.99,20.07,19.57,19.95,363034.87,川金诺,19.332,19.008,18.6795
2025-07-11,19.89,20.14,19.71,19.98,284755.05,川金诺,19.718,19.136000000000003,18.8145
2025-07-14,19.81,20.0,19.67,19.91,189989.53,川金诺,20.062,19.257,18.927
2025-07-15,19.82,20.05,19.4,19.45,205132.0,川金诺,19.827999999999996,19.299,18.987000000000002
2025-07-16,19.44,19.7,19.38,19.46,136387.2,川金诺,19.75,19.399,19.0445
2025-07-17,19.46,19.58,19.34,19.54,129623.06,川金诺,19.668,19.5,19.1225
2025-07-18,19.58,20.1,19.47,19.93,288326.2,川金诺,19.658,19.688,19.1905
2025-07-21,19.89,20.07,19.75,19.97,207006.4,川金诺,19.669999999999998,19.866,19.254
2025-07-22,19.9,20.36,19.7,20.33,258171.21,川金诺,19.846,19.837,19.3135
2025-07-23,20.41,20.84,19.79,19.8,281669.39,川金诺,19.913999999999998,19.832,19.355
2025-07-24,19.75,20.08,19.57,19.98,209067.28,川金诺,20.002000000000002,19.835,19.4215
2025-07-25,19.93,20.45,19.67,19.69,190386.57,川金诺,19.954,19.806,19.471
2025-07-28,19.7,20.05,19.53,20.04,140879.44,川金诺,19.968,19.819,19.538
2025-07-29,20.12,20.84,19.65,20.71,339625.54,川金诺,20.044,19.945,19.622
2025-07-30,20.7,21.09,20.48,20.77,284130.48,川金诺,20.238,20.076,19.7375
2025-07-31,20.53,21.07,20.35,20.79,244866.52,川金诺,20.4,20.201,19.8505
2025-08-01,21.07,22.66,20.9,21.6,441544.12,川金诺,20.782,20.368000000000002,20.028
2025-08-04,21.21,22.06,21.17,21.88,290421.96,川金诺,21.15,20.559,20.2125
2025-08-05,22.29,22.3,21.5,21.72,246476.57,川金诺,21.352,20.698,20.2675
2025-08-06,21.9,22.04,21.5,21.65,189516.69,川金诺,21.528,20.883000000000003,20.3575
2025-08-07,21.65,21.65,21.15,21.41,188361.26,川金诺,21.651999999999997,21.026000000000003,20.4305
2025-08-08,21.36,21.63,21.3,21.42,135669.62,川金诺,21.616000000000003,21.198999999999998,20.5025
2025-08-11,21.69,22.04,21.44,22.03,207931.72,川金诺,21.645999999999997,21.398,20.6085
2025-08-12,21.92,22.07,21.65,21.73,148218.84,川金诺,21.648,21.5,20.7225
2025-08-13,21.82,21.96,21.38,21.45,150237.37,川金诺,21.608,21.568,20.822000000000003
2025-08-14,21.67,22.48,21.16,22.47,308307.33,川金诺,21.82,21.735999999999997,20.9685
2025-08-15,22.0,22.4,21.7,22.08,277220.67,川金诺,21.952,21.784,21.076
2025-08-18,22.08,22.33,21.9,22.09,200193.64,川金诺,21.964,21.805,21.182
2025-08-19,22.22,22.39,21.65,21.67,180240.84,川金诺,21.952,21.8,21.249
2025-08-20,21.58,22.03,21.43,21.85,125810.65,川金诺,22.032,21.82,21.351499999999998
2025-08-21,21.85,22.42,21.6,21.73,209513.52,川金诺,21.884,21.851999999999997,21.439
2025-08-22,21.6,21.73,21.16,21.34,191531.03,川金诺,21.736,21.844,21.5215
2025-08-25,21.57,21.77,21.34,21.5,164710.31,川金诺,21.618000000000002,21.791,21.5945
2025-08-26,21.49,21.98,21.26,21.39,225262.71,川金诺,21.562,21.756999999999998,21.6285
2025-08-27,21.41,21.46,20.63,20.68,194904.93,川金诺,21.328,21.68,21.624
2025-08-28,20.68,20.98,19.99,20.65,169479.46,川金诺,21.112000000000002,21.497999999999998,21.617
2025-08-29,20.64,20.87,20.41,20.59,112673.15,川金诺,20.962,21.348999999999997,21.566499999999998
2025-09-01,20.59,21.09,20.49,20.95,132227.08,川金诺,20.851999999999997,21.235000000000003,21.52
2025-09-02,20.95,20.97,20.1,20.26,116806.22,川金诺,20.625999999999998,21.094,21.447000000000003
2025-09-03,20.44,20.44,19.58,19.68,92081.17,川金诺,20.426,20.877000000000002,21.348499999999998
2025-09-04,19.7,19.96,19.32,19.68,92659.13,川金诺,20.232,20.672000000000004,21.262
2025-09-05,19.74,20.08,19.61,20.03,90753.91,川金诺,20.119999999999997,20.541000000000004,21.192500000000003
2025-09-08,20.01,20.67,19.88,20.63,120876.83,川金诺,20.056,20.454,21.1225
2025-09-09,20.57,21.08,20.41,20.52,137911.95,川金诺,20.107999999999997,20.366999999999997,21.062
2025-09-10,20.53,20.63,20.06,20.31,94301.6,川金诺,20.233999999999998,20.33,21.005
2025-09-11,20.27,20.5,20.1,20.5,81650.68,川金诺,20.398,20.315,20.9065
2025-09-12,20.5,20.71,20.22,20.35,101403.3,川金诺,20.462,20.291,20.82
2025-09-15,20.35,20.48,20.12,20.18,71375.45,川金诺,20.372,20.214,20.7245
2025-09-16,20.17,20.3,19.66,20.0,90872.08,川金诺,20.268,20.188,20.641000000000002
2025-09-17,20.0,20.04,19.82,19.87,74911.5,川金诺,20.18,20.207,20.542
2025-09-18,19.89,20.01,19.52,19.61,121637.68,川金诺,20.002000000000002,20.2,20.436
2025-09-19,19.62,19.76,19.4,19.54,66724.17,川金诺,19.839999999999996,20.151000000000003,20.346
2025-09-22,19.64,19.64,19.17,19.36,61349.5,川金诺,19.676,20.023999999999997,20.239
2025-09-23,19.36,19.4,18.74,19.16,87026.53,川金诺,19.508000000000003,19.887999999999998,20.1275
2025-09-24,19.06,19.51,19.06,19.46,69870.87,川金诺,19.426,19.803,20.0665
2025-09-25,19.46,20.21,19.36,19.54,143770.98,川金诺,19.412,19.707,20.011
2025-09-26,19.55,20.21,19.43,20.11,185937.75,川金诺,19.526000000000003,19.683,19.987000000000002
2025-09-29,19.98,20.56,19.86,20.51,172658.46,川金诺,19.756,19.716,19.965
2025-09-30,20.4,21.23,20.3,21.13,238432.09,川金诺,20.15,19.829,20.008499999999998
2025-10-09,21.11,21.65,20.91,21.59,211926.67,川金诺,20.576,20.000999999999998,20.104000000000003
2025-10-10,21.47,21.77,21.31,21.5,173372.24,川金诺,20.968,20.189999999999998,20.195
2025-10-13,21.35,22.0,21.0,21.88,333230.23,川金诺,21.322,20.424,20.2875
2025-10-14,21.88,22.35,21.54,21.63,289993.55,川金诺,21.546,20.651,20.3375
2025-10-15,21.64,23.4,21.55,22.33,369158.1,川金诺,21.785999999999998,20.968,20.428
2025-10-16,22.02,22.16,21.73,21.85,235570.35,川金诺,21.838,21.207,20.505000000000003
2025-10-17,21.75,22.35,21.39,21.44,146948.35,川金诺,21.826,21.397,20.552
