date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,15.04,15.15,14.04,14.56,174612.89,移为通信,,,
2025-03-25,14.47,14.58,14.1,14.23,87140.6,移为通信,,,
2025-03-26,14.22,14.48,14.18,14.37,62016.84,移为通信,,,
2025-03-27,14.34,14.58,14.12,14.34,69831.51,移为通信,,,
2025-03-28,14.3,14.48,14.1,14.1,63163.0,移为通信,14.319999999999999,,
2025-03-31,13.95,14.15,13.68,14.08,92518.43,移为通信,14.224,,
2025-04-01,14.12,14.2,13.89,13.91,78530.0,移为通信,14.16,,
2025-04-02,13.92,14.16,13.91,13.96,61950.8,移为通信,14.078,,
2025-04-03,13.75,14.07,13.54,13.63,73029.58,移为通信,13.936000000000002,,
2025-04-07,12.02,12.6,10.9,10.91,184937.1,移为通信,13.297999999999998,13.809000000000001,
2025-04-08,11.13,11.71,10.9,11.17,146462.75,移为通信,12.716,13.469999999999999,
2025-04-09,10.96,11.64,10.21,11.52,155654.9,移为通信,12.238000000000001,13.199000000000002,
2025-04-10,11.9,12.38,11.87,12.0,161068.38,移为通信,11.846,12.962,
2025-04-11,11.76,12.31,11.76,12.16,130509.1,移为通信,11.552000000000001,12.744,
2025-04-14,12.54,12.69,12.25,12.31,104320.8,移为通信,11.831999999999999,12.565000000000001,
2025-04-15,12.31,12.39,12.07,12.21,67447.0,移为通信,12.04,12.378,
2025-04-16,11.47,11.72,11.27,11.54,181248.41,移为通信,12.044,12.141,
2025-04-17,11.45,11.75,11.35,11.54,96118.8,移为通信,11.952,11.899000000000001,
2025-04-18,11.48,11.86,11.4,11.75,94936.76,移为通信,11.87,11.711,
2025-04-21,11.8,12.02,11.62,12.0,83369.0,移为通信,11.808,11.82,12.8145
2025-04-22,11.93,11.99,11.78,11.85,71289.0,移为通信,11.736,11.888,12.678999999999998
2025-04-23,11.91,12.13,11.91,12.07,95601.8,移为通信,11.842,11.943000000000001,12.571000000000002
2025-04-24,12.12,12.12,11.72,11.8,82320.5,移为通信,11.894,11.923,12.442499999999999
2025-04-25,11.82,11.98,11.71,11.78,70115.6,移为通信,11.9,11.885000000000002,12.314499999999999
2025-04-28,11.77,11.82,11.56,11.63,65323.0,移为通信,11.826,11.817,12.190999999999999
2025-04-29,11.58,11.79,11.48,11.69,55477.0,移为通信,11.794,11.764999999999999,12.0715
2025-04-30,11.73,12.03,11.67,11.96,78539.0,移为通信,11.772,11.807,11.974
2025-05-06,12.06,12.3,12.02,12.3,86403.7,移为通信,11.872000000000002,11.883,11.891
2025-05-07,12.48,12.6,12.15,12.31,95926.79,移为通信,11.978,11.939,11.825
2025-05-08,12.36,12.75,12.21,12.7,126662.7,移为通信,12.192,12.009,11.9145
2025-05-09,12.68,12.9,12.4,12.5,140035.5,移为通信,12.354000000000001,12.074000000000002,11.981
2025-05-12,12.71,12.77,12.57,12.74,95084.75,移为通信,12.510000000000002,12.141000000000002,12.042
2025-05-13,12.92,12.93,12.54,12.57,87694.17,移为通信,12.564,12.218,12.0705
2025-05-14,12.55,12.71,12.43,12.56,74208.6,移为通信,12.614,12.296,12.0905
2025-05-15,12.54,12.56,12.21,12.22,70329.6,移为通信,12.518,12.355,12.086
2025-05-16,12.2,12.43,12.15,12.32,56707.71,移为通信,12.482000000000001,12.418000000000001,12.0915
2025-05-19,12.25,12.62,12.15,12.53,70891.3,移为通信,12.440000000000001,12.475,12.141
2025-05-20,12.5,12.64,12.35,12.58,58473.0,移为通信,12.442,12.503,12.193000000000001
2025-05-21,12.6,12.6,12.31,12.34,60463.28,移为通信,12.398,12.506,12.2225
2025-05-22,12.34,12.49,12.1,12.13,65308.11,移为通信,12.379999999999999,12.449000000000002,12.229000000000001
2025-05-23,12.1,12.29,11.9,11.9,66692.86,移为通信,12.296,12.389000000000001,12.2315
2025-05-26,11.9,12.2,11.9,12.18,60868.3,移为通信,12.226,12.333,12.237
2025-05-27,12.18,12.19,11.92,12.02,53235.7,移为通信,12.114,12.278,12.248000000000001
2025-05-28,12.02,12.25,11.97,12.06,47662.7,移为通信,12.058000000000002,12.228,12.262
2025-05-29,11.9,12.29,11.9,12.27,79843.4,移为通信,12.086,12.233,12.294
2025-05-30,12.2,12.3,12.01,12.08,74731.01,移为通信,12.122,12.209,12.3135
2025-06-03,11.96,12.18,11.95,12.0,66509.0,移为通信,12.086,12.156,12.3155
