date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,47.28,47.98,45.72,47.05,53045.08,光库科技,,,
2025-03-25,47.65,48.8,47.35,47.41,54428.32,光库科技,,,
2025-03-26,47.01,48.77,46.91,48.44,59145.27,光库科技,,,
2025-03-27,47.5,48.43,46.7,47.95,59332.26,光库科技,,,
2025-03-28,47.88,49.26,47.8,48.58,72591.96,光库科技,47.886,,
2025-03-31,47.4,47.88,45.32,46.4,81680.55,光库科技,47.75599999999999,,
2025-04-01,46.28,46.55,45.9,45.97,37508.04,光库科技,47.468,,
2025-04-02,46.4,47.11,46.08,46.23,37450.0,光库科技,47.025999999999996,,
2025-04-03,45.0,46.0,43.66,44.3,55622.83,光库科技,46.296,,
2025-04-07,39.99,41.23,35.44,35.44,87265.05,光库科技,43.66799999999999,45.777,
2025-04-08,35.4,37.37,35.1,36.18,71310.71,光库科技,41.624,44.69,
2025-04-09,35.8,37.41,33.43,36.92,74974.9,光库科技,39.814,43.641000000000005,
2025-04-10,38.88,39.24,37.63,37.63,73305.34,光库科技,38.093999999999994,42.56,
2025-04-11,37.31,39.01,37.0,38.41,66105.4,光库科技,36.916,41.605999999999995,
2025-04-14,40.1,40.45,38.83,38.97,55626.24,光库科技,37.622,40.644999999999996,
2025-04-15,38.97,39.29,38.53,39.06,33877.35,光库科技,38.198,39.911,
2025-04-16,38.74,39.03,37.74,38.21,36607.56,光库科技,38.456,39.135,
2025-04-17,38.14,38.73,37.83,37.91,28690.05,光库科技,38.51199999999999,38.303000000000004,
2025-04-18,37.92,38.38,37.68,38.27,30867.0,光库科技,38.483999999999995,37.7,
2025-04-21,38.85,39.35,38.37,39.22,40453.5,光库科技,38.534,38.077999999999996,41.927499999999995
2025-04-22,38.94,39.54,38.86,38.92,39271.13,光库科技,38.50600000000001,38.352,41.521
2025-04-23,39.24,40.29,39.11,40.11,65260.17,光库科技,38.886,38.671,41.15599999999999
2025-04-24,39.75,40.2,39.32,39.58,46471.0,光库科技,39.220000000000006,38.866,40.713
2025-04-25,40.0,40.48,39.46,39.91,54013.38,光库科技,39.548,39.016000000000005,40.31099999999999
2025-04-28,39.95,40.24,39.26,39.38,32305.95,光库科技,39.58,39.057,39.851
2025-04-29,39.38,40.08,39.2,39.78,30704.13,光库科技,39.752,39.129,39.519999999999996
2025-04-30,40.17,40.6,39.71,40.39,43319.59,光库科技,39.808,39.347,39.241
2025-05-06,40.64,41.98,40.62,41.85,51277.44,光库科技,40.262,39.741,39.022000000000006
2025-05-07,42.22,42.88,41.35,41.89,54547.65,光库科技,40.658,40.102999999999994,38.901500000000006
2025-05-08,41.72,43.36,41.72,43.28,77002.62,光库科技,41.438,40.509,39.2935
2025-05-09,42.86,43.0,41.9,42.14,54366.2,光库科技,41.910000000000004,40.831,39.5915
2025-05-12,42.8,42.9,42.15,42.61,40662.0,光库科技,42.354,41.081,39.876
2025-05-13,43.03,43.38,42.26,42.32,41661.0,光库科技,42.448,41.355000000000004,40.1105
2025-05-14,42.45,43.25,42.0,42.13,47412.24,光库科技,42.496,41.577,40.2965
2025-05-15,42.0,42.21,41.12,41.19,33642.41,光库科技,42.077999999999996,41.757999999999996,40.4075
2025-05-16,41.12,41.88,41.07,41.19,27451.56,光库科技,41.888,41.899,40.514
2025-05-19,41.41,42.4,40.4,41.72,50875.56,光库科技,41.71,42.032,40.689499999999995
2025-05-20,41.51,41.8,41.18,41.54,30295.55,光库科技,41.554,42.001,40.871
2025-05-21,41.55,41.87,40.95,41.21,34302.47,光库科技,41.36999999999999,41.93300000000001,41.018
2025-05-22,40.9,41.5,40.5,40.65,30099.72,光库科技,41.26199999999999,41.67,41.0895
2025-05-23,40.65,40.84,39.38,39.44,37018.22,光库科技,40.912,41.4,41.1155
2025-05-26,39.44,40.38,39.44,40.2,32694.38,光库科技,40.608,41.159,41.120000000000005
2025-05-27,39.93,40.1,39.55,39.88,28831.5,光库科技,40.275999999999996,40.915,41.135000000000005
2025-05-28,40.02,40.3,39.47,39.79,23019.75,光库科技,39.992000000000004,40.681,41.129000000000005
2025-05-29,39.72,40.55,39.72,40.22,30949.2,光库科技,39.906,40.584,41.17100000000001
2025-05-30,39.99,40.35,39.5,39.61,30989.86,光库科技,39.940000000000005,40.426,41.1625
2025-06-03,39.61,40.74,39.49,40.33,36286.19,光库科技,39.965999999999994,40.287,41.159499999999994
2025-06-04,41.5,41.73,40.84,41.19,53386.91,光库科技,40.227999999999994,40.252,41.1265
2025-06-05,42.3,42.97,41.19,42.78,98893.14,光库科技,40.826,40.409,41.171
2025-06-06,42.38,44.2,42.21,43.99,108050.57,光库科技,41.58,40.743,41.2065
2025-06-09,44.2,44.48,43.61,43.8,77479.94,光库科技,42.41799999999999,41.179,41.2895
2025-06-10,43.57,43.78,42.47,42.99,61811.81,光库科技,42.95,41.458000000000006,41.308499999999995
2025-06-11,42.99,43.29,42.5,42.57,37857.25,光库科技,43.226,41.727000000000004,41.321
2025-06-12,42.57,44.38,42.43,43.57,88559.0,光库科技,43.384,42.105000000000004,41.392999999999994
2025-06-13,42.98,43.87,42.25,42.42,53759.66,光库科技,43.07,42.325,41.4545
2025-06-16,42.2,44.35,42.2,43.88,79640.83,光库科技,43.086,42.752,41.589
2025-06-17,43.9,43.93,42.97,43.2,42798.0,光库科技,43.128,43.039,41.663
2025-06-18,42.78,44.17,42.4,43.99,73849.35,光库科技,43.412,43.319,41.7855
2025-06-19,43.7,44.64,43.12,43.43,64653.72,光库科技,43.384,43.384,41.8965
2025-06-20,43.23,43.78,42.33,42.85,45432.95,光库科技,43.470000000000006,43.269999999999996,42.0065
2025-06-23,42.21,43.28,42.17,42.43,51513.75,光库科技,43.18000000000001,43.132999999999996,42.156
2025-06-24,42.86,43.59,42.76,43.54,62045.44,光库科技,43.248000000000005,43.188,42.32299999999999
2025-06-25,43.7,44.25,43.1,43.91,63426.51,光库科技,43.232,43.321999999999996,42.5245
2025-06-26,44.08,44.75,43.65,43.75,83389.63,光库科技,43.29600000000001,43.339999999999996,42.722500000000004
2025-06-27,44.26,48.98,43.55,47.18,224015.36,光库科技,44.162,43.815999999999995,43.070499999999996
2025-06-30,47.02,47.38,46.2,47.11,134794.5,光库科技,45.098,44.138999999999996,43.445499999999996
2025-07-01,46.96,46.98,45.92,46.32,78162.69,光库科技,45.653999999999996,44.451,43.745000000000005
2025-07-02,46.21,46.22,44.89,45.09,62412.25,光库科技,45.89,44.561,43.94
2025-07-03,45.76,46.0,45.15,45.44,66968.81,光库科技,46.227999999999994,44.762,44.073
2025-07-04,45.18,45.45,44.44,44.53,65330.87,光库科技,45.69799999999999,44.93,44.1
2025-07-07,44.2,44.77,43.75,44.56,41710.5,光库科技,45.188,45.143,44.138000000000005
2025-07-08,44.3,47.0,44.28,46.64,132553.71,光库科技,45.252,45.452999999999996,44.3205
2025-07-09,46.31,46.58,45.78,46.01,74375.15,光库科技,45.436,45.663,44.4925
2025-07-10,46.0,46.78,45.5,46.27,76298.66,光库科技,45.602000000000004,45.915000000000006,44.627500000000005
2025-07-11,46.0,46.68,45.4,45.79,68178.24,光库科技,45.854,45.775999999999996,44.796
2025-07-14,45.54,46.08,45.38,45.8,42042.59,光库科技,46.102,45.644999999999996,44.892
2025-07-15,46.2,51.57,46.11,50.56,344240.01,光库科技,46.886,46.069,45.260000000000005
2025-07-16,50.33,50.66,48.68,49.24,165004.93,光库科技,47.532,46.483999999999995,45.5225
2025-07-17,49.0,52.3,48.6,51.03,194572.28,光库科技,48.483999999999995,47.043,45.902499999999996
2025-07-18,50.68,51.99,49.92,50.65,146366.19,光库科技,49.456,47.655,46.2925
2025-07-21,50.66,52.1,49.95,50.96,140884.16,光库科技,50.48800000000001,48.295,46.719
2025-07-22,50.53,52.99,50.52,50.9,180914.15,光库科技,50.556,48.721000000000004,47.087
2025-07-23,50.41,55.58,49.93,54.49,279837.16,光库科技,51.60600000000001,49.569,47.616
2025-07-24,54.48,54.85,53.03,53.67,162971.77,光库科技,52.134,50.309,48.112
2025-07-25,53.81,54.28,53.15,53.62,121525.08,光库科技,52.727999999999994,51.092,48.434000000000005
2025-07-28,53.54,55.49,53.12,55.07,182525.39,光库科技,53.55,52.019000000000005,48.832
2025-08-12,66.08,66.08,66.08,66.08,16982.49,光库科技,56.586,53.571000000000005,49.82
2025-08-13,79.3,79.3,75.0,79.3,281636.62,光库科技,61.548,56.577,51.5305
2025-08-14,84.32,86.97,79.84,80.05,544068.32,光库科技,66.824,59.479,53.261
2025-08-15,78.01,83.25,75.01,82.0,444061.29,光库科技,72.5,62.61399999999999,55.1345
2025-08-18,81.01,98.4,81.01,97.0,552089.57,光库科技,80.886,67.218,57.7565
2025-08-19,93.66,108.0,93.66,99.6,454394.24,光库科技,87.59,72.088,60.4045
2025-08-20,94.66,97.59,90.0,92.89,328428.23,光库科技,90.30799999999999,75.928,62.7485
2025-08-21,92.97,94.4,85.99,87.2,299863.58,光库科技,91.73800000000001,79.28099999999999,64.795
2025-08-22,86.0,89.38,86.0,88.82,231040.4,光库科技,93.102,82.801,66.9465
2025-08-25,91.66,95.68,90.17,92.25,316006.05,光库科技,92.152,86.519,69.269
2025-08-26,91.0,93.88,88.49,89.0,246354.9,光库科技,90.032,88.81099999999999,71.191
2025-08-27,88.1,94.29,87.38,90.02,315742.43,光库科技,89.458,89.88300000000001,73.22999999999999
2025-08-28,89.27,103.2,89.0,101.01,399633.99,光库科技,92.22,91.979,75.729
2025-08-29,99.0,100.8,94.58,96.99,260330.95,光库科技,93.854,93.478,78.046
2025-09-01,97.02,115.04,92.8,110.56,366956.14,光库科技,97.51599999999999,94.83399999999999,81.026
2025-09-02,112.7,116.0,98.61,100.19,378712.1,光库科技,99.754,94.893,83.4905
2025-09-03,101.69,109.8,98.15,105.74,316844.78,光库科技,102.898,96.178,86.053
2025-09-04,114.0,116.8,90.99,93.52,363168.26,光库科技,101.4,96.81,88.0455
2025-09-05,95.02,101.2,92.83,100.26,285247.99,光库科技,102.054,97.954,90.3775
2025-09-08,99.75,100.28,88.8,90.82,259423.31,光库科技,98.106,97.81099999999999,92.16499999999999
2025-09-09,89.51,90.59,86.7,87.3,163964.13,光库科技,95.52799999999999,97.64099999999999,93.226
2025-09-10,90.7,95.96,87.0,92.53,257729.96,光库科技,92.886,97.892,93.88749999999999
2025-09-11,95.17,104.0,92.0,100.27,296038.93,光库科技,94.23599999999999,97.818,94.89849999999998
2025-09-12,97.0,101.93,94.83,98.2,232217.88,光库科技,93.824,97.939,95.70849999999999
2025-09-15,96.66,105.5,96.22,102.0,230041.73,光库科技,96.06,97.083,95.95849999999999
2025-09-16,102.03,105.49,98.6,100.44,191445.54,光库科技,98.688,97.10799999999999,96.0005
2025-09-17,99.01,109.01,97.62,107.1,274458.25,光库科技,101.602,97.244,96.71099999999998
2025-09-18,105.01,128.52,103.61,123.16,432526.81,光库科技,106.17999999999999,100.208,98.509
