date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,13.93,13.95,12.96,13.3,88688.0,光莆股份,,,
2025-03-25,13.33,13.35,12.9,13.05,55593.42,光莆股份,,,
2025-03-26,13.09,13.43,13.01,13.27,58440.8,光莆股份,,,
2025-03-27,13.16,13.35,12.94,13.13,47022.25,光莆股份,,,
2025-03-28,13.13,13.33,13.0,13.04,46011.71,光莆股份,13.158000000000001,,
2025-03-31,12.9,12.9,12.38,12.73,70114.61,光莆股份,13.044,,
2025-04-01,12.72,13.03,12.72,12.8,49752.0,光莆股份,12.994,,
2025-04-02,12.73,13.02,12.7,12.85,33651.0,光莆股份,12.910000000000002,,
2025-04-03,12.64,12.85,12.48,12.61,43440.11,光莆股份,12.806000000000001,,
2025-04-07,11.7,11.71,10.09,10.09,118872.12,光莆股份,12.216,12.687000000000001,
2025-04-08,10.08,10.49,9.76,10.16,117773.66,光莆股份,11.702,12.373000000000001,
2025-04-09,9.87,10.45,9.05,10.35,112953.81,光莆股份,11.212,12.103,
2025-04-10,10.6,11.07,10.39,10.88,118890.0,光莆股份,10.818000000000001,11.864,
2025-04-11,11.03,11.28,10.74,11.09,85237.0,光莆股份,10.514,11.66,
2025-04-14,11.36,11.95,11.3,11.34,77360.6,光莆股份,10.764000000000001,11.489999999999998,
2025-04-15,11.38,11.48,11.19,11.29,53967.9,光莆股份,10.99,11.346,
2025-04-16,11.29,11.36,10.74,10.97,56095.21,光莆股份,11.114,11.163,
2025-04-17,10.95,11.22,10.88,11.06,45143.41,光莆股份,11.15,10.984,
2025-04-18,11.0,11.19,10.9,11.06,38813.0,光莆股份,11.144,10.829,
2025-04-21,11.02,11.34,10.92,11.33,43564.0,光莆股份,11.142,10.953,11.82
2025-04-22,11.34,11.41,11.21,11.29,40944.0,光莆股份,11.142000000000001,11.065999999999999,11.7195
2025-04-23,11.31,11.54,11.3,11.48,59769.0,光莆股份,11.244,11.179,11.641
2025-04-24,11.41,11.44,11.06,11.18,57010.0,光莆股份,11.267999999999999,11.209,11.5365
2025-04-25,11.32,11.4,11.18,11.28,52664.12,光莆股份,11.312000000000001,11.227999999999998,11.443999999999999
2025-04-28,11.28,11.29,11.03,11.14,41978.52,光莆股份,11.274000000000001,11.208,11.349
2025-04-29,11.3,11.43,11.07,11.37,60289.12,光莆股份,11.29,11.216,11.281
2025-04-30,11.34,11.67,11.34,11.62,54123.22,光莆股份,11.318,11.281,11.222
2025-05-06,11.62,12.1,11.62,12.09,64601.0,光莆股份,11.5,11.383999999999999,11.184
2025-05-07,12.49,12.49,12.0,12.18,100377.2,光莆股份,11.68,11.495999999999999,11.1625
2025-05-08,12.15,12.36,12.11,12.33,64224.12,光莆股份,11.918,11.596,11.2745
2025-05-09,12.26,12.35,12.03,12.13,53852.11,光莆股份,12.07,11.68,11.373000000000001
2025-05-12,12.24,12.4,12.23,12.37,46029.1,光莆股份,12.22,11.769,11.474
2025-05-13,12.45,12.5,12.26,12.3,47830.55,光莆股份,12.262,11.880999999999998,11.545
2025-05-14,12.27,12.37,12.04,12.17,47911.11,光莆股份,12.26,11.97,11.599
2025-05-15,12.17,12.17,11.95,12.03,44375.0,光莆股份,12.2,12.059000000000001,11.633500000000002
2025-05-16,11.91,12.2,11.89,12.12,35906.0,光莆股份,12.197999999999999,12.134,11.675
2025-05-19,12.2,12.2,11.96,12.16,31218.0,光莆股份,12.156,12.187999999999999,11.7345
2025-05-20,12.16,12.28,12.03,12.27,37338.73,光莆股份,12.15,12.206,11.795
2025-05-21,12.21,12.27,11.93,12.01,50933.22,光莆股份,12.118,12.189,11.8425
2025-05-22,12.18,13.13,12.15,12.56,238977.7,光莆股份,12.224,12.212,11.904
2025-05-23,12.35,12.75,12.1,12.11,188563.93,光莆股份,12.222,12.21,11.945
2025-05-26,12.14,12.21,11.93,12.08,87548.28,光莆股份,12.206,12.181000000000001,11.975
2025-05-27,12.14,12.59,11.94,12.38,122173.35,光莆股份,12.228,12.189,12.035
2025-05-28,12.38,12.6,12.21,12.25,97358.88,光莆股份,12.276,12.197,12.0835
2025-05-29,12.2,12.53,12.2,12.46,82163.11,光莆股份,12.256,12.24,12.1495
2025-05-30,12.36,12.4,11.9,11.92,97320.57,光莆股份,12.218,12.219999999999999,12.177000000000001
2025-06-03,11.85,12.04,11.8,11.96,46155.3,光莆股份,12.194,12.2,12.193999999999999
2025-06-04,12.0,12.22,11.91,12.2,49749.03,光莆股份,12.158000000000001,12.193000000000001,12.1995
2025-06-05,12.18,12.35,12.11,12.35,52071.42,光莆股份,12.178,12.227,12.208
2025-06-06,12.3,12.45,12.25,12.43,43320.0,光莆股份,12.172,12.214,12.213
2025-06-09,12.4,12.52,12.3,12.49,42547.8,光莆股份,12.286,12.251999999999999,12.231
2025-06-10,12.41,12.5,12.11,12.28,47315.0,光莆股份,12.35,12.272,12.226499999999998
2025-06-11,12.24,12.61,12.21,12.45,49892.0,光莆股份,12.399999999999999,12.279,12.234
2025-06-12,12.37,12.52,12.33,12.43,46056.0,光莆股份,12.416,12.297,12.247
2025-06-13,12.33,12.36,12.08,12.12,50998.0,光莆股份,12.354,12.263,12.2515
2025-06-16,12.04,12.27,12.04,12.19,28259.0,光莆股份,12.294,12.290000000000001,12.254999999999999
2025-06-17,12.18,12.33,12.08,12.18,38963.12,光莆股份,12.274,12.312,12.256
2025-06-18,12.17,12.41,12.02,12.39,56669.11,光莆股份,12.262,12.331,12.262
2025-06-19,12.4,13.18,12.34,12.85,252926.62,光莆股份,12.346,12.381,12.304
2025-06-20,12.8,13.17,12.7,12.85,156305.65,光莆股份,12.491999999999999,12.422999999999998,12.3185
2025-06-23,12.66,13.35,12.58,13.18,187475.32,光莆股份,12.69,12.492,12.372
2025-06-24,13.18,13.91,13.08,13.8,284366.68,光莆股份,13.014,12.644,12.458
2025-06-25,13.6,13.6,13.32,13.56,220071.24,光莆股份,13.248,12.754999999999999,12.517
