date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,70.22,72.0,69.54,71.12,51999.25,江丰电子,,,
2025-03-25,71.16,71.25,69.84,70.36,29802.0,江丰电子,,,
2025-03-26,70.29,70.78,69.89,69.89,24047.0,江丰电子,,,
2025-03-27,69.82,73.95,69.7,72.87,84105.21,江丰电子,,,
2025-03-28,74.55,76.76,72.8,73.14,112349.93,江丰电子,71.476,,
2025-03-31,73.08,75.88,72.52,74.95,96128.66,江丰电子,72.242,,
2025-04-01,73.87,75.75,73.7,74.8,76527.17,江丰电子,73.13,,
2025-04-02,74.81,76.23,73.62,74.01,50700.71,江丰电子,73.954,,
2025-04-03,73.05,74.8,71.29,73.46,74494.0,江丰电子,74.072,,
2025-04-07,70.12,72.5,63.58,66.8,110137.24,江丰电子,72.804,72.14,
2025-04-08,68.0,70.23,65.8,67.28,76138.68,江丰电子,71.27,71.756,
2025-04-09,65.8,70.32,64.58,68.71,79794.25,江丰电子,70.05199999999999,71.591,
2025-04-10,70.67,72.28,69.51,70.33,73653.96,江丰电子,69.316,71.635,
2025-04-11,69.75,74.2,69.28,72.54,116191.59,江丰电子,69.13199999999999,71.602,
2025-04-14,74.15,74.2,71.88,72.99,71546.0,江丰电子,70.37,71.587,
2025-04-15,75.16,76.76,74.26,76.07,124183.8,江丰电子,72.128,71.699,
2025-04-16,74.01,74.6,70.88,71.65,109331.48,江丰电子,72.71600000000001,71.384,
2025-04-17,70.88,73.15,70.7,71.2,51780.0,江丰电子,72.89,71.103,
2025-04-18,71.5,71.8,69.62,69.79,52755.0,江丰电子,72.34,70.736,
2025-04-21,70.0,70.48,69.7,70.42,47483.92,江丰电子,71.826,71.098,71.619
2025-04-22,70.04,70.98,69.53,70.25,55703.79,江丰电子,70.662,71.39500000000001,71.5755
2025-04-23,70.5,75.7,69.97,74.75,131731.9,江丰电子,71.282,71.999,71.795
2025-04-24,74.0,74.1,72.3,73.18,98822.45,江丰电子,71.678,72.284,71.9595
2025-04-25,73.17,73.69,71.2,73.14,82788.82,江丰电子,72.348,72.34400000000001,71.973
2025-04-28,72.72,74.28,72.65,73.42,66466.75,江丰电子,72.94800000000001,72.387,71.987
2025-04-29,73.39,73.88,72.67,72.99,49839.04,江丰电子,73.49600000000001,72.079,71.88900000000001
2025-04-30,73.24,74.78,72.64,74.4,74875.96,江丰电子,73.426,72.354,71.869
2025-05-06,74.69,77.77,74.67,77.65,129783.26,江丰电子,74.32000000000001,72.999,72.051
2025-05-07,78.27,79.15,76.05,76.73,113058.24,江丰电子,75.03800000000001,73.693,72.21450000000002
2025-05-08,76.52,80.0,76.36,77.85,122054.59,江丰电子,75.924,74.436,72.767
2025-05-09,77.77,78.28,75.88,76.17,77943.06,江丰电子,76.56,75.02799999999999,73.2115
2025-05-12,76.9,77.18,75.65,76.29,74933.49,江丰电子,76.938,75.182,73.59049999999999
2025-05-13,77.0,77.05,74.88,74.96,65917.68,江丰电子,76.4,75.35999999999999,73.822
2025-05-14,75.16,75.98,74.8,75.05,54051.79,江丰电子,76.064,75.551,73.9475
2025-05-15,74.87,76.26,74.51,74.78,57418.29,江丰电子,75.45,75.687,74.037
2025-05-16,74.58,76.99,74.22,75.74,74228.02,江丰电子,75.364,75.962,74.0205
2025-05-19,75.61,76.25,74.56,75.84,55297.09,江丰电子,75.274,76.10600000000001,74.22999999999999
2025-05-20,75.84,75.84,74.81,75.09,40405.71,江丰电子,75.3,75.85,74.4245
2025-05-21,74.92,75.54,73.53,75.29,50078.46,江丰电子,75.348,75.706,74.6995
2025-05-22,74.88,75.76,73.73,74.02,43893.1,江丰电子,75.196,75.32300000000001,74.8795
2025-05-23,74.02,74.4,72.42,72.5,54286.39,江丰电子,74.548,74.95599999999999,74.99199999999999
2025-05-26,72.62,74.29,72.6,73.57,45482.62,江丰电子,74.094,74.684,74.93299999999999
2025-05-27,73.4,74.5,73.07,73.61,30181.29,江丰电子,73.798,74.54899999999999,74.95450000000001
2025-05-28,73.5,73.79,71.73,71.9,41176.0,江丰电子,73.11999999999999,74.23400000000001,74.8925
2025-05-29,72.0,73.2,71.91,72.87,29358.45,江丰电子,72.89,74.043,74.865
2025-05-30,72.43,73.47,70.99,71.58,48078.11,江丰电子,72.70599999999999,73.627,74.7945
2025-06-03,71.26,73.99,71.05,73.23,54453.97,江丰电子,72.638,73.366,74.736
2025-06-04,73.14,73.6,73.03,73.29,22757.75,江丰电子,72.574,73.18599999999999,74.518
2025-06-05,73.3,74.4,73.12,74.29,42463.71,江丰电子,73.052,73.086,74.39599999999999
2025-06-06,74.5,75.84,74.05,74.62,52985.78,江丰电子,73.40200000000002,73.146,74.2345
2025-06-09,74.49,75.5,73.7,75.05,45244.2,江丰电子,74.096,73.401,74.1785
2025-06-10,75.17,75.17,72.64,73.26,47948.0,江丰电子,74.102,73.37,74.027
2025-06-11,73.25,74.1,72.79,72.81,40106.14,江丰电子,74.006,73.29,73.9195
2025-06-12,72.8,73.39,72.25,72.49,39784.17,江丰电子,73.646,73.349,73.7915
2025-06-13,72.23,73.36,71.72,71.79,52062.55,江丰电子,73.08,73.241,73.64200000000001
2025-06-16,71.51,72.36,71.11,71.34,43390.02,江丰电子,72.33800000000001,73.21700000000001,73.422
2025-06-17,71.8,71.8,70.88,71.55,31024.23,江丰电子,71.99600000000001,73.049,73.20750000000001
2025-06-18,71.12,72.22,70.9,71.68,39253.0,江丰电子,71.77000000000001,72.888,73.037
2025-06-19,71.57,72.36,70.94,71.0,44637.18,江丰电子,71.47200000000001,72.559,72.8225
2025-06-20,71.17,72.25,71.03,71.09,44857.31,江丰电子,71.33200000000001,72.20599999999999,72.676
2025-06-23,70.62,72.22,69.88,71.99,58737.77,江丰电子,71.462,71.9,72.6505
2025-06-24,72.19,73.19,71.5,72.96,56467.82,江丰电子,71.744,71.87,72.62
