date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,20.06,20.2,19.11,19.53,105995.4,锐科激光,,,
2025-03-25,19.53,19.9,19.43,19.53,60061.55,锐科激光,,,
2025-03-26,19.45,21.0,19.39,20.4,177034.24,锐科激光,,,
2025-03-27,20.11,20.78,19.8,20.61,150758.78,锐科激光,,,
2025-03-28,20.53,20.75,20.16,20.16,79230.3,锐科激光,20.046,,
2025-03-31,20.15,20.9,19.79,20.29,140353.85,锐科激光,20.198,,
2025-04-01,20.33,21.03,20.17,20.74,161063.19,锐科激光,20.439999999999998,,
2025-04-02,20.79,20.86,20.32,20.4,106044.78,锐科激光,20.439999999999998,,
2025-04-03,20.2,20.6,19.88,20.06,96900.0,锐科激光,20.330000000000002,,
2025-04-07,19.0,19.21,16.06,16.7,193035.74,锐科激光,19.637999999999998,19.842,
2025-04-08,16.91,17.98,16.87,17.31,147442.45,锐科激光,19.041999999999998,19.619999999999997,
2025-04-09,17.0,18.08,16.32,17.89,144407.83,锐科激光,18.472,19.456,
2025-04-10,18.24,18.72,18.05,18.08,113530.11,锐科激光,18.008,19.223999999999997,
2025-04-11,17.86,18.8,17.86,18.5,102236.78,锐科激光,17.695999999999998,19.012999999999998,
2025-04-14,18.82,18.92,18.35,18.43,75721.51,锐科激光,18.042,18.84,
2025-04-15,18.43,18.85,18.28,18.5,62151.52,锐科激光,18.28,18.660999999999998,
2025-04-16,18.4,18.45,17.8,18.09,61719.57,锐科激光,18.32,18.396,
2025-04-17,17.97,18.54,17.95,18.2,54112.12,锐科激光,18.344,18.176,
2025-04-18,17.94,18.11,17.66,17.92,57995.36,锐科激光,18.228,17.962,
2025-04-21,17.9,18.2,17.77,18.16,39050.89,锐科激光,18.174,18.108,18.975
2025-04-22,18.04,18.15,17.84,17.94,49933.44,锐科激光,18.062,18.171,18.895500000000002
2025-04-23,18.05,18.23,17.88,18.06,56252.4,锐科激光,18.056,18.188,18.822
2025-04-24,18.05,18.05,17.61,17.73,54136.92,锐科激光,17.962,18.153,18.6885
2025-04-25,17.73,17.88,17.63,17.7,42358.82,锐科激光,17.918,18.073,18.543
2025-04-28,17.59,17.59,17.04,17.12,68422.87,锐科激光,17.71,17.942,18.391
2025-04-29,17.1,17.29,17.0,17.2,36696.34,锐科激光,17.562,17.812,18.2365
2025-04-30,17.25,18.33,17.23,17.84,105996.91,锐科激光,17.517999999999997,17.787,18.0915
2025-05-06,17.92,18.46,17.89,18.44,101743.28,锐科激光,17.660000000000004,17.811,17.993499999999997
2025-05-07,18.66,18.87,18.46,18.63,100450.56,锐科激光,17.846,17.881999999999998,17.922
2025-05-08,18.59,19.23,18.5,19.09,108524.82,锐科激光,18.24,17.975,18.0415
2025-05-09,20.1,22.06,19.68,20.93,525428.09,锐科激光,18.986,18.274,18.2225
2025-05-12,20.63,23.5,20.3,23.0,777246.95,锐科激光,20.018,18.768,18.478
2025-05-13,22.8,22.8,21.69,21.76,475553.88,锐科激光,20.682000000000002,19.171,18.662
2025-05-14,22.06,22.15,21.53,21.73,289541.1,锐科激光,21.302,19.573999999999998,18.823500000000003
2025-05-15,22.0,22.0,21.05,21.08,247431.33,锐科激光,21.7,19.970000000000002,18.956
2025-05-16,21.11,21.37,20.84,20.89,168980.98,锐科激光,21.692,20.339,19.075499999999998
2025-05-19,20.81,21.37,20.64,21.08,188493.8,锐科激光,21.308,20.663,19.225
2025-05-20,20.84,20.97,20.4,20.44,191270.78,锐科激光,21.044,20.863,19.336999999999996
2025-05-21,20.35,20.55,20.18,20.31,105624.03,锐科激光,20.76,21.031,19.4565
2025-05-22,20.3,20.66,20.14,20.15,129643.4,锐科激光,20.573999999999998,21.137,19.556
2025-05-23,20.04,20.33,19.8,19.84,105956.45,锐科激光,20.363999999999997,21.028,19.651
2025-05-26,19.9,20.19,19.84,20.13,86099.15,锐科激光,20.174,20.740999999999996,19.7545
2025-05-27,20.04,20.19,19.9,20.05,73520.73,锐科激光,20.095999999999997,20.57,19.8705
2025-05-28,20.16,20.26,19.68,19.78,90793.93,锐科激光,19.99,20.375,19.9745
2025-05-29,19.73,20.38,19.65,20.26,115870.34,锐科激光,20.012,20.293,20.1315
2025-05-30,20.25,20.26,19.71,19.74,92196.23,锐科激光,19.991999999999997,20.178,20.2585
2025-06-03,21.1,22.44,20.87,21.83,480983.73,锐科激光,20.332,20.253,20.458000000000002
2025-06-04,21.45,21.82,21.39,21.61,249342.31,锐科激光,20.644,20.369999999999997,20.616500000000002
2025-06-05,21.5,21.65,21.15,21.3,164847.27,锐科激光,20.948,20.469,20.75
2025-06-06,21.37,21.69,20.88,20.93,163136.19,锐科激光,21.082,20.547000000000004,20.842
2025-06-09,21.0,21.21,20.9,20.94,113090.2,锐科激光,21.322,20.657000000000004,20.842499999999998
2025-06-10,20.94,21.0,20.28,20.57,145049.32,锐科激光,21.07,20.701,20.720999999999997
2025-06-11,20.56,20.76,20.47,20.57,80074.71,锐科激光,20.862000000000002,20.753,20.6615
2025-06-12,20.58,20.78,20.4,20.57,82832.65,锐科激光,20.716,20.832,20.6035
2025-06-13,20.84,21.48,20.84,20.98,322444.04,锐科激光,20.726,20.904000000000003,20.598499999999998
2025-06-16,20.8,21.37,20.54,21.23,229923.51,锐科激光,20.784,21.053,20.6155
2025-06-17,21.11,21.65,20.85,21.48,229555.03,锐科激光,20.966,21.018,20.6355
2025-06-18,21.47,22.16,21.15,21.9,310757.31,锐科激光,21.232,21.047,20.7085
