date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,39.08,39.48,38.61,39.21,24235.59,新媒股份,,,
2025-03-25,39.18,39.35,38.85,39.2,16407.59,新媒股份,,,
2025-03-26,39.07,39.62,39.07,39.31,14928.58,新媒股份,,,
2025-03-27,39.29,39.97,39.01,39.73,19319.88,新媒股份,,,
2025-03-28,39.6,40.36,39.6,40.1,26828.73,新媒股份,39.510000000000005,,
2025-03-31,39.87,40.29,39.25,39.63,24907.54,新媒股份,39.594,,
2025-04-01,39.63,40.2,39.63,39.89,21307.2,新媒股份,39.732000000000006,,
2025-04-02,39.94,40.95,39.94,40.4,25797.0,新媒股份,39.95,,
2025-04-03,39.98,40.27,39.65,40.16,24438.0,新媒股份,40.035999999999994,,
2025-04-07,38.99,38.99,34.61,35.43,63886.48,新媒股份,39.102,39.306,
2025-04-08,35.61,37.17,35.61,36.21,42210.2,新媒股份,38.418,39.006,
2025-04-09,35.88,37.0,34.72,36.75,38426.33,新媒股份,37.79,38.760999999999996,
2025-04-10,37.19,37.9,37.1,37.48,27078.65,新媒股份,37.206,38.577999999999996,
2025-04-11,37.39,37.77,37.19,37.3,19892.8,新媒股份,36.634,38.335,
2025-04-14,37.71,37.83,37.4,37.48,19952.0,新媒股份,37.044,38.07299999999999,
2025-04-15,37.5,38.19,37.25,38.06,23133.0,新媒股份,37.414,37.916,
2025-04-16,37.9,38.43,37.3,37.93,19791.98,新媒股份,37.65,37.72,
2025-04-17,37.55,38.03,37.55,37.64,11743.0,新媒股份,37.682,37.443999999999996,
2025-04-18,37.73,37.73,37.19,37.5,11948.06,新媒股份,37.722,37.178,
2025-04-21,37.5,37.99,37.27,37.95,14544.0,新媒股份,37.815999999999995,37.43,38.368
2025-04-22,37.78,37.98,37.65,37.82,10137.0,新媒股份,37.768,37.591,38.2985
2025-04-23,37.93,38.29,37.83,37.85,17243.5,新媒股份,37.752,37.701,38.231
2025-04-24,37.85,38.79,37.53,38.54,28964.68,新媒股份,37.932,37.807,38.1925
2025-04-25,38.49,39.6,38.28,39.16,27567.43,新媒股份,38.263999999999996,37.993,38.164
2025-04-28,39.12,39.63,38.08,38.27,33267.18,新媒股份,38.328,38.072,38.072500000000005
2025-04-29,38.12,39.27,38.05,38.98,28283.0,新媒股份,38.559999999999995,38.164,38.04
2025-04-30,38.9,39.25,38.82,39.0,14189.3,新媒股份,38.79,38.271,37.9955
2025-05-06,39.15,39.35,39.01,39.16,23184.6,新媒股份,38.914,38.423,37.933499999999995
2025-05-07,39.4,39.93,39.2,39.27,24772.0,新媒股份,38.936,38.6,37.888999999999996
2025-05-08,39.18,39.69,39.17,39.55,18816.6,新媒股份,39.19199999999999,38.76,38.095
2025-05-09,39.4,39.49,39.09,39.27,13978.43,新媒股份,39.25,38.905,38.248000000000005
2025-05-12,39.4,39.59,39.12,39.35,16926.0,新媒股份,39.32000000000001,39.055,38.378
2025-05-13,39.55,39.6,39.12,39.21,15362.0,新媒股份,39.33,39.122,38.4645
2025-05-14,39.21,39.38,38.69,39.19,15956.93,新媒股份,39.314,39.125,38.559000000000005
2025-05-15,39.21,39.45,39.01,39.25,15546.86,新媒股份,39.254,39.223,38.6475
2025-05-16,39.2,39.37,39.0,39.05,11142.97,新媒股份,39.21,39.23,38.696999999999996
2025-05-19,39.12,39.58,38.74,39.5,17599.88,新媒股份,39.239999999999995,39.279999999999994,38.7755
2025-05-20,39.5,40.07,39.32,40.01,23607.82,新媒股份,39.4,39.364999999999995,38.894
2025-05-21,39.89,40.1,39.82,39.94,11926.3,新媒股份,39.55,39.432,39.016000000000005
2025-05-22,39.92,40.07,39.47,39.47,14976.0,新媒股份,39.594,39.424,39.092
2025-05-23,39.67,39.67,38.75,38.77,16436.6,新媒股份,39.538,39.373999999999995,39.139500000000005
2025-05-26,38.88,39.36,38.76,39.17,11633.94,新媒股份,39.471999999999994,39.356,39.2055
2025-05-27,39.17,39.24,38.77,38.97,10891.0,新媒股份,39.263999999999996,39.332,39.227
2025-05-28,38.96,39.32,38.92,39.16,11517.28,新媒股份,39.108,39.32899999999999,39.227
2025-05-29,39.1,39.66,39.03,39.59,17793.77,新媒股份,39.132,39.363,39.293
2025-05-30,39.54,40.45,39.32,40.3,37517.83,新媒股份,39.438,39.488,39.358999999999995
