date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,29.67,29.77,27.16,27.73,40479.4,捷强装备,,,
2025-03-25,27.71,29.29,27.49,28.35,38052.09,捷强装备,,,
2025-03-26,28.25,28.74,27.82,28.08,22286.6,捷强装备,,,
2025-03-27,27.9,28.25,26.83,27.53,23055.4,捷强装备,,,
2025-03-28,27.4,27.66,26.7,26.72,19606.2,捷强装备,27.682,,
2025-03-31,26.45,26.75,25.98,26.61,15395.49,捷强装备,27.458,,
2025-04-01,26.66,28.72,26.66,28.34,42095.52,捷强装备,27.456,,
2025-04-02,28.35,28.41,27.28,27.44,26989.6,捷强装备,27.328000000000003,,
2025-04-03,27.16,27.65,26.76,27.06,17724.0,捷强装备,27.234,,
2025-04-07,25.6,25.6,21.65,21.65,36682.62,捷强装备,26.22,26.951,
2025-04-08,21.65,23.33,21.62,22.5,26157.9,捷强装备,25.398000000000003,26.428000000000004,
2025-04-09,22.28,27.0,21.56,27.0,83131.15,捷强装备,25.130000000000003,26.293,
2025-04-10,26.28,28.4,26.01,27.0,88769.98,捷强装备,25.042,26.185000000000002,
2025-04-11,26.86,27.26,26.44,26.44,47557.79,捷强装备,24.918,26.076,
2025-04-14,26.44,26.89,26.44,26.63,28208.3,捷强装备,25.913999999999998,26.067,
2025-04-15,26.92,26.92,26.25,26.45,20084.0,捷强装备,26.703999999999997,26.051,
2025-04-16,26.4,26.86,25.22,25.81,28944.83,捷强装备,26.465999999999998,25.798000000000002,
2025-04-17,25.55,26.61,25.42,25.73,22860.65,捷强装备,26.212,25.627,
2025-04-18,25.8,25.88,25.04,25.32,18319.0,捷强装备,25.988,25.452999999999996,
2025-04-21,25.35,25.88,25.2,25.58,15127.0,捷强装备,25.778,25.845999999999997,26.398500000000002
2025-04-22,25.85,25.85,25.08,25.23,15592.8,捷强装备,25.534,26.119,26.273500000000002
2025-04-23,25.23,25.5,25.05,25.1,13739.0,捷强装备,25.392,25.929000000000002,26.111
2025-04-24,25.1,25.19,24.41,24.64,15808.2,捷强装备,25.174,25.693,25.939
2025-04-25,24.48,24.58,24.15,24.17,14459.8,捷强装备,24.944,25.466,25.770999999999997
2025-04-28,25.09,25.56,24.0,24.28,28694.4,捷强装备,24.684,25.231,25.649
2025-04-29,24.02,24.96,23.72,24.58,22339.9,捷强装备,24.554,25.044,25.547500000000003
2025-04-30,24.78,26.27,24.61,25.53,29282.1,捷强装备,24.64,25.016,25.407
2025-05-06,25.83,26.63,25.71,26.56,26643.4,捷强装备,25.024,25.099,25.363
2025-05-07,26.96,28.93,26.9,28.28,69448.5,捷强装备,25.845999999999997,25.395000000000003,25.424
2025-05-08,27.81,28.8,27.61,28.58,58915.9,捷强装备,26.706,25.695,25.7705
2025-05-09,29.17,33.58,29.1,30.23,128471.42,捷强装备,27.836000000000002,26.195,26.157
2025-05-12,28.92,32.0,28.52,30.36,115349.7,捷强装备,28.802,26.720999999999997,26.325
2025-05-13,30.54,30.6,28.88,28.97,81805.77,捷强装备,29.284,27.154000000000003,26.4235
2025-05-14,29.12,29.7,28.46,28.68,45988.0,捷强装备,29.363999999999997,27.604999999999997,26.535500000000003
2025-05-15,28.56,28.98,28.19,28.75,41294.3,捷强装备,29.398000000000003,28.052,26.6415
2025-05-16,28.47,29.08,28.17,28.18,30598.8,捷强装备,28.988,28.412,26.728
2025-05-19,28.18,28.45,27.92,28.35,22936.1,捷强装备,28.586000000000002,28.694000000000006,26.855
2025-05-20,28.35,28.38,27.85,28.33,21485.83,捷强装备,28.458,28.871000000000002,26.985000000000003
2025-05-21,28.82,29.23,27.8,28.18,34399.02,捷强装备,28.357999999999997,28.861,27.127999999999997
2025-05-22,27.94,28.79,27.76,28.24,36735.0,捷强装备,28.256,28.826999999999998,27.261000000000003
2025-05-23,28.03,30.3,28.01,30.04,102913.82,捷强装备,28.627999999999997,28.808,27.5015
2025-05-26,29.51,31.13,28.06,30.0,86693.67,捷强装备,28.958,28.772,27.746499999999997
2025-05-27,30.04,30.19,29.2,29.71,49993.97,捷强装备,29.233999999999998,28.845999999999997,28.0
2025-05-28,29.42,31.8,29.0,31.1,106850.5,捷强装备,29.818,29.088,28.346500000000002
2025-05-29,30.42,31.0,30.05,30.87,64614.86,捷强装备,30.344,29.3,28.676
2025-05-30,30.61,30.78,29.5,30.24,48105.56,捷强装备,30.384000000000004,29.506,28.959000000000003
2025-06-03,31.18,32.6,30.6,32.02,91984.77,捷强装备,30.788,29.873,29.283500000000004
2025-06-04,31.22,32.17,30.48,30.67,79760.53,捷强装备,30.98,30.107,29.488999999999997
2025-06-05,30.31,30.63,30.02,30.32,44076.0,捷强装备,30.824,30.320999999999998,29.591
2025-06-06,30.16,30.63,29.8,30.38,43321.24,捷强装备,30.726,30.535000000000004,29.681
2025-06-09,30.11,30.45,29.81,30.22,37306.8,捷强装备,30.722,30.553000000000004,29.680500000000002
2025-06-10,26.32,26.99,25.6,25.76,134901.76,捷强装备,29.47,30.129,29.450499999999998
2025-06-11,25.74,26.13,25.51,25.96,68015.0,捷强装备,28.528,29.754,29.3
2025-06-12,25.94,26.25,25.67,26.19,47409.45,捷强装备,27.702000000000005,29.262999999999998,29.1755
2025-06-13,28.4,31.43,28.4,31.43,103696.16,捷强装备,27.912,29.319,29.309499999999996
2025-06-16,36.42,37.72,34.05,37.72,190483.27,捷强装备,29.412,30.067,29.7865
2025-06-17,39.2,44.98,36.01,43.94,298698.82,捷强装备,33.048,31.259000000000004,30.566000000000003
2025-06-18,43.47,52.58,43.39,51.08,300461.7,捷强装备,38.072,33.3,31.7035
2025-06-19,48.0,55.58,45.45,49.77,285363.98,捷强装备,42.788,35.245,32.783
2025-06-20,46.78,51.5,45.8,47.43,189628.35,捷强装备,45.988,36.95,33.7425
2025-06-23,49.61,54.14,48.48,51.51,247697.29,捷强装备,48.745999999999995,39.07899999999999,34.816
2025-06-24,41.21,46.6,41.21,42.32,245472.48,捷强装备,48.422000000000004,40.735,35.432
2025-06-25,40.01,48.79,40.01,45.12,245605.03,捷强装备,47.230000000000004,42.650999999999996,36.2025
2025-06-26,40.95,46.69,40.93,44.57,234822.34,捷强装备,46.19,44.489,36.876
