date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,30.26,31.08,28.72,29.43,44158.0,品渥食品,,,
2025-03-25,29.45,29.98,28.25,29.64,50429.14,品渥食品,,,
2025-03-26,29.28,29.39,28.77,28.9,33674.0,品渥食品,,,
2025-03-27,28.72,29.55,28.59,28.7,29809.65,品渥食品,,,
2025-03-28,28.97,28.99,27.94,27.99,26013.12,品渥食品,28.932,,
2025-03-31,27.82,27.82,26.5,26.84,30229.0,品渥食品,28.413999999999998,,
2025-04-01,26.91,27.22,26.56,26.65,22847.02,品渥食品,27.816000000000003,,
2025-04-02,26.73,27.24,26.48,26.81,18805.0,品渥食品,27.398000000000003,,
2025-04-03,26.55,28.33,26.5,27.7,42708.0,品渥食品,27.197999999999997,,
2025-04-07,25.91,27.99,24.28,25.13,59073.52,品渥食品,26.625999999999998,27.778999999999996,
2025-04-08,25.95,30.16,25.58,30.16,50506.02,品渥食品,27.29,27.851999999999997,
2025-04-09,31.0,36.19,30.1,36.19,159631.78,品渥食品,29.198,28.506999999999998,
2025-04-10,34.0,43.43,33.44,41.95,215987.22,品渥食品,32.226,29.811999999999994,
2025-04-11,39.48,40.86,36.55,37.46,170632.35,品渥食品,34.178000000000004,30.688,
2025-04-14,36.1,38.54,36.1,37.46,127426.99,品渥食品,36.64399999999999,31.634999999999998,
2025-04-15,36.46,39.86,35.23,36.17,152139.55,品渥食品,37.846,32.568,
2025-04-16,36.4,40.8,35.2,39.82,161688.54,品渥食品,38.572,33.885000000000005,
2025-04-17,37.43,43.01,37.2,39.82,172862.56,品渥食品,38.146,35.186,
2025-04-18,38.99,39.65,36.49,36.6,125663.8,品渥食品,37.974000000000004,36.07600000000001,
2025-04-21,36.02,43.92,35.6,43.92,169700.02,品渥食品,39.266000000000005,37.955,32.867000000000004
2025-04-22,45.66,45.66,40.32,40.7,169041.53,品渥食品,40.172000000000004,39.009,33.4305
2025-04-23,39.36,39.98,37.1,37.38,137160.0,品渥食品,39.684000000000005,39.128,33.817499999999995
2025-04-24,36.96,39.68,36.63,39.08,139802.19,品渥食品,39.536,38.841,34.326499999999996
2025-04-25,37.4,38.2,36.1,36.9,90680.0,品渥食品,39.596,38.785,34.7365
2025-04-28,34.6,34.65,31.21,31.87,102391.91,品渥食品,37.186,38.226,34.9305
2025-04-29,32.9,33.1,32.17,32.75,67426.0,品渥食品,35.596,37.884,35.226
2025-04-30,32.7,33.66,32.15,32.22,67018.0,品渥食品,34.564,37.124,35.5045
2025-05-06,32.31,33.51,32.31,33.37,60494.0,品渥食品,33.422000000000004,36.479,35.832499999999996
2025-05-07,34.27,34.48,32.96,33.44,72758.0,品渥食品,32.730000000000004,36.163,36.1195
2025-05-08,33.43,34.16,32.62,33.6,58764.0,品渥食品,33.076,35.131,36.543
2025-05-09,33.48,34.35,33.08,33.13,65153.99,品渥食品,33.152,34.373999999999995,36.6915
2025-05-12,32.5,33.46,32.38,33.18,50084.0,品渥食品,33.344,33.95399999999999,36.541000000000004
2025-05-13,33.18,33.58,32.4,32.46,48591.0,品渥食品,33.162,33.292,36.0665
2025-05-14,32.52,32.65,31.98,32.53,37553.0,品渥食品,32.980000000000004,32.855000000000004,35.82000000000001
2025-05-15,32.5,35.99,32.05,34.68,132681.53,品渥食品,33.196000000000005,33.136,35.681
2025-05-16,34.33,35.59,34.13,35.02,106066.11,品渥食品,33.574,33.363,35.6235
2025-05-19,34.5,36.79,33.5,35.78,99744.42,品渥食品,34.094,33.719,35.421499999999995
2025-05-20,35.39,37.85,35.39,37.0,109021.0,品渥食品,35.001999999999995,34.082,35.280499999999996
2025-05-21,36.14,36.98,35.5,35.5,78649.0,品渥食品,35.596,34.288,35.2255
2025-05-22,35.01,35.9,33.88,33.93,72410.0,品渥食品,35.446000000000005,34.321000000000005,34.726
2025-05-23,34.1,34.18,33.2,33.31,45189.09,品渥食品,35.104,34.339000000000006,34.3565
