date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,18.21,18.47,17.21,17.57,21690.0,深圳瑞捷,,,
2025-03-25,17.72,17.77,17.0,17.42,12949.38,深圳瑞捷,,,
2025-03-26,17.24,18.17,17.24,17.9,20678.76,深圳瑞捷,,,
2025-03-27,17.86,18.08,17.38,17.68,13689.0,深圳瑞捷,,,
2025-03-28,17.88,17.88,17.28,17.28,11622.75,深圳瑞捷,17.57,,
2025-03-31,17.15,17.28,16.8,17.11,13340.69,深圳瑞捷,17.478,,
2025-04-01,17.12,17.65,17.12,17.36,12763.62,深圳瑞捷,17.465999999999998,,
2025-04-02,17.35,17.73,17.2,17.47,13050.19,深圳瑞捷,17.380000000000003,,
2025-04-03,17.34,17.55,17.11,17.37,12145.63,深圳瑞捷,17.317999999999998,,
2025-04-07,16.31,16.65,13.9,13.9,29876.91,深圳瑞捷,16.642000000000003,17.106,
2025-04-08,14.3,15.04,14.15,14.7,28993.63,深圳瑞捷,16.16,16.819,
2025-04-09,14.78,15.49,13.48,15.3,30510.58,深圳瑞捷,15.748,16.607,
2025-04-10,15.44,15.88,15.43,15.59,24189.76,深圳瑞捷,15.372,16.376,
2025-04-11,15.59,15.69,15.4,15.48,18359.5,深圳瑞捷,14.994,16.156,
2025-04-14,15.73,15.96,15.6,15.64,12785.21,深圳瑞捷,15.341999999999999,15.992,
2025-04-15,15.51,15.82,15.4,15.53,11405.0,深圳瑞捷,15.508000000000001,15.834,
2025-04-16,15.45,15.73,14.79,15.18,14659.34,深圳瑞捷,15.484,15.616,
2025-04-17,15.17,16.23,15.05,15.46,27685.63,深圳瑞捷,15.458000000000002,15.415000000000001,
2025-04-18,15.56,16.68,15.1,16.21,44753.88,深圳瑞捷,15.604,15.299000000000001,
2025-04-21,15.72,15.8,15.2,15.55,38626.32,深圳瑞捷,15.586000000000002,15.463999999999999,16.285
2025-04-22,15.5,15.72,15.4,15.58,21243.13,深圳瑞捷,15.596,15.552000000000001,16.1855
2025-04-23,15.59,16.18,15.59,15.7,20677.63,深圳瑞捷,15.7,15.591999999999999,16.0995
2025-04-24,15.65,16.46,15.5,15.79,31040.26,深圳瑞捷,15.766,15.612,15.994
2025-04-25,16.0,16.13,15.62,15.7,21303.0,深圳瑞捷,15.664000000000001,15.634,15.895000000000001
2025-04-28,15.68,15.96,15.32,15.55,19033.5,深圳瑞捷,15.663999999999998,15.625,15.808499999999999
2025-04-29,15.56,15.88,15.51,15.76,16025.0,深圳瑞捷,15.7,15.648,15.741000000000003
2025-04-30,15.8,16.11,15.8,16.05,14970.87,深圳瑞捷,15.77,15.735000000000003,15.6755
2025-05-06,16.09,16.33,16.09,16.3,14779.5,深圳瑞捷,15.872,15.818999999999999,15.616999999999999
2025-05-07,16.51,16.68,16.37,16.49,17173.62,深圳瑞捷,16.03,15.847,15.572999999999999
2025-05-08,16.57,16.91,16.39,16.91,18279.99,深圳瑞捷,16.302,15.983,15.723500000000001
2025-05-09,16.98,17.06,16.76,16.86,15345.62,深圳瑞捷,16.522,16.111,15.8315
2025-05-12,17.0,17.1,16.72,17.0,13742.63,深圳瑞捷,16.712,16.241000000000003,15.9165
2025-05-13,17.14,17.28,16.85,16.89,9378.46,深圳瑞捷,16.83,16.351,15.9815
2025-05-14,16.99,16.99,16.61,16.82,11810.61,深圳瑞捷,16.895999999999997,16.463,16.0485
2025-05-15,16.8,16.95,16.64,16.79,8267.61,深圳瑞捷,16.872,16.587,16.106
2025-05-16,17.4,17.79,16.38,16.65,27511.49,深圳瑞捷,16.830000000000002,16.676,16.162
2025-05-19,16.42,17.32,16.42,17.24,30903.0,深圳瑞捷,16.878,16.794999999999998,16.264999999999997
2025-05-20,17.22,17.6,17.1,17.55,19017.86,深圳瑞捷,17.009999999999998,16.919999999999998,16.3695
2025-05-21,17.65,17.65,17.25,17.36,14989.0,深圳瑞捷,17.118,17.006999999999998,16.427
2025-05-22,17.27,17.42,16.84,16.95,15259.0,深圳瑞捷,17.15,17.011,16.497
2025-05-23,16.87,17.03,16.63,16.65,10712.0,深圳瑞捷,17.15,16.990000000000002,16.5505
2025-05-26,16.65,16.9,16.56,16.82,9988.12,深圳瑞捷,17.066,16.971999999999998,16.6065
2025-05-27,16.82,16.94,16.6,16.82,11048.0,深圳瑞捷,16.919999999999998,16.965,16.658
2025-05-28,16.9,17.0,16.45,16.58,9814.0,深圳瑞捷,16.764,16.941,16.701999999999998
2025-05-29,16.4,17.08,16.4,17.06,15143.0,深圳瑞捷,16.785999999999998,16.968,16.7775
2025-05-30,17.13,17.15,16.78,16.93,11119.25,深圳瑞捷,16.842000000000002,16.996000000000002,16.836
2025-06-03,16.59,17.21,16.59,17.02,11743.25,深圳瑞捷,16.881999999999998,16.973999999999997,16.8845
2025-06-04,17.09,17.6,16.92,17.27,16431.5,深圳瑞捷,16.972,16.946,16.933
2025-06-05,17.23,17.4,16.96,17.14,13624.0,深圳瑞捷,17.084,16.924,16.9655
2025-06-06,17.19,17.41,17.06,17.21,14576.0,深圳瑞捷,17.113999999999997,16.95,16.9805
2025-06-09,17.23,17.99,17.1,17.81,32610.13,深圳瑞捷,17.29,17.066,17.028
2025-06-10,17.8,18.07,17.1,17.28,23293.63,深圳瑞捷,17.342,17.112000000000002,17.042
2025-06-11,17.54,18.38,17.45,17.51,21970.5,深圳瑞捷,17.39,17.181,17.073
2025-06-12,17.4,17.8,17.35,17.54,18313.25,深圳瑞捷,17.47,17.277,17.108999999999998
2025-06-13,17.41,17.54,17.03,17.07,13747.0,深圳瑞捷,17.442,17.278,17.123
2025-06-16,17.07,17.47,17.0,17.47,12054.5,深圳瑞捷,17.374000000000002,17.332,17.163999999999998
2025-06-17,17.5,17.77,17.13,17.29,10786.5,深圳瑞捷,17.375999999999998,17.359,17.166500000000003
2025-06-18,17.33,17.35,17.05,17.15,9457.0,深圳瑞捷,17.304,17.347,17.1465
2025-06-19,17.13,17.3,16.6,16.65,10337.0,深圳瑞捷,17.125999999999998,17.298,17.110999999999997
2025-06-20,16.58,17.21,16.58,16.76,13228.5,深圳瑞捷,17.064,17.253,17.1015
2025-06-23,16.78,17.14,16.59,17.07,8433.5,深圳瑞捷,16.984,17.179,17.1225
2025-06-24,17.06,17.65,17.06,17.62,16673.0,深圳瑞捷,17.05,17.213,17.1625
2025-06-25,17.55,17.87,17.53,17.74,15438.25,深圳瑞捷,17.168,17.236,17.208499999999997
2025-06-26,17.7,17.91,17.65,17.68,12012.75,深圳瑞捷,17.374,17.25,17.2635
2025-06-27,17.41,17.9,17.4,17.74,14245.5,深圳瑞捷,17.57,17.317,17.2975
2025-06-30,17.74,18.13,17.64,18.08,16523.75,深圳瑞捷,17.772,17.378,17.354999999999997
2025-07-01,17.95,18.67,17.94,18.23,43874.38,深圳瑞捷,17.894,17.472,17.4155
2025-07-02,18.25,18.65,17.97,18.3,23283.0,深圳瑞捷,18.006,17.587,17.467
2025-07-03,18.6,18.86,18.39,18.48,25307.63,深圳瑞捷,18.166,17.77,17.534
2025-07-04,18.52,18.8,18.21,18.28,24080.38,深圳瑞捷,18.274,17.922,17.5875
2025-07-07,18.18,18.69,18.17,18.64,17327.3,深圳瑞捷,18.386,18.079,17.628999999999998
2025-07-08,18.65,18.84,18.55,18.7,17054.62,深圳瑞捷,18.48,18.187,17.7
2025-07-09,18.68,19.79,18.64,19.21,46864.0,深圳瑞捷,18.662,18.334,17.785
2025-07-10,19.0,20.27,19.0,19.87,69576.87,深圳瑞捷,18.94,18.553,17.901500000000002
2025-07-11,19.7,19.79,18.78,18.91,53064.37,深圳瑞捷,19.066000000000003,18.67,17.9935
2025-07-14,18.88,19.48,18.75,19.39,31967.49,深圳瑞捷,19.216,18.801,18.0895
2025-07-15,19.28,19.39,18.8,18.97,34187.0,深圳瑞捷,19.27,18.875,18.173499999999997
2025-07-16,18.95,19.28,18.82,18.96,19258.0,深圳瑞捷,19.22,18.941,18.264
