date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,16.08,16.33,15.69,16.17,61580.36,蕾奥规划,,,
2025-03-25,16.02,16.39,15.77,16.3,58057.34,蕾奥规划,,,
2025-03-26,16.27,16.5,15.62,15.87,62625.93,蕾奥规划,,,
2025-03-27,15.69,16.5,15.62,16.42,63907.9,蕾奥规划,,,
2025-03-28,16.35,16.35,15.88,15.99,53181.53,蕾奥规划,16.15,,
2025-03-31,15.78,16.15,15.7,16.08,31754.2,蕾奥规划,16.131999999999998,,
2025-04-01,16.04,16.34,15.74,15.93,39763.95,蕾奥规划,16.058,,
2025-04-02,15.78,16.98,15.78,16.66,125276.58,蕾奥规划,16.216,,
2025-04-03,16.33,17.67,16.06,17.3,121876.43,蕾奥规划,16.392000000000003,,
2025-04-07,16.62,16.66,14.6,15.78,103405.09,蕾奥规划,16.35,16.25,
2025-04-08,15.88,17.0,15.67,16.68,108596.83,蕾奥规划,16.47,16.301,
2025-04-09,16.34,17.3,15.87,17.18,115634.36,蕾奥规划,16.72,16.389000000000003,
2025-04-10,17.19,20.2,16.85,18.6,178163.75,蕾奥规划,17.108,16.662,
2025-04-11,18.0,19.48,17.7,18.84,164487.94,蕾奥规划,17.416000000000004,16.904,
2025-04-14,18.58,19.15,18.3,18.78,115264.39,蕾奥规划,18.016000000000002,17.183,
2025-04-15,18.8,18.85,17.65,17.9,98958.77,蕾奥规划,18.259999999999998,17.365000000000002,
2025-04-16,17.75,18.64,17.5,18.11,71839.1,蕾奥规划,18.446,17.583000000000002,
2025-04-17,17.8,18.7,17.39,18.36,105183.22,蕾奥规划,18.398,17.753,
2025-04-18,18.2,19.7,18.05,19.0,152977.6,蕾奥规划,18.43,17.923000000000002,
2025-04-21,18.02,19.1,17.63,18.84,116311.09,蕾奥规划,18.442,18.229000000000003,17.2395
2025-04-22,18.56,19.49,18.2,19.01,152852.37,蕾奥规划,18.664,18.462,17.3815
2025-04-23,18.78,19.05,17.71,18.13,140595.97,蕾奥规划,18.668,18.557,17.473
2025-04-24,17.9,18.7,17.14,17.65,117146.63,蕾奥规划,18.526,18.462,17.562
2025-04-25,17.25,17.88,15.58,15.67,135367.12,蕾奥规划,17.86,18.145,17.5245
2025-04-28,16.39,17.37,16.01,16.89,141188.22,蕾奥规划,17.47,17.956,17.569499999999998
2025-04-29,16.73,17.15,16.5,16.58,75655.47,蕾奥规划,16.983999999999998,17.823999999999998,17.594500000000004
2025-04-30,16.78,17.1,16.4,16.44,69222.09,蕾奥规划,16.646,17.657,17.62
2025-05-06,16.6,16.92,16.19,16.4,82020.05,蕾奥规划,16.396,17.461,17.607
2025-05-07,16.67,17.4,16.62,16.96,105880.31,蕾奥规划,16.654000000000003,17.256999999999998,17.589999999999996
2025-05-08,16.92,17.48,16.71,17.41,102159.11,蕾奥规划,16.758,17.114,17.6715
2025-05-09,17.2,17.77,16.93,17.03,116469.06,蕾奥规划,16.848000000000003,16.916,17.689
2025-05-12,16.94,17.37,16.7,17.26,63628.83,蕾奥规划,17.012,16.829,17.693
2025-05-13,17.5,17.57,16.92,17.0,53839.69,蕾奥规划,17.132,16.764,17.613
2025-05-14,16.94,17.56,16.75,17.23,102290.78,蕾奥规划,17.186,16.92,17.5325
