date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,9.97,10.39,9.39,9.72,165061.66,金鹰重工,,,
2025-03-25,9.44,9.93,9.44,9.81,141910.91,金鹰重工,,,
2025-03-26,9.65,9.99,9.55,9.97,138242.38,金鹰重工,,,
2025-03-27,9.97,9.97,9.57,9.58,91249.0,金鹰重工,,,
2025-03-28,9.54,9.58,9.18,9.23,73746.29,金鹰重工,9.662,,
2025-03-31,9.2,9.2,8.85,8.95,57181.85,金鹰重工,9.508000000000001,,
2025-04-01,8.95,9.2,8.95,9.13,46296.0,金鹰重工,9.372,,
2025-04-02,9.19,9.45,9.08,9.28,56801.0,金鹰重工,9.234,,
2025-04-03,9.2,10.1,9.2,9.84,189746.59,金鹰重工,9.286000000000001,,
2025-04-07,9.3,9.47,7.87,8.06,158794.97,金鹰重工,9.052,9.357000000000001,
2025-04-08,8.22,9.05,8.22,8.67,139555.21,金鹰重工,8.996,9.252,
2025-04-09,8.6,10.4,8.57,10.4,473141.49,金鹰重工,9.25,9.311,
2025-04-10,10.5,11.5,10.21,10.34,621462.25,金鹰重工,9.462,9.348,
2025-04-11,10.35,11.06,10.1,10.49,475117.29,金鹰重工,9.591999999999999,9.439,
2025-04-14,10.36,11.01,10.36,10.95,443875.75,金鹰重工,10.17,9.611,
2025-04-15,10.66,10.77,10.25,10.37,278508.75,金鹰重工,10.51,9.753,
2025-04-16,10.37,10.49,9.85,9.98,224113.93,金鹰重工,10.426,9.838,
2025-04-17,9.78,10.18,9.66,9.99,189008.45,金鹰重工,10.356,9.909,
2025-04-18,9.9,9.93,9.39,9.44,173415.07,金鹰重工,10.146,9.869,
2025-04-21,9.37,9.49,9.37,9.44,97970.0,金鹰重工,9.844,10.007,9.681999999999999
2025-04-22,9.42,9.56,9.31,9.31,130764.68,金鹰重工,9.632000000000001,10.071000000000002,9.6615
2025-04-23,9.4,9.52,9.33,9.44,110737.0,金鹰重工,9.524,9.975,9.643
2025-04-24,9.39,9.47,9.18,9.25,118878.0,金鹰重工,9.376,9.866,9.607
2025-04-25,9.22,9.34,9.2,9.26,72231.0,金鹰重工,9.34,9.743,9.591
2025-04-28,9.3,9.33,9.08,9.14,63162.0,金鹰重工,9.28,9.562000000000001,9.5865
2025-04-29,9.05,9.16,9.01,9.13,50989.0,金鹰重工,9.244,9.437999999999999,9.595500000000001
2025-04-30,9.15,9.25,9.12,9.13,54856.0,金鹰重工,9.182,9.353,9.5955
2025-05-06,9.17,9.36,9.16,9.36,65577.74,金鹰重工,9.204,9.29,9.599499999999999
2025-05-07,9.46,9.52,9.34,9.45,87089.46,金鹰重工,9.242,9.291,9.580000000000002
2025-05-08,9.41,9.66,9.39,9.64,105592.84,金鹰重工,9.342,9.311,9.659
2025-05-09,9.59,9.65,9.4,9.42,66586.0,金鹰重工,9.4,9.322,9.6965
2025-05-12,9.58,11.3,9.55,10.54,371920.01,金鹰重工,9.681999999999999,9.431999999999999,9.7035
2025-05-13,10.52,10.67,10.23,10.27,242544.64,金鹰重工,9.863999999999999,9.534,9.7
2025-05-14,10.32,10.36,10.1,10.19,147423.29,金鹰重工,10.012,9.626999999999999,9.684999999999999
2025-05-15,10.18,10.19,10.01,10.08,107690.1,金鹰重工,10.1,9.721,9.6415
2025-05-16,10.08,10.13,9.99,10.02,81364.11,金鹰重工,10.219999999999999,9.809999999999999,9.624
2025-05-19,10.01,10.1,9.97,10.09,81671.0,金鹰重工,10.129999999999999,9.906,9.629499999999998
2025-05-20,10.07,10.17,9.96,10.17,83604.59,金鹰重工,10.11,9.987,9.6385
2025-05-21,10.13,10.15,9.97,10.04,66209.1,金鹰重工,10.08,10.046,9.6685
2025-05-22,10.0,10.26,9.87,10.1,101729.91,金鹰重工,10.084,10.092,9.7015
2025-05-23,10.04,10.22,9.88,9.9,108680.0,金鹰重工,10.06,10.139999999999999,9.731
2025-05-26,9.9,9.97,9.8,9.92,60198.0,金鹰重工,10.026,10.078,9.755
2025-05-27,9.92,10.23,9.9,10.23,133926.05,金鹰重工,10.038,10.074,9.804
2025-05-28,10.13,10.33,10.11,10.21,83203.84,金鹰重工,10.072,10.075999999999999,9.8515
2025-05-29,10.21,10.29,10.1,10.28,101483.0,金鹰重工,10.108,10.096,9.9085
2025-05-30,10.25,10.25,10.04,10.06,78507.0,金鹰重工,10.14,10.1,9.955000000000002
2025-06-03,10.02,10.24,9.96,10.12,78787.0,金鹰重工,10.18,10.103,10.004499999999998
2025-06-04,10.05,10.16,10.01,10.04,64019.0,金鹰重工,10.142,10.09,10.0385
2025-06-05,10.0,10.65,9.87,10.65,266960.41,金鹰重工,10.23,10.151,10.098499999999998
2025-06-06,10.54,10.92,10.46,10.66,205510.0,金鹰重工,10.306000000000001,10.206999999999999,10.1495
2025-06-09,10.67,10.68,10.48,10.6,122265.39,金鹰重工,10.413999999999998,10.277000000000001,10.208499999999999
2025-06-10,10.6,11.09,10.45,11.09,301721.11,金鹰重工,10.608,10.394,10.236
2025-06-11,10.91,11.19,10.73,10.89,221731.27,金鹰重工,10.778,10.459999999999999,10.267
2025-06-12,10.7,10.7,10.41,10.48,168240.97,金鹰重工,10.744,10.486999999999998,10.281500000000001
2025-06-13,10.4,10.57,10.3,10.39,124838.1,金鹰重工,10.690000000000001,10.498000000000001,10.297
2025-06-16,10.5,10.8,10.47,10.57,114237.0,金鹰重工,10.684000000000001,10.549000000000001,10.324499999999999
2025-06-17,10.55,11.18,10.31,11.04,211833.02,金鹰重工,10.674,10.641,10.372
2025-06-18,10.86,11.04,10.72,10.75,162021.0,金鹰重工,10.645999999999999,10.712,10.401
2025-06-19,10.62,10.74,10.21,10.28,126952.38,金鹰重工,10.606,10.675,10.413
2025-06-20,10.6,10.86,10.28,10.28,118021.99,金鹰重工,10.584,10.637,10.422
2025-06-23,10.17,10.48,10.17,10.43,87485.0,金鹰重工,10.556000000000001,10.62,10.4485
2025-06-24,10.43,10.86,10.39,10.69,136812.0,金鹰重工,10.486,10.580000000000002,10.486999999999998
2025-06-25,10.66,11.0,10.6,10.85,167654.0,金鹰重工,10.506,10.576,10.517999999999999
2025-06-26,10.78,11.09,10.75,10.83,155891.0,金鹰重工,10.616,10.611,10.549
2025-06-27,10.85,10.92,10.74,10.78,102394.0,金鹰重工,10.716,10.65,10.574
2025-06-30,10.81,10.97,10.76,10.96,106853.0,金鹰重工,10.822,10.688999999999998,10.619
2025-07-01,11.0,11.05,10.75,11.0,117487.0,金鹰重工,10.884,10.684999999999999,10.663
2025-07-02,10.89,11.15,10.81,11.0,136782.0,金鹰重工,10.914,10.709999999999999,10.711
2025-07-03,11.05,11.35,10.9,11.19,174132.38,金鹰重工,10.986,10.800999999999998,10.738
2025-07-04,11.1,11.15,10.77,10.85,119693.38,金鹰重工,11.0,10.858,10.747499999999999
2025-07-07,10.76,11.34,10.76,11.29,180058.38,金鹰重工,11.065999999999999,10.943999999999999,10.782
2025-07-08,11.2,11.24,11.03,11.15,127004.0,金鹰重工,11.096,10.99,10.785
2025-07-09,11.15,11.15,10.88,10.9,109932.01,金鹰重工,11.075999999999999,10.995000000000001,10.7855
2025-07-10,10.85,10.95,10.76,10.95,85629.24,金鹰重工,11.028,11.007,10.809
2025-07-11,10.9,10.92,10.6,10.74,97894.0,金鹰重工,11.006,11.003,10.8265
2025-07-14,10.73,11.05,10.69,10.85,80218.99,金鹰重工,10.918,10.992,10.8405
2025-07-15,10.79,10.86,10.34,10.46,114547.0,金鹰重工,10.78,10.938,10.811499999999999
2025-07-16,10.41,10.55,10.38,10.48,46430.0,金鹰重工,10.696000000000002,10.886,10.797999999999998
2025-07-17,10.5,10.53,10.43,10.5,38023.77,金鹰重工,10.606,10.816999999999998,10.809000000000001
2025-07-18,10.5,10.69,10.36,10.69,78826.0,金鹰重工,10.596,10.800999999999998,10.8295
2025-07-21,10.63,11.29,10.63,11.29,247565.9,金鹰重工,10.684000000000001,10.801,10.872499999999999
2025-07-22,11.34,11.43,11.11,11.38,184510.6,金鹰重工,10.868,10.824,10.907
2025-07-23,11.42,11.57,11.12,11.23,232604.22,金鹰重工,11.017999999999999,10.857,10.926
2025-07-24,11.34,11.74,11.23,11.35,203623.91,金鹰重工,11.187999999999999,10.897,10.952
2025-07-25,11.35,11.46,11.14,11.16,108332.0,金鹰重工,11.282,10.939,10.971
2025-07-28,11.12,11.18,11.07,11.11,66938.0,金鹰重工,11.246,10.965,10.9785
2025-07-29,11.08,11.43,11.03,11.22,125023.44,金鹰重工,11.214,11.041,10.9895
2025-07-30,11.2,11.3,11.06,11.3,103060.0,金鹰重工,11.228,11.123000000000001,11.0045
2025-07-31,11.25,11.25,10.9,10.94,90482.91,金鹰重工,11.146,11.167,10.992
2025-08-01,10.91,10.99,10.77,10.93,58492.45,金鹰重工,11.1,11.190999999999999,10.995999999999999
2025-08-04,10.85,11.25,10.81,11.16,77187.0,金鹰重工,11.110000000000001,11.178,10.989500000000001
2025-08-05,11.13,11.32,11.11,11.29,88652.0,金鹰重工,11.123999999999999,11.169,10.996500000000001
