date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,39.0,39.3,36.47,37.4,19718.0,聚赛龙,,,
2025-03-25,37.4,38.69,37.23,38.25,15576.0,聚赛龙,,,
2025-03-26,38.06,40.33,38.01,39.42,22275.1,聚赛龙,,,
2025-03-27,39.98,39.99,37.95,38.8,11900.25,聚赛龙,,,
2025-03-28,38.77,39.05,37.75,37.88,9929.1,聚赛龙,38.35,,
2025-03-31,37.5,38.96,36.28,38.59,18771.1,聚赛龙,38.588,,
2025-04-01,38.79,39.09,38.25,38.36,12508.0,聚赛龙,38.61,,
2025-04-02,38.34,39.57,38.11,39.23,13116.0,聚赛龙,38.572,,
2025-04-03,38.87,39.22,37.72,38.43,10926.0,聚赛龙,38.498000000000005,,
2025-04-07,36.8,36.8,31.61,32.38,19099.0,聚赛龙,37.398,37.874,
2025-04-08,33.02,34.4,31.65,32.9,14320.32,聚赛龙,36.260000000000005,37.424,
2025-04-09,32.0,34.38,29.8,34.0,15349.0,聚赛龙,35.388,36.999,
2025-04-10,34.15,35.71,34.15,34.65,13012.0,聚赛龙,34.471999999999994,36.522000000000006,
2025-04-11,34.49,35.1,34.01,34.66,8653.0,聚赛龙,33.718,36.108,
2025-04-14,35.35,35.7,34.93,35.12,7369.0,聚赛龙,34.266,35.832,
2025-04-15,35.3,35.79,34.95,35.42,6064.27,聚赛龙,34.77,35.515,
2025-04-16,35.06,35.41,34.23,34.85,8019.0,聚赛龙,34.940000000000005,35.164,
2025-04-17,34.86,35.72,34.62,35.31,6645.01,聚赛龙,35.072,34.772,
2025-04-18,35.25,35.75,34.9,35.48,6736.0,聚赛龙,35.236000000000004,34.477,
2025-04-21,35.47,35.98,35.2,35.95,6328.72,聚赛龙,35.402,34.833999999999996,36.354
2025-04-22,35.82,36.08,35.6,36.05,6450.0,聚赛龙,35.528,35.149,36.286500000000004
2025-04-23,36.12,37.22,36.08,37.12,10205.0,聚赛龙,35.982,35.461,36.230000000000004
2025-04-24,36.93,38.65,36.81,37.9,20597.0,聚赛龙,36.5,35.785999999999994,36.153999999999996
2025-04-25,37.71,38.39,37.19,37.45,13189.99,聚赛龙,36.894,36.065,36.0865
2025-04-28,37.1,38.99,36.7,38.23,18645.0,聚赛龙,37.349999999999994,36.376,36.104
2025-04-29,37.62,45.88,37.62,45.88,59724.32,聚赛龙,39.315999999999995,37.422,36.4685
2025-04-30,49.0,50.0,43.58,43.8,112874.49,聚赛龙,40.652,38.317,36.7405
2025-05-06,44.63,46.52,43.5,46.52,87458.81,聚赛龙,42.376000000000005,39.438,37.105000000000004
2025-05-07,45.97,52.0,45.34,49.56,106597.12,聚赛龙,44.798,40.846,37.661500000000004
2025-05-08,46.99,47.29,45.0,46.86,67819.78,聚赛龙,46.524,41.937,38.3855
2025-05-09,46.83,47.1,44.7,44.81,46627.24,聚赛龙,46.31,42.813,38.981
2025-05-12,45.05,46.15,44.53,45.62,46454.72,聚赛龙,46.674,43.663,39.562
2025-05-13,45.56,49.18,45.01,48.4,78291.39,聚赛龙,47.05,44.713,40.2495
2025-05-14,47.1,48.96,46.0,47.82,58399.34,聚赛龙,46.702,45.75,40.9075
