date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,39.56,42.47,39.45,41.93,51000.06,欧圣电气,,,
2025-03-25,41.52,42.79,41.0,41.54,43219.0,欧圣电气,,,
2025-03-26,40.9,41.8,40.42,41.02,22873.0,欧圣电气,,,
2025-03-27,40.7,41.79,40.04,40.2,23780.0,欧圣电气,,,
2025-03-28,40.01,40.35,39.1,39.11,18547.0,欧圣电气,40.760000000000005,,
2025-03-31,38.72,39.0,36.8,38.1,33470.0,欧圣电气,39.994,,
2025-04-01,38.11,38.49,37.18,37.31,20150.0,欧圣电气,39.148,,
2025-04-02,37.3,38.58,37.18,38.13,18553.18,欧圣电气,38.57,,
2025-04-03,37.55,37.66,30.51,33.16,88701.5,欧圣电气,37.162,,
2025-04-07,30.3,31.0,26.53,26.53,77922.76,欧圣电气,34.646,37.703,
2025-04-08,27.0,28.5,27.0,28.12,56250.0,欧圣电气,32.65,36.322,
2025-04-09,27.03,28.43,24.84,27.94,54649.2,欧圣电气,30.776,34.962,
2025-04-10,30.73,33.53,30.73,33.53,60328.02,欧圣电气,29.856,34.213,
2025-04-11,33.5,33.5,31.32,31.51,111337.58,欧圣电气,29.526000000000003,33.344,
2025-04-14,32.02,32.44,31.51,31.71,61523.58,欧圣电气,30.562,32.604,
2025-04-15,31.71,32.27,30.74,31.06,41999.0,欧圣电气,31.15,31.900000000000006,
2025-04-16,30.68,31.01,29.29,29.78,39092.96,欧圣电气,31.518,31.147000000000002,
2025-04-17,29.94,30.9,29.31,30.0,40918.96,欧圣电气,30.812,30.333999999999996,
2025-04-18,30.15,33.86,30.02,30.18,77450.67,欧圣电气,30.546000000000003,30.036,
2025-04-21,30.56,30.99,29.66,30.66,67922.06,欧圣电气,30.336000000000002,30.449,34.076
2025-04-22,30.4,30.87,29.99,30.14,43628.69,欧圣电气,30.151999999999997,30.651,33.4865
2025-04-23,31.76,32.0,30.86,31.54,68214.41,欧圣电气,30.503999999999998,31.010999999999996,32.9865
2025-04-24,31.54,32.28,30.68,31.08,61046.06,欧圣电气,30.72,30.766000000000002,32.4895
2025-04-25,31.19,32.03,30.65,31.8,58753.0,欧圣电气,31.044,30.795000000000005,32.0695
2025-04-28,31.81,32.19,31.11,31.26,33702.96,欧圣电气,31.163999999999998,30.75,31.677000000000003
2025-04-29,31.23,31.71,30.8,31.29,30169.78,欧圣电气,31.394,30.772999999999996,31.3365
2025-04-30,31.48,32.5,31.21,32.18,45878.0,欧圣电气,31.522000000000002,31.012999999999998,31.080000000000002
2025-05-06,32.34,34.41,32.22,34.4,69697.67,欧圣电气,32.186,31.453000000000003,30.8935
2025-05-07,35.8,36.66,33.72,34.83,94082.72,欧圣电气,32.791999999999994,31.918,30.976999999999997
2025-05-08,34.36,35.77,34.23,34.77,51325.0,欧圣电气,33.494,32.32899999999999,31.389000000000003
2025-05-09,34.9,35.3,33.75,34.38,53449.0,欧圣电气,34.112,32.753,31.702000000000005
2025-05-12,35.67,36.98,35.05,36.61,85834.76,欧圣电气,34.998000000000005,33.260000000000005,32.1355
2025-05-13,37.98,38.57,36.39,37.36,92800.0,欧圣电气,35.589999999999996,33.888,32.327
2025-05-14,37.21,37.78,36.15,36.29,56139.0,欧圣电气,35.882000000000005,34.337,32.566
2025-05-15,36.25,36.95,35.0,35.85,53934.0,欧圣电气,36.098,34.796,32.773
2025-05-16,35.57,39.2,35.42,38.05,95439.76,欧圣电气,36.832,35.472,33.1225
2025-05-19,38.0,38.3,36.0,36.75,65281.0,欧圣电气,36.86,35.929,33.471
2025-05-20,36.75,38.5,36.01,37.7,59237.0,欧圣电气,36.928000000000004,36.259,33.856
2025-05-21,37.25,37.25,35.41,35.48,59321.0,欧圣电气,36.766000000000005,36.324,34.120999999999995
2025-05-22,35.31,35.75,34.74,34.82,37206.33,欧圣电气,36.559999999999995,36.329,34.329
2025-05-23,24.81,25.46,24.43,24.45,48566.66,欧圣电气,33.84,35.336,34.044500000000006
2025-05-26,24.45,25.12,24.23,24.68,41374.2,欧圣电气,31.426,34.143,33.701499999999996
2025-05-27,24.55,25.0,23.74,23.86,42849.0,欧圣电气,28.657999999999998,32.793,33.340500000000006
2025-05-28,23.85,24.37,23.45,24.05,38629.6,欧圣电气,26.372000000000003,31.568999999999996,32.952999999999996
2025-05-29,24.16,25.97,24.11,25.17,80977.6,欧圣电气,24.442,30.500999999999998,32.6485
2025-05-30,24.87,24.98,24.22,24.38,46123.2,欧圣电气,24.428,29.133999999999997,32.303000000000004
2025-06-03,24.18,24.65,24.02,24.18,31876.66,欧圣电气,24.328,27.877,31.903
2025-06-04,24.64,24.64,24.03,24.07,32429.2,欧圣电气,24.369999999999997,26.514,31.3865
2025-06-05,24.1,25.33,23.38,24.73,72870.8,欧圣电气,24.506,25.439,30.881500000000006
2025-06-06,24.51,24.7,23.9,24.08,38660.26,欧圣电气,24.288,24.365,30.346999999999998
2025-06-09,24.6,28.4,24.26,26.91,163017.68,欧圣电气,24.794,24.611,29.973499999999994
2025-06-10,26.92,28.08,26.6,27.19,137497.79,欧圣电气,25.395999999999997,24.862000000000002,29.502499999999998
2025-06-11,27.05,28.17,27.05,27.42,100008.0,欧圣电气,26.066000000000003,25.218,29.0055
2025-06-12,27.01,27.51,26.7,27.13,64901.29,欧圣电气,26.546,25.526,28.547499999999996
2025-06-13,26.78,26.98,25.7,25.89,62629.1,欧圣电气,26.907999999999998,25.598,28.049499999999995
2025-06-16,25.65,26.6,25.55,26.28,43614.8,欧圣电气,26.782,25.788,27.461000000000002
2025-06-17,26.35,27.54,26.09,27.0,80378.2,欧圣电气,26.744,26.07,26.9735
2025-06-18,26.7,27.31,26.5,26.75,48088.66,欧圣电气,26.609999999999996,26.338,26.426
2025-06-19,26.51,26.88,25.88,26.03,46273.6,欧圣电气,26.389999999999997,26.468,25.9535
2025-06-20,26.04,26.33,25.19,25.2,36522.1,欧圣电气,26.252,26.580000000000002,25.4725
2025-06-23,25.08,25.38,24.82,25.2,35951.0,欧圣电气,26.036,26.409,25.509999999999998
2025-06-24,25.4,26.75,25.3,26.72,55142.7,欧圣电气,25.98,26.362000000000002,25.612000000000002
2025-06-25,26.7,27.52,26.5,27.4,67296.62,欧圣电气,26.109999999999996,26.360000000000003,25.788999999999998
2025-06-26,27.2,27.2,26.63,26.81,44446.1,欧圣电气,26.266,26.328000000000003,25.927000000000003
2025-06-27,26.78,27.13,26.55,26.67,32047.2,欧圣电气,26.560000000000002,26.406,26.002
2025-06-30,26.85,27.74,26.68,27.6,56358.8,欧圣电气,27.04,26.538,26.163
2025-07-01,27.55,27.76,27.0,27.29,40002.82,欧圣电气,27.154000000000003,26.567,26.3185
2025-07-02,27.14,27.34,26.56,26.72,35543.8,欧圣电气,27.018,26.564,26.451
2025-07-03,26.8,28.99,26.8,28.23,110230.52,欧圣电气,27.302,26.784,26.625999999999998
2025-07-04,28.14,28.27,27.52,27.84,50719.53,欧圣电气,27.536,27.048000000000002,26.814
2025-07-07,27.91,29.09,27.61,28.56,80232.4,欧圣电气,27.727999999999998,27.383999999999997,26.896499999999996
2025-07-08,28.5,28.86,28.12,28.6,66901.24,欧圣电气,27.990000000000002,27.571999999999996,26.967000000000002
2025-07-09,28.6,29.24,28.42,28.64,55404.87,欧圣电气,28.374000000000002,27.696000000000005,27.028
2025-07-10,28.45,29.97,28.43,28.91,59681.24,欧圣电气,28.51,27.906,27.117
2025-07-11,28.65,28.66,27.51,27.74,67204.21,欧圣电气,28.49,28.012999999999998,27.2095
2025-07-14,27.59,28.38,27.5,28.1,50572.93,欧圣电气,28.398000000000003,28.063,27.3005
2025-07-15,28.0,28.18,27.63,28.05,31840.8,欧圣电气,28.288,28.139,27.353
2025-07-16,27.92,28.44,27.59,28.07,51722.2,欧圣电气,28.174,28.274,27.419
2025-07-17,28.0,28.78,27.69,28.43,41214.7,欧圣电气,28.078000000000003,28.294,27.539000000000005
