date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,37.36,37.68,35.31,36.24,32751.1,汉仪股份,,,
2025-03-25,36.19,36.36,34.75,34.82,25222.0,汉仪股份,,,
2025-03-26,34.83,35.82,34.7,35.19,18892.0,汉仪股份,,,
2025-03-27,35.1,35.92,34.4,35.48,25161.0,汉仪股份,,,
2025-03-28,35.45,35.79,34.9,34.9,13580.0,汉仪股份,35.326,,
2025-03-31,34.88,35.79,34.52,35.2,20830.0,汉仪股份,35.117999999999995,,
2025-04-01,35.2,36.26,35.2,35.74,17218.0,汉仪股份,35.302,,
2025-04-02,35.7,36.56,35.6,35.81,14046.0,汉仪股份,35.426,,
2025-04-03,35.8,36.0,34.8,34.98,13999.0,汉仪股份,35.326,,
2025-04-07,32.32,32.99,27.98,27.98,37928.59,汉仪股份,33.942,34.634,
2025-04-08,29.0,29.78,27.05,28.33,40873.59,汉仪股份,32.568,33.843,
2025-04-09,27.5,29.57,25.5,29.34,38158.0,汉仪股份,31.288,33.295,
2025-04-10,30.03,30.95,29.95,30.18,30411.31,汉仪股份,30.162,32.794,
2025-04-11,30.0,30.71,29.53,30.28,20032.0,汉仪股份,29.222,32.274,
2025-04-14,30.88,32.65,30.62,32.14,35975.0,汉仪股份,30.053999999999995,31.998,
2025-04-15,32.14,33.74,32.0,33.26,42128.0,汉仪股份,31.04,31.804000000000002,
2025-04-16,33.0,33.67,32.03,32.15,30864.0,汉仪股份,31.601999999999997,31.445,
2025-04-17,32.73,32.82,31.83,32.15,16151.01,汉仪股份,31.996,31.079,
2025-04-18,32.0,32.45,31.72,31.72,14137.0,汉仪股份,32.284,30.752999999999997,
2025-04-21,31.72,33.12,31.41,33.07,20011.0,汉仪股份,32.46999999999999,31.262,32.948
2025-04-22,33.07,33.47,32.76,33.15,18313.0,汉仪股份,32.44799999999999,31.744,32.7935
2025-04-23,33.54,34.8,33.42,34.3,33098.0,汉仪股份,32.878,32.239999999999995,32.7675
2025-04-24,34.45,35.27,33.92,34.36,33086.0,汉仪股份,33.32,32.658,32.726
2025-04-25,34.36,35.2,34.25,34.75,24288.0,汉仪股份,33.926,33.105,32.689499999999995
2025-04-28,34.73,35.3,34.4,34.83,17884.0,汉仪股份,34.278000000000006,33.373999999999995,32.686
2025-04-29,34.81,35.83,34.58,35.68,20846.0,汉仪股份,34.784000000000006,33.616,32.709999999999994
2025-04-30,35.67,37.35,35.67,36.8,28902.0,汉仪股份,35.284,34.081,32.763
2025-05-06,37.08,39.94,36.89,39.48,67503.95,汉仪股份,36.308,34.814,32.9465
2025-05-07,39.54,40.2,38.8,39.6,48857.95,汉仪股份,37.278,35.602,33.177499999999995
2025-05-08,39.02,40.24,39.02,40.1,39226.0,汉仪股份,38.332,36.305,33.7835
2025-05-09,40.11,40.18,39.2,39.6,28361.0,汉仪股份,39.116,36.95,34.347
2025-05-12,39.87,40.16,38.87,38.94,38721.15,汉仪股份,39.544,37.414,34.827
2025-05-13,39.48,39.48,38.32,38.42,29269.0,汉仪股份,39.33200000000001,37.82,35.239
2025-05-14,38.45,38.84,37.5,37.85,35654.33,汉仪股份,38.982,38.13,35.61749999999999
2025-05-15,37.95,38.17,37.24,37.6,16167.0,汉仪股份,38.482,38.407000000000004,35.890499999999996
2025-05-16,37.59,38.3,37.07,38.04,20271.0,汉仪股份,38.17,38.643,36.1295
2025-05-19,38.09,38.97,37.58,38.57,26926.5,汉仪股份,38.096000000000004,38.82,36.4505
2025-05-20,38.65,40.25,38.41,39.62,40092.4,汉仪股份,38.336,38.833999999999996,36.824
2025-05-21,39.5,39.8,38.72,39.32,25960.13,汉仪股份,38.629999999999995,38.806,37.204
2025-05-22,39.12,39.7,38.59,38.66,22994.0,汉仪股份,38.842,38.662,37.4835
2025-05-23,38.59,38.92,37.81,37.92,24343.76,汉仪股份,38.818,38.49399999999999,37.721999999999994
2025-05-26,37.78,38.3,37.71,38.0,14052.0,汉仪股份,38.70399999999999,38.4,37.907
2025-05-27,38.1,38.46,37.36,37.86,17398.0,汉仪股份,38.352,38.344,38.082
2025-05-28,38.07,39.33,37.81,38.6,36855.56,汉仪股份,38.208000000000006,38.419,38.2745
2025-05-29,38.89,39.39,38.2,39.26,26762.9,汉仪股份,38.327999999999996,38.585,38.495999999999995
2025-05-30,39.11,39.45,38.28,38.48,17687.0,汉仪股份,38.44,38.629000000000005,38.636
2025-06-03,38.15,38.86,38.0,38.23,19929.0,汉仪股份,38.486000000000004,38.595,38.7075
2025-06-04,38.25,39.81,38.13,39.6,32151.0,汉仪股份,38.833999999999996,38.593,38.713499999999996
2025-06-05,39.82,40.2,39.4,39.99,29845.0,汉仪股份,39.112,38.660000000000004,38.733
2025-06-06,40.0,41.18,39.85,40.6,28813.0,汉仪股份,39.38,38.854,38.757999999999996
2025-06-09,40.64,43.99,40.27,43.81,81155.38,汉仪股份,40.446000000000005,39.443,38.9685
2025-06-10,44.0,45.57,43.02,45.05,84998.74,汉仪股份,41.809999999999995,40.147999999999996,39.274
2025-06-11,44.61,45.06,44.1,44.71,36486.23,汉仪股份,42.832,40.833000000000006,39.588499999999996
2025-06-12,44.5,45.46,44.42,44.97,30885.23,汉仪股份,43.828,41.47,39.944500000000005
2025-06-13,45.01,46.36,43.77,43.92,39593.23,汉仪股份,44.492,41.936,40.2605
2025-06-16,45.0,46.35,44.32,45.24,43058.23,汉仪股份,44.778,42.612,40.6205
2025-06-17,45.0,45.55,44.0,45.42,34233.39,汉仪股份,44.852000000000004,43.331,40.963
2025-06-18,45.42,45.74,44.51,45.64,25908.0,汉仪股份,45.038,43.935,41.263999999999996
2025-06-19,45.26,46.33,44.01,44.37,26514.0,汉仪股份,44.918,44.373000000000005,41.51649999999999
2025-06-20,44.25,45.18,44.11,44.95,32378.87,汉仪股份,45.124,44.80800000000001,41.831
2025-06-23,44.99,45.51,42.11,43.69,67593.87,汉仪股份,44.814,44.79600000000001,42.1195
2025-06-24,43.71,45.59,43.59,45.0,35169.0,汉仪股份,44.73,44.791000000000004,42.4695
2025-06-25,46.0,47.0,45.29,46.42,44148.35,汉仪股份,44.886,44.962,42.8975
2025-06-26,46.41,47.11,45.72,46.21,33672.95,汉仪股份,45.254000000000005,45.086,43.278
2025-06-27,46.22,46.96,45.92,46.38,27340.4,汉仪股份,45.54,45.332,43.634
2025-06-30,46.39,48.18,46.28,47.66,32693.25,汉仪股份,46.333999999999996,45.574,44.093
2025-07-01,47.67,48.69,47.0,48.02,49987.75,汉仪股份,46.938,45.834,44.582499999999996
2025-07-02,48.0,48.23,46.43,46.54,40365.75,汉仪股份,46.962,45.924,44.929500000000004
2025-07-03,46.55,47.18,46.3,46.68,31462.0,汉仪股份,47.056,46.154999999999994,45.264
2025-07-04,46.89,46.98,45.25,45.42,43844.25,汉仪股份,46.864,46.202,45.505
2025-07-07,45.5,45.79,44.47,44.77,51768.0,汉仪股份,46.286,46.31,45.553
2025-07-08,44.6,46.2,44.5,45.89,36180.0,汉仪股份,45.86,46.399,45.595
2025-07-09,45.81,47.64,45.52,47.02,44664.85,汉仪股份,45.956,46.459,45.7105
2025-07-10,47.89,48.94,46.68,47.96,61785.25,汉仪股份,46.212,46.634,45.86
2025-07-11,47.8,48.38,47.05,47.36,45897.0,汉仪股份,46.6,46.732,46.032
2025-07-14,47.36,48.26,46.82,48.2,46412.85,汉仪股份,47.286,46.786,46.18
2025-07-15,47.82,47.91,47.07,47.78,31799.0,汉仪股份,47.664,46.762,46.298
2025-07-16,47.78,49.05,47.22,47.36,34916.0,汉仪股份,47.732000000000006,46.84400000000001,46.384
2025-07-17,47.59,48.75,47.11,47.7,32744.0,汉仪股份,47.68,46.946000000000005,46.5505
2025-07-18,47.08,47.99,44.49,46.87,55339.0,汉仪股份,47.58200000000001,47.091,46.646499999999996
2025-07-21,46.75,47.4,46.28,46.4,27551.0,汉仪股份,47.222,47.254,46.782000000000004
2025-07-22,46.49,47.45,45.28,46.21,46031.0,汉仪股份,46.908,47.286,46.8425
2025-07-23,46.19,46.19,41.88,42.35,111497.0,汉仪股份,45.906000000000006,46.819,46.638999999999996
2025-07-24,42.9,44.64,42.34,44.08,79616.95,汉仪股份,45.182,46.431000000000004,46.532500000000006
2025-07-25,44.31,45.55,43.5,44.87,53888.0,汉仪股份,44.782,46.182,46.457
2025-07-28,44.85,45.5,44.49,45.08,45460.24,汉仪股份,44.517999999999994,45.870000000000005,46.327999999999996
2025-07-29,44.73,45.06,44.15,44.46,34429.95,汉仪股份,44.168,45.538,46.15
2025-07-30,44.58,44.66,43.05,43.4,28855.0,汉仪股份,44.378,45.141999999999996,45.993
2025-07-31,43.12,46.15,43.12,45.5,66034.0,汉仪股份,44.662,44.922,45.934
2025-08-01,46.84,47.78,45.38,46.28,84751.95,汉仪股份,44.944,44.863,45.977
2025-08-04,45.45,46.81,45.27,46.42,41689.0,汉仪股份,45.212,44.865,46.0595
2025-08-05,46.3,46.97,45.4,45.9,35766.02,汉仪股份,45.5,44.833999999999996,46.06
2025-08-06,45.81,48.0,45.62,47.62,57136.02,汉仪股份,46.344,45.361000000000004,46.089999999999996
2025-08-07,47.47,48.3,47.07,48.09,64506.0,汉仪股份,46.862,45.76199999999999,46.096500000000006
2025-08-08,47.67,48.47,45.34,45.9,58800.56,汉仪股份,46.786,45.865,46.0235
2025-08-11,45.76,46.5,45.23,45.38,37319.12,汉仪股份,46.578,45.894999999999996,45.8825
2025-08-12,45.3,45.55,44.5,44.72,30363.0,汉仪股份,46.342,45.921,45.7295
2025-08-13,44.79,45.1,44.2,44.32,32921.12,汉仪股份,45.682,46.013,45.5775
2025-08-14,44.42,45.35,43.7,43.7,45002.25,汉仪股份,44.803999999999995,45.833000000000006,45.3775
2025-08-15,43.5,44.07,43.25,43.81,43937.0,汉仪股份,44.386,45.586,45.2245
2025-08-18,43.01,44.2,41.77,43.15,74004.85,汉仪股份,43.94,45.259,45.062
2025-08-19,43.03,43.3,42.1,42.3,40747.0,汉仪股份,43.456,44.899,44.8665
2025-08-20,42.19,43.16,41.88,42.64,44892.0,汉仪股份,43.12,44.400999999999996,44.881
2025-08-21,42.65,43.15,41.87,41.95,40054.0,汉仪股份,42.769999999999996,43.787,44.7745
2025-08-22,41.95,42.25,41.7,41.96,40253.36,汉仪股份,42.4,43.393,44.629
2025-08-25,42.26,42.35,41.53,42.0,46664.0,汉仪股份,42.17,43.055,44.475
2025-08-26,41.97,42.98,41.75,42.7,51247.0,汉仪股份,42.25,42.853,44.387
2025-08-27,42.5,42.78,40.7,40.9,52820.07,汉仪股份,41.902,42.511,44.262
2025-08-28,40.7,40.98,38.3,40.16,75054.63,汉仪股份,41.544,42.157,43.995
2025-08-29,40.0,40.05,39.36,39.51,33774.0,汉仪股份,41.053999999999995,41.727,43.65650000000001
2025-09-01,39.48,40.15,38.65,38.7,41342.94,汉仪股份,40.39399999999999,41.282,43.2705
2025-09-02,38.75,39.28,37.66,38.02,46308.95,汉仪股份,39.458,40.854,42.8765
2025-09-03,38.29,38.39,36.66,36.77,35909.0,汉仪股份,38.632,40.267,42.334
2025-09-04,37.0,39.46,36.62,38.33,78482.5,汉仪股份,38.266,39.905,41.846
2025-09-05,38.29,39.7,37.6,39.24,52044.65,汉仪股份,38.212,39.632999999999996,41.513
2025-09-08,38.91,41.24,38.91,40.4,55595.65,汉仪股份,38.55200000000001,39.473,41.263999999999996
2025-09-09,40.3,40.78,38.94,39.31,38073.0,汉仪股份,38.81,39.134,40.9935
2025-09-10,39.21,39.71,38.86,39.16,19648.13,汉仪股份,39.288,38.96,40.7355
2025-09-11,39.15,39.41,38.71,39.3,26453.05,汉仪股份,39.482000000000006,38.874,40.515499999999996
2025-09-12,39.33,39.42,38.62,38.64,28099.0,汉仪股份,39.362,38.787,40.257000000000005
2025-09-15,38.69,40.2,38.5,39.23,32662.72,汉仪股份,39.128,38.84,40.06099999999999
2025-09-16,39.27,41.24,38.83,41.15,60766.62,汉仪股份,39.495999999999995,39.153,40.003499999999995
2025-09-17,41.16,43.18,41.01,41.89,65247.28,汉仪股份,40.041999999999994,39.665,39.966
2025-09-18,41.05,41.46,39.18,39.5,58004.1,汉仪股份,40.081999999999994,39.782,39.8435
2025-09-19,39.55,39.8,38.69,38.94,24551.99,汉仪股份,40.141999999999996,39.751999999999995,39.6925
2025-09-22,38.9,39.1,37.97,38.4,24054.0,汉仪股份,39.976,39.55200000000001,39.5125
2025-09-23,38.11,38.42,36.41,37.44,37799.45,汉仪股份,39.233999999999995,39.365,39.2495
2025-09-24,37.44,37.76,36.83,37.58,17294.03,汉仪股份,38.372,39.207,39.0835
2025-09-25,37.64,38.67,37.19,37.46,28604.65,汉仪股份,37.964,39.022999999999996,38.9485
2025-09-26,37.44,37.44,36.5,37.01,20992.65,汉仪股份,37.578,38.86,38.8235
2025-09-29,37.0,37.4,36.46,36.97,18678.0,汉仪股份,37.292,38.634,38.737
2025-09-30,37.25,37.85,36.97,37.38,18230.87,汉仪股份,37.28,38.257,38.705
2025-10-09,37.2,38.0,36.99,37.16,23601.43,汉仪股份,37.196,37.784000000000006,38.72449999999999
2025-10-10,36.98,37.56,36.59,36.85,25954.0,汉仪股份,37.074,37.519,38.6505
2025-10-13,36.38,37.5,34.8,37.48,27343.34,汉仪股份,37.16799999999999,37.373000000000005,38.5625
2025-10-14,37.48,37.72,36.39,36.62,23963.99,汉仪股份,37.098,37.195,38.3735
2025-10-15,36.6,37.35,36.35,37.01,17104.0,汉仪股份,37.024,37.152,38.2585
2025-10-16,37.02,37.02,36.3,36.79,15092.53,汉仪股份,36.95,37.07299999999999,38.14
2025-10-17,36.89,37.18,35.71,35.77,17257.67,汉仪股份,36.734,36.904,37.963499999999996
2025-10-20,36.01,36.67,35.91,36.22,20295.0,汉仪股份,36.48199999999999,36.825,37.842499999999994
2025-10-21,36.26,36.7,35.93,36.56,20038.65,汉仪股份,36.470000000000006,36.784,37.709
2025-10-22,36.49,37.8,36.02,37.17,27179.98,汉仪股份,36.502,36.763,37.51
2025-10-23,37.17,37.65,36.07,36.84,30482.0,汉仪股份,36.512,36.73100000000001,37.2575
2025-10-24,36.84,37.87,36.68,37.45,27248.0,汉仪股份,36.848,36.791000000000004,37.154999999999994
2025-10-27,37.37,37.55,36.65,37.06,26042.0,汉仪股份,37.016,36.749,37.061
2025-10-28,36.82,37.98,36.82,37.56,36304.02,汉仪股份,37.215999999999994,36.843,37.019
2025-10-29,37.51,37.8,36.86,37.26,25887.95,汉仪股份,37.234,36.868,37.01
2025-10-30,37.27,37.48,36.62,36.79,24326.67,汉仪股份,37.224000000000004,36.86800000000001,36.9705
2025-10-31,36.66,37.52,36.55,36.92,37760.67,汉仪股份,37.11800000000001,36.983,36.9435
2025-11-03,37.09,38.19,36.85,37.91,41001.0,汉仪股份,37.288,37.152,36.9885
2025-11-04,38.2,38.8,37.68,38.07,40495.0,汉仪股份,37.39,37.303000000000004,37.0435
2025-11-05,37.85,38.28,37.72,37.94,19969.0,汉仪股份,37.525999999999996,37.38,37.0715
2025-11-06,37.99,38.19,37.4,37.74,17269.95,汉仪股份,37.715999999999994,37.470000000000006,37.1005
2025-11-07,37.76,39.3,37.5,38.3,34644.07,汉仪股份,37.992,37.55499999999999,37.173
2025-11-10,38.01,38.29,37.02,37.11,38267.79,汉仪股份,37.83200000000001,37.559999999999995,37.1545
2025-11-11,37.17,37.45,36.9,37.0,20055.29,汉仪股份,37.617999999999995,37.504,37.173500000000004
2025-11-12,36.99,37.0,36.28,36.44,23550.88,汉仪股份,37.318,37.422,37.144999999999996
2025-11-13,36.46,36.97,35.88,36.59,25822.0,汉仪股份,37.088,37.402,37.135000000000005
2025-11-14,36.5,36.6,36.0,36.17,16984.88,汉仪股份,36.662,37.327,37.155
2025-11-17,36.24,37.44,36.0,36.86,30451.31,汉仪股份,36.612,37.221999999999994,37.187
2025-11-18,36.81,39.3,36.63,38.05,76919.0,汉仪股份,36.821999999999996,37.22,37.2615
2025-11-19,38.05,38.51,37.13,37.27,36578.96,汉仪股份,36.98800000000001,37.153,37.2665
2025-11-20,37.55,37.59,36.5,36.57,23936.0,汉仪股份,36.984,37.036,37.253
2025-11-21,36.23,37.68,36.0,36.83,42126.91,汉仪股份,37.116,36.889,37.222
2025-11-24,37.3,39.3,35.89,38.76,86848.24,汉仪股份,37.495999999999995,37.054,37.307
2025-11-25,38.76,39.5,38.4,38.91,56218.27,汉仪股份,37.668,37.245,37.3745
2025-11-26,38.5,39.37,38.5,38.68,39570.98,汉仪股份,37.95,37.469,37.4455
2025-11-27,38.7,39.15,38.43,38.83,28145.0,汉仪股份,38.402,37.693,37.5475
2025-11-28,38.79,39.48,37.95,39.29,39596.08,汉仪股份,38.894,38.005,37.666000000000004
2025-12-01,38.92,39.17,38.42,38.61,28738.96,汉仪股份,38.864,38.18,37.701
2025-12-02,38.51,40.0,38.17,39.6,52104.0,汉仪股份,39.001999999999995,38.335,37.777499999999996
2025-12-03,39.64,40.0,38.2,38.77,34382.88,汉仪股份,39.019999999999996,38.485,37.819
2025-12-04,38.8,39.0,37.4,37.51,29982.04,汉仪股份,38.756,38.57899999999999,37.807500000000005
2025-12-05,37.6,38.43,37.31,38.25,19327.0,汉仪股份,38.548,38.721,37.80499999999999
2025-12-08,38.28,39.2,37.94,38.75,30444.45,汉仪股份,38.576,38.72,37.887
2025-12-09,38.67,39.19,37.51,37.55,27248.0,汉仪股份,38.166,38.584,37.9145
2025-12-10,37.42,37.76,36.91,37.56,19857.25,汉仪股份,37.924,38.472,37.9705
2025-12-11,37.59,38.45,37.15,37.52,37193.68,汉仪股份,37.926,38.340999999999994,38.017
2025-12-12,37.53,37.56,36.81,36.95,24684.78,汉仪股份,37.666000000000004,38.107,38.056
2025-12-15,36.9,37.37,36.13,37.03,25981.62,汉仪股份,37.322,37.949,38.064499999999995
2025-12-16,37.03,37.25,35.62,36.7,30415.0,汉仪股份,37.152,37.659,37.997
2025-12-17,36.34,36.9,36.08,36.75,19192.74,汉仪股份,36.989999999999995,37.457,37.971
2025-12-18,36.5,38.3,36.41,37.79,47325.2,汉仪股份,37.044000000000004,37.485,38.032
2025-12-19,38.22,39.65,37.97,39.58,81807.12,汉仪股份,37.57,37.618,38.1695
2025-12-22,39.58,39.9,38.92,38.97,40615.5,汉仪股份,37.958,37.64,38.18
2025-12-23,38.93,38.93,36.5,36.65,70731.85,汉仪股份,37.948,37.55,38.067
2025-12-24,36.65,37.96,36.36,37.36,40133.0,汉仪股份,38.07,37.53,38.001
2025-12-25,37.1,37.74,37.02,37.4,25502.52,汉仪股份,37.992000000000004,37.518,37.929500000000004
