date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,26.56,27.56,25.65,26.06,90890.53,恩威医药,,,
2025-03-25,25.85,25.88,24.68,24.87,50948.05,恩威医药,,,
2025-03-26,24.79,25.53,24.61,25.2,38319.7,恩威医药,,,
2025-03-27,25.2,25.78,24.46,25.35,31458.76,恩威医药,,,
2025-03-28,25.37,25.65,24.87,24.87,25603.74,恩威医药,25.27,,
2025-03-31,24.59,25.51,24.44,25.35,27164.48,恩威医药,25.128,,
2025-04-01,25.72,27.1,25.62,26.4,47803.4,恩威医药,25.434000000000005,,
2025-04-02,26.74,26.85,25.88,25.97,25191.2,恩威医药,25.588,,
2025-04-03,25.8,27.55,25.8,27.14,52983.79,恩威医药,25.945999999999998,,
2025-04-07,25.06,26.1,22.1,23.22,48250.44,恩威医药,25.615999999999996,25.443,
2025-04-08,23.48,24.5,23.28,24.0,26250.36,恩威医药,25.345999999999997,25.237000000000002,
2025-04-09,23.44,24.9,21.64,24.66,32270.11,恩威医药,24.997999999999998,25.216,
2025-04-10,24.87,25.88,24.7,25.79,29072.4,恩威医药,24.962,25.275,
2025-04-11,25.42,27.42,25.3,27.08,44185.46,恩威医药,24.949999999999996,25.448,
2025-04-14,26.98,27.29,26.5,26.81,40625.07,恩威医药,25.668,25.642000000000003,
2025-04-15,26.83,27.96,26.66,27.65,51704.93,恩威医药,26.398000000000003,25.871999999999996,
2025-04-16,27.25,28.69,26.9,27.11,40214.86,恩威医药,26.887999999999998,25.943,
2025-04-17,26.9,27.45,26.9,26.96,28657.86,恩威医药,27.122000000000003,26.042,
2025-04-18,26.96,27.5,26.5,27.15,25961.03,恩威医药,27.136000000000003,26.043,
2025-04-21,26.65,27.2,25.8,26.69,44535.4,恩威医药,27.112000000000002,26.389999999999997,25.916500000000003
2025-04-22,26.82,27.15,26.4,26.88,29527.0,恩威医药,26.958,26.677999999999997,25.9575
2025-04-23,26.95,27.36,26.45,26.47,22238.4,恩威医药,26.830000000000002,26.858999999999998,26.0375
2025-04-24,26.38,26.87,26.14,26.47,17089.92,恩威医药,26.732,26.927,26.101
2025-04-25,26.47,26.58,25.6,25.7,18988.72,恩威医药,26.441999999999997,26.788999999999998,26.1185
2025-04-28,25.68,25.68,24.9,25.17,16679.92,恩威医药,26.137999999999998,26.625,26.133499999999998
2025-04-29,25.1,25.56,25.02,25.37,11369.4,恩威医药,25.836000000000002,26.397000000000002,26.134500000000003
2025-04-30,25.45,25.75,25.14,25.51,16199.36,恩威医药,25.644,26.237000000000002,26.089999999999996
2025-05-06,25.7,25.95,25.45,25.77,14038.6,恩威医药,25.504,26.118000000000002,26.080000000000002
2025-05-07,25.95,26.39,25.25,25.6,20773.4,恩威医药,25.484,25.963,26.003000000000004
2025-05-08,25.6,26.06,25.38,25.79,14325.36,恩威医药,25.607999999999997,25.873,26.1315
2025-05-09,26.0,26.26,25.45,25.91,18330.08,恩威医药,25.715999999999998,25.776,26.226999999999997
2025-05-12,25.98,26.18,25.53,26.1,17394.2,恩威医药,25.834000000000003,25.738999999999997,26.299
2025-05-13,26.27,26.27,25.47,25.73,21294.48,恩威医药,25.826,25.665000000000003,26.296
2025-05-14,25.58,25.66,25.31,25.37,13815.04,恩威医药,25.78,25.631999999999998,26.210500000000003
2025-05-15,25.35,25.65,25.1,25.25,11506.2,恩威医药,25.672000000000004,25.640000000000004,26.1325
2025-05-16,25.37,26.25,25.12,25.91,19124.64,恩威医药,25.672000000000004,25.694,26.045499999999997
2025-05-19,25.86,25.91,25.4,25.76,14534.0,恩威医药,25.604000000000003,25.719,25.978
2025-05-20,25.87,26.64,25.77,26.51,22834.22,恩威医药,25.76,25.793,25.9555
2025-05-21,26.4,26.64,26.26,26.34,13972.12,恩威医药,25.954,25.867,25.915000000000003
2025-05-22,26.26,26.55,25.82,25.89,14168.44,恩威医药,26.082,25.877,25.875
2025-05-23,25.81,27.7,25.81,26.65,43479.05,恩威医药,26.23,25.951,25.8635
2025-05-26,26.5,27.0,26.31,26.99,35071.32,恩威医药,26.476,26.04,25.889499999999998
2025-05-27,26.91,27.21,26.49,26.68,25771.76,恩威医药,26.51,26.134999999999998,25.9
2025-05-28,26.97,27.19,25.92,26.2,23680.52,恩威医药,26.482,26.218,25.925
2025-05-29,26.1,26.69,26.1,26.57,25628.68,恩威医药,26.618000000000002,26.35,25.994999999999997
2025-05-30,26.53,27.2,26.53,26.74,27894.13,恩威医药,26.636000000000003,26.433,26.063499999999998
2025-06-03,26.43,27.2,26.43,27.02,24780.32,恩威医药,26.642000000000003,26.558999999999997,26.139
2025-06-04,27.04,27.4,26.8,27.28,23493.93,恩威医药,26.762,26.636000000000003,26.214499999999997
2025-06-05,27.2,27.36,26.91,27.02,21417.1,恩威医药,26.926,26.704,26.285500000000003
2025-06-06,26.98,27.58,26.79,27.41,20059.0,恩威医药,27.094,26.856,26.366500000000002
2025-06-09,27.62,28.17,27.41,28.05,29298.17,恩威医药,27.356,26.996000000000002,26.4735
2025-06-10,27.97,32.2,27.97,31.42,119177.08,恩威医药,28.236,27.439,26.7395
2025-06-11,30.99,32.97,30.5,31.77,109981.34,恩威医药,29.134000000000004,27.948,27.041500000000003
2025-06-12,31.77,32.44,30.68,31.38,74627.2,恩威医药,30.006,28.466,27.342000000000002
2025-06-13,31.4,33.33,30.75,32.55,73836.44,恩威医药,31.034,29.064,27.707
2025-06-16,32.04,32.55,31.0,31.86,47843.61,恩威医药,31.796,29.576,28.0045
2025-06-17,32.03,32.19,29.69,30.3,59364.97,恩威医药,31.571999999999996,29.904000000000003,28.2315
2025-06-18,29.9,30.3,29.24,30.03,31384.04,恩威医药,31.224,30.178999999999995,28.4075
2025-06-19,30.0,30.26,28.6,28.79,21962.96,恩威医药,30.706,30.356,28.53
2025-06-20,28.76,29.66,28.43,29.5,23498.8,恩威医药,30.095999999999997,30.564999999999998,28.710500000000003
2025-06-23,29.15,29.88,28.89,29.7,23073.32,恩威医药,29.663999999999998,30.73,28.863
2025-06-24,29.66,30.09,29.24,29.7,18829.97,恩威医药,29.544,30.558,28.9985
2025-06-25,29.54,29.88,29.01,29.5,21527.84,恩威医药,29.438,30.330999999999996,29.139499999999998
2025-06-26,29.37,30.36,29.21,30.3,40202.43,恩威医药,29.74,30.222999999999995,29.3445
2025-06-27,30.05,31.78,29.93,31.51,39937.63,恩威医药,30.142000000000003,30.119,29.591499999999996
2025-06-30,31.45,32.21,30.47,31.5,42349.21,恩威医药,30.502,30.083,29.829499999999996
2025-07-01,31.5,33.18,31.33,32.84,56293.98,恩威医药,31.130000000000003,30.337,30.1205
2025-07-02,32.7,33.32,32.25,32.3,40324.99,恩威医药,31.689999999999998,30.564000000000004,30.371500000000005
2025-07-03,32.3,33.49,32.2,32.72,37648.6,恩威医药,32.174,30.957,30.6565
2025-07-04,32.7,33.86,32.48,33.29,46193.42,恩威医药,32.53,31.336000000000002,30.950499999999998
2025-07-07,33.54,33.56,31.9,32.24,38028.4,恩威医药,32.678,31.590000000000003,31.160000000000004
2025-07-08,32.24,34.76,32.07,34.61,45393.03,恩威医药,33.032,32.081,31.319500000000005
2025-07-09,34.4,35.35,34.06,34.6,33924.96,恩威医药,33.492000000000004,32.591,31.460999999999995
2025-07-10,34.61,36.88,34.25,36.45,48190.84,恩威医药,34.23800000000001,33.206,31.714499999999997
2025-07-11,37.0,38.28,36.3,37.13,51623.43,恩威医药,35.006,33.76800000000001,31.9435
2025-07-14,36.8,38.5,36.46,37.3,45556.78,恩威医药,36.01800000000001,34.348,32.2155
2025-07-15,37.0,37.98,36.28,36.53,34735.4,恩威医药,36.402,34.717,32.527
2025-07-16,36.35,36.69,34.15,35.43,39094.72,恩威医药,36.568,35.03,32.797000000000004
2025-07-17,35.3,36.0,35.11,35.7,18184.08,恩威医药,36.418,35.328,33.1425
2025-07-18,35.98,36.4,35.0,36.03,25661.0,恩威医药,36.198,35.602,33.469
2025-07-21,36.56,37.52,35.3,36.0,59598.24,恩威医药,35.938,35.977999999999994,33.784000000000006
2025-07-22,35.98,36.87,35.3,35.7,33868.92,恩威医药,35.772000000000006,36.087,34.084
2025-07-23,35.33,35.59,34.51,34.75,27547.88,恩威医药,35.636,36.102000000000004,34.346500000000006
2025-07-24,34.63,36.99,34.63,36.57,37051.76,恩威医药,35.81,36.114000000000004,34.660000000000004
2025-07-25,36.58,36.79,36.06,36.36,19707.44,恩威医药,35.876,36.037,34.9025
2025-07-28,36.41,37.08,36.1,36.4,17519.06,恩威医药,35.956,35.947,35.1475
2025-07-29,36.24,37.3,36.14,36.82,20482.92,恩威医药,36.18,35.976,35.346500000000006
2025-07-30,36.47,39.0,36.47,37.87,50555.59,恩威医药,36.804,36.22,35.625
2025-07-31,37.86,39.0,37.3,38.04,49158.16,恩威医药,37.098,36.45399999999999,35.891000000000005
2025-08-01,37.87,38.8,37.41,37.62,32446.28,恩威医药,37.35,36.613,36.1075
2025-08-04,37.0,37.93,36.5,37.18,24010.23,恩威医药,37.50599999999999,36.731,36.354499999999994
2025-08-05,37.18,37.48,36.37,36.65,22744.76,恩威医药,37.471999999999994,36.826,36.456500000000005
2025-08-06,36.65,36.98,36.1,36.24,22297.8,恩威医药,37.146,36.975,36.5385
