date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,68.35,70.61,67.79,70.04,18851.11,涛涛车业,,,
2025-03-25,69.9,71.3,68.7,69.08,15333.01,涛涛车业,,,
2025-03-26,69.5,69.66,68.18,69.03,8040.0,涛涛车业,,,
2025-03-27,68.66,71.2,68.52,69.5,16397.92,涛涛车业,,,
2025-03-28,69.49,71.14,69.01,70.93,11638.15,涛涛车业,69.71600000000001,,
2025-03-31,70.46,72.5,69.91,70.94,12435.88,涛涛车业,69.896,,
2025-04-01,70.9,72.58,70.04,71.09,11696.88,涛涛车业,70.298,,
2025-04-02,71.78,74.78,70.89,73.15,20519.05,涛涛车业,71.122,,
2025-04-03,71.0,71.0,63.61,65.11,46226.97,涛涛车业,70.244,,
2025-04-07,61.01,61.12,52.8,53.89,24787.47,涛涛车业,66.83599999999998,68.276,
2025-04-08,54.96,56.93,53.62,55.4,17643.12,涛涛车业,63.72800000000001,66.812,
2025-04-09,53.52,55.09,50.82,54.27,14303.32,涛涛车业,60.364,65.331,
2025-04-10,60.35,62.83,58.9,59.24,26176.51,涛涛车业,57.58200000000001,64.352,
2025-04-11,58.87,59.82,58.41,58.89,13279.14,涛涛车业,56.338,63.29100000000001,
2025-04-14,59.6,60.65,58.39,58.7,12522.11,涛涛车业,57.3,62.068,
2025-04-15,58.89,59.87,58.52,58.9,8255.47,涛涛车业,58.0,60.86400000000001,
2025-04-16,59.0,59.02,55.2,56.06,12649.06,涛涛车业,58.358000000000004,59.361000000000004,
2025-04-17,55.8,56.44,55.0,55.32,10715.85,涛涛车业,57.574,57.57800000000001,
2025-04-18,55.21,55.75,54.76,55.01,7699.98,涛涛车业,56.798,56.568000000000005,
2025-04-21,54.85,57.76,54.12,57.39,10656.0,涛涛车业,56.536,56.918000000000006,62.597
2025-04-22,57.12,58.09,56.44,57.6,8379.0,涛涛车业,56.275999999999996,57.13800000000001,61.975
2025-04-23,59.62,62.78,59.62,62.0,22214.0,涛涛车业,57.464,57.911,61.621
2025-04-24,61.5,64.5,61.08,63.39,16477.93,涛涛车业,59.077999999999996,58.326,61.339
2025-04-25,63.66,64.44,62.01,62.65,10800.0,涛涛车业,60.60600000000001,58.702,60.99649999999999
2025-04-28,62.93,63.9,61.56,63.46,11587.82,涛涛车业,61.82000000000001,59.17800000000001,60.623000000000005
2025-04-29,62.55,63.11,60.88,61.48,11434.3,涛涛车业,62.596000000000004,59.436,60.15
2025-04-30,61.99,62.13,61.0,61.59,7871.36,涛涛车业,62.513999999999996,59.989,59.675
2025-05-06,62.1,63.5,61.34,63.49,11663.36,涛涛车业,62.534000000000006,60.806,59.19200000000001
2025-05-07,64.5,66.99,63.71,65.34,19092.07,涛涛车业,63.072,61.839,59.2035
2025-05-08,64.99,65.79,64.63,64.8,6635.49,涛涛车业,63.339999999999996,62.58,59.749
2025-05-09,64.8,65.12,63.74,64.91,7657.49,涛涛车业,64.026,63.31099999999999,60.2245
2025-05-12,66.16,68.77,66.16,67.87,19475.69,涛涛车业,65.28200000000001,63.89799999999999,60.9045
2025-05-13,70.01,70.68,66.0,66.5,25851.88,涛涛车业,65.884,64.20899999999999,61.2675
2025-05-14,66.1,67.24,66.01,66.38,10046.32,涛涛车业,66.09200000000001,64.582,61.64200000000001
2025-05-15,66.1,66.88,65.2,65.72,6921.18,涛涛车业,66.276,64.80799999999999,61.99300000000001
2025-05-16,65.72,66.59,65.46,66.3,5266.92,涛涛车业,66.554,65.29,62.363
2025-05-19,66.3,66.49,64.5,65.93,10833.0,涛涛车业,66.166,65.724,62.856500000000004
2025-05-20,65.73,66.66,65.5,66.12,7485.3,涛涛车业,66.09,65.987,63.3965
2025-05-21,66.22,66.22,64.1,64.9,11359.7,涛涛车业,65.79400000000001,65.943,63.891000000000005
2025-05-22,64.82,66.1,64.1,64.35,7209.0,涛涛车业,65.52000000000001,65.898,64.239
2025-05-23,64.12,65.36,63.75,64.19,6943.64,涛涛车业,65.098,65.826,64.5685
2025-05-26,64.19,64.88,63.7,64.55,8188.26,涛涛车业,64.822,65.494,64.696
2025-05-27,64.94,65.96,64.03,65.94,11320.8,涛涛车业,64.786,65.438,64.8235
