date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,56.28,56.75,53.3,54.48,17359.0,星源卓镁,,,
2025-03-25,54.47,56.0,52.99,53.2,13902.96,星源卓镁,,,
2025-03-26,53.28,56.82,53.28,55.44,18800.0,星源卓镁,,,
2025-03-27,55.0,55.99,53.76,54.53,10071.0,星源卓镁,,,
2025-03-28,54.98,55.0,52.5,53.5,9085.55,星源卓镁,54.23,,
2025-03-31,53.46,53.78,51.62,53.35,11126.0,星源卓镁,54.004,,
2025-04-01,53.7,54.39,52.9,53.01,8382.0,星源卓镁,53.965999999999994,,
2025-04-02,52.48,54.3,52.48,54.25,11264.0,星源卓镁,53.727999999999994,,
2025-04-03,55.68,56.63,51.51,52.21,21017.65,星源卓镁,53.263999999999996,,
2025-04-07,45.35,49.54,42.04,43.0,27367.4,星源卓镁,51.164,52.697,
2025-04-08,43.0,45.88,42.16,43.5,17201.0,星源卓镁,49.194,51.599000000000004,
2025-04-09,42.44,44.81,39.67,44.73,17297.0,星源卓镁,47.538,50.751999999999995,
2025-04-10,45.99,48.45,45.98,46.56,15914.5,星源卓镁,46.0,49.864,
2025-04-11,47.26,53.78,46.57,49.91,27820.9,星源卓镁,45.54,49.402,
2025-04-14,50.08,51.55,49.39,50.26,19598.9,星源卓镁,46.992,49.078,
2025-04-15,50.0,51.25,49.34,49.71,13110.0,星源卓镁,48.233999999999995,48.714,
2025-04-16,49.05,50.1,47.53,48.44,14691.0,星源卓镁,48.976,48.257,
2025-04-17,48.2,49.21,47.71,47.75,8981.0,星源卓镁,49.214,47.607,
2025-04-18,47.9,48.05,46.55,47.25,8256.0,星源卓镁,48.682,47.111000000000004,
2025-04-21,47.25,50.18,46.71,49.18,17440.0,星源卓镁,48.465999999999994,47.729,50.213
2025-04-22,49.1,50.5,48.52,49.45,14097.0,星源卓镁,48.414,48.324,49.9615
2025-04-23,50.16,53.09,49.68,52.6,26529.65,星源卓镁,49.246,49.111000000000004,49.9315
2025-04-24,52.2,54.33,52.0,53.06,24237.98,星源卓镁,50.30800000000001,49.761,49.8125
2025-04-25,54.06,54.25,52.25,52.6,13160.0,星源卓镁,51.378,50.029999999999994,49.716
2025-04-28,52.47,52.71,51.1,51.2,10882.0,星源卓镁,51.782000000000004,50.124,49.601
2025-04-29,50.66,53.4,50.66,52.6,19037.0,星源卓镁,52.412,50.413,49.5635
2025-04-30,52.62,53.69,52.09,53.0,17583.18,星源卓镁,52.492,50.869,49.563
2025-05-06,53.1,54.3,51.92,54.29,20880.0,星源卓镁,52.738,51.523,49.565
2025-05-07,54.6,55.66,53.94,54.8,25039.5,星源卓镁,53.178,52.278,49.6945
2025-05-08,54.58,57.58,54.34,55.33,26274.7,星源卓镁,54.004,52.89300000000001,50.311
2025-05-09,55.06,55.86,53.0,53.66,18073.7,星源卓镁,54.215999999999994,53.314,50.819
2025-05-12,54.32,55.46,53.82,54.37,16850.0,星源卓镁,54.489999999999995,53.491,51.301
2025-05-13,55.05,55.19,52.87,52.99,15319.0,星源卓镁,54.23,53.484,51.6225
2025-05-14,53.32,54.3,52.3,52.87,17291.0,星源卓镁,53.843999999999994,53.511,51.770500000000006
2025-05-15,53.05,53.05,51.1,51.21,15369.0,星源卓镁,53.02,53.512,51.818000000000005
2025-05-16,51.21,53.07,51.01,52.5,15080.48,星源卓镁,52.788,53.501999999999995,51.9575
2025-05-19,52.43,52.43,49.76,50.61,19185.55,星源卓镁,52.036,53.263,52.065999999999995
2025-05-20,50.8,51.1,49.85,50.84,12548.0,星源卓镁,51.605999999999995,52.91799999999999,52.220499999999994
2025-05-21,51.07,51.96,49.71,51.55,19474.0,星源卓镁,51.342000000000006,52.592999999999996,52.435500000000005
2025-05-22,36.21,37.0,36.0,36.65,19488.12,星源卓镁,48.43,50.725,51.809000000000005
2025-05-23,36.8,37.56,36.1,36.26,25076.04,星源卓镁,45.182,48.985,51.1495
2025-05-26,36.0,36.63,35.02,35.3,28161.6,星源卓镁,42.120000000000005,47.078,50.2845
2025-05-27,35.29,35.29,34.18,34.48,16712.0,星源卓镁,38.848,45.227,49.3555
2025-05-28,34.7,35.1,33.86,34.05,17089.6,星源卓镁,35.348,43.345,48.428
2025-05-29,34.11,35.3,34.11,34.94,19699.97,星源卓镁,35.00599999999999,41.718,47.615
2025-05-30,34.76,34.77,33.78,33.83,13794.97,星源卓镁,34.519999999999996,39.85099999999999,46.6765
2025-06-03,33.98,34.15,33.64,33.72,9820.2,星源卓镁,34.204,38.162,45.7125
2025-06-04,33.96,34.2,33.66,34.18,12544.6,星源卓镁,34.14399999999999,36.495999999999995,44.707
2025-06-05,34.18,34.5,33.8,34.5,15339.2,星源卓镁,34.234,34.791,43.69199999999999
2025-06-06,34.94,35.0,33.96,34.19,12833.8,星源卓镁,34.084,34.545,42.635000000000005
2025-06-09,34.3,34.42,33.89,34.11,16306.17,星源卓镁,34.14,34.33,41.6575
2025-06-10,34.03,34.12,32.95,33.59,17163.6,星源卓镁,34.114,34.159,40.6185
2025-06-11,35.44,36.0,34.37,34.56,41469.4,星源卓镁,34.19,34.167,39.696999999999996
2025-06-12,34.43,34.43,33.5,34.15,26915.97,星源卓镁,34.12,34.177,38.760999999999996
2025-06-13,33.72,34.17,32.62,32.7,22343.11,星源卓镁,33.822,33.953,37.8355
2025-06-16,32.68,33.88,32.36,33.56,18692.4,星源卓镁,33.712,33.926,36.8885
2025-06-17,33.87,33.88,33.19,33.44,13490.25,星源卓镁,33.682,33.898,36.03
2025-06-18,33.51,33.59,32.95,33.44,8794.6,星源卓镁,33.458,33.824,35.16
2025-06-19,33.49,33.75,33.07,33.19,15668.2,星源卓镁,33.266,33.693,34.242000000000004
2025-06-20,33.17,33.36,32.41,32.57,10429.0,星源卓镁,33.239999999999995,33.531,34.038
2025-06-23,32.57,33.08,32.43,32.91,6370.2,星源卓镁,33.11,33.411,33.87050000000001
2025-06-24,33.68,39.49,33.45,39.49,116437.0,星源卓镁,34.32,34.001,34.08
2025-06-25,40.0,41.3,38.4,41.28,139289.82,星源卓镁,35.888,34.673,34.42
2025-06-26,39.22,40.29,38.66,40.15,91252.3,星源卓镁,37.28,35.273,34.725
2025-06-27,40.97,40.98,38.55,38.61,66393.84,星源卓镁,38.488,35.864,34.9085
2025-06-30,37.92,39.03,37.81,39.03,45441.36,星源卓镁,39.712,36.410999999999994,35.1685
