date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,17.55,17.65,16.41,16.74,24746.78,森泰股份,,,
2025-03-25,16.82,16.92,16.42,16.83,14553.91,森泰股份,,,
2025-03-26,16.85,17.45,16.78,17.32,16433.91,森泰股份,,,
2025-03-27,17.29,17.42,16.85,17.1,10903.0,森泰股份,,,
2025-03-28,17.1,17.26,16.78,16.83,11545.0,森泰股份,16.964,,
2025-03-31,16.7,16.83,16.29,16.62,12767.98,森泰股份,16.94,,
2025-04-01,16.61,17.36,16.61,17.18,14486.0,森泰股份,17.01,,
2025-04-02,17.15,17.55,17.06,17.36,11599.0,森泰股份,17.018,,
2025-04-03,17.27,17.36,16.96,17.19,12501.91,森泰股份,17.036,,
2025-04-07,16.7,16.7,14.2,14.47,23924.0,森泰股份,16.564,16.764,
2025-04-08,14.6,15.33,14.5,14.86,15356.99,森泰股份,16.212,16.576,
2025-04-09,14.6,15.23,13.33,15.14,18787.83,森泰股份,15.803999999999998,16.407,
2025-04-10,15.36,15.86,15.3,15.48,12707.0,森泰股份,15.428,16.223000000000003,
2025-04-11,15.56,15.75,15.4,15.49,10109.0,森泰股份,15.088,16.062,
2025-04-14,15.82,16.19,15.7,16.01,14991.0,森泰股份,15.396,15.98,
2025-04-15,16.05,16.2,15.87,16.08,10710.6,森泰股份,15.64,15.925999999999998,
2025-04-16,16.15,16.25,15.61,15.95,10998.0,森泰股份,15.801999999999998,15.803,
2025-04-17,15.91,16.75,15.8,16.46,14314.0,森泰股份,15.998000000000001,15.713,
2025-04-18,16.4,16.5,15.92,16.21,12293.26,森泰股份,16.142,15.615,
2025-04-21,16.12,16.43,15.87,16.22,13033.0,森泰股份,16.184,15.790000000000001,16.277
2025-04-22,16.24,16.4,16.1,16.38,8812.47,森泰股份,16.244,15.941999999999998,16.259
2025-04-23,16.46,17.42,16.36,17.42,15325.97,森泰股份,16.538,16.17,16.2885
2025-04-24,17.48,17.48,16.63,17.3,22296.0,森泰股份,16.706,16.351999999999997,16.2875
2025-04-25,17.33,17.33,16.6,16.72,22941.0,森泰股份,16.808,16.475,16.2685
2025-04-28,16.9,16.9,16.22,16.58,21689.0,森泰股份,16.880000000000003,16.532,16.256
2025-04-29,16.59,16.83,16.47,16.67,18689.1,森泰股份,16.938,16.591,16.2585
2025-04-30,16.6,16.88,16.6,16.63,14273.0,森泰股份,16.78,16.659,16.231
2025-05-06,16.73,17.19,16.73,17.18,16166.66,森泰股份,16.755999999999997,16.730999999999998,16.222
2025-05-07,17.3,17.71,17.15,17.2,15479.0,森泰股份,16.852,16.830000000000002,16.2225
2025-05-08,17.2,17.67,17.04,17.61,17906.0,森泰股份,17.058,16.969,16.3795
2025-05-09,17.61,17.76,17.45,17.48,14385.0,森泰股份,17.220000000000002,17.079,16.5105
2025-05-12,17.47,17.73,17.32,17.48,10761.0,森泰股份,17.389999999999997,17.085,16.6275
2025-05-13,17.62,17.72,17.2,17.28,8905.0,森泰股份,17.410000000000004,17.083000000000002,16.7175
2025-05-14,17.32,17.44,17.05,17.21,10247.84,森泰股份,17.412,17.132,16.8035
2025-05-15,17.21,17.49,16.98,17.28,9956.0,森泰股份,17.346,17.202,16.866999999999997
2025-05-16,17.38,17.99,17.19,17.78,22621.96,森泰股份,17.406,17.313000000000002,16.952
2025-05-19,17.77,17.98,17.4,17.7,14020.0,森泰股份,17.450000000000003,17.419999999999998,17.0395
2025-05-20,17.89,18.05,17.51,17.98,12233.01,森泰股份,17.589999999999996,17.5,17.1155
2025-05-21,17.91,18.0,17.61,17.8,13131.0,森泰股份,17.708000000000002,17.56,17.195
2025-05-22,17.71,17.95,17.16,17.41,16413.0,森泰股份,17.734,17.54,17.2545
2025-05-23,17.5,17.99,17.02,17.45,25230.0,森泰股份,17.668,17.537,17.308
2025-05-26,17.38,17.73,17.16,17.6,12566.0,森泰股份,17.648,17.549,17.317
2025-05-27,17.55,17.95,17.39,17.82,14334.0,森泰股份,17.616,17.603,17.343
2025-05-28,17.83,17.97,17.43,17.6,10069.92,森泰股份,17.576,17.642,17.387
2025-05-29,17.55,18.24,17.49,18.03,22246.07,森泰股份,17.7,17.717,17.4595
2025-05-30,18.08,18.08,17.63,17.9,16902.0,森泰股份,17.79,17.729,17.521
2025-06-03,17.7,18.17,17.63,17.91,15255.0,森泰股份,17.852,17.75,17.585
2025-06-04,17.95,18.08,17.77,17.91,13908.1,森泰股份,17.869999999999997,17.743,17.6215
2025-06-05,17.89,17.95,17.49,17.76,14266.0,森泰股份,17.902,17.739,17.6495
2025-06-06,17.75,17.95,17.51,17.93,13838.0,森泰股份,17.881999999999998,17.791000000000004,17.6655
2025-06-09,18.1,18.15,17.89,18.14,13322.25,森泰股份,17.93,17.86,17.698500000000003
2025-06-10,18.13,18.34,17.6,17.88,16155.0,森泰股份,17.924,17.887999999999998,17.7185
2025-06-11,17.87,18.3,17.85,18.12,16937.0,森泰股份,17.966,17.918,17.7605
2025-06-12,18.12,19.29,18.02,18.72,52336.98,森泰股份,18.157999999999998,18.03,17.836000000000002
2025-06-13,18.87,18.96,17.62,17.8,46627.92,森泰股份,18.131999999999998,18.007,17.862000000000002
2025-06-16,17.56,18.1,17.56,17.78,25118.0,森泰股份,18.060000000000002,17.995,17.862000000000002
2025-06-17,17.84,18.1,17.52,17.78,18834.54,森泰股份,18.04,17.982000000000003,17.866
2025-06-18,17.8,17.98,17.44,17.66,19680.0,森泰股份,17.948,17.957,17.85
2025-06-19,17.61,17.8,17.22,17.26,20651.0,森泰股份,17.656000000000002,17.907,17.823
2025-06-20,17.48,17.65,17.22,17.32,18161.0,森泰股份,17.56,17.845999999999997,17.8185
2025-06-23,17.3,17.72,17.17,17.71,17455.0,森泰股份,17.546,17.803,17.831500000000002
2025-06-24,17.8,18.18,17.62,18.17,22805.41,森泰股份,17.624000000000002,17.832,17.86
2025-06-25,18.39,18.39,17.93,18.11,23491.0,森泰股份,17.714000000000002,17.831,17.8745
2025-06-26,18.15,18.3,18.0,18.09,19807.0,森泰股份,17.880000000000003,17.768,17.899
2025-06-27,18.19,18.31,18.08,18.18,14227.0,森泰股份,18.052,17.806,17.9065
2025-06-30,18.28,18.4,18.11,18.38,14614.88,森泰股份,18.186,17.866,17.9305
2025-07-01,18.36,18.65,18.26,18.5,14554.1,森泰股份,18.252,17.938,17.96
2025-07-02,18.5,18.57,18.29,18.46,10389.0,森泰股份,18.322,18.018,17.9875
2025-07-03,18.45,18.65,18.43,18.59,11764.88,森泰股份,18.422000000000004,18.151,18.029
