date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,16.71,17.5,16.35,16.8,122737.99,泓淋电力,,,
2025-03-25,16.64,17.09,16.36,16.44,101106.0,泓淋电力,,,
2025-03-26,16.48,16.55,16.13,16.2,69337.38,泓淋电力,,,
2025-03-27,16.15,16.18,15.62,16.0,71558.83,泓淋电力,,,
2025-03-28,16.0,16.14,15.75,15.75,37589.87,泓淋电力,16.238,,
2025-03-31,15.75,15.88,15.38,15.67,41551.34,泓淋电力,16.012,,
2025-04-01,15.69,16.1,15.56,15.85,39481.0,泓淋电力,15.894,,
2025-04-02,15.8,16.01,15.71,15.83,31459.0,泓淋电力,15.819999999999999,,
2025-04-03,15.59,15.9,15.3,15.34,50636.07,泓淋电力,15.687999999999999,,
2025-04-07,14.14,14.27,12.27,12.27,99428.59,泓淋电力,14.991999999999999,15.615,
2025-04-08,12.4,13.06,12.28,12.57,72600.77,泓淋电力,14.372,15.191999999999998,
2025-04-09,12.19,12.92,11.41,12.82,76300.0,泓淋电力,13.766,14.829999999999998,
2025-04-10,13.44,13.66,13.2,13.28,62573.0,泓淋电力,13.256,14.538,
2025-04-11,13.18,13.51,13.1,13.32,39590.0,泓淋电力,12.851999999999999,14.27,
2025-04-14,13.58,13.8,13.52,13.67,48850.63,泓淋电力,13.132,14.062000000000001,
2025-04-15,13.57,13.82,13.46,13.68,33764.71,泓淋电力,13.354,13.863,
2025-04-16,13.61,13.68,13.22,13.4,28368.24,泓淋电力,13.469999999999999,13.618,
2025-04-17,13.4,13.66,13.3,13.44,27424.0,泓淋电力,13.502,13.379,
2025-04-18,13.43,13.62,13.35,13.52,21367.0,泓淋电力,13.541999999999998,13.197,
2025-04-21,13.59,13.79,13.48,13.75,27827.0,泓淋电力,13.557999999999998,13.344999999999999,14.48
2025-04-22,13.7,13.94,13.68,13.76,33730.0,泓淋电力,13.574000000000002,13.463999999999999,14.328
2025-04-23,13.88,14.29,13.85,14.25,47368.0,泓淋电力,13.744,13.607,14.2185
2025-04-24,14.32,14.56,14.15,14.23,55362.0,泓淋电力,13.902000000000001,13.701999999999998,14.12
2025-04-25,14.2,15.28,14.18,14.69,102259.19,泓淋电力,14.136,13.838999999999999,14.054499999999999
2025-04-28,14.6,14.68,14.07,14.12,79971.0,泓淋电力,14.209999999999999,13.884,13.972999999999999
2025-04-29,14.1,14.41,14.04,14.18,59653.0,泓淋电力,14.294,13.934000000000001,13.898499999999999
2025-04-30,14.27,14.45,14.21,14.35,39355.72,泓淋电力,14.313999999999998,14.029,13.823500000000001
2025-05-06,14.44,15.08,14.42,15.02,61758.43,泓淋电力,14.472,14.187000000000001,13.782999999999998
2025-05-07,15.2,15.24,14.76,14.9,60970.06,泓淋电力,14.514,14.325,13.761000000000001
2025-05-08,14.86,15.71,14.8,15.5,88784.21,泓淋电力,14.790000000000001,14.5,13.922500000000003
2025-05-09,15.4,15.45,15.05,15.21,55515.4,泓淋电力,14.996,14.645,14.054499999999999
2025-05-12,15.29,15.4,15.22,15.38,40474.49,泓淋电力,15.202000000000002,14.758000000000001,14.1825
2025-05-13,15.49,15.57,15.27,15.42,40040.0,泓淋电力,15.282,14.877,14.2895
2025-05-14,15.42,15.46,15.21,15.27,35339.69,泓淋电力,15.356,14.935000000000002,14.387
2025-05-15,15.23,15.23,14.96,15.05,29626.0,泓淋电力,15.266,15.028,14.456
2025-05-16,15.05,15.38,15.05,15.35,36830.25,泓淋电力,15.294,15.145,14.539499999999999
2025-05-19,15.47,15.5,15.01,15.3,30146.0,泓淋电力,15.278,15.24,14.6345
2025-05-20,15.23,15.47,15.05,15.47,28468.06,泓淋电力,15.288,15.285,14.736
2025-05-21,15.38,15.89,15.22,15.37,56894.64,泓淋电力,15.308000000000002,15.331999999999999,14.8285
2025-05-22,15.36,15.54,15.14,15.16,45027.55,泓淋电力,15.330000000000002,15.297999999999998,14.898999999999997
2025-05-23,15.8,16.16,15.17,15.24,166569.74,泓淋电力,15.307999999999998,15.301000000000002,14.972999999999999
2025-05-26,14.91,15.26,14.82,15.05,103708.85,泓淋电力,15.258000000000001,15.267999999999997,15.013
2025-05-27,15.06,15.15,14.81,14.97,55771.32,泓淋电力,15.158000000000001,15.222999999999999,15.05
2025-05-28,15.0,15.21,14.89,14.97,41387.57,泓淋电力,15.078,15.193000000000001,15.064000000000002
2025-05-29,14.7,15.12,14.7,14.79,51548.71,泓淋电力,15.004000000000001,15.167000000000002,15.097500000000002
2025-05-30,14.76,14.79,14.44,14.49,45028.93,泓淋电力,14.854,15.081,15.113
2025-06-03,14.45,14.66,14.35,14.51,31598.0,泓淋电力,14.746,15.002,15.121
2025-06-04,14.52,14.93,14.51,14.68,36044.98,泓淋电力,14.687999999999999,14.923000000000002,15.104000000000003
2025-06-05,14.7,15.18,14.6,15.12,67814.0,泓淋电力,14.718,14.898,15.114999999999998
2025-06-06,15.04,15.12,14.93,15.03,34033.0,泓淋电力,14.766,14.885,15.0915
2025-06-09,15.05,15.2,14.95,15.06,36718.0,泓淋电力,14.879999999999999,14.866999999999999,15.084
2025-06-10,15.06,15.07,14.68,14.82,38734.0,泓淋电力,14.941999999999998,14.844,15.056000000000001
2025-06-11,14.82,15.04,14.8,14.82,29483.0,泓淋电力,14.969999999999999,14.829000000000002,15.026
2025-06-12,14.83,15.3,14.69,15.09,93160.0,泓淋电力,14.964000000000002,14.841,15.017000000000001
2025-06-13,14.96,15.15,14.59,14.64,64770.0,泓淋电力,14.886000000000001,14.825999999999999,14.996500000000001
2025-06-16,14.56,15.75,14.55,15.59,159348.28,泓淋电力,14.991999999999999,14.936000000000002,15.008500000000002
2025-06-17,15.8,15.84,15.08,15.24,104574.91,泓淋电力,15.075999999999999,15.009,15.005500000000001
2025-06-18,15.15,15.45,14.93,15.22,75985.0,泓淋电力,15.156,15.063000000000002,14.993
2025-06-19,15.18,15.98,15.13,15.6,170846.46,泓淋电力,15.258000000000001,15.111,15.004499999999998
2025-06-20,15.45,15.83,15.34,15.39,85313.25,泓淋电力,15.408000000000001,15.147,15.016
2025-06-23,15.27,15.43,15.16,15.43,59914.45,泓淋电力,15.376,15.184000000000001,15.0255
2025-06-24,15.41,15.8,15.38,15.8,82309.19,泓淋电力,15.488,15.282000000000002,15.062999999999999
2025-06-25,15.79,16.03,15.67,15.83,73109.0,泓淋电力,15.61,15.383,15.106
2025-06-26,15.81,15.85,15.54,15.66,65937.06,泓淋电力,15.622,15.439999999999998,15.1405
2025-06-27,16.16,17.96,15.68,17.48,371738.4,泓淋电力,16.04,15.724,15.275
2025-06-30,17.04,17.37,16.67,16.76,221278.06,泓淋电力,16.306,15.841,15.388500000000002
2025-07-01,16.75,16.82,16.45,16.59,149064.0,泓淋电力,16.464,15.975999999999999,15.492499999999998
2025-07-02,16.5,16.5,16.07,16.11,127236.0,泓淋电力,16.52,16.064999999999998,15.563999999999998
2025-07-03,16.06,16.35,15.99,16.15,102888.0,泓淋电力,16.618000000000002,16.119999999999997,15.6155
2025-07-04,16.25,17.2,16.14,16.65,234552.88,泓淋电力,16.451999999999998,16.246000000000002,15.6965
2025-07-07,16.8,17.49,16.5,17.49,265857.05,泓淋电力,16.598,16.452,15.818000000000001
2025-07-08,17.22,17.43,16.84,17.35,199387.12,泓淋电力,16.75,16.607,15.9445
2025-07-09,17.2,17.49,16.95,17.28,156771.72,泓淋电力,16.983999999999998,16.752000000000002,16.067500000000003
2025-07-10,17.2,17.87,17.05,17.75,248539.19,泓淋电力,17.304,16.961000000000002,16.200499999999998
2025-07-11,17.43,17.7,16.75,16.83,184137.4,泓淋电力,17.34,16.895999999999997,16.31
2025-07-14,16.83,17.17,16.63,17.14,103088.37,泓淋电力,17.27,16.934,16.3875
2025-07-15,17.01,17.14,16.6,16.64,104509.8,泓淋电力,17.128,16.939,16.4575
2025-07-16,16.72,16.85,16.49,16.52,72799.91,泓淋电力,16.976,16.979999999999997,16.5225
2025-07-17,16.5,16.62,16.32,16.62,53476.43,泓淋电力,16.75,17.027,16.573500000000003
2025-07-18,16.68,16.68,16.32,16.47,61496.0,泓淋电力,16.678,17.009,16.6275
2025-07-21,16.55,16.78,16.5,16.78,73974.0,泓淋电力,16.606,16.938,16.695
2025-07-22,16.82,16.95,16.53,16.64,66601.99,泓淋电力,16.606,16.866999999999997,16.737000000000002
2025-07-23,16.69,16.7,16.18,16.25,73114.39,泓淋电力,16.552,16.764,16.758000000000003
2025-07-24,16.21,16.35,16.19,16.3,54093.0,泓淋电力,16.488,16.619,16.79
2025-07-25,16.28,16.35,16.14,16.16,45483.07,泓淋电力,16.426000000000002,16.552,16.723999999999997
2025-07-28,16.17,16.3,16.16,16.28,39127.08,泓淋电力,16.326,16.466,16.7
2025-07-29,16.3,16.31,16.02,16.25,44763.28,泓淋电力,16.248,16.427,16.683
2025-07-30,16.27,16.28,15.9,16.13,48126.0,泓淋电力,16.224,16.387999999999998,16.684
2025-07-31,16.03,16.32,15.99,16.0,47991.0,泓淋电力,16.163999999999998,16.326,16.6765
2025-08-01,15.93,16.14,15.93,16.09,30804.58,泓淋电力,16.15,16.288,16.6485
2025-08-04,16.0,16.33,15.95,16.31,38093.91,泓淋电力,16.156,16.241,16.589499999999997
2025-08-05,16.3,16.58,16.3,16.52,59473.77,泓淋电力,16.21,16.229000000000003,16.548000000000002
2025-08-06,16.48,16.68,16.38,16.6,44068.64,泓淋电力,16.304,16.264000000000003,16.514
2025-08-07,16.57,16.66,16.3,16.48,49352.96,泓淋电力,16.4,16.282,16.450499999999998
2025-08-08,16.5,16.6,16.37,16.43,33654.54,泓淋电力,16.468,16.309,16.430500000000002
2025-08-11,16.5,17.0,16.46,16.77,76225.0,泓淋电力,16.56,16.358,16.412
2025-08-12,16.77,16.83,16.61,16.72,42516.4,泓淋电力,16.6,16.405,16.416000000000004
2025-08-13,16.68,16.8,16.64,16.75,55487.82,泓淋电力,16.630000000000003,16.467000000000002,16.427500000000002
2025-08-14,16.75,17.1,16.58,16.63,107365.9,泓淋电力,16.66,16.53,16.428
2025-08-15,16.59,16.97,16.59,16.86,78504.07,泓淋电力,16.746000000000002,16.607,16.447499999999998
2025-08-18,16.94,17.08,16.78,16.96,75931.8,泓淋电力,16.784,16.672,16.4565
2025-08-19,16.97,17.34,16.86,17.24,92352.36,泓淋电力,16.887999999999998,16.744,16.4865
2025-08-20,17.22,17.29,17.03,17.27,63614.44,泓淋电力,16.991999999999997,16.811,16.5375
2025-08-21,17.28,17.34,16.97,17.14,75475.6,泓淋电力,17.094,16.877000000000002,16.5795
2025-08-22,17.15,17.2,16.92,16.98,50382.0,泓淋电力,17.118000000000002,16.932,16.6205
2025-08-25,17.02,17.22,16.82,17.01,79614.52,泓淋电力,17.127999999999997,16.956,16.657
2025-08-26,16.99,17.49,16.9,17.16,77535.91,泓淋电力,17.112000000000002,17.0,16.7025
2025-08-27,17.07,17.32,16.67,16.69,75855.38,泓淋电力,16.996000000000002,16.994,16.7305
2025-08-28,16.67,17.08,16.33,17.08,88261.78,泓淋电力,16.984,17.038999999999998,16.7845
2025-08-29,17.0,17.0,16.2,16.29,116756.81,泓淋电力,16.845999999999997,16.982,16.7945
2025-09-01,16.17,16.37,15.95,15.99,81491.88,泓淋电力,16.642000000000003,16.884999999999998,16.7785
2025-09-02,15.99,16.05,15.3,15.6,72239.0,泓淋电力,16.33,16.720999999999997,16.732499999999998
2025-09-03,15.6,15.67,15.12,15.2,45535.17,泓淋电力,16.032,16.514000000000003,16.6625
2025-09-04,15.2,15.47,14.9,15.14,55128.17,泓淋电力,15.644,16.314,16.595499999999998
2025-09-05,15.16,15.44,15.09,15.39,37349.15,泓淋电力,15.463999999999999,16.155,16.5435
2025-09-08,15.39,15.55,15.3,15.55,38379.0,泓淋电力,15.376,16.009,16.482499999999998
2025-09-09,15.52,15.54,15.19,15.28,38690.0,泓淋电力,15.312000000000001,15.820999999999998,16.4105
