date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,68.5,69.2,65.88,68.0,14724.0,豪恩汽电,,,
2025-03-25,68.11,70.35,67.37,67.83,12084.0,豪恩汽电,,,
2025-03-26,67.17,69.3,67.17,68.58,9662.25,豪恩汽电,,,
2025-03-27,68.17,68.5,66.9,67.02,11415.77,豪恩汽电,,,
2025-03-28,67.15,67.67,66.06,66.33,7823.0,豪恩汽电,67.55199999999999,,
2025-03-31,66.0,66.72,64.75,66.69,11413.0,豪恩汽电,67.28999999999999,,
2025-04-01,67.6,69.38,67.11,67.21,14557.0,豪恩汽电,67.166,,
2025-04-02,67.4,68.34,66.51,66.87,11227.0,豪恩汽电,66.824,,
2025-04-03,65.1,67.29,64.04,64.55,10627.64,豪恩汽电,66.33,,
2025-04-07,59.0,61.99,51.64,51.64,23265.1,豪恩汽电,63.391999999999996,65.47200000000001,
2025-04-08,52.0,54.7,51.65,53.38,25629.84,豪恩汽电,60.73,64.01,
2025-04-09,51.0,53.17,47.0,52.4,32184.99,豪恩汽电,57.76800000000001,62.467,
2025-04-10,54.87,56.15,53.8,54.06,22828.0,豪恩汽电,55.206,61.015,
2025-04-11,54.69,56.85,53.05,55.47,19232.86,豪恩汽电,53.39,59.86,
2025-04-14,56.76,57.65,56.25,56.8,13981.0,豪恩汽电,54.422000000000004,58.907,
2025-04-15,56.76,57.65,55.94,56.71,12280.31,豪恩汽电,55.088,57.90899999999999,
2025-04-16,56.58,56.95,54.36,54.99,10771.31,豪恩汽电,55.60600000000001,56.687,
2025-04-17,54.21,56.37,54.21,55.0,9411.37,豪恩汽电,55.794000000000004,55.5,
2025-04-18,54.51,56.53,54.28,55.93,10266.64,豪恩汽电,55.886,54.638,
2025-04-21,55.99,59.13,55.78,58.5,18277.0,豪恩汽电,56.226,55.324,60.398
2025-04-22,58.48,59.88,57.68,58.7,15974.02,豪恩汽电,56.624,55.85600000000001,59.93300000000001
2025-04-23,61.25,62.28,60.02,61.16,42639.45,豪恩汽电,57.85799999999999,56.73199999999999,59.5995
2025-04-24,60.1,62.19,59.88,60.28,25757.45,豪恩汽电,58.914,57.354000000000006,59.18449999999999
2025-04-25,59.78,60.62,59.0,59.15,19595.0,豪恩汽电,59.55800000000001,57.722,58.791
2025-04-28,58.89,59.38,58.0,58.66,11045.33,豪恩汽电,59.589999999999996,57.908,58.407500000000006
2025-04-29,59.29,60.59,58.77,59.55,11609.2,豪恩汽电,59.75999999999999,58.19200000000001,58.0505
2025-04-30,60.1,61.0,59.6,60.55,11836.0,豪恩汽电,59.638,58.748000000000005,57.717499999999994
2025-05-06,60.62,62.99,60.14,62.29,17551.62,豪恩汽电,60.04,59.477,57.4885
2025-05-07,64.16,66.56,62.31,63.07,31117.0,豪恩汽电,60.824,60.190999999999995,57.4145
2025-05-08,63.19,63.9,62.23,63.0,18509.0,豪恩汽电,61.69199999999999,60.641,57.982499999999995
2025-05-09,62.88,63.27,61.0,61.63,12230.0,豪恩汽电,62.108000000000004,60.934000000000005,58.395
2025-05-12,62.66,63.5,62.46,63.05,12511.0,豪恩汽电,62.60799999999999,61.123000000000005,58.927499999999995
2025-05-13,63.82,64.13,61.82,62.0,11588.0,豪恩汽电,62.55,61.294999999999995,59.3245
2025-05-14,63.8,63.92,62.0,62.3,22907.0,豪恩汽电,62.396,61.61,59.666
2025-05-15,61.83,62.1,61.0,61.5,12780.0,豪恩汽电,62.096000000000004,61.894000000000005,59.900999999999996
2025-05-16,66.3,73.8,65.08,73.8,70276.92,豪恩汽电,64.53,63.319,60.755500000000005
2025-05-19,84.0,88.5,79.05,80.25,126254.98,豪恩汽电,67.97,65.289,62.018499999999996
2025-05-20,79.04,83.4,77.5,77.75,101305.37,豪恩汽电,71.12,66.83500000000001,63.15599999999999
2025-05-21,74.0,78.8,73.5,76.0,76670.02,豪恩汽电,73.85999999999999,68.128,64.15950000000001
2025-05-22,74.13,74.69,70.6,70.84,60083.69,豪恩汽电,75.728,68.912,64.7765
2025-05-23,71.0,73.98,70.19,71.41,56824.47,豪恩汽电,75.25,69.89,65.41199999999999
2025-05-26,69.71,71.68,68.73,70.69,38407.45,豪恩汽电,73.33800000000001,70.654,65.8885
2025-05-27,70.66,70.78,69.59,69.84,25225.0,豪恩汽电,71.756,71.438,66.3665
2025-05-28,71.82,75.37,71.76,72.29,64397.61,豪恩汽电,71.014,72.437,67.0235
2025-05-29,71.03,76.97,71.03,76.24,67495.65,豪恩汽电,72.09400000000001,73.91099999999999,67.9025
2025-05-30,74.49,74.59,69.65,69.7,52373.31,豪恩汽电,71.75200000000001,73.501,68.41
2025-06-03,69.0,70.28,69.0,69.31,24088.36,豪恩汽电,71.47600000000001,72.40700000000001,68.848
2025-06-04,69.85,70.58,69.32,70.35,20993.54,豪恩汽电,71.578,71.667,69.251
2025-06-05,70.8,70.85,68.01,69.4,27602.65,豪恩汽电,71.0,71.007,69.56750000000001
2025-06-06,68.7,68.92,67.07,67.57,23931.54,豪恩汽电,69.26599999999999,70.67999999999999,69.796
2025-06-09,67.33,68.29,66.91,67.97,14208.54,豪恩汽电,68.91999999999999,70.336,70.113
2025-06-10,67.5,68.1,65.83,67.63,18091.62,豪恩汽电,68.58399999999999,70.03,70.342
2025-06-11,69.12,72.38,69.12,72.05,55099.39,豪恩汽电,68.924,70.251,70.84450000000001
2025-06-12,70.1,71.6,69.29,69.95,33414.0,豪恩汽电,69.03399999999999,70.017,71.227
2025-06-13,69.13,69.13,66.32,66.42,29807.0,豪恩汽电,68.804,69.035,71.473
2025-06-16,65.83,67.72,65.73,67.69,15790.0,豪恩汽电,68.748,68.834,71.16749999999999
2025-06-17,67.44,67.98,66.75,67.04,11581.96,豪恩汽电,68.63000000000001,68.607,70.50699999999999
2025-06-18,66.7,67.5,66.0,67.37,12901.99,豪恩汽电,67.694,68.309,69.988
2025-06-19,67.14,68.36,66.01,66.2,17426.53,豪恩汽电,66.944,67.989,69.498
2025-06-20,66.22,66.8,64.74,64.87,13324.0,豪恩汽电,66.634,67.71900000000001,69.1995
2025-06-23,64.43,65.64,64.0,65.58,10442.0,豪恩汽电,66.212,67.47999999999999,68.90799999999999
2025-06-24,69.97,75.65,69.97,71.42,63677.65,豪恩汽电,67.088,67.85900000000001,68.9445
2025-06-25,69.56,71.33,69.56,70.82,45268.0,豪恩汽电,67.77799999999999,67.736,68.9935
2025-06-26,70.02,71.55,70.02,70.5,30489.45,豪恩汽电,68.638,67.791,68.904
2025-06-27,71.46,72.1,69.83,70.21,24342.1,豪恩汽电,69.70599999999999,68.17,68.60249999999999
2025-06-30,69.8,70.88,69.8,70.8,16904.65,豪恩汽电,70.75,68.481,68.6575
2025-07-01,70.57,71.03,69.83,70.35,14236.92,豪恩汽电,70.53599999999999,68.812,68.7095
2025-07-02,70.2,70.98,68.88,69.28,16167.0,豪恩汽电,70.228,69.003,68.656
2025-07-03,69.03,69.46,68.68,69.3,10723.0,豪恩汽电,69.988,69.313,68.651
2025-07-04,70.0,70.0,67.8,68.46,13824.0,豪恩汽电,69.638,69.672,68.69550000000001
2025-07-07,67.8,68.4,67.04,68.3,12020.25,豪恩汽电,69.138,69.944,68.712
2025-07-08,68.41,69.48,68.2,69.12,12110.92,豪恩汽电,68.89200000000001,69.714,68.7865
2025-07-09,68.5,71.8,68.5,70.14,25536.53,豪恩汽电,69.064,69.646,68.691
2025-07-10,70.04,72.8,69.56,71.58,30612.93,豪恩汽电,69.52,69.75399999999999,68.77250000000001
