date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,56.6,57.22,53.52,56.35,63509.14,陕西华达,,,
2025-03-25,55.05,61.55,55.05,58.34,94112.49,陕西华达,,,
2025-03-26,57.61,58.34,56.37,57.03,52246.43,陕西华达,,,
2025-03-27,56.68,57.13,53.89,55.1,42343.0,陕西华达,,,
2025-03-28,54.82,55.49,51.53,51.57,47708.29,陕西华达,55.678,,
2025-03-31,50.02,52.4,50.02,51.37,24598.0,陕西华达,54.682,,
2025-04-01,51.66,54.33,51.19,54.21,45970.0,陕西华达,53.85600000000001,,
2025-04-02,53.7,54.73,52.62,53.07,26498.54,陕西华达,53.064,,
2025-04-03,52.5,53.46,51.15,52.01,28037.5,陕西华达,52.44599999999999,,
2025-04-07,49.3,49.33,41.61,41.64,52157.85,陕西华达,50.459999999999994,53.069,
2025-04-08,43.0,44.97,41.1,43.08,35777.0,陕西华达,48.80200000000001,51.742,
2025-04-09,42.43,47.06,41.15,46.96,46766.09,陕西华达,47.352,50.604,
2025-04-10,47.0,48.18,46.53,46.99,37956.0,陕西华达,46.136,49.6,
2025-04-11,46.38,48.88,46.32,47.78,33550.0,陕西华达,45.29,48.868,
2025-04-14,48.0,48.78,47.7,47.8,21655.82,陕西华达,46.522000000000006,48.491,
2025-04-15,47.77,47.94,46.48,46.98,19566.15,陕西华达,47.302,48.052,
2025-04-16,46.9,47.27,45.18,45.89,18505.0,陕西华达,47.088,47.22,
2025-04-17,45.58,46.85,45.58,46.08,14200.0,陕西华达,46.906,46.521,
2025-04-18,46.09,48.98,45.38,47.79,36778.44,陕西华达,46.908,46.099000000000004,
2025-04-21,47.6,48.81,47.22,48.44,33217.42,陕西华达,47.035999999999994,46.779,49.924
2025-04-22,47.99,49.16,47.92,48.53,24208.44,陕西华达,47.346,47.324,49.533
2025-04-23,48.57,48.8,48.16,48.57,18588.0,陕西华达,47.88199999999999,47.485,49.0445
2025-04-24,48.59,49.99,47.99,48.2,26859.0,陕西华达,48.306,47.605999999999995,48.602999999999994
2025-04-25,48.31,48.94,47.81,48.0,20242.0,陕西华达,48.348,47.628,48.248
2025-04-28,47.99,48.14,46.78,46.81,15887.2,陕西华达,48.022000000000006,47.528999999999996,48.010000000000005
2025-04-29,44.0,46.52,43.52,45.6,25086.11,陕西华达,47.436,47.391,47.721500000000006
2025-04-30,46.5,48.11,45.95,47.2,27093.0,陕西华达,47.162000000000006,47.522,47.370999999999995
2025-05-06,47.22,49.66,47.22,49.5,26486.0,陕西华达,47.422000000000004,47.864,47.1925
2025-05-07,50.5,51.32,50.0,51.2,36759.46,陕西华达,48.062,48.205,47.152
2025-05-08,50.53,51.95,50.53,51.8,26897.0,陕西华达,49.06,48.541,47.66
2025-05-09,54.49,56.66,52.46,54.0,89448.93,陕西华达,50.74,49.088,48.206
2025-05-12,52.13,56.98,52.13,54.66,79989.02,陕西华达,52.23199999999999,49.697,48.590999999999994
2025-05-13,54.09,54.5,51.97,51.99,57142.31,陕西华达,52.73,50.076,48.840999999999994
2025-05-14,52.49,52.74,50.94,51.09,29514.0,陕西华达,52.708000000000006,50.385,49.0065
2025-05-15,51.5,52.8,50.3,50.7,30640.0,陕西华达,52.488,50.774,49.151500000000006
2025-05-16,50.21,51.23,50.2,50.75,27647.0,陕西华达,51.838,51.289,49.34
2025-05-19,50.91,51.38,49.8,51.08,23397.4,陕西华达,51.122,51.677,49.5995
2025-05-20,50.58,51.3,50.36,51.04,16304.82,陕西华达,50.932,51.831,49.847500000000004
2025-05-21,50.79,51.25,49.6,49.6,21593.82,陕西华达,50.634,51.67100000000001,49.938
2025-05-22,49.61,50.95,49.23,49.5,19700.0,陕西华达,50.394,51.44100000000001,49.991
2025-05-23,49.3,49.6,48.1,48.26,17839.7,陕西华达,49.896,50.867000000000004,49.977500000000006
2025-05-26,48.28,49.14,48.1,48.67,11801.11,陕西华达,49.414,50.268,49.9825
2025-05-27,48.51,49.66,47.82,49.12,21494.85,陕西华达,49.029999999999994,49.981,50.0285
2025-05-28,49.0,49.22,47.81,47.84,15502.0,陕西华达,48.678,49.656,50.020500000000006
2025-05-29,47.94,49.23,47.78,48.71,13320.0,陕西华达,48.519999999999996,49.45700000000001,50.1155
2025-05-30,48.5,50.37,47.9,49.42,28105.11,陕西华达,48.752,49.324,50.3065
2025-06-03,49.62,51.2,49.3,49.5,23109.0,陕西华达,48.918,49.166,50.4215
2025-06-04,49.68,51.2,49.34,50.05,28662.0,陕西华达,49.104,49.067,50.449
2025-06-05,49.51,54.75,49.3,54.09,88974.35,陕西华达,50.354,49.516000000000005,50.5935
2025-06-06,53.54,54.5,52.51,53.27,53325.74,陕西华达,51.266000000000005,49.893,50.667
2025-06-09,53.28,53.92,52.68,52.8,40024.0,陕西华达,51.94199999999999,50.347,50.607
2025-06-10,53.2,55.55,52.8,53.88,74044.6,陕西华达,52.818,50.868,50.568
2025-06-11,53.5,54.37,52.52,54.08,42340.16,陕西华达,53.624,51.364,50.6725
2025-06-12,53.74,55.51,53.68,53.84,41970.0,陕西华达,53.574,51.964,50.81
2025-06-13,53.58,55.2,53.36,53.66,41314.0,陕西华达,53.652,52.459,50.958
2025-06-16,54.06,54.98,53.2,53.58,37058.05,陕西华达,53.80799999999999,52.875,51.0995
2025-06-17,53.4,53.84,52.52,53.17,29101.91,陕西华达,53.666,53.242000000000004,51.20400000000001
2025-06-18,37.9,38.83,37.25,38.78,57400.16,陕西华达,50.606,52.114999999999995,50.590999999999994
2025-06-19,38.57,38.81,37.15,37.5,45688.2,陕西华达,47.338,50.456,49.986000000000004
2025-06-20,37.5,37.75,36.4,36.72,35635.19,陕西华达,43.95,48.801,49.347
2025-06-23,36.72,37.79,36.48,37.5,40771.8,陕西华达,40.733999999999995,47.271,48.809
2025-06-24,37.13,37.97,36.69,37.88,51291.63,陕西华达,37.676,45.671,48.2695
2025-06-25,37.86,38.79,37.82,38.41,64314.6,陕西华达,37.602,44.104,47.733999999999995
2025-06-26,38.46,40.88,38.46,39.39,111885.92,陕西华达,37.980000000000004,42.659,47.3115
2025-06-27,39.59,40.49,39.01,39.82,67046.4,陕西华达,38.6,41.275,46.867000000000004
2025-06-30,39.65,41.6,39.65,40.69,108881.64,陕西华达,39.238,39.986000000000004,46.4305
2025-07-01,40.41,40.57,39.47,39.7,70781.72,陕西华达,39.602000000000004,38.638999999999996,45.9405
2025-07-02,39.51,39.7,38.5,38.83,49067.6,陕西华达,39.686,38.644,45.3795
2025-07-03,39.58,45.8,39.58,41.2,194115.13,陕西华达,40.048,39.013999999999996,44.735
2025-07-04,39.8,43.32,39.8,42.66,185891.42,陕西华达,40.616,39.608,44.2045
2025-07-07,41.85,45.5,41.6,44.71,170177.99,陕西华达,41.42,40.329,43.8
2025-07-08,44.42,46.16,43.64,44.06,143357.27,陕西华达,42.291999999999994,40.947,43.309000000000005
2025-07-09,44.06,45.28,43.37,43.7,106097.99,陕西华达,43.266000000000005,41.476,42.79
2025-07-10,43.0,44.4,42.25,44.4,88022.35,陕西华达,43.906,41.977,42.318
2025-07-11,43.9,43.96,42.6,42.88,68513.8,陕西华达,43.95,42.283,41.779
2025-07-14,42.8,43.12,42.52,42.67,35439.37,陕西华达,43.54200000000001,42.481,41.2335
2025-07-15,42.59,42.92,41.31,41.7,53401.04,陕西华达,43.07000000000001,42.681000000000004,40.660000000000004
2025-07-16,41.86,42.0,41.22,41.64,34102.6,陕西华达,42.658,42.962,40.803000000000004
2025-07-17,41.5,42.8,41.5,42.53,44256.4,陕西华达,42.284000000000006,43.095,41.054500000000004
2025-07-18,42.5,42.75,41.8,42.18,36066.2,陕西华达,42.144,43.047000000000004,41.3275
2025-07-21,42.0,43.15,41.91,43.0,47540.59,陕西华达,42.21,42.876,41.602500000000006
2025-07-22,43.0,43.62,42.33,42.54,51726.72,陕西华达,42.378,42.724000000000004,41.8355
2025-07-23,42.39,44.25,42.0,43.24,71966.78,陕西华达,42.698,42.678000000000004,42.077000000000005
2025-07-24,43.36,43.6,42.82,43.18,47175.77,陕西华达,42.827999999999996,42.556000000000004,42.2665
2025-07-25,43.01,43.3,42.24,42.88,43148.68,陕西华达,42.968,42.556000000000004,42.4195
2025-07-28,42.68,45.5,42.68,44.99,108706.55,陕西华达,43.366,42.788,42.634499999999996
2025-07-29,45.01,45.16,44.43,44.83,52888.69,陕西华达,43.824,43.101,42.891000000000005
2025-07-30,44.92,46.33,43.38,44.39,82055.68,陕西华达,44.054,43.376,43.169
2025-07-31,44.11,47.85,43.83,45.52,125489.0,陕西华达,44.522000000000006,43.675,43.385000000000005
2025-08-01,45.29,45.48,43.43,43.72,86383.78,陕西华达,44.690000000000005,43.829,43.438
2025-08-04,43.11,49.0,43.08,47.91,169542.13,陕西华达,45.274,44.32,43.598
2025-08-05,47.92,49.61,47.56,48.59,138096.73,陕西华达,46.026,44.925,43.8245
2025-08-06,48.49,52.0,48.3,50.06,154665.5,陕西华达,47.160000000000004,45.607,44.1425
2025-08-07,49.56,52.76,48.7,52.0,172421.95,陕西华达,48.456,46.489,44.522499999999994
2025-08-08,53.17,55.55,51.18,52.33,168809.06,陕西华达,50.178,47.434,44.995
2025-08-11,52.0,53.53,50.27,51.0,150027.73,陕西华达,50.796,48.035000000000004,45.411500000000004
2025-08-12,50.94,51.84,49.99,50.35,86198.7,陕西华达,51.148,48.587,45.844
2025-08-26,60.42,60.42,51.85,51.85,245634.39,陕西华达,51.50599999999999,49.333,46.3545
2025-08-27,51.5,51.5,47.89,48.46,162359.59,陕西华达,50.798,49.627,46.650999999999996
2025-08-28,49.41,50.49,47.05,49.14,116756.91,陕西华达,50.160000000000004,50.169,46.999
2025-08-29,48.16,49.27,47.57,47.68,82593.87,陕西华达,49.496,50.146,47.233
2025-09-01,47.5,48.14,46.8,47.0,63359.81,陕西华达,48.826,49.987,47.456
2025-09-02,47.04,49.31,45.18,49.22,128009.79,陕西华达,48.3,49.903,47.755
2025-09-03,48.92,48.99,46.67,46.78,65422.63,陕西华达,47.964000000000006,49.381,47.935
2025-09-04,46.88,47.25,42.58,44.08,68413.34,陕西华达,46.952,48.556,47.995000000000005
2025-09-05,43.74,45.72,43.52,45.26,42406.85,陕西华达,46.467999999999996,47.982,48.008500000000005
2025-09-08,45.72,47.67,45.31,47.2,56202.93,陕西华达,46.507999999999996,47.666999999999994,48.126999999999995
2025-09-09,46.66,46.95,44.71,44.8,51653.61,陕西华达,45.624,46.962,48.1475
