date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,34.37,37.88,33.37,36.81,130795.02,惠通科技,,,
2025-03-25,36.11,40.4,35.86,39.59,139398.01,惠通科技,,,
2025-03-26,37.83,39.68,37.42,37.46,107081.31,惠通科技,,,
2025-03-27,36.99,39.11,36.24,38.48,101579.41,惠通科技,,,
2025-03-28,37.42,37.71,35.0,35.34,75971.87,惠通科技,37.536,,
2025-03-31,34.81,35.97,33.61,35.58,55526.29,惠通科技,37.29,,
2025-04-01,35.02,36.02,34.93,35.19,42784.04,惠通科技,36.410000000000004,,
2025-04-02,35.2,37.6,34.95,37.32,73753.4,惠通科技,36.382,,
2025-04-03,36.5,39.0,36.22,38.12,86945.87,惠通科技,36.31,,
2025-04-07,35.02,38.11,33.0,35.08,88392.01,惠通科技,36.257999999999996,36.897000000000006,
2025-04-08,35.78,39.18,35.51,38.75,107760.57,惠通科技,36.891999999999996,37.090999999999994,
2025-04-09,37.9,40.16,37.53,39.07,112067.09,惠通科技,37.66799999999999,37.039,
2025-04-10,38.66,41.7,38.08,40.21,112139.2,惠通科技,38.245999999999995,37.314,
2025-04-11,39.08,40.25,38.14,38.61,83619.72,惠通科技,38.34400000000001,37.327,
2025-04-14,38.3,39.57,38.3,39.54,66860.06,惠通科技,39.236000000000004,37.747,
2025-04-15,39.01,41.39,38.88,40.8,88499.06,惠通科技,39.646,38.269,
2025-04-16,40.69,41.94,39.39,40.09,84278.99,惠通科技,39.85,38.759,
2025-04-17,39.52,43.57,39.52,42.56,108273.86,惠通科技,40.32,39.283,
2025-04-18,42.0,44.43,40.8,40.91,124181.53,惠通科技,40.78,39.562,
2025-04-21,40.05,41.92,38.5,41.3,88838.29,惠通科技,41.132,40.184,38.540499999999994
2025-04-22,40.84,41.6,39.03,39.18,71967.45,惠通科技,40.80800000000001,40.227000000000004,38.659000000000006
2025-04-23,39.18,39.5,37.56,37.66,71282.04,惠通科技,40.322,40.086,38.5625
2025-04-24,37.66,37.66,35.8,35.94,60358.81,惠通科技,38.998000000000005,39.659,38.4865
2025-04-25,36.13,36.62,35.56,36.34,47494.7,惠通科技,38.084,39.432,38.37949999999999
2025-04-28,35.25,35.3,33.1,33.36,65035.6,惠通科技,36.495999999999995,38.814,38.2805
2025-04-29,33.35,33.78,32.9,33.38,29817.0,惠通科技,35.336,38.072,38.1705
2025-04-30,33.42,34.26,33.31,33.82,32620.63,惠通科技,34.568,37.445,38.102
2025-05-06,34.33,34.96,33.83,34.93,37541.91,惠通科技,34.366,36.682,37.9825
2025-05-07,35.38,35.4,34.08,34.45,40472.91,惠通科技,33.98800000000001,36.036,37.799
2025-05-08,34.28,34.75,34.21,34.66,30709.63,惠通科技,34.248000000000005,35.372,37.778
2025-05-09,34.66,34.66,33.37,33.41,33826.64,惠通科技,34.254000000000005,34.795,37.510999999999996
2025-05-12,33.49,34.39,33.49,34.38,30164.5,惠通科技,34.366,34.467,37.2765
2025-05-13,34.8,35.34,33.91,35.25,59822.38,惠通科技,34.43,34.398,37.028499999999994
2025-05-14,35.0,35.87,34.7,35.84,56567.22,惠通科技,34.708,34.348,36.89
2025-05-15,35.6,36.26,35.01,35.02,39527.6,惠通科技,34.78,34.513999999999996,36.664
2025-05-16,34.81,35.28,34.55,35.17,25104.74,惠通科技,35.132,34.693,36.3825
2025-05-19,35.0,35.0,34.01,34.23,24578.27,惠通科技,35.102,34.733999999999995,36.0895
2025-05-20,34.2,34.54,34.02,34.15,21596.63,惠通科技,34.882,34.656,35.669
2025-05-21,34.34,34.5,33.68,34.38,25157.38,惠通科技,34.589999999999996,34.649,35.3425
2025-05-22,34.15,34.2,33.31,33.33,22690.94,惠通科技,34.251999999999995,34.516000000000005,34.944
2025-05-23,33.4,34.0,33.09,33.3,15670.19,惠通科技,33.878,34.505,34.65
2025-05-26,33.39,33.57,32.74,32.84,21103.64,惠通科技,33.6,34.351,34.409000000000006
2025-05-27,32.81,32.96,32.05,32.38,22435.42,惠通科技,33.246,34.064,34.231
2025-05-28,32.63,32.76,31.34,31.54,27140.5,惠通科技,32.678000000000004,33.634,33.991
2025-05-29,31.4,32.1,31.36,32.03,18235.75,惠通科技,32.418,33.335,33.9245
2025-05-30,31.97,32.53,31.53,32.13,21770.3,惠通科技,32.184000000000005,33.031,33.862
2025-06-03,32.01,32.69,31.9,32.65,19282.75,惠通科技,32.146,32.873000000000005,33.8035
2025-06-04,32.65,32.85,32.41,32.56,13201.24,惠通科技,32.182,32.714,33.685
2025-06-05,32.84,32.84,32.32,32.61,16009.75,惠通科技,32.396,32.537,33.593
2025-06-06,32.67,32.67,32.16,32.16,14767.5,惠通科技,32.422000000000004,32.42,33.468
2025-06-09,32.15,32.91,32.15,32.73,19605.25,惠通科技,32.542,32.363,33.434000000000005
2025-06-10,32.5,32.65,31.52,31.96,22069.83,惠通科技,32.403999999999996,32.275,33.313
