date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,50.42,50.9,49.04,50.02,13038.4,博苑股份,,,
2025-03-25,50.01,51.2,49.7,50.7,12936.49,博苑股份,,,
2025-03-26,50.31,52.3,50.31,51.98,20821.32,博苑股份,,,
2025-03-27,51.32,52.96,51.22,52.66,23752.48,博苑股份,,,
2025-03-28,52.28,52.28,50.05,50.78,23258.17,博苑股份,51.227999999999994,,
2025-03-31,51.5,51.5,49.32,49.99,12736.66,博苑股份,51.222,,
2025-04-01,49.62,51.98,49.62,51.69,20566.4,博苑股份,51.42,,
2025-04-02,51.2,52.21,50.78,50.92,17567.24,博苑股份,51.20799999999999,,
2025-04-03,50.32,51.78,50.07,51.16,12605.0,博苑股份,50.908,,
2025-04-07,48.89,48.89,42.15,43.0,25458.65,博苑股份,49.352,50.29,
2025-04-08,43.32,45.31,43.32,44.18,17339.6,博苑股份,48.19,49.706,
2025-04-09,43.49,45.07,41.38,44.58,17975.18,博苑股份,46.768,49.093999999999994,
2025-04-10,45.2,46.35,45.19,45.26,18744.0,博苑股份,45.635999999999996,48.422000000000004,
2025-04-11,44.95,45.79,44.9,45.31,11133.71,博苑股份,44.465999999999994,47.687,
2025-04-14,45.99,46.27,45.6,45.98,10563.0,博苑股份,45.062,47.207,
2025-04-15,46.05,46.49,45.63,45.97,8734.81,博苑股份,45.419999999999995,46.805,
2025-04-16,45.81,47.9,45.63,47.27,25445.88,博苑股份,45.958,46.363,
2025-04-17,46.75,49.94,46.6,48.31,29933.21,博苑股份,46.568,46.102,
2025-04-18,48.0,48.66,47.33,48.0,14165.58,博苑股份,47.106,45.786,
2025-04-21,48.0,48.0,47.28,47.83,11734.58,博苑股份,47.476000000000006,46.269,48.2795
2025-04-22,47.77,47.89,47.2,47.2,10312.87,博苑股份,47.722,46.571000000000005,48.1385
2025-04-23,47.3,47.88,47.26,47.58,12267.47,博苑股份,47.784000000000006,46.870999999999995,47.9825
2025-04-24,47.53,47.7,46.1,46.78,15569.0,博苑股份,47.478,47.022999999999996,47.7225
