date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,8.78,8.78,8.35,8.54,278030.7,大唐电信,,,
2025-03-25,8.54,8.62,8.49,8.53,139351.18,大唐电信,,,
2025-03-26,8.53,8.57,8.49,8.52,104181.0,大唐电信,,,
2025-03-27,8.5,8.58,8.39,8.51,130368.0,大唐电信,,,
2025-03-28,8.51,8.55,8.4,8.42,104006.0,大唐电信,8.504,,
2025-03-31,8.39,8.39,8.15,8.31,155766.0,大唐电信,8.458,,
2025-04-01,8.32,8.48,8.32,8.39,125176.99,大唐电信,8.43,,
2025-04-02,8.39,8.45,8.35,8.36,78941.0,大唐电信,8.398,,
2025-04-03,8.28,8.4,8.2,8.32,107131.37,大唐电信,8.360000000000001,,
2025-04-07,7.87,7.87,7.49,7.49,183745.0,大唐电信,8.174000000000001,8.339,
2025-04-08,7.3,7.51,7.02,7.2,314464.37,大唐电信,7.952,8.205,
2025-04-09,7.1,7.65,6.68,7.6,379342.1,大唐电信,7.794,8.112,
2025-04-10,7.7,7.93,7.62,7.74,262767.0,大唐电信,7.67,8.033999999999999,
2025-04-11,7.65,8.06,7.63,7.95,286170.0,大唐电信,7.596000000000001,7.978,
2025-04-14,8.01,8.16,7.96,8.02,190984.0,大唐电信,7.702,7.938,
2025-04-15,8.02,8.08,7.91,8.01,160394.0,大唐电信,7.864,7.9079999999999995,
2025-04-16,8.01,8.03,7.7,7.87,146549.0,大唐电信,7.918000000000001,7.856,
2025-04-17,7.83,7.96,7.8,7.84,110582.76,大唐电信,7.938,7.804,
2025-04-18,7.83,8.34,7.78,8.14,318581.0,大唐电信,7.975999999999999,7.785999999999999,
2025-04-21,8.12,8.21,8.07,8.15,205759.0,大唐电信,8.001999999999999,7.851999999999999,8.0955
2025-04-22,8.1,8.15,8.0,8.03,153216.0,大唐电信,8.006,7.935,8.07
2025-04-23,8.04,8.13,8.04,8.09,126942.4,大唐电信,8.05,7.984,8.048
2025-04-24,8.07,8.08,7.86,7.87,150351.0,大唐电信,8.056000000000001,7.997,8.0155
2025-04-25,7.81,7.98,7.81,7.86,121517.0,大唐电信,8.0,7.9879999999999995,7.983
2025-04-28,7.83,7.87,7.66,7.7,131810.0,大唐电信,7.910000000000001,7.955999999999999,7.947
2025-04-29,7.7,7.8,7.61,7.72,93040.0,大唐电信,7.848000000000001,7.927,7.9174999999999995
2025-04-30,7.76,7.94,7.71,7.88,146294.4,大唐电信,7.806,7.928,7.892
2025-05-06,7.94,8.28,7.94,8.26,219661.0,大唐电信,7.884,7.969999999999999,7.8870000000000005
2025-05-07,8.34,8.38,8.15,8.25,186544.84,大唐电信,7.962000000000001,7.981,7.8835
2025-05-08,8.2,8.43,8.19,8.39,182068.0,大唐电信,8.1,8.004999999999999,7.928500000000001
2025-05-09,8.4,8.4,8.21,8.26,124997.18,大唐电信,8.208,8.028,7.9815
2025-05-12,8.26,8.4,8.26,8.33,134053.7,大唐电信,8.298,8.052,8.018
2025-05-13,8.4,8.43,8.23,8.27,118942.0,大唐电信,8.3,8.092,8.0445
2025-05-14,8.28,8.34,8.2,8.27,122166.4,大唐电信,8.304,8.133000000000001,8.060500000000001
2025-05-15,8.26,8.27,8.1,8.11,101332.0,大唐电信,8.248,8.174000000000001,8.065
2025-05-16,8.15,8.21,8.06,8.15,72333.0,大唐电信,8.225999999999999,8.217,8.072
2025-05-19,8.25,8.63,8.25,8.39,359466.79,大唐电信,8.238,8.267999999999999,8.098
2025-05-20,8.39,9.23,8.31,9.23,658820.43,大唐电信,8.430000000000001,8.365,8.1675
2025-05-21,9.64,9.83,9.2,9.22,1374508.24,大唐电信,8.620000000000001,8.462,8.2215
2025-05-22,9.12,9.21,8.8,8.82,728851.0,大唐电信,8.762,8.505,8.254999999999999
2025-05-23,8.86,8.88,8.51,8.52,427848.13,大唐电信,8.836000000000002,8.531,8.2795
2025-05-26,8.58,8.8,8.55,8.7,353833.52,大唐电信,8.898,8.568000000000001,8.309999999999999
2025-05-27,8.64,8.67,8.51,8.64,271794.0,大唐电信,8.78,8.605,8.3485
2025-05-28,8.66,8.82,8.61,8.72,337878.8,大唐电信,8.68,8.65,8.3915
2025-05-29,8.68,8.86,8.6,8.83,346644.8,大唐电信,8.681999999999999,8.722000000000001,8.447999999999999
2025-05-30,8.76,8.8,8.54,8.55,257934.15,大唐电信,8.688,8.762,8.4895
2025-06-03,8.44,8.58,8.38,8.44,254475.01,大唐电信,8.636,8.767,8.5175
2025-06-04,8.51,8.53,8.41,8.44,174416.27,大唐电信,8.596,8.687999999999999,8.5265
2025-06-05,8.42,8.63,8.33,8.56,245774.99,大唐电信,8.564,8.622,8.542
2025-06-06,8.51,8.56,8.45,8.49,148839.05,大唐电信,8.495999999999999,8.589000000000002,8.547
2025-06-09,8.47,8.59,8.47,8.53,150192.05,大唐电信,8.492,8.59,8.560500000000001
2025-06-10,8.54,8.56,8.23,8.33,228587.0,大唐电信,8.47,8.553,8.5605
2025-06-11,8.32,8.39,8.28,8.33,117903.16,大唐电信,8.447999999999999,8.522000000000002,8.563500000000001
2025-06-12,8.31,8.45,8.27,8.35,139460.0,大唐电信,8.406,8.485,8.567499999999999
2025-06-13,8.29,8.3,8.12,8.13,183447.0,大唐电信,8.334,8.415,8.5685
2025-06-16,8.08,8.23,8.06,8.2,104554.36,大唐电信,8.267999999999999,8.379999999999999,8.571000000000002
