date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,9.26,9.27,8.9,9.05,183598.75,航天信息,,,
2025-03-25,9.06,9.09,8.97,9.02,106781.22,航天信息,,,
2025-03-26,9.03,9.09,9.0,9.02,85063.8,航天信息,,,
2025-03-27,9.01,9.08,8.9,8.99,90367.64,航天信息,,,
2025-03-28,9.0,9.05,8.91,8.96,72995.54,航天信息,9.008,,
2025-03-31,8.93,8.94,8.71,8.88,108988.54,航天信息,8.974,,
2025-04-01,8.88,8.96,8.87,8.88,103565.38,航天信息,8.946000000000002,,
2025-04-02,8.89,8.93,8.84,8.86,73380.16,航天信息,8.914000000000001,,
2025-04-03,8.79,8.95,8.76,8.9,76299.04,航天信息,8.896,,
2025-04-07,8.5,8.56,8.01,8.01,268063.8,航天信息,8.706,8.857000000000001,
2025-04-08,8.0,8.2,7.99,8.13,205756.35,航天信息,8.556000000000001,8.765,
2025-04-09,8.01,8.37,7.87,8.29,234129.79,航天信息,8.437999999999999,8.691999999999998,
2025-04-10,8.42,8.52,8.31,8.41,187125.0,航天信息,8.347999999999999,8.631,
2025-04-11,8.33,8.48,8.31,8.39,109629.02,航天信息,8.246,8.571000000000002,
2025-04-14,8.45,8.51,8.39,8.42,119830.08,航天信息,8.328,8.517,
2025-04-15,8.4,8.45,8.31,8.38,90971.0,航天信息,8.378,8.467,
2025-04-16,8.4,8.52,8.25,8.43,138762.0,航天信息,8.406,8.422,
2025-04-17,8.38,8.51,8.35,8.37,106073.44,航天信息,8.398,8.373000000000001,
2025-04-18,8.35,8.46,8.3,8.41,102713.86,航天信息,8.402,8.324,
2025-04-21,8.4,8.52,8.33,8.47,103300.02,航天信息,8.412,8.37,8.6135
2025-04-22,8.49,8.55,8.46,8.5,120250.52,航天信息,8.436,8.407,8.586
2025-04-23,8.5,8.6,8.45,8.5,113489.98,航天信息,8.45,8.428,8.56
2025-04-24,8.48,8.48,8.32,8.38,100436.98,航天信息,8.452000000000002,8.425,8.528
2025-04-25,8.38,8.44,8.33,8.37,74542.66,航天信息,8.443999999999999,8.422999999999998,8.497
2025-04-28,8.35,8.44,8.27,8.31,94778.02,航天信息,8.412,8.411999999999999,8.464500000000001
2025-04-29,8.31,8.46,8.23,8.46,107800.41,航天信息,8.404,8.42,8.4435
2025-04-30,8.31,8.32,8.06,8.24,173889.31,航天信息,8.352,8.401,8.4115
2025-05-06,8.29,8.54,8.28,8.54,180112.84,航天信息,8.384,8.418000000000001,8.3955
2025-05-07,8.63,8.68,8.5,8.59,161375.07,航天信息,8.428,8.436000000000002,8.379999999999999
2025-05-08,8.57,8.71,8.55,8.7,116630.28,航天信息,8.506,8.459,8.4145
2025-05-09,8.72,8.72,8.53,8.59,96203.15,航天信息,8.532,8.468,8.4375
2025-05-12,8.65,8.92,8.58,8.86,200916.15,航天信息,8.656,8.504000000000001,8.466
2025-05-13,8.95,8.97,8.67,8.7,137103.8,航天信息,8.687999999999999,8.536,8.4805
2025-05-14,8.66,8.76,8.6,8.68,102477.04,航天信息,8.706,8.567,8.495000000000001
2025-05-15,8.71,8.83,8.62,8.65,117471.6,航天信息,8.696,8.601,8.506499999999999
2025-05-16,8.61,8.63,8.52,8.52,99590.43,航天信息,8.681999999999999,8.607,8.5135
2025-05-19,8.56,8.7,8.48,8.69,108423.67,航天信息,8.648,8.652,8.5265
2025-05-20,8.8,8.8,8.61,8.66,106075.83,航天信息,8.639999999999999,8.663999999999998,8.541
2025-05-21,8.65,8.66,8.58,8.61,69328.05,航天信息,8.626,8.666,8.550999999999998
2025-05-22,8.6,8.66,8.54,8.54,76026.86,航天信息,8.604,8.65,8.554499999999999
2025-05-23,8.54,8.57,8.4,8.41,100949.93,航天信息,8.581999999999999,8.632,8.55
2025-05-26,8.4,8.56,8.36,8.55,86497.58,航天信息,8.554,8.600999999999999,8.552499999999998
2025-05-27,8.53,8.54,8.44,8.49,69466.25,航天信息,8.52,8.58,8.558
2025-05-28,8.48,8.54,8.44,8.47,50437.08,航天信息,8.492,8.559000000000001,8.562999999999999
2025-05-29,8.48,8.82,8.47,8.81,204208.56,航天信息,8.546000000000001,8.575,8.588
2025-05-30,8.81,8.85,8.73,8.75,119403.0,航天信息,8.614,8.598,8.602500000000001
2025-06-03,8.75,9.2,8.75,9.05,269636.91,航天信息,8.714,8.634,8.643
