date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,9.47,9.47,8.9,9.09,152754.0,大恒科技,,,
2025-03-25,9.07,9.13,8.95,9.07,72341.0,大恒科技,,,
2025-03-26,9.05,9.21,9.01,9.11,64087.0,大恒科技,,,
2025-03-27,9.15,9.25,8.93,9.08,81110.01,大恒科技,,,
2025-03-28,9.08,9.14,8.85,8.87,78454.01,大恒科技,9.044,,
2025-03-31,8.85,9.48,8.78,9.16,226185.02,大恒科技,9.057999999999998,,
2025-04-01,9.15,9.34,9.12,9.17,105165.13,大恒科技,9.078,,
2025-04-02,9.13,9.28,9.03,9.12,80705.0,大恒科技,9.080000000000002,,
2025-04-03,8.99,9.18,8.92,9.04,67939.32,大恒科技,9.072,,
2025-04-07,8.5,8.53,8.14,8.14,101856.92,大恒科技,8.925999999999998,8.985,
2025-04-08,8.13,8.22,7.54,7.78,150850.78,大恒科技,8.65,8.854,
2025-04-09,7.66,7.98,7.2,7.97,165025.36,大恒科技,8.41,8.744,
2025-04-10,8.12,8.26,8.06,8.09,116198.92,大恒科技,8.203999999999999,8.642,
2025-04-11,8.01,8.29,8.0,8.18,78652.92,大恒科技,8.032,8.552000000000001,
2025-04-14,8.35,8.42,8.24,8.31,76542.0,大恒科技,8.065999999999999,8.495999999999999,
2025-04-15,8.34,8.61,8.33,8.37,98128.01,大恒科技,8.184000000000001,8.417,
2025-04-16,8.3,8.38,8.03,8.15,82977.44,大恒科技,8.22,8.315000000000001,
2025-04-17,8.05,8.37,8.05,8.32,70220.01,大恒科技,8.266000000000002,8.235,
2025-04-18,8.3,8.54,8.27,8.38,77651.0,大恒科技,8.306000000000001,8.169,
2025-04-21,8.32,8.53,8.25,8.51,90237.13,大恒科技,8.346,8.206,8.5955
2025-04-22,8.44,8.56,8.41,8.46,49120.0,大恒科技,8.364,8.274000000000001,8.564
2025-04-23,8.46,8.7,8.46,8.58,79656.04,大恒科技,8.45,8.335,8.5395
2025-04-24,8.6,8.6,8.39,8.43,73254.0,大恒科技,8.472,8.369,8.5055
2025-04-25,8.44,8.63,8.4,8.51,67243.04,大恒科技,8.498000000000001,8.402,8.477
2025-04-28,8.49,8.56,8.31,8.32,53459.0,大恒科技,8.459999999999999,8.403,8.4495
2025-04-29,8.4,8.67,8.33,8.55,75433.0,大恒科技,8.478,8.421000000000001,8.419
2025-04-30,8.6,8.77,8.57,8.66,76584.0,大恒科技,8.494,8.472,8.3935
2025-05-06,8.7,8.94,8.65,8.93,80275.01,大恒科技,8.594,8.533,8.384
2025-05-07,8.95,9.16,8.86,8.99,118984.3,大恒科技,8.690000000000001,8.594,8.381499999999999
2025-05-08,9.01,9.17,8.91,9.16,84874.1,大恒科技,8.858,8.659,8.432500000000001
2025-05-09,9.12,9.14,8.98,9.05,65813.0,大恒科技,8.958,8.718,8.496
2025-05-12,9.12,9.27,9.03,9.24,67406.34,大恒科技,9.074000000000002,8.784,8.5595
2025-05-13,9.33,9.34,9.12,9.14,53173.0,大恒科技,9.116000000000001,8.855,8.612
2025-05-14,9.11,9.19,9.05,9.08,55000.0,大恒科技,9.134,8.912,8.657
2025-05-15,9.09,9.1,8.93,8.94,55985.0,大恒科技,9.09,8.974,8.6885
2025-05-16,8.9,9.07,8.89,8.98,47239.0,大恒科技,9.076,9.017,8.719
2025-05-19,8.98,9.09,8.91,9.07,42720.0,大恒科技,9.042,9.058,8.765
2025-05-20,9.07,9.18,9.02,9.14,51402.0,大恒科技,9.042,9.079,8.806000000000001
2025-05-21,9.12,9.14,8.97,9.04,47338.0,大恒科技,9.034,9.084,8.839
2025-05-22,9.0,9.09,8.9,8.92,52284.0,大恒科技,9.030000000000001,9.059999999999999,8.8595
2025-05-23,8.92,8.99,8.77,8.78,52792.02,大恒科技,8.989999999999998,9.033,8.875499999999999
2025-05-26,8.79,9.04,8.79,9.03,53704.0,大恒科技,8.982,9.011999999999999,8.898
2025-05-27,9.08,9.08,8.92,8.99,46621.0,大恒科技,8.952,8.997,8.926
2025-05-28,8.99,9.05,8.84,8.88,38638.0,大恒科技,8.919999999999998,8.977,8.944500000000001
2025-05-29,8.91,9.16,8.88,9.15,73337.0,大恒科技,8.966,8.998000000000001,8.986
2025-05-30,9.09,9.12,8.96,8.99,47742.0,大恒科技,9.008000000000001,8.998999999999999,9.008000000000001
2025-06-03,9.02,9.12,8.9,9.06,58454.1,大恒科技,9.014,8.998000000000001,9.028
2025-06-04,9.09,9.3,9.03,9.16,88226.2,大恒科技,9.048,9.0,9.0395
2025-06-05,9.15,9.33,9.07,9.26,101638.49,大恒科技,9.123999999999999,9.022,9.053
2025-06-06,9.24,9.31,9.18,9.26,65263.01,大恒科技,9.145999999999999,9.056000000000001,9.058
2025-06-09,9.22,9.5,9.21,9.34,96542.33,大恒科技,9.216,9.112,9.0725
2025-06-10,9.34,9.38,9.11,9.23,77670.49,大恒科技,9.25,9.132000000000001,9.072
2025-06-11,9.22,9.37,9.21,9.23,56829.0,大恒科技,9.264,9.156,9.0765
2025-06-12,9.2,9.34,9.15,9.28,58379.0,大恒科技,9.268,9.196000000000002,9.086500000000001
2025-06-13,9.24,9.29,8.99,9.03,81407.0,大恒科技,9.222,9.184,9.091000000000001
2025-06-16,9.0,9.31,8.91,9.24,83419.1,大恒科技,9.202,9.209,9.104
2025-06-17,9.25,9.31,9.2,9.3,66850.1,大恒科技,9.216,9.233,9.1155
2025-06-18,9.28,9.44,9.22,9.36,64699.01,大恒科技,9.241999999999999,9.253,9.126499999999998
2025-06-19,9.38,9.4,9.15,9.18,70120.0,大恒科技,9.222,9.245,9.1335
2025-06-20,9.2,9.8,9.16,9.67,347684.28,大恒科技,9.35,9.286,9.171000000000001
2025-06-23,9.5,9.79,9.44,9.7,278467.18,大恒科技,9.442,9.322,9.217
2025-06-24,9.66,9.75,9.64,9.69,144868.18,大恒科技,9.52,9.367999999999999,9.25
2025-06-25,9.71,9.79,9.54,9.76,174325.0,大恒科技,9.599999999999998,9.421,9.288499999999999
2025-06-26,9.73,9.89,9.63,9.78,167795.0,大恒科技,9.719999999999999,9.471,9.333499999999999
2025-06-27,9.84,10.02,9.8,9.95,209045.1,大恒科技,9.776,9.562999999999999,9.3735
2025-06-30,10.06,10.55,9.99,10.28,312489.01,大恒科技,9.892,9.666999999999998,9.438
2025-07-01,10.27,10.53,10.22,10.47,231222.0,大恒科技,10.047999999999998,9.784,9.508500000000002
2025-07-02,10.37,10.37,10.18,10.25,147826.0,大恒科技,10.146,9.873,9.562999999999999
2025-07-03,10.23,10.33,10.16,10.24,90228.0,大恒科技,10.238,9.979,9.611999999999998
2025-07-04,10.26,10.33,10.11,10.2,98847.1,大恒科技,10.288,10.032,9.659
2025-07-07,10.2,10.27,10.13,10.19,75414.0,大恒科技,10.27,10.081,9.7015
2025-07-08,10.18,10.28,10.16,10.23,76115.1,大恒科技,10.222,10.135,9.7515
2025-07-09,10.23,10.38,10.2,10.3,89295.0,大恒科技,10.232,10.189,9.805
2025-07-10,10.31,10.53,10.25,10.5,153718.0,大恒科技,10.284,10.261,9.866
2025-07-11,10.47,10.53,10.38,10.49,107828.0,大恒科技,10.342,10.315,9.939
2025-07-14,10.5,10.93,10.5,10.88,151643.0,大恒科技,10.48,10.375,10.021
2025-07-15,10.81,11.15,10.76,11.04,179966.02,大恒科技,10.642,10.432,10.108
2025-07-16,11.15,11.19,10.9,11.01,145042.0,大恒科技,10.784,10.508,10.1905
2025-07-17,11.0,11.18,10.93,11.13,110755.0,大恒科技,10.91,10.597,10.288
2025-07-18,11.14,11.43,10.98,11.04,180402.0,大恒科技,11.02,10.681000000000001,10.3565
2025-07-21,11.18,11.5,11.0,11.05,221776.06,大恒科技,11.054,10.767,10.424
2025-07-22,11.0,11.02,10.3,10.56,316349.79,大恒科技,10.958000000000002,10.8,10.4675
2025-07-23,11.02,11.26,10.58,10.91,355995.14,大恒科技,10.937999999999999,10.861,10.525
2025-07-24,10.9,12.0,10.8,12.0,483908.04,大恒科技,11.112,11.011,10.636
2025-07-25,11.93,13.2,11.71,13.2,565194.63,大恒科技,11.544,11.282,10.7985
2025-07-28,14.52,14.52,13.21,13.3,1103050.76,大恒科技,11.994,11.524,10.949499999999999
2025-07-29,12.85,14.28,12.85,13.35,801008.55,大恒科技,12.552,11.754999999999999,11.0935
2025-07-30,12.93,13.35,12.61,12.66,620584.2,大恒科技,12.902000000000001,11.919999999999998,11.214
2025-07-31,12.88,13.2,12.77,12.84,399923.83,大恒科技,13.069999999999999,12.091,11.344000000000001
2025-08-01,13.05,13.14,12.58,12.88,287707.51,大恒科技,13.006,12.275000000000002,11.478
2025-08-04,12.7,13.2,12.45,13.2,340703.27,大恒科技,12.986,12.489999999999998,11.628499999999999
2025-08-05,12.3,12.66,11.93,12.05,604294.14,大恒科技,12.726,12.639,11.7195
2025-08-06,12.0,13.26,12.0,13.26,550740.01,大恒科技,12.845999999999998,12.874,11.8675
2025-08-07,13.26,14.09,12.98,13.66,799370.16,大恒科技,13.01,13.040000000000001,12.0255
2025-08-08,13.49,13.58,13.25,13.38,398216.02,大恒科技,13.11,13.057999999999998,12.169999999999998
2025-08-11,13.25,13.59,13.2,13.5,273661.46,大恒科技,13.170000000000002,13.078,12.300999999999998
2025-08-12,13.5,13.54,13.03,13.11,290005.0,大恒科技,13.382,13.053999999999998,12.4045
2025-08-13,13.15,13.27,12.97,12.98,224793.35,大恒科技,13.325999999999999,13.086000000000002,12.503
2025-08-14,13.0,13.02,12.61,12.63,212048.06,大恒科技,13.120000000000001,13.065000000000001,12.578
2025-08-15,12.73,12.96,12.73,12.84,165949.94,大恒科技,13.012,13.060999999999998,12.668
2025-08-18,12.96,13.55,12.95,13.08,255775.14,大恒科技,12.928,13.049000000000001,12.7695
2025-08-19,13.03,13.08,12.84,12.84,166765.21,大恒科技,12.874,13.128,12.883500000000002
2025-08-20,12.85,12.9,12.57,12.8,159205.04,大恒科技,12.838,13.081999999999999,12.978
