date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,2.43,2.44,2.32,2.36,248988.0,津投城开,,,
2025-03-25,2.37,2.38,2.33,2.35,190672.1,津投城开,,,
2025-03-26,2.35,2.41,2.34,2.4,176953.34,津投城开,,,
2025-03-27,2.39,2.4,2.34,2.35,193344.7,津投城开,,,
2025-03-28,2.34,2.35,2.31,2.32,147180.0,津投城开,2.356,,
2025-03-31,2.32,2.33,2.27,2.28,155684.4,津投城开,2.34,,
2025-04-01,2.29,2.31,2.28,2.3,92301.0,津投城开,2.3299999999999996,,
2025-04-02,2.29,2.31,2.27,2.28,80986.0,津投城开,2.306,,
2025-04-03,2.26,2.33,2.26,2.3,126153.4,津投城开,2.2960000000000003,,
2025-04-07,2.22,2.22,2.07,2.07,294479.7,津投城开,2.246,2.3009999999999997,
2025-04-08,2.0,2.09,2.0,2.07,254038.33,津投城开,2.2039999999999997,2.272,
2025-04-09,2.04,2.16,1.9,2.14,330980.69,津投城开,2.1719999999999997,2.251,
2025-04-10,2.14,2.23,2.12,2.21,256790.7,津投城开,2.158,2.232,
2025-04-11,2.19,2.23,2.18,2.2,181057.7,津投城开,2.138,2.2169999999999996,
2025-04-14,2.21,2.28,2.21,2.23,191856.48,津投城开,2.1700000000000004,2.2079999999999997,
2025-04-15,2.23,2.24,2.17,2.19,143888.0,津投城开,2.194,2.1990000000000003,
2025-04-16,2.19,2.22,2.13,2.16,139991.65,津投城开,2.198,2.185,
2025-04-17,2.15,2.25,2.15,2.21,240377.1,津投城开,2.1980000000000004,2.178,
2025-04-18,2.2,2.28,2.19,2.27,289211.7,津投城开,2.212,2.175,
2025-04-21,2.3,2.35,2.25,2.32,301803.01,津投城开,2.2299999999999995,2.2,2.2504999999999997
2025-04-22,2.3,2.36,2.3,2.34,284071.01,津投城开,2.2600000000000002,2.227,2.2495000000000003
2025-04-23,2.34,2.36,2.28,2.29,261999.13,津投城开,2.286,2.242,2.2465
2025-04-24,2.28,2.34,2.26,2.29,190984.1,津投城开,2.3019999999999996,2.25,2.241
2025-04-25,2.28,2.39,2.27,2.31,422854.4,津投城开,2.3099999999999996,2.261,2.239
2025-04-28,2.28,2.29,2.15,2.16,380556.36,津投城开,2.278,2.254,2.231
2025-04-29,2.16,2.17,2.1,2.12,189670.66,津投城开,2.2340000000000004,2.2470000000000003,2.223
2025-04-30,2.16,2.31,2.16,2.21,366346.8,津投城开,2.218,2.2520000000000002,2.2184999999999997
