date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,6.79,6.84,6.71,6.76,250856.01,华阳股份,,,
2025-03-25,6.78,7.44,6.73,7.44,1346466.73,华阳股份,,,
2025-03-26,7.44,7.45,7.16,7.23,1570353.95,华阳股份,,,
2025-03-27,7.23,7.24,7.01,7.02,761656.37,华阳股份,,,
2025-03-28,6.98,7.07,6.86,6.91,571343.73,华阳股份,7.072,,
2025-03-31,6.85,6.91,6.73,6.74,512920.26,华阳股份,7.0680000000000005,,
2025-04-01,6.75,6.93,6.75,6.88,412182.89,华阳股份,6.956,,
2025-04-02,6.94,6.98,6.85,6.87,332775.95,华阳股份,6.884,,
2025-04-03,6.81,6.9,6.79,6.89,276637.61,华阳股份,6.858,,
2025-04-07,6.57,6.64,6.2,6.2,692449.3,华阳股份,6.715999999999999,6.894,
2025-04-08,6.22,6.43,6.22,6.39,492730.44,华阳股份,6.645999999999999,6.857000000000001,
2025-04-09,6.33,6.43,6.17,6.4,412209.26,华阳股份,6.55,6.753,
2025-04-10,6.47,6.5,6.4,6.44,332086.0,华阳股份,6.464,6.6739999999999995,
2025-04-11,6.41,6.57,6.39,6.5,319293.68,华阳股份,6.386,6.622,
2025-04-14,6.53,6.68,6.52,6.65,329178.33,华阳股份,6.476000000000001,6.596000000000001,
2025-04-15,6.66,6.67,6.56,6.59,202409.59,华阳股份,6.516,6.581,
2025-04-16,6.62,6.62,6.49,6.54,211966.3,华阳股份,6.544,6.547,
2025-04-17,6.51,6.57,6.5,6.52,135724.68,华阳股份,6.56,6.5120000000000005,
2025-04-18,6.54,6.58,6.47,6.55,159425.0,华阳股份,6.57,6.478,
2025-04-21,6.53,6.57,6.52,6.56,178704.15,华阳股份,6.552,6.514,6.704000000000001
2025-04-22,6.59,6.65,6.54,6.56,230367.24,华阳股份,6.545999999999999,6.531000000000001,6.694
2025-04-23,6.55,6.59,6.53,6.53,164915.02,华阳股份,6.544,6.544,6.6485
2025-04-24,6.54,6.6,6.52,6.58,186076.87,华阳股份,6.556,6.558,6.616
2025-04-25,6.56,6.58,6.52,6.57,188341.21,华阳股份,6.56,6.565,6.593500000000001
2025-04-28,6.55,6.66,6.46,6.62,305462.42,华阳股份,6.572,6.562,6.579000000000001
2025-04-29,6.61,6.66,6.57,6.59,261387.0,华阳股份,6.578,6.561999999999999,6.5715
2025-04-30,6.6,6.6,6.53,6.55,195185.52,华阳股份,6.581999999999999,6.563,6.555
2025-05-06,6.57,6.61,6.54,6.58,255226.4,华阳股份,6.581999999999999,6.569,6.5405
2025-05-07,6.62,6.71,6.58,6.7,365920.16,华阳股份,6.608,6.5840000000000005,6.531000000000001
2025-05-08,6.66,6.7,6.64,6.66,208181.51,华阳股份,6.616,6.593999999999999,6.554
2025-05-09,6.67,6.71,6.64,6.66,147398.57,华阳股份,6.63,6.604000000000001,6.5675
2025-05-12,6.68,6.7,6.65,6.68,158838.18,华阳股份,6.656000000000001,6.619,6.5815
2025-05-13,6.71,6.75,6.68,6.73,194892.64,华阳股份,6.686,6.634,6.595999999999999
2025-05-14,6.75,6.79,6.7,6.79,228887.06,华阳股份,6.704000000000001,6.656000000000001,6.6105
2025-05-15,6.79,6.88,6.73,6.73,250016.48,华阳股份,6.718000000000001,6.667,6.6145
2025-05-16,6.72,6.76,6.67,6.71,165589.72,华阳股份,6.728,6.679,6.6205
2025-05-19,6.71,6.74,6.65,6.67,210781.5,华阳股份,6.726000000000001,6.691,6.627
2025-05-20,6.67,6.7,6.65,6.68,147068.57,华阳股份,6.715999999999999,6.7010000000000005,6.635
2025-05-21,6.7,6.91,6.7,6.84,484223.47,华阳股份,6.726000000000001,6.715000000000001,6.649500000000001
2025-05-22,6.81,6.83,6.75,6.76,217872.04,华阳股份,6.731999999999999,6.725,6.6594999999999995
2025-05-23,6.76,6.89,6.73,6.73,258886.0,华阳股份,6.736,6.732000000000001,6.668000000000001
2025-05-26,6.75,6.75,6.65,6.67,229459.31,华阳股份,6.736,6.731,6.675
2025-05-27,6.67,6.68,6.51,6.59,271837.78,华阳股份,6.717999999999999,6.7170000000000005,6.6754999999999995
2025-05-28,6.6,6.68,6.58,6.67,191828.31,华阳股份,6.684,6.705,6.6805
2025-05-29,6.66,6.72,6.64,6.68,146833.29,华阳股份,6.668000000000001,6.7,6.6835
2025-05-30,6.68,6.68,6.61,6.62,142405.98,华阳股份,6.646000000000001,6.691,6.685
2025-06-03,6.6,6.64,6.51,6.62,192890.5,华阳股份,6.636,6.686,6.6885
2025-06-04,6.61,6.72,6.58,6.72,242941.15,华阳股份,6.662000000000001,6.69,6.6955
2025-06-05,6.71,6.74,6.62,6.63,180648.51,华阳股份,6.654000000000001,6.669,6.692
2025-06-06,6.67,6.72,6.62,6.63,152965.92,华阳股份,6.644,6.656000000000001,6.6905
2025-06-09,6.65,6.76,6.62,6.75,293294.01,华阳股份,6.67,6.6579999999999995,6.695
2025-06-10,6.75,6.79,6.68,6.7,182187.99,华阳股份,6.686,6.661,6.696
2025-06-11,6.71,6.79,6.7,6.76,224341.32,华阳股份,6.694,6.678,6.6975
2025-06-12,6.77,6.78,6.7,6.73,159511.0,华阳股份,6.714,6.684,6.694500000000001
2025-06-13,6.76,6.79,6.71,6.73,229609.5,华阳股份,6.734,6.689,6.694500000000001
2025-06-16,6.74,6.77,6.7,6.74,185471.56,华阳股份,6.731999999999999,6.700999999999999,6.696
2025-06-17,6.75,6.84,6.73,6.83,248487.75,华阳股份,6.758,6.7219999999999995,6.704000000000001
2025-06-18,6.83,6.85,6.73,6.78,158014.52,华阳股份,6.7620000000000005,6.728,6.7090000000000005
2025-06-19,6.76,6.76,6.64,6.66,257153.5,华阳股份,6.748,6.731,6.7
2025-06-20,6.66,6.78,6.65,6.73,224390.49,华阳股份,6.748,6.741,6.6985
2025-06-23,6.73,6.84,6.7,6.82,262229.5,华阳股份,6.764,6.748,6.703
2025-06-24,6.78,6.8,6.73,6.76,325063.75,华阳股份,6.75,6.7540000000000004,6.7075000000000005
2025-06-25,6.73,6.74,6.65,6.69,346421.02,华阳股份,6.732000000000001,6.747,6.7125
2025-06-26,6.71,6.76,6.63,6.64,334484.06,华阳股份,6.728,6.7379999999999995,6.711
2025-06-27,6.67,6.74,6.66,6.68,259791.0,华阳股份,6.718000000000001,6.733,6.711
2025-06-30,6.69,6.71,6.62,6.66,307881.9,华阳股份,6.686,6.725,6.712999999999999
2025-07-01,6.66,6.84,6.63,6.77,476214.0,华阳股份,6.688,6.718999999999999,6.7204999999999995
2025-07-02,6.74,6.83,6.7,6.82,398764.96,华阳股份,6.714,6.723000000000001,6.725500000000001
2025-07-03,6.83,7.05,6.8,6.84,451748.53,华阳股份,6.754,6.741,6.736
2025-07-04,6.84,6.91,6.79,6.84,244757.07,华阳股份,6.786,6.752,6.7465
2025-07-07,6.86,6.89,6.79,6.83,202744.51,华阳股份,6.82,6.753,6.7505
2025-07-08,6.86,6.9,6.81,6.89,274406.58,华阳股份,6.843999999999999,6.766,6.760000000000001
2025-07-09,6.95,6.98,6.91,6.95,293814.71,华阳股份,6.87,6.792,6.769499999999999
2025-07-10,6.94,7.04,6.93,7.04,352261.75,华阳股份,6.909999999999999,6.831999999999999,6.785000000000001
2025-07-11,7.07,7.09,7.01,7.04,325805.63,华阳股份,6.95,6.868,6.8004999999999995
2025-07-14,7.04,7.09,6.98,7.05,428703.25,华阳股份,6.994,6.906999999999999,6.816
2025-07-15,6.7,6.77,6.58,6.59,450862.0,华阳股份,6.934,6.889,6.803999999999999
2025-07-16,6.6,6.64,6.55,6.56,215954.17,华阳股份,6.856,6.8629999999999995,6.792999999999999
2025-07-17,6.57,6.63,6.56,6.59,171214.75,华阳股份,6.766,6.837999999999999,6.789499999999999
2025-07-18,6.61,6.7,6.61,6.69,271570.28,华阳股份,6.696,6.822999999999999,6.7875
2025-07-21,6.71,6.87,6.7,6.86,458887.87,华阳股份,6.6579999999999995,6.825999999999999,6.789500000000001
2025-07-22,6.92,7.45,6.8,7.32,1417505.45,华阳股份,6.803999999999999,6.869,6.8175
2025-07-23,7.42,7.44,7.17,7.21,803763.38,华阳股份,6.934,6.8950000000000005,6.843500000000001
2025-07-24,7.19,7.33,7.07,7.31,608395.27,华阳股份,7.078,6.922,6.877000000000001
2025-07-25,7.3,7.35,7.19,7.22,430846.0,华阳股份,7.184,6.9399999999999995,6.904000000000001
2025-07-28,7.12,7.14,6.97,7.03,376583.35,华阳股份,7.218000000000001,6.938,6.922500000000001
2025-07-29,7.0,7.07,6.92,7.06,341141.01,华阳股份,7.1659999999999995,6.985000000000001,6.937
2025-07-30,7.08,7.17,7.02,7.05,390269.65,华阳股份,7.134,7.034000000000001,6.9485
2025-07-31,7.03,7.03,6.8,6.84,430038.52,华阳股份,7.040000000000001,7.059,6.9485
2025-08-01,6.84,6.88,6.81,6.85,213722.5,华阳股份,6.965999999999999,7.075,6.949
2025-08-04,6.82,6.89,6.78,6.88,209433.65,华阳股份,6.936,7.077,6.9515
2025-08-05,6.9,7.09,6.89,7.08,404150.21,华阳股份,6.94,7.053,6.961
2025-08-06,7.06,7.44,7.04,7.43,935364.24,华阳股份,7.016,7.075,6.985000000000001
2025-08-07,7.39,7.45,7.27,7.41,564429.52,华阳股份,7.13,7.084999999999999,7.0035
2025-08-08,7.39,7.5,7.35,7.45,434881.79,华阳股份,7.25,7.108,7.023999999999999
2025-08-11,7.49,7.52,7.41,7.45,352328.52,华阳股份,7.364,7.15,7.044000000000001
2025-08-12,7.49,7.63,7.44,7.56,327940.04,华阳股份,7.459999999999999,7.2,7.092500000000001
2025-08-13,7.56,7.56,7.42,7.49,343794.87,华阳股份,7.4719999999999995,7.244,7.139
2025-08-14,7.48,7.51,7.34,7.36,298914.28,华阳股份,7.462000000000001,7.295999999999999,7.1775
2025-08-15,7.36,7.46,7.36,7.4,217911.28,华阳股份,7.452,7.351000000000001,7.213000000000001
2025-08-18,7.49,7.52,7.3,7.33,335815.75,华阳股份,7.428,7.396000000000001,7.2364999999999995
2025-08-19,7.31,7.32,7.24,7.27,230892.35,华阳股份,7.37,7.415000000000001,7.234
2025-08-20,7.25,7.33,7.22,7.33,242518.99,华阳股份,7.337999999999999,7.404999999999999,7.239999999999999
2025-08-21,7.35,7.41,7.32,7.38,231909.37,华阳股份,7.3420000000000005,7.401999999999999,7.243499999999999
2025-08-22,7.39,7.39,7.22,7.32,339104.27,华阳股份,7.3260000000000005,7.389,7.2485
2025-08-25,7.37,7.41,7.27,7.34,390780.58,华阳股份,7.328,7.378,7.264
2025-08-26,7.35,7.39,7.31,7.31,308052.25,华阳股份,7.336,7.352999999999999,7.276499999999999
2025-08-27,7.29,7.3,7.01,7.02,591329.45,华阳股份,7.273999999999999,7.306,7.275
2025-08-28,7.01,7.05,6.94,7.04,289361.27,华阳股份,7.206,7.273999999999999,7.284999999999999
2025-08-29,7.07,7.12,7.01,7.02,211829.5,华阳股份,7.145999999999999,7.235999999999999,7.2935
2025-09-01,7.02,7.04,6.9,7.01,334875.02,华阳股份,7.08,7.203999999999999,7.3
2025-09-02,6.99,7.04,6.91,6.99,294167.24,华阳股份,7.016,7.175999999999999,7.2955
2025-09-03,7.0,7.04,6.83,6.85,239246.0,华阳股份,6.981999999999999,7.128,7.266499999999999
2025-09-04,6.85,6.98,6.8,6.98,330869.71,华阳股份,6.970000000000001,7.087999999999999,7.245
2025-09-05,6.98,7.03,6.9,7.01,248450.62,华阳股份,6.968000000000001,7.0569999999999995,7.223000000000001
2025-09-08,7.01,7.11,6.99,7.06,253294.91,华阳股份,6.978,7.029000000000001,7.2035
2025-09-09,7.3,7.3,7.06,7.1,319000.5,华阳股份,7.0,7.008,7.180499999999999
2025-09-10,7.05,7.07,6.92,6.97,280536.58,华阳股份,7.023999999999999,7.003,7.1545000000000005
2025-09-11,6.97,7.0,6.91,6.98,324686.63,华阳股份,7.024000000000001,6.997,7.135499999999999
2025-09-12,6.96,7.06,6.9,6.99,458502.04,华阳股份,7.0200000000000005,6.994,7.114999999999999
2025-09-15,6.99,7.12,6.98,7.08,402008.69,华阳股份,7.024000000000001,7.001,7.102500000000001
