date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,7.24,7.25,6.9,7.08,398278.34,太极实业,,,
2025-03-25,7.07,7.1,6.97,7.01,206964.76,太极实业,,,
2025-03-26,7.02,7.07,6.99,7.03,159165.36,太极实业,,,
2025-03-27,7.01,7.1,6.93,7.03,192553.0,太极实业,,,
2025-03-28,7.05,7.07,6.92,6.93,180687.0,太极实业,7.016,,
2025-03-31,6.88,6.92,6.74,6.81,222761.2,太极实业,6.962000000000001,,
2025-04-01,6.84,6.92,6.84,6.86,159591.22,太极实业,6.9319999999999995,,
2025-04-02,6.86,6.93,6.84,6.86,103729.2,太极实业,6.898000000000001,,
2025-04-03,6.78,6.91,6.76,6.82,148641.98,太极实业,6.856,,
2025-04-07,6.23,6.5,6.14,6.14,339329.52,太极实业,6.697999999999999,6.856999999999999,
2025-04-08,6.13,6.23,5.8,5.95,448525.06,太极实业,6.526000000000001,6.744,
2025-04-09,5.88,6.14,5.61,6.09,371106.99,太极实业,6.372,6.651999999999999,
2025-04-10,6.24,6.37,6.21,6.24,313093.1,太极实业,6.248,6.573,
2025-04-11,6.23,6.5,6.19,6.39,381001.0,太极实业,6.162000000000001,6.509,
2025-04-14,6.56,6.59,6.4,6.43,268624.57,太极实业,6.220000000000001,6.4590000000000005,
2025-04-15,6.39,6.42,6.34,6.4,162167.81,太极实业,6.3100000000000005,6.418000000000001,
2025-04-16,6.39,6.42,6.24,6.36,190940.81,太极实业,6.364,6.368,
2025-04-17,6.31,6.46,6.31,6.4,181097.68,太极实业,6.396,6.322,
2025-04-18,6.39,6.43,6.31,6.39,123768.34,太极实业,6.396000000000001,6.279,
2025-04-21,6.39,6.46,6.33,6.45,139193.0,太极实业,6.4,6.3100000000000005,6.583499999999999
2025-04-22,6.47,6.52,6.42,6.47,174543.0,太极实业,6.414,6.362,6.553
2025-04-23,6.51,6.58,6.47,6.49,163548.57,太极实业,6.44,6.401999999999999,6.526999999999999
2025-04-24,6.52,6.53,6.39,6.42,149385.64,太极实业,6.444,6.42,6.4965
2025-04-25,6.45,6.5,6.41,6.47,128513.21,太极实业,6.459999999999999,6.428,6.468500000000001
2025-04-28,6.41,6.44,6.28,6.29,185862.28,太极实业,6.428,6.414,6.4365
2025-04-29,6.28,6.38,6.27,6.32,111303.0,太极实业,6.398000000000001,6.406000000000001,6.412000000000001
2025-04-30,6.31,6.38,6.3,6.32,137637.0,太极实业,6.364,6.401999999999999,6.385
2025-05-06,6.36,6.5,6.35,6.5,204214.02,太极实业,6.38,6.412000000000001,6.367
2025-05-07,6.6,6.62,6.48,6.56,226871.35,太极实业,6.398000000000001,6.429,6.354
2025-05-08,6.55,6.61,6.52,6.59,191061.44,太极实业,6.458,6.443,6.376499999999999
2025-05-09,6.58,6.58,6.45,6.49,170209.02,太极实业,6.492,6.445,6.403499999999999
2025-05-12,6.56,6.63,6.5,6.62,209122.73,太极实业,6.552000000000001,6.458,6.43
2025-05-13,6.68,6.69,6.54,6.55,185410.81,太极实业,6.562,6.470999999999999,6.4455
2025-05-14,6.54,6.61,6.49,6.56,164262.3,太极实业,6.562,6.4799999999999995,6.454000000000001
2025-05-15,6.54,6.57,6.46,6.47,152220.0,太极实业,6.537999999999999,6.498,6.456
2025-05-16,6.45,6.51,6.42,6.43,148433.28,太极实业,6.526000000000001,6.509,6.4575000000000005
2025-05-19,6.44,6.5,6.37,6.49,138095.28,太极实业,6.5,6.525999999999999,6.464
2025-05-20,6.48,6.52,6.46,6.51,123990.34,太极实业,6.492,6.526999999999999,6.469500000000001
2025-05-21,6.5,6.51,6.44,6.45,122388.91,太极实业,6.470000000000001,6.516,6.472499999999999
2025-05-22,6.43,6.51,6.37,6.39,154026.4,太极实业,6.454000000000001,6.4959999999999996,6.469499999999999
2025-05-23,6.37,6.45,6.3,6.3,135513.42,太极实业,6.428,6.476999999999999,6.461
2025-05-26,6.31,6.44,6.3,6.38,128690.0,太极实业,6.406000000000001,6.453,6.455500000000001
2025-05-27,6.37,6.37,6.3,6.33,126124.12,太极实业,6.37,6.431,6.4510000000000005
2025-05-28,6.33,6.36,6.26,6.27,99006.63,太极实业,6.334,6.401999999999999,6.441
2025-05-29,6.3,6.42,6.29,6.4,165768.98,太极实业,6.336,6.3950000000000005,6.4465
2025-05-30,6.38,6.39,6.29,6.33,131656.23,太极实业,6.3420000000000005,6.385,6.447
2025-06-03,6.31,6.35,6.29,6.31,100387.74,太极实业,6.328,6.367,6.4465
2025-06-04,6.31,6.38,6.31,6.37,112467.15,太极实业,6.336,6.353,6.4399999999999995
2025-06-05,6.36,6.43,6.34,6.41,154301.21,太极实业,6.364,6.348999999999999,6.4325
2025-06-06,6.4,6.42,6.36,6.41,120882.05,太极实业,6.3660000000000005,6.351,6.4235
2025-06-09,6.42,6.44,6.38,6.41,154075.84,太极实业,6.382,6.362,6.419499999999999
2025-06-10,6.42,6.43,6.28,6.32,181119.0,太极实业,6.384,6.356,6.4045000000000005
2025-06-11,6.33,6.39,6.33,6.34,122622.0,太极实业,6.378,6.357,6.394
2025-06-12,6.32,6.35,6.29,6.33,122256.31,太极实业,6.362,6.363,6.382499999999999
2025-06-13,6.31,6.31,6.2,6.21,194730.49,太极实业,6.322,6.343999999999999,6.3694999999999995
2025-06-16,6.21,6.25,6.2,6.23,118096.0,太极实业,6.286,6.3340000000000005,6.3595
2025-06-17,6.23,6.28,6.2,6.26,129146.85,太极实业,6.273999999999999,6.329,6.348000000000001
2025-06-18,6.24,6.29,6.19,6.27,144415.43,太极实业,6.26,6.319,6.336
2025-06-19,6.41,6.5,6.25,6.27,390354.4,太极实业,6.248,6.305000000000001,6.327
2025-06-20,6.19,6.24,6.09,6.11,218589.68,太极实业,6.228,6.275,6.313
2025-06-23,6.05,6.22,6.03,6.2,187507.8,太极实业,6.2219999999999995,6.2540000000000004,6.308
