date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,27.25,27.77,27.17,27.59,142044.18,锦江酒店,,,
2025-03-25,27.32,27.69,27.01,27.51,108321.05,锦江酒店,,,
2025-03-26,27.32,27.87,27.27,27.67,99259.29,锦江酒店,,,
2025-03-27,27.51,28.06,27.34,27.34,79505.04,锦江酒店,,,
2025-03-28,27.1,27.53,27.1,27.2,62425.78,锦江酒店,27.462,,
2025-03-31,27.1,27.38,26.52,26.7,67246.42,锦江酒店,27.284,,
2025-04-01,26.61,27.07,26.55,26.98,59821.52,锦江酒店,27.178000000000004,,
2025-04-02,26.35,26.6,25.65,26.34,151268.48,锦江酒店,26.912,,
2025-04-03,25.99,26.72,25.92,26.22,69984.15,锦江酒店,26.688,,
2025-04-07,24.5,25.65,23.72,24.02,127091.34,锦江酒店,26.052,26.756999999999998,
2025-04-08,24.3,25.16,24.3,25.01,113710.16,锦江酒店,25.714,26.499000000000002,
2025-04-09,24.82,26.4,24.29,26.15,127173.48,锦江酒店,25.548000000000002,26.363,
2025-04-10,26.0,26.76,25.9,26.32,114654.97,锦江酒店,25.544,26.227999999999998,
2025-04-11,26.17,26.5,25.62,25.75,105254.65,锦江酒店,25.45,26.069,
2025-04-14,25.8,26.07,25.6,26.03,67988.2,锦江酒店,25.851999999999997,25.951999999999998,
2025-04-15,25.9,26.1,25.63,25.81,63410.33,锦江酒店,26.012,25.863,
2025-04-16,25.85,26.4,25.53,26.36,174616.97,锦江酒店,26.053999999999995,25.801,
2025-04-17,26.3,27.65,25.92,27.15,220215.01,锦江酒店,26.22,25.881999999999998,
2025-04-18,27.0,27.0,25.9,25.96,158233.82,锦江酒店,26.262,25.856,
2025-04-21,25.63,25.91,25.39,25.57,130240.88,锦江酒店,26.169999999999998,26.011000000000003,26.383999999999997
2025-04-22,25.45,25.58,25.03,25.23,121556.01,锦江酒店,26.054000000000002,26.032999999999998,26.266000000000002
2025-04-23,25.26,25.36,24.96,25.11,95312.5,锦江酒店,25.804000000000002,25.929000000000002,26.145999999999997
2025-04-24,25.16,25.29,25.02,25.14,59176.17,锦江酒店,25.401999999999997,25.811,26.0195
2025-04-25,25.15,25.55,25.04,25.33,83325.0,锦江酒店,25.276,25.769,25.919
