date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,5.99,6.02,5.79,5.94,91275.0,钱江生化,,,
2025-03-25,5.91,6.04,5.83,6.0,74692.0,钱江生化,,,
2025-03-26,5.97,6.15,5.95,6.13,128151.11,钱江生化,,,
2025-03-27,6.11,6.28,6.08,6.2,235219.4,钱江生化,,,
2025-03-28,6.25,6.27,5.92,5.95,178682.13,钱江生化,6.044,,
2025-03-31,5.85,5.9,5.59,5.69,143478.47,钱江生化,5.994,,
2025-04-01,5.73,5.88,5.7,5.77,108984.0,钱江生化,5.9479999999999995,,
2025-04-02,5.75,5.81,5.67,5.7,77481.0,钱江生化,5.862,,
2025-04-03,5.65,5.76,5.63,5.72,59237.0,钱江生化,5.766,,
2025-04-07,5.43,5.43,5.15,5.15,80738.0,钱江生化,5.606,5.825,
2025-04-08,5.01,5.14,4.9,5.07,110911.2,钱江生化,5.482,5.738,
2025-04-09,5.02,5.19,4.71,5.15,124751.01,钱江生化,5.3580000000000005,5.6530000000000005,
2025-04-10,5.19,5.32,5.18,5.25,95487.3,钱江生化,5.268000000000001,5.5649999999999995,
2025-04-11,5.21,5.36,5.21,5.27,74387.0,钱江生化,5.178,5.4719999999999995,
2025-04-14,5.31,5.42,5.31,5.36,60084.02,钱江生化,5.220000000000001,5.413,
2025-04-15,5.38,5.45,5.35,5.43,64592.0,钱江生化,5.292,5.387,
2025-04-16,5.43,5.44,5.23,5.31,57455.0,钱江生化,5.324,5.341,
2025-04-17,5.29,5.48,5.27,5.44,65451.61,钱江生化,5.362,5.3149999999999995,
2025-04-18,5.39,5.46,5.33,5.42,49025.2,钱江生化,5.392,5.285,
2025-04-21,5.38,5.4,5.33,5.38,75373.0,钱江生化,5.396,5.308,5.5665
2025-04-22,5.38,5.46,5.35,5.44,72206.0,钱江生化,5.398000000000001,5.345000000000001,5.5415
2025-04-23,5.45,5.52,5.44,5.47,66007.0,钱江生化,5.430000000000001,5.377000000000001,5.515
2025-04-24,5.47,5.5,5.37,5.45,49788.0,钱江生化,5.432,5.397,5.481
2025-04-25,5.43,5.52,5.43,5.51,58659.0,钱江生化,5.45,5.421,5.4465
2025-04-28,5.51,5.51,5.36,5.43,47905.0,钱江生化,5.459999999999999,5.428,5.4205
2025-04-29,5.44,5.55,5.39,5.52,46125.0,钱江生化,5.476000000000001,5.436999999999999,5.412000000000001
2025-04-30,5.52,5.57,5.44,5.45,46214.0,钱江生化,5.4719999999999995,5.451,5.395999999999999
2025-05-06,5.45,5.58,5.45,5.58,65291.51,钱江生化,5.497999999999999,5.465,5.390000000000001
2025-05-07,5.63,5.63,5.54,5.63,64126.63,钱江生化,5.522,5.486,5.3855
2025-05-08,5.6,5.69,5.58,5.66,50353.81,钱江生化,5.568,5.514,5.411
2025-05-09,5.66,5.69,5.6,5.62,36051.0,钱江生化,5.588,5.532,5.4384999999999994
2025-05-12,5.67,5.67,5.61,5.65,39950.01,钱江生化,5.628,5.55,5.4635
