date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,51.39,52.69,51.39,52.63,47998.89,春秋航空,,,
2025-03-25,52.45,54.25,52.3,54.1,85811.35,春秋航空,,,
2025-03-26,53.89,54.28,53.41,54.2,48071.0,春秋航空,,,
2025-03-27,54.0,54.28,53.06,53.49,46412.82,春秋航空,,,
2025-03-28,53.46,53.46,52.42,52.65,36640.17,春秋航空,53.414,,
2025-03-31,52.51,53.12,51.82,51.97,32460.0,春秋航空,53.282000000000004,,
2025-04-01,52.0,52.45,51.59,52.03,33406.5,春秋航空,52.867999999999995,,
2025-04-02,52.1,52.35,51.43,51.65,39751.78,春秋航空,52.358000000000004,,
2025-04-03,51.21,52.17,50.88,51.76,42052.27,春秋航空,52.012,,
2025-04-07,50.18,50.87,48.2,49.3,97042.19,春秋航空,51.342000000000006,52.378,
2025-04-08,49.98,51.29,49.73,51.15,59215.9,春秋航空,51.178,52.23,
2025-04-09,50.88,54.49,49.82,53.99,116197.27,春秋航空,51.57000000000001,52.218999999999994,
2025-04-10,53.43,54.07,52.91,53.86,55385.8,春秋航空,52.012,52.185,
2025-04-11,53.63,54.3,53.34,53.84,31285.72,春秋航空,52.428,52.220000000000006,
2025-04-14,53.84,53.84,52.77,53.13,50659.7,春秋航空,53.194,52.26800000000001,
2025-04-15,52.97,53.57,52.22,53.15,31943.4,春秋航空,53.59400000000001,52.386,
2025-04-16,52.96,55.81,52.96,55.0,123619.68,春秋航空,53.79600000000001,52.68300000000001,
2025-04-17,54.89,56.77,54.46,56.2,71001.03,春秋航空,54.263999999999996,53.138,
2025-04-18,56.05,56.68,54.6,55.03,44026.12,春秋航空,54.501999999999995,53.464999999999996,
2025-04-21,54.99,56.1,54.71,54.85,32669.51,春秋航空,54.846000000000004,54.02,53.199
2025-04-22,54.85,55.2,54.1,54.14,37748.71,春秋航空,55.044000000000004,54.319,53.2745
2025-04-23,54.0,54.43,53.0,53.01,42454.56,春秋航空,54.646,54.221000000000004,53.220000000000006
2025-04-24,53.2,54.13,53.06,53.2,38471.0,春秋航空,54.04600000000001,54.154999999999994,53.169999999999995
2025-04-25,53.07,53.19,52.67,52.9,35915.47,春秋航空,53.61999999999999,54.061,53.140499999999996
2025-04-28,53.15,54.08,52.66,53.37,42377.67,春秋航空,53.324,54.085,53.1765
2025-04-29,53.5,53.58,52.93,53.37,30674.01,春秋航空,53.17,54.107000000000006,53.246500000000005
2025-04-30,53.07,54.37,52.8,53.68,44562.91,春秋航空,53.303999999999995,53.975,53.32899999999999
2025-05-06,54.25,56.33,54.25,55.16,71561.45,春秋航空,53.696000000000005,53.871,53.50449999999999
2025-05-07,55.27,55.65,54.51,55.45,45306.3,春秋航空,54.205999999999996,53.913,53.689
2025-05-08,55.4,55.49,54.52,55.09,50459.57,春秋航空,54.55,53.937,53.9785
2025-05-09,55.09,56.57,54.37,54.44,41210.3,春秋航空,54.763999999999996,53.967,54.142999999999994
2025-05-12,54.44,56.56,54.1,56.3,69243.97,春秋航空,55.288,54.29600000000001,54.25849999999999
2025-05-13,56.5,57.65,55.8,56.02,39408.32,春秋航空,55.46,54.577999999999996,54.366499999999995
2025-05-14,56.0,56.57,55.4,56.34,41292.99,春秋航空,55.638,54.922000000000004,54.491499999999995
2025-05-15,56.23,57.38,56.02,56.97,41152.24,春秋航空,56.013999999999996,55.282,54.6835
2025-05-16,56.8,56.97,56.05,56.83,26245.26,春秋航空,56.492,55.628,54.86749999999999
2025-05-19,56.83,57.4,56.51,56.85,27809.05,春秋航空,56.602,55.94500000000001,54.959999999999994
2025-05-20,56.77,57.78,56.05,57.46,39528.48,春秋航空,56.89,56.175,55.023
2025-05-21,57.43,59.18,57.31,59.0,52254.0,春秋航空,57.422000000000004,56.53000000000001,55.22149999999999
2025-05-22,59.0,59.94,58.31,58.53,53351.18,春秋航空,57.734,56.874,55.405499999999996
2025-05-23,58.56,58.69,57.52,57.64,26951.72,春秋航空,57.896,57.194,55.580499999999994
2025-05-26,57.79,59.2,57.22,58.91,50340.74,春秋航空,58.30799999999999,57.455,55.8755
2025-05-27,58.78,59.99,57.94,58.91,55310.73,春秋航空,58.598,57.74399999999999,56.161
2025-05-28,58.9,59.95,58.38,59.93,32476.96,春秋航空,58.784000000000006,58.102999999999994,56.5125
2025-05-29,60.0,60.18,58.09,59.17,40729.11,春秋航空,58.912,58.323,56.80250000000001
2025-05-30,59.23,59.66,58.72,58.8,29375.32,春秋航空,59.14399999999999,58.52,57.074
2025-06-03,58.8,58.8,57.09,58.4,48122.53,春秋航空,59.041999999999994,58.675,57.30999999999999
2025-06-04,58.24,58.33,56.58,57.29,44651.69,春秋航空,58.717999999999996,58.657999999999994,57.416500000000006
2025-06-05,57.29,57.96,57.0,57.55,38717.79,春秋航空,58.242,58.51299999999999,57.5215
