date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,6.66,6.85,6.66,6.78,892929.5,中国西电,,,
2025-03-25,6.78,6.98,6.74,6.92,1071717.94,中国西电,,,
2025-03-26,6.9,6.91,6.81,6.85,599721.21,中国西电,,,
2025-03-27,6.85,6.86,6.7,6.75,464952.32,中国西电,,,
2025-03-28,6.75,6.77,6.67,6.72,395977.32,中国西电,6.803999999999999,,
2025-03-31,6.72,6.81,6.62,6.63,609147.49,中国西电,6.773999999999999,,
2025-04-01,6.62,6.78,6.61,6.77,599958.97,中国西电,6.744,,
2025-04-02,6.77,6.83,6.66,6.77,458022.33,中国西电,6.728,,
2025-04-03,6.71,6.86,6.7,6.8,471359.24,中国西电,6.7379999999999995,,
2025-04-07,6.55,6.59,6.12,6.12,757939.79,中国西电,6.617999999999999,6.711,
2025-04-08,6.11,6.35,6.08,6.31,923776.09,中国西电,6.553999999999999,6.664,
2025-04-09,6.21,6.5,6.12,6.45,764057.03,中国西电,6.49,6.617,
2025-04-10,6.5,6.58,6.36,6.42,720879.5,中国西电,6.42,6.574,
2025-04-11,6.41,6.41,6.25,6.31,607738.77,中国西电,6.322,6.529999999999999,
2025-04-14,6.38,6.4,6.32,6.36,478938.49,中国西电,6.369999999999999,6.494,
2025-04-15,6.43,6.46,6.26,6.29,714430.74,中国西电,6.366,6.459999999999999,
2025-04-16,6.3,6.3,6.11,6.18,682721.45,中国西电,6.312,6.400999999999999,
2025-04-17,6.15,6.19,6.13,6.16,403811.31,中国西电,6.26,6.34,
2025-04-18,6.14,6.28,6.13,6.25,566728.27,中国西电,6.248,6.284999999999999,
2025-04-21,6.28,6.37,6.25,6.29,510293.0,中国西电,6.234,6.302,6.5065
2025-04-22,6.27,6.27,6.2,6.21,421353.66,中国西电,6.218000000000001,6.292,6.478
2025-04-23,6.23,6.25,6.18,6.2,377232.49,中国西电,6.222,6.267,6.442
2025-04-24,6.21,6.46,6.19,6.34,1097572.76,中国西电,6.258000000000001,6.2589999999999995,6.416500000000001
2025-04-25,6.35,6.39,6.26,6.34,693772.17,中国西电,6.276,6.2620000000000005,6.396
2025-04-28,6.36,6.38,6.23,6.25,592947.74,中国西电,6.268,6.2509999999999994,6.3725000000000005
2025-04-29,6.27,6.35,6.2,6.26,511654.49,中国西电,6.2780000000000005,6.247999999999999,6.354
2025-04-30,6.25,6.27,6.19,6.21,523731.35,中国西电,6.279999999999999,6.2509999999999994,6.326
2025-05-06,6.24,6.35,6.2,6.35,806166.46,中国西电,6.281999999999999,6.2700000000000005,6.305
2025-05-07,6.4,6.43,6.32,6.36,610443.2,中国西电,6.286,6.281000000000001,6.2829999999999995
