date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,28.78,30.4,27.88,30.01,142717.11,莱克电气,,,
2025-03-25,29.3,30.98,29.21,29.26,92059.82,莱克电气,,,
2025-03-26,28.48,29.2,27.91,28.05,89206.14,莱克电气,,,
2025-03-27,28.03,28.89,27.78,28.03,57166.8,莱克电气,,,
2025-03-28,27.83,28.25,27.48,27.55,44810.4,莱克电气,28.580000000000002,,
2025-03-31,27.59,27.89,26.66,26.69,41957.4,莱克电气,27.916000000000004,,
2025-04-01,26.69,26.78,26.06,26.2,39762.9,莱克电气,27.304000000000002,,
2025-04-02,26.11,26.45,26.1,26.3,21125.4,莱克电气,26.954,,
2025-04-03,26.02,26.2,24.14,24.22,66415.41,莱克电气,26.192,,
2025-04-07,22.0,22.48,21.8,21.8,23392.0,莱克电气,25.042,26.811,
2025-04-08,21.35,21.6,20.05,20.56,80567.58,莱克电气,23.816,25.866000000000003,
2025-04-09,20.02,20.71,18.99,20.47,52920.4,莱克电气,22.669999999999998,24.987000000000002,
2025-04-10,21.33,21.73,21.0,21.48,50492.38,莱克电气,21.706,24.330000000000002,
2025-04-11,21.08,21.78,21.08,21.59,28141.0,莱克电气,21.18,23.686,
2025-04-14,22.06,22.4,21.83,22.01,36786.38,莱克电气,21.221999999999998,23.131999999999998,
2025-04-15,22.04,22.17,21.85,21.98,19455.4,莱克电气,21.506,22.661,
2025-04-16,23.09,23.68,21.36,21.58,57733.58,莱克电气,21.728,22.199,
2025-04-17,21.63,21.92,21.47,21.75,30547.71,莱克电气,21.782,21.744,
2025-04-18,21.61,21.85,21.48,21.65,20294.06,莱克电气,21.794,21.487000000000002,
2025-04-21,21.75,22.74,21.6,22.46,32802.99,莱克电气,21.884,21.553,24.182
2025-04-22,22.4,22.58,22.15,22.38,20157.99,莱克电气,21.964,21.735,23.8005
2025-04-23,22.68,23.2,22.55,22.93,33235.33,莱克电气,22.234,21.981,23.484
2025-04-24,23.03,23.3,22.68,22.87,26314.4,莱克电气,22.458000000000002,22.119999999999997,23.225
2025-04-25,23.0,23.22,22.77,22.87,18290.97,莱克电气,22.701999999999998,22.247999999999998,22.967
2025-04-28,22.8,22.98,22.13,22.2,29645.4,莱克电气,22.65,22.267000000000003,22.699499999999997
2025-04-29,21.5,21.95,21.08,21.59,41843.2,莱克电气,22.492,22.227999999999998,22.444499999999998
2025-04-30,21.67,21.75,21.18,21.22,40653.0,莱克电气,22.15,22.192,22.1955
2025-05-06,21.45,22.16,21.22,21.99,46049.0,莱克电气,21.973999999999997,22.216,21.979999999999997
2025-05-07,22.46,22.85,22.23,22.41,44263.42,莱克电气,21.881999999999998,22.291999999999998,21.8895
2025-05-08,22.53,22.98,22.31,22.79,35377.09,莱克电气,22.0,22.325,21.939
2025-05-09,22.99,23.0,22.31,22.53,24403.0,莱克电气,22.188,22.339999999999996,22.0375
2025-05-12,22.93,23.28,22.75,23.1,41286.8,莱克电气,22.564,22.357,22.169
2025-05-13,23.51,23.75,23.31,23.64,50830.0,莱克电气,22.894,22.434,22.277
2025-05-14,23.62,23.62,22.94,23.08,37969.0,莱克电气,23.028000000000002,22.455000000000002,22.3515
2025-05-15,23.11,23.16,22.57,22.68,22447.82,莱克电气,23.006,22.502999999999997,22.384999999999998
2025-05-16,22.55,23.05,22.55,22.83,20768.8,莱克电气,23.066,22.627000000000002,22.427500000000002
2025-05-19,22.94,22.95,22.4,22.67,21130.44,莱克电气,22.979999999999997,22.772000000000002,22.482
2025-05-20,22.7,23.08,22.53,23.0,20309.75,莱克电气,22.851999999999997,22.873,22.5445
2025-05-21,23.0,23.02,22.71,22.75,19286.39,莱克电气,22.786,22.907,22.5995
2025-05-22,22.64,22.78,22.28,22.31,22878.4,莱克电气,22.712,22.858999999999998,22.592000000000002
2025-05-23,22.32,22.62,22.09,22.15,19608.83,莱克电气,22.576,22.821,22.5805
2025-05-26,22.1,22.15,21.83,21.98,15582.07,莱克电气,22.438,22.708999999999996,22.533
2025-05-27,22.01,22.09,21.66,21.75,16396.6,莱克电气,22.188,22.52,22.477
2025-05-28,21.89,22.3,21.66,22.07,19585.0,莱克电气,22.052,22.419,22.437
2025-05-29,22.27,22.34,22.07,22.16,23157.68,莱克电气,22.022,22.366999999999997,22.435
2025-05-30,22.13,22.14,21.73,21.77,18196.4,莱克电气,21.946,22.261000000000003,22.444
2025-06-03,21.61,21.71,21.48,21.53,18423.37,莱克电气,21.856,22.147,22.4595
2025-06-04,21.63,21.82,21.51,21.77,15194.0,莱克电气,21.86,22.023999999999997,22.448500000000003
2025-06-05,21.77,22.05,21.66,21.94,17439.49,莱克电气,21.833999999999996,21.943,22.425
2025-06-06,21.88,22.25,21.71,22.01,21290.22,莱克电气,21.804,21.913000000000004,22.386000000000003
2025-06-09,22.12,22.85,21.95,22.8,37986.85,莱克电气,22.01,21.978,22.3995
2025-06-10,22.62,22.96,22.11,22.36,28583.17,莱克电气,22.176,22.016000000000002,22.3625
2025-06-11,22.35,22.72,22.32,22.35,16973.04,莱克电气,22.292,22.076,22.298
2025-06-12,22.3,22.61,22.05,22.42,16339.82,莱克电气,22.388,22.111,22.265
2025-06-13,22.32,22.59,22.16,22.36,28235.2,莱克电气,22.458000000000002,22.131,22.249000000000002
2025-06-16,22.18,22.43,22.14,22.23,16031.0,莱克电气,22.344,22.177,22.219
2025-06-17,22.22,22.41,22.08,22.21,15340.44,莱克电气,22.314,22.245,22.196
2025-06-18,22.21,22.26,22.05,22.14,9093.28,莱克电气,22.272,22.282000000000004,22.153
2025-06-19,22.18,22.3,21.7,21.82,16867.01,莱克电气,22.152,22.270000000000003,22.1065
2025-06-20,21.82,22.12,21.52,21.64,13090.29,莱克电气,22.008000000000003,22.232999999999997,22.073
2025-06-23,21.62,21.62,21.3,21.51,14499.41,莱克电气,21.863999999999997,22.104000000000003,22.041
2025-06-24,21.63,22.22,21.6,22.17,20692.38,莱克电气,21.856,22.085,22.0505
2025-06-25,22.12,22.63,22.03,22.58,26056.98,莱克电气,21.944,22.108,22.092
2025-06-26,22.44,22.65,22.34,22.35,19719.8,莱克电气,22.05,22.101000000000003,22.106
2025-06-27,22.35,22.55,22.27,22.41,14610.86,莱克电气,22.204,22.106,22.118500000000004
2025-06-30,22.59,22.59,22.2,22.42,21237.61,莱克电气,22.386,22.125000000000004,22.151
2025-07-01,22.33,22.5,22.22,22.4,16394.8,莱克电气,22.432,22.144,22.1945
2025-07-02,22.33,22.99,22.26,22.61,29975.4,莱克电气,22.438000000000002,22.191,22.2365
2025-07-03,23.5,24.02,22.66,22.8,37650.61,莱克电气,22.528,22.288999999999998,22.2795
2025-07-04,22.88,22.9,22.43,22.5,20150.01,莱克电气,22.546,22.375,22.304
2025-07-07,22.36,22.99,22.25,22.68,26802.45,莱克电气,22.598000000000003,22.491999999999997,22.298
2025-07-08,22.79,22.83,22.6,22.78,22659.4,莱克电气,22.674,22.553,22.319000000000003
2025-07-09,22.78,22.83,22.63,22.67,16282.17,莱克电气,22.686,22.562,22.335
2025-07-10,22.7,22.73,22.54,22.67,12989.0,莱克电气,22.660000000000004,22.594,22.3475
2025-07-11,22.61,22.98,22.6,22.81,23278.38,莱克电气,22.722,22.634,22.37
2025-07-14,22.86,23.28,22.8,23.1,22222.0,莱克电气,22.806000000000004,22.701999999999998,22.413500000000003
2025-07-15,23.16,23.51,22.81,23.2,31072.77,莱克电气,22.889999999999997,22.782000000000004,22.463
2025-07-16,23.22,23.47,23.09,23.27,21195.4,莱克电气,23.01,22.848,22.5195
2025-07-17,23.3,23.44,23.07,23.14,17795.78,莱克电气,23.104,22.882,22.5855
2025-07-18,23.12,23.2,22.86,23.04,18624.81,莱克电气,23.15,22.936,22.6555
2025-07-21,23.06,23.33,23.03,23.25,19513.37,莱克电气,23.18,22.993000000000002,22.7425
2025-07-22,23.25,23.3,23.04,23.19,16909.4,莱克电气,23.177999999999997,23.034,22.7935
2025-07-23,23.25,23.76,23.17,23.51,39391.0,莱克电气,23.226,23.118000000000002,22.84
2025-07-24,23.55,23.97,23.51,23.68,23013.0,莱克电气,23.334,23.219,22.9065
2025-07-25,23.58,24.49,23.58,24.05,38201.42,莱克电气,23.536,23.343,22.9885
2025-07-28,24.19,24.2,23.7,23.76,29936.8,莱克电气,23.638,23.409,23.055500000000002
2025-07-29,23.76,23.79,23.45,23.5,25180.0,莱克电气,23.7,23.439,23.1105
2025-07-30,23.5,23.52,23.2,23.46,25453.8,莱克电气,23.69,23.458000000000002,23.153000000000002
2025-07-31,23.4,23.42,22.8,23.02,29166.6,莱克电气,23.558,23.446,23.164
2025-08-01,22.99,23.25,22.84,23.15,15068.68,莱克电气,23.378,23.457,23.1965
2025-08-04,23.05,23.32,22.91,23.3,10771.31,莱克电气,23.285999999999998,23.462,23.2275
2025-08-05,23.35,23.59,23.2,23.54,18322.91,莱克电气,23.294,23.497,23.2655
2025-08-06,23.54,23.58,23.38,23.55,15929.0,莱克电气,23.312,23.500999999999998,23.309500000000003
2025-08-07,23.55,23.57,23.32,23.32,13186.6,莱克电气,23.371999999999996,23.465,23.342000000000002
2025-08-08,23.26,23.39,23.1,23.28,14826.0,莱克电气,23.398000000000003,23.387999999999998,23.3655
2025-08-11,23.38,23.62,23.3,23.53,17829.0,莱克电气,23.444,23.365000000000002,23.387
2025-08-12,23.45,23.79,23.45,23.64,20627.97,莱克电气,23.464,23.379,23.409
2025-08-13,23.81,24.13,23.63,23.98,35515.2,莱克电气,23.55,23.431,23.4445
